ID,SectorBranchesSIC2008,Periods,Employee_1,EmployedPerson_2,Employee_3,EmployedPerson_4,Total_5,Total_6,RetailTradeTurnover_7,OtherTurnover_8,OtherRevenues_9,Total_10,PurchaseValueOfSales_11,Total_12,GrossWagesAndSalaries_13,Total_14,EmployerPaidSocialInsurancePremiums_15,PensionAndEarlyRetirementPremiums_16,OtherSocialInsuranceCosts_17,OtherPersonnelCosts_18,Total_19,CostsOfEnergyUse_20,HousingCosts_21,EquipmentAndInventoryCosts_22,TransportCosts_23,SalesCosts_24,CommunicationCosts_25,CostsOfOtherServices_26,OtherLiabilities_27,DepreciationFixedAssets_28,OperatingResults_29,NetFinancialIncome_30,BalanceOfProvisions_31,NetExtraordinaryIncome_32,PreTaxResults_33
122,380100,2011JJ00,5.3,5.6,3.3,3.6,667.0,640.0,638.0,2.0,27.0,634.0,343.0,113.0,85.0,17.0,13.0,4.0,0.0,11.0,162.0,5.0,94.0,4.0,2.0,27.0,3.0,12.0,16.0,16.0,33.0,9.0,0.0,5.0,46.0
123,380100,2012JJ00,5.8,6.4,3.6,4.1,773.0,741.0,672.0,70.0,32.0,728.0,403.0,123.0,91.0,19.0,14.0,5.0,0.0,12.0,185.0,4.0,103.0,2.0,1.0,35.0,3.0,17.0,20.0,17.0,45.0,-1.0,0.0,1.0,45.0
124,380100,2013JJ00,5.7,6.3,3.6,4.0,802.0,769.0,668.0,101.0,33.0,740.0,419.0,124.0,93.0,21.0,15.0,6.0,0.0,11.0,180.0,4.0,104.0,1.0,1.0,33.0,3.0,18.0,17.0,17.0,63.0,-2.0,0.0,3.0,64.0
125,380200,2009JJ00,22.2,30.2,13.9,20.7,2600.0,2586.0,2421.0,165.0,14.0,2366.0,1465.0,403.0,311.0,68.0,48.0,19.0,4.0,20.0,434.0,41.0,154.0,18.0,29.0,74.0,14.0,39.0,66.0,65.0,234.0,-25.0,6.0,-3.0,211.0
126,380200,2010JJ00,23.1,31.4,14.6,21.8,2527.0,2514.0,2331.0,182.0,14.0,2314.0,1426.0,404.0,312.0,66.0,47.0,19.0,4.0,21.0,413.0,43.0,138.0,19.0,28.0,72.0,12.0,35.0,66.0,71.0,214.0,-20.0,0.0,0.0,194.0
127,380200,2011JJ00,23.5,31.5,14.9,21.7,2589.0,2576.0,2373.0,203.0,13.0,2386.0,1475.0,427.0,331.0,69.0,50.0,19.0,4.0,22.0,415.0,42.0,140.0,21.0,28.0,74.0,12.0,36.0,64.0,69.0,204.0,-22.0,1.0,-1.0,182.0
128,380200,2012JJ00,23.4,31.2,14.0,20.8,2531.0,2522.0,2337.0,185.0,9.0,2348.0,1457.0,420.0,322.0,71.0,50.0,21.0,4.0,23.0,401.0,34.0,144.0,18.0,31.0,70.0,12.0,33.0,58.0,70.0,183.0,-26.0,1.0,6.0,163.0
129,380200,2013JJ00,22.2,29.8,13.4,20.0,2353.0,2344.0,2156.0,188.0,9.0,2187.0,1347.0,394.0,300.0,68.0,48.0,21.0,4.0,21.0,379.0,33.0,135.0,16.0,29.0,66.0,12.0,29.0,60.0,67.0,166.0,-25.0,-1.0,7.0,147.0
130,380600,2009JJ00,5.3,7.4,3.2,5.1,614.0,609.0,573.0,36.0,5.0,555.0,314.0,107.0,86.0,15.0,9.0,5.0,1.0,6.0,117.0,7.0,48.0,2.0,5.0,23.0,5.0,11.0,17.0,16.0,59.0,-7.0,-1.0,0.0,52.0
131,380600,2010JJ00,5.6,7.9,3.8,5.7,797.0,791.0,749.0,42.0,7.0,715.0,429.0,120.0,94.0,20.0,12.0,8.0,0.0,6.0,144.0,8.0,57.0,3.0,7.0,29.0,6.0,12.0,22.0,22.0,83.0,-8.0,-1.0,3.0,76.0
