ID,Perioden,Overheidsinkomsten_1,Overheidsuitgaven_2,Overheidssaldo_3,OverheidsschuldEMU_4,CollectieveLasten_5,Overheidsconsumptie_6,OverheidsinkomstenSeizoengecorrigeerd_7,OverheidsuitgavenSeizoengecorrigeerd_8,OverheidssaldoSeizoengecorrigeerd_9,NettoBesparingen_10,SaldoNettoBespEnKapitaaloverdr_11,Aardgasbaten_12,Overheidsinkomsten_13,Overheidsuitgaven_14,Overheidssaldo_15,OverheidsschuldEMU_16,CollectieveLasten_17,Overheidsconsumptie_18,OverheidsinkomstenSeizoengecorrigeerd_19,OverheidsuitgavenSeizoengecorrigeerd_20,OverheidssaldoSeizoengecorrigeerd_21,NettoBesparingen_22,SaldoNettoBespEnKapitaaloverdr_23,Aardgasbaten_24,WerkzamePersonen_25,Arbeidsjaren_26,GewerkteUren_27,MaterieleOverheidsconsumptieIMOC_28
112,2020KW04,91545.0,101868.0,-10323.0,435475.0,81811.0,54966.0,90048.0,98249.0,-8201.0,-9154.0,-9715.0,,44.1,47.8,-3.7,54.7,39.4,26.1,44.3,48.3,-4.0,-3.4,-3.5,,,,,
113,2020JJ00,351403.0,380991.0,-29588.0,435475.0,313934.0,207539.0,,,,-27092.0,-27747.0,162.0,44.1,47.8,-3.7,54.7,39.4,26.1,,,,-3.4,-3.5,0.0,1146.0,992.0,1582.0,1.7
114,2021KW01,96303.0,96957.0,-654.0,440019.0,85792.0,52340.0,92541.0,100156.0,-7615.0,-396.0,-168.0,,44.0,49.1,-5.1,55.1,39.3,26.3,44.5,48.1,-3.7,-4.7,-4.8,,,,,
115,2021KW02,94178.0,102993.0,-8815.0,447953.0,83604.0,56836.0,92269.0,99514.0,-7245.0,-8225.0,-8687.0,,43.9,47.4,-3.5,54.1,39.1,26.0,42.8,46.2,-3.4,-3.1,-3.3,,,,,
116,2021KW03,88445.0,94798.0,-6353.0,443043.0,78137.0,55004.0,96094.0,98899.0,-2805.0,-5777.0,-6419.0,,43.7,46.8,-3.1,52.2,38.8,25.8,43.3,44.6,-1.3,-2.8,-2.9,,,,,
117,2021KW04,101769.0,105413.0,-3644.0,449659.0,90062.0,60059.0,99259.0,101042.0,-1783.0,-502.0,-3160.0,,43.7,46.0,-2.2,51.7,38.8,25.8,44.2,45.0,-0.8,-1.7,-2.1,,,,,
118,2021JJ00,380695.0,400161.0,-19466.0,449659.0,337595.0,224239.0,,,,-14900.0,-18434.0,338.0,43.7,46.0,-2.2,51.7,38.8,25.8,,,,-1.7,-2.1,0.0,1176.0,1019.0,1640.0,3.8
119,2022KW01,102098.0,96131.0,5967.0,447005.0,91957.0,56673.0,99553.0,99951.0,-398.0,6625.0,6216.0,,43.2,44.7,-1.4,50.0,38.4,25.6,43.0,43.2,-0.2,-0.9,-1.3,,,,,
120,2022KW02,106415.0,104311.0,2104.0,458162.0,91886.0,60223.0,103151.0,100862.0,2289.0,1930.0,1670.0,,43.6,43.8,-0.2,50.0,38.5,25.3,43.6,42.6,1.0,0.2,-0.2,,,,,
121,2022KW03,95543.0,102928.0,-7385.0,450984.0,82071.0,59046.0,104190.0,107080.0,-2890.0,-4976.0,-5325.0,,43.4,43.7,-0.3,48.2,38.0,25.2,43.0,44.2,-1.2,0.3,-0.1,,,,,
122,2022KW04,111967.0,113551.0,-1584.0,480548.0,97954.0,64558.0,108688.0,108663.0,25.0,-946.0,-2371.0,,43.4,43.5,-0.1,50.1,38.0,25.1,43.8,43.8,0.0,0.3,0.0,,,,,
123,2022JJ00,416023.0,416921.0,-898.0,480548.0,363868.0,240500.0,,,,2633.0,190.0,5039.0,43.4,43.5,-0.1,50.1,38.0,25.1,,,,0.3,0.0,0.5,1209.0,1044.0,1664.0,7.7
124,2023KW01,108819.0,105508.0,3311.0,474369.0,97449.0,61118.0,107270.0,110105.0,-2835.0,3229.0,2892.0,,43.1,43.4,-0.4,48.3,37.6,25.0,42.3,43.4,-1.1,-0.1,-0.3,,,,,
125,2023KW02,116713.0,116341.0,372.0,469964.0,104591.0,65450.0,112133.0,112444.0,-311.0,3470.0,595.0,,43.2,43.7,-0.5,46.9,38.1,25.0,43.6,43.7,-0.1,0.1,-0.4,,,,,
126,2023KW03,103272.0,108963.0,-5691.0,466907.0,92387.0,65297.0,112803.0,113089.0,-286.0,-4800.0,-5058.0,,43.2,43.6,-0.4,45.8,38.5,25.2,43.4,43.5,-0.1,0.1,-0.4,,,,,
127,2023KW04,117097.0,118638.0,-1541.0,480671.0,104687.0,69730.0,113566.0,113663.0,-97.0,946.0,-1131.0,,43.1,43.5,-0.3,46.5,38.6,25.3,43.0,43.1,0.0,0.3,-0.3,,,,,
128,2023JJ00,445901.0,449450.0,-3549.0,480671.0,399114.0,261595.0,,,,2845.0,-2702.0,3805.0,43.1,43.5,-0.3,46.5,38.6,25.3,,,,0.3,-0.3,0.4,,,,
