ID,Betalingsplichtigen,Perioden,TotaalMilieubelastingenEnHeffingen_1,TotaleOpbrengstMilieubelastingen_2,TotaalBelastingenOpMilieugrondslag_3,Afvalstoffenbelasting_4,Brandstoffenbelasting_5,Energiebelasting_6,Emissierechten_7,LeidingwaterEnGrondwaterbelasting_8,Verpakkingenbelasting_9,Vliegbelasting_10,TotaalBelastingenMBTMobiliteit_11,AccijnsOpBenzineEnOvMineraleOlien_12,BelastPersonenautoSEnMotorrijwielen_13,Motorrijtuigenbelasting_14,Mineralenheffingen_15,TotaleOpbrengstMilieuheffingen_16,AfvalstoffenheffingEnReinigingsrechten_17,GeluidsheffingBurgerluchtvaart_18,GrondwaterheffingEnNazorgheffing_19,RioolheffingEnRioolrechten_20,Waterverontreinigingsheffing_21
43,T001081,2010JJ00,8600.0,7668.0,2449.0,39.0,1.0,1886.0,0.0,224.0,299.0,,5217.0,2979.0,1262.0,976.0,2.0,932.0,350.0,42.0,15.0,206.0,319.0
44,T001081,2011JJ00,8773.0,7835.0,2526.0,17.0,1.0,1958.0,54.0,208.0,288.0,,5307.0,3078.0,1253.0,976.0,2.0,938.0,343.0,35.0,15.0,220.0,325.0
45,T001081,2012JJ00,8021.0,7078.0,2156.0,-16.0,1.0,1784.0,48.0,55.0,284.0,,4918.0,2967.0,983.0,968.0,4.0,943.0,330.0,49.0,14.0,227.0,323.0
46,T001081,2013JJ00,8008.0,7067.0,2321.0,-5.0,126.0,2088.0,49.0,60.0,3.0,,4742.0,3038.0,745.0,959.0,4.0,941.0,331.0,39.0,10.0,234.0,327.0
47,T001081,2014JJ00,8496.0,7543.0,2486.0,18.0,142.0,2108.0,108.0,109.0,1.0,,5053.0,3289.0,716.0,1048.0,4.0,953.0,331.0,39.0,22.0,235.0,326.0
48,T001081,2015JJ00,8922.0,7973.0,2602.0,82.0,195.0,2082.0,137.0,106.0,0.0,,5368.0,3274.0,1025.0,1069.0,3.0,949.0,331.0,31.0,14.0,245.0,328.0
49,T001081,2016JJ00,8939.0,7968.0,2459.0,83.0,3.0,2060.0,199.0,114.0,0.0,,5498.0,3375.0,1043.0,1080.0,11.0,971.0,345.0,8.0,20.0,250.0,348.0
50,T001081,2017JJ00,9526.0,8574.0,2713.0,87.0,2.0,2308.0,200.0,116.0,0.0,,5834.0,3378.0,1360.0,1096.0,27.0,952.0,330.0,1.0,15.0,256.0,350.0
51,T001081,2018JJ00,10156.0,9178.0,3013.0,89.0,2.0,2546.0,261.0,115.0,0.0,,6149.0,3439.0,1589.0,1121.0,16.0,978.0,339.0,2.0,13.0,259.0,365.0
52,T001081,2019JJ00,11135.0,10119.0,3748.0,200.0,1.0,2901.0,524.0,122.0,0.0,,6356.0,3514.0,1705.0,1137.0,15.0,1016.0,347.0,2.0,14.0,267.0,386.0
53,T001081,2020JJ00,10661.0,9624.0,4210.0,225.0,1.0,3416.0,443.0,125.0,0.0,,5396.0,3218.0,1034.0,1144.0,18.0,1037.0,381.0,1.0,15.0,273.0,367.0
54,T001081,2021JJ00,11286.0,10153.0,4514.0,236.0,1.0,3617.0,488.0,140.0,0.0,32.0,5632.0,3450.0,1013.0,1169.0,7.0,1133.0,457.0,1.0,15.0,278.0,382.0
55,T001081,2022JJ00,12561.0,11409.0,6117.0,235.0,1.0,4651.0,1039.0,138.0,0.0,53.0,5291.0,3112.0,1000.0,1179.0,1.0,1152.0,462.0,2.0,12.0,285.0,391.0
56,301000 ,1995JJ00,179.0,152.0,55.0,8.0,41.0,0.0,0.0,6.0,,,80.0,60.0,3.0,17.0,17.0,27.0,4.0,,1.0,9.0,12.0
57,301000 ,1996JJ00,183.0,157.0,73.0,6.0,47.0,13.0,0.0,7.0,,,74.0,54.0,3.0,17.0,10.0,26.0,6.0,,1.0,6.0,13.0
58,301000 ,1997JJ00,189.0,161.0,64.0,4.0,44.0,14.0,0.0,2.0,,,81.0,65.0,3.0,13.0,16.0,28.0,6.0,,1.0,7.0,14.0
59,301000 ,1998JJ00,195.0,168.0,66.0,6.0,44.0,9.0,0.0,7.0,,,89.0,73.0,3.0,13.0,13.0,27.0,6.0,,1.0,7.0,13.0
60,301000 ,1999JJ00,202.0,172.0,71.0,5.0,39.0,21.0,0.0,6.0,,,86.0,72.0,2.0,12.0,15.0,30.0,6.0,,3.0,8.0,13.0
61,301000 ,2000JJ00,215.0,182.0,78.0,13.0,30.0,27.0,0.0,8.0,,,86.0,72.0,3.0,11.0,18.0,33.0,7.0,,4.0,8.0,14.0
62,301000 ,2001JJ00,239.0,205.0,115.0,9.0,0.0,99.0,0.0,7.0,,,79.0,62.0,3.0,14.0,11.0,34.0,7.0,,4.0,9.0,14.0
63,301000 ,2002JJ00,211.0,172.0,80.0,9.0,1.0,62.0,0.0,8.0,,,84.0,68.0,2.0,14.0,8.0,39.0,7.0,,8.0,10.0,14.0
64,301000 ,2003JJ00,224.0,186.0,81.0,5.0,1.0,66.0,0.0,9.0,,,103.0,86.0,2.0,15.0,2.0,38.0,7.0,,3.0,12.0,16.0
65,301000 ,2004JJ00,243.0,206.0,129.0,4.0,0.0,116.0,0.0,9.0,,,81.0,63.0,3.0,15.0,-4.0,37.0,7.0,,4.0,10.0,16.0
66,301000 ,2005JJ00,345.0,307.0,224.0,7.0,0.0,208.0,0.0,9.0,,,82.0,64.0,3.0,15.0,1.0,38.0,8.0,,4.0,10.0,16.0
67,301000 ,2006JJ00,379.0,338.0,248.0,9.0,0.0,229.0,0.0,10.0,,,88.0,67.0,3.0,18.0,2.0,41.0,7.0,,4.0,14.0,16.0
68,301000 ,2007JJ00,324.0,283.0,194.0,9.0,0.0,175.0,0.0,10.0,,,93.0,72.0,3.0,18.0,-4.0,41.0,7.0,,4.0,14.0,16.0
69,301000 ,2008JJ00,392.0,351.0,240.0,6.0,0.0,215.0,0.0,10.0,9.0,0.0,109.0,82.0,4.0,23.0,2.0,41.0,7.0,,4.0,14.0,16.0
70,301000 ,2009JJ00,405.0,365.0,247.0,2.0,0.0,222.0,0.0,9.0,14.0,0.0,116.0,85.0,7.0,24.0,2.0,40.0,7.0,,3.0,16.0,14.0
71,301000 ,2010JJ00,351.0,314.0,167.0,2.0,0.0,141.0,0.0,9.0,15.0,,145.0,111.0,10.0,24.0,2.0,37.0,7.0,,3.0,14.0,13.0
72,301000 ,2011JJ00,343.0,305.0,168.0,1.0,0.0,147.0,1.0,5.0,14.0,,135.0,101.0,10.0,24.0,2.0,38.0,7.0,,4.0,14.0,13.0
73,301000 ,2012JJ00,310.0,276.0,149.0,-1.0,0.0,131.0,1.0,4.0,14.0,,123.0,95.0,6.0,22.0,4.0,34.0,7.0,,0.0,14.0,13.0
74,301000 ,2013JJ00,440.0,407.0,150.0,0.0,0.0,145.0,1.0,4.0,0.0,,253.0,225.0,4.0,24.0,4.0,33.0,7.0,,-1.0,14.0,13.0
75,301000 ,2014JJ00,609.0,575.0,164.0,1.0,0.0,154.0,1.0,8.0,0.0,,407.0,378.0,3.0,26.0,4.0,34.0,6.0,,1.0,14.0,13.0
76,301000 ,2015JJ00,596.0,563.0,162.0,4.0,0.0,149.0,1.0,8.0,0.0,,398.0,369.0,3.0,26.0,3.0,33.0,6.0,,0.0,14.0,13.0
77,301000 ,2016JJ00,597.0,564.0,148.0,4.0,0.0,135.0,1.0,8.0,0.0,,405.0,374.0,6.0,25.0,11.0,33.0,6.0,,0.0,14.0,13.0
