ID,Energieverbruikers,Perioden,Energie_1,SteenkoolEnBruinkool_2,Steenkoolcokes_3,Cokesovengas_4,Hoogovengas_5,OverigeSteenkoolderivaten_6,RuweAardolie_7,Aardgascondensaat_8,OverigeAardoliegrondstoffen_9,Lpg_10,Nafta_11,Benzine_12,Kerosine_13,GasolieEnLichteStookolie_14,Autodiesel_15,Stookolie_16,Restgas_17,Smeermiddelen_18,Bitumen_19,OverigeOlieproducten_20,Aardgas_21,HernieuwbareEnergie_22,Elektriciteit_23,StoomEnOfWarmWater_24,AnderePrimaireEnergiebronnen_25,OmzettingVerliezen_26
70,300002,1994JJ00,1599.0,20.0,42.0,11.0,9.0,,,,,49.0,97.0,3.0,0.0,3.0,17.0,31.0,132.0,3.0,,93.0,340.0,3.0,150.0,172.0,4.0,421.0
71,300002,1995JJ00,1618.0,18.0,46.0,11.0,10.0,,,,0.0,51.0,120.0,2.0,0.0,2.0,17.0,29.0,130.0,2.0,,70.0,345.0,5.0,151.0,174.0,4.0,430.0
72,300002,1996JJ00,1618.0,21.0,43.0,10.0,10.0,,,,1.0,44.0,108.0,3.0,0.0,2.0,18.0,29.0,131.0,2.0,,66.0,353.0,5.0,155.0,181.0,4.0,431.0
73,300002,1997JJ00,1630.0,26.0,43.0,11.0,9.0,,,,,59.0,98.0,2.0,0.0,2.0,15.0,17.0,120.0,2.0,,83.0,356.0,5.0,160.0,179.0,5.0,438.0
74,300002,1998JJ00,1650.0,25.0,39.0,9.0,9.0,,,,0.0,62.0,100.0,2.0,0.0,2.0,14.0,16.0,114.0,3.0,,80.0,357.0,5.0,164.0,184.0,5.0,461.0
75,300002,1999JJ00,1649.0,25.0,38.0,7.0,8.0,3.0,,,0.0,60.0,115.0,2.0,0.0,3.0,15.0,15.0,119.0,3.0,,86.0,353.0,5.0,166.0,194.0,4.0,428.0
76,300002,2000JJ00,1696.0,21.0,35.0,6.0,9.0,2.0,,,0.0,65.0,131.0,2.0,1.0,2.0,16.0,13.0,122.0,2.0,,96.0,345.0,5.0,170.0,192.0,4.0,455.0
77,300002,2001JJ00,1741.0,24.0,36.0,6.0,9.0,2.0,,,0.0,59.0,147.0,2.0,0.0,2.0,16.0,15.0,129.0,2.0,,91.0,322.0,5.0,174.0,195.0,4.0,498.0
78,300002,2002JJ00,1756.0,25.0,37.0,6.0,10.0,2.0,,,1.0,66.0,144.0,2.0,0.0,3.0,17.0,11.0,142.0,2.0,,85.0,319.0,5.0,179.0,194.0,5.0,503.0
79,300002,2003JJ00,1816.0,26.0,39.0,6.0,10.0,3.0,,,1.0,68.0,179.0,2.0,0.0,3.0,17.0,10.0,154.0,2.0,,94.0,311.0,5.0,179.0,197.0,5.0,506.0
80,300002,2004JJ00,1865.0,27.0,38.0,8.0,11.0,2.0,,,3.0,77.0,173.0,3.0,0.0,3.0,15.0,8.0,158.0,2.0,,105.0,315.0,6.0,183.0,203.0,7.0,518.0
