ID,Zorgfuncties,Zorgfinanciering,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
436,A052130,T001103,2009JJ00,9607.0
437,A052130,T001103,2010JJ00,9925.0
438,A052130,T001103,2011JJ00,9881.0
439,A052130,T001103,2012JJ00,9643.0
440,A052130,T001103,2013JJ00,9230.0
441,A052130,T001103,2014JJ00,8900.0
442,A052130,T001103,2015JJ00,8718.0
443,A052130,T001103,2016JJ00,9532.0
444,A052130,T001103,2017JJ00,9838.0
445,A052130,T001103,2018JJ00,10389.0
446,A052130,T001103,2019JJ00,11205.0
447,A052130,T001103,2020JJ00,11886.0
448,A052130,T001103,2021JJ00,12746.0
449,A052130,T001103,2022JJ00,14875.0
450,A052130,A019149,1998JJ00,4400.0
451,A052130,A019149,1999JJ00,5022.0
452,A052130,A019149,2000JJ00,5604.0
453,A052130,A019149,2001JJ00,6361.0
454,A052130,A019149,2002JJ00,6958.0
455,A052130,A019149,2003JJ00,7502.0
456,A052130,A019149,2004JJ00,7412.0
457,A052130,A019149,2005JJ00,7474.0
458,A052130,A019149,2006JJ00,6960.0
459,A052130,A019149,2007JJ00,7738.0
460,A052130,A019149,2008JJ00,8729.0
461,A052130,A019149,2009JJ00,9607.0
462,A052130,A019149,2010JJ00,9925.0
463,A052130,A019149,2011JJ00,9881.0
464,A052130,A019149,2012JJ00,9643.0
465,A052130,A019149,2013JJ00,9230.0
466,A052130,A019149,2014JJ00,8900.0
467,A052130,A019149,2015JJ00,8718.0
468,A052130,A019149,2016JJ00,9532.0
469,A052130,A019149,2017JJ00,9838.0
470,A052130,A019149,2018JJ00,10389.0
471,A052130,A019149,2019JJ00,11205.0
472,A052130,A019149,2020JJ00,11886.0
473,A052130,A019149,2021JJ00,12746.0
474,A052130,A019149,2022JJ00,14875.0
475,A052130,A019150,1998JJ00,3493.0
476,A052130,A019150,1999JJ00,3967.0
477,A052130,A019150,2000JJ00,4317.0
478,A052130,A019150,2001JJ00,4897.0
479,A052130,A019150,2002JJ00,5081.0
480,A052130,A019150,2003JJ00,5296.0
481,A052130,A019150,2004JJ00,5022.0
482,A052130,A019150,2005JJ00,5439.0
483,A052130,A019150,2006JJ00,5013.0
484,A052130,A019150,2007JJ00,6336.0
485,A052130,A019150,2008JJ00,7295.0
486,A052130,A019150,2009JJ00,8094.0
487,A052130,A019150,2010JJ00,8292.0
488,A052130,A019150,2011JJ00,8009.0
489,A052130,A019150,2012JJ00,7450.0
490,A052130,A019150,2013JJ00,6963.0
491,A052130,A019150,2014JJ00,6881.0
492,A052130,A019150,2015JJ00,6667.0
493,A052130,A019150,2016JJ00,7436.0
494,A052130,A019150,2017JJ00,7686.0
495,A052130,A019150,2018JJ00,8122.0
496,A052130,A019150,2019JJ00,8737.0
497,A052130,A019150,2020JJ00,9690.0
498,A052130,A019150,2021JJ00,10334.0
499,A052130,A019150,2022JJ00,11802.0
500,A052130,A019151,1998JJ00,3436.0
501,A052130,A019151,1999JJ00,3901.0
502,A052130,A019151,2000JJ00,4233.0
503,A052130,A019151,2001JJ00,4789.0
504,A052130,A019151,2002JJ00,4953.0
505,A052130,A019151,2003JJ00,5149.0
506,A052130,A019151,2004JJ00,4862.0
507,A052130,A019151,2005JJ00,5291.0
508,A052130,A019151,2006JJ00,4851.0
509,A052130,A019151,2007JJ00,6170.0
510,A052130,A019151,2008JJ00,7123.0
511,A052130,A019151,2009JJ00,7923.0
512,A052130,A019151,2010JJ00,8112.0
513,A052130,A019151,2011JJ00,7826.0
514,A052130,A019151,2012JJ00,7260.0
515,A052130,A019151,2013JJ00,6789.0
516,A052130,A019151,2014JJ00,6701.0
517,A052130,A019151,2015JJ00,6667.0
518,A052130,A019151,2016JJ00,7436.0
519,A052130,A019151,2017JJ00,7686.0
520,A052130,A019151,2018JJ00,8122.0
521,A052130,A019151,2019JJ00,8737.0
522,A052130,A019151,2020JJ00,9690.0
523,A052130,A019151,2021JJ00,10334.0
524,A052130,A019151,2022JJ00,11802.0
525,A052130,A019152,1998JJ00,57.0
526,A052130,A019152,1999JJ00,66.0
527,A052130,A019152,2000JJ00,84.0
528,A052130,A019152,2001JJ00,107.0
529,A052130,A019152,2002JJ00,128.0
530,A052130,A019152,2003JJ00,147.0
531,A052130,A019152,2004JJ00,160.0
532,A052130,A019152,2005JJ00,148.0
533,A052130,A019152,2006JJ00,162.0
534,A052130,A019152,2007JJ00,166.0
535,A052130,A019152,2008JJ00,172.0
536,A052130,A019152,2009JJ00,171.0
537,A052130,A019152,2010JJ00,180.0
538,A052130,A019152,2011JJ00,183.0
539,A052130,A019152,2012JJ00,190.0
540,A052130,A019152,2013JJ00,174.0
541,A052130,A019152,2014JJ00,180.0
542,A052130,A019152,2015JJ00,0.0
543,A052130,A019152,2016JJ00,0.0
544,A052130,A019152,2017JJ00,0.0
545,A052130,A019152,2018JJ00,0.0
546,A052130,A019152,2019JJ00,0.0
547,A052130,A019152,2020JJ00,0.0
548,A052130,A019152,2021JJ00,0.0
549,A052130,A019152,2022JJ00,0.0
550,A052130,A019154,1998JJ00,57.0
551,A052130,A019154,1999JJ00,66.0
552,A052130,A019154,2000JJ00,84.0
553,A052130,A019154,2001JJ00,107.0
554,A052130,A019154,2002JJ00,128.0
555,A052130,A019154,2003JJ00,147.0
556,A052130,A019154,2004JJ00,160.0
557,A052130,A019154,2005JJ00,148.0
558,A052130,A019154,2006JJ00,162.0
559,A052130,A019154,2007JJ00,166.0
560,A052130,A019154,2008JJ00,172.0
561,A052130,A019154,2009JJ00,171.0
562,A052130,A019154,2010JJ00,180.0
563,A052130,A019154,2011JJ00,183.0
564,A052130,A019154,2012JJ00,190.0
565,A052130,A019154,2013JJ00,174.0
566,A052130,A019154,2014JJ00,180.0
567,A052130,A019154,2015JJ00,0.0
568,A052130,A019154,2016JJ00,0.0
569,A052130,A019154,2017JJ00,0.0
570,A052130,A019154,2018JJ00,0.0
571,A052130,A019154,2019JJ00,0.0
572,A052130,A019154,2020JJ00,0.0
573,A052130,A019154,2021JJ00,0.0
574,A052130,A019154,2022JJ00,0.0
575,A052130,A019155,1998JJ00,0.0
576,A052130,A019155,1999JJ00,0.0
577,A052130,A019155,2000JJ00,0.0
578,A052130,A019155,2001JJ00,0.0
579,A052130,A019155,2002JJ00,0.0
580,A052130,A019155,2003JJ00,0.0
581,A052130,A019155,2004JJ00,0.0
582,A052130,A019155,2005JJ00,0.0
583,A052130,A019155,2006JJ00,
584,A052130,A019155,2007JJ00,
585,A052130,A019155,2008JJ00,
586,A052130,A019155,2009JJ00,
587,A052130,A019155,2010JJ00,
588,A052130,A019155,2011JJ00,
589,A052130,A019155,2012JJ00,
590,A052130,A019155,2013JJ00,
591,A052130,A019155,2014JJ00,
592,A052130,A019155,2015JJ00,
593,A052130,A019155,2016JJ00,
594,A052130,A019155,2017JJ00,
595,A052130,A019155,2018JJ00,
596,A052130,A019155,2019JJ00,
597,A052130,A019155,2020JJ00,
598,A052130,A019155,2021JJ00,
599,A052130,A019155,2022JJ00,
600,A052130,A019156,1998JJ00,
601,A052130,A019156,1999JJ00,
602,A052130,A019156,2000JJ00,
603,A052130,A019156,2001JJ00,
604,A052130,A019156,2002JJ00,
605,A052130,A019156,2003JJ00,
606,A052130,A019156,2004JJ00,
607,A052130,A019156,2005JJ00,
608,A052130,A019156,2006JJ00,0.0
609,A052130,A019156,2007JJ00,0.0
610,A052130,A019156,2008JJ00,0.0
611,A052130,A019156,2009JJ00,0.0
612,A052130,A019156,2010JJ00,0.0
613,A052130,A019156,2011JJ00,0.0
614,A052130,A019156,2012JJ00,0.0
615,A052130,A019156,2013JJ00,0.0
616,A052130,A019156,2014JJ00,0.0
617,A052130,A019156,2015JJ00,0.0
618,A052130,A019156,2016JJ00,0.0
619,A052130,A019156,2017JJ00,0.0
620,A052130,A019156,2018JJ00,0.0
621,A052130,A019156,2019JJ00,0.0
622,A052130,A019156,2020JJ00,0.0
623,A052130,A019156,2021JJ00,0.0
624,A052130,A019156,2022JJ00,0.0
625,A052130,A041720,1998JJ00,907.0
626,A052130,A041720,1999JJ00,1055.0
627,A052130,A041720,2000JJ00,1287.0
628,A052130,A041720,2001JJ00,1464.0
629,A052130,A041720,2002JJ00,1878.0
630,A052130,A041720,2003JJ00,2206.0
631,A052130,A041720,2004JJ00,2390.0
632,A052130,A041720,2005JJ00,2035.0
633,A052130,A041720,2006JJ00,1947.0
634,A052130,A041720,2007JJ00,1402.0
635,A052130,A041720,2008JJ00,1434.0
636,A052130,A041720,2009JJ00,1513.0
637,A052130,A041720,2010JJ00,1633.0
638,A052130,A041720,2011JJ00,1872.0
639,A052130,A041720,2012JJ00,2192.0
640,A052130,A041720,2013JJ00,2267.0
