ID,HerkomstBestemming,Perioden,NettoEnergieverbruik_1,GebruikVanLeidingwater_2,Afval_3,ZwareMetalenNaarWater_4,NutrientenNaarWater_5,KlimaatveranderingBroeikasgassen_6,VerzuringVerzurendeStoffen_7,Ozonlaagaantasting_8,FijnStof_9,OpbrengstMilieubelastingenHeffingen_10,Milieukosten_11,MilieuInvesteringen_12,ArbeidsvolumeWerkzamePersonen_13,BrutoToegevoegdeWaardeBasisprijzen_14,ArbeidsvolumeWerkzamePersonen_15,ProductieBasisprijzen_16,BrutoToegevoegdeWaardeBasisprijzen_17,InvesteringenInVasteActivaBruto_18
87,300002,2010JJ00,1962.0,165.4,16284.0,19.0,6686.0,118566.0,2.8,90.1,8.5,2193.0,,,,,834.0,299370.0,90554.0,14031.0
88,300002,2011JJ00,1859.0,159.6,,,,112383.0,2.8,88.8,8.3,2352.0,,,,,827.0,302296.0,90805.0,16622.0
89,300002,2012JJ00,1867.0,,,,,110007.0,2.8,85.9,7.9,2298.0,,,,,823.0,301794.0,89957.0,15024.0
90,305700,1995JJ00,31.0,,,0.0,85.0,3745.0,0.2,0.0,0.0,54.0,,,,,9.0,17230.0,14454.0,1202.0
91,305700,1996JJ00,37.0,,,0.0,60.0,3712.0,0.2,0.0,0.1,64.0,,,,,10.0,18393.0,15470.0,1172.0
92,305700,1997JJ00,38.0,,,0.0,44.0,3370.0,0.2,0.0,0.1,59.0,,,,,9.0,17480.0,14441.0,2223.0
93,305700,1998JJ00,47.0,,,0.0,27.0,3412.0,0.3,0.0,0.0,70.0,,,,,9.0,16863.0,13614.0,1550.0
94,305700,1999JJ00,43.0,,,0.0,11.0,3143.0,0.2,0.0,0.1,71.0,,,,,9.0,17074.0,13819.0,1124.0
95,305700,2000JJ00,51.0,,,0.0,3.0,3069.0,0.2,0.0,0.1,64.0,,,,,9.0,16517.0,13176.0,1032.0
96,305700,2001JJ00,53.0,,,0.0,2.0,3066.0,0.2,0.3,0.1,66.0,,,,,9.0,17673.0,14115.0,1459.0
97,305700,2002JJ00,55.0,,118.0,0.0,2.0,3244.0,0.2,0.0,0.1,60.0,,,,,9.0,17786.0,14180.0,1576.0
98,305700,2003JJ00,56.0,3.5,240.0,0.0,2.0,3223.0,0.2,0.0,0.1,61.0,,,,,9.0,17137.0,13740.0,1709.0
99,305700,2004JJ00,58.0,3.1,293.0,0.0,2.0,3266.0,0.1,0.0,0.1,29.0,,,,,9.0,18636.0,15222.0,1201.0
100,305700,2005JJ00,56.0,2.9,252.0,0.0,3.0,3298.0,0.1,0.0,0.0,28.0,,,,,7.0,17241.0,12532.0,1375.0
101,305700,2006JJ00,51.0,2.9,207.0,0.0,1.0,3126.0,0.1,0.0,0.0,34.0,,,,,7.0,16939.0,12201.0,2032.0
102,305700,2007JJ00,48.0,2.8,153.0,0.0,0.0,3031.0,0.1,0.0,0.1,26.0,,,,,7.0,16890.0,12183.0,1585.0
103,305700,2008JJ00,47.0,3.0,111.0,0.0,0.0,3028.0,0.1,0.0,0.1,29.0,,,,,7.0,17928.0,13174.0,2074.0
104,305700,2009JJ00,44.0,2.6,127.0,0.0,0.0,2843.0,0.1,0.0,0.0,23.0,,,,,7.0,17457.0,12494.0,1976.0
105,305700,2010JJ00,48.0,2.4,147.0,0.0,0.0,2983.0,0.1,0.0,0.0,22.0,,,,,7.0,19317.0,14286.0,2016.0
106,305700,2011JJ00,48.0,2.3,,,,2684.0,0.1,0.0,0.0,23.0,,,,,7.0,18001.0,13325.0,4073.0
107,305700,2012JJ00,42.0,,,,,2692.0,0.1,0.0,0.0,24.0,,,,,7.0,17915.0,13294.0,3509.0
108,307500,1995JJ00,1205.0,,,31.0,6703.0,62612.0,4.8,373.3,21.7,621.0,,,7.0,530.0,901.0,192809.0,49760.0,7448.0
109,307500,1996JJ00,1193.0,,,27.0,6300.0,64111.0,4.5,283.6,16.9,692.0,,,8.0,669.0,891.0,198461.0,50501.0,7795.0
110,307500,1997JJ00,1222.0,,,25.0,6158.0,64585.0,4.2,194.0,14.3,685.0,,,9.0,721.0,900.0,206640.0,51229.0,9013.0
111,307500,1998JJ00,1219.0,,,22.0,6163.0,65197.0,3.7,102.6,13.4,718.0,,,9.0,717.0,907.0,214254.0,52765.0,9022.0
112,307500,1999JJ00,1243.0,,,19.0,5887.0,58985.0,3.3,52.0,12.5,877.0,,,9.0,770.0,904.0,219191.0,54548.0,8804.0
113,307500,2000JJ00,1274.0,,,15.0,4266.0,57320.0,2.7,41.9,12.9,949.0,,,9.0,778.0,902.0,229135.0,58432.0,8850.0
114,307500,2001JJ00,1280.0,,,14.0,3046.0,54081.0,2.8,34.3,12.1,823.0,,,10.0,857.0,901.0,227490.0,58420.0,8146.0
115,307500,2002JJ00,1278.0,,17182.0,14.0,2864.0,54088.0,2.6,19.2,12.3,867.0,,,11.0,981.0,880.0,223136.0,58442.0,8399.0
116,307500,2003JJ00,1332.0,162.7,16956.0,13.0,2931.0,53502.0,2.5,0.1,11.3,894.0,,,12.0,1040.0,849.0,220982.0,57917.0,7899.0
117,307500,2004JJ00,1372.0,159.1,15915.0,13.0,2813.0,53465.0,2.7,0.1,10.7,973.0,,,10.0,920.0,824.0,227350.0,60113.0,7103.0
118,307500,2005JJ00,1422.0,154.4,15699.0,11.0,2984.0,53320.0,2.6,0.0,9.9,1083.0,,,11.0,913.0,804.0,230088.0,61405.0,7594.0
119,307500,2006JJ00,1352.0,155.1,15397.0,10.0,2631.0,52751.0,2.6,0.0,9.8,1301.0,,,11.0,946.0,800.0,237571.0,63527.0,8065.0
120,307500,2007JJ00,1492.0,155.2,15335.0,12.0,2790.0,51909.0,2.5,0.0,9.5,1198.0,,,12.0,1014.0,803.0,248432.0,67282.0,8861.0
121,307500,2008JJ00,1399.0,157.6,15432.0,10.0,2652.0,47361.0,2.3,0.0,8.8,1556.0,,,12.0,1036.0,808.0,245969.0,66292.0,9447.0
122,307500,2009JJ00,1336.0,148.4,13897.0,8.0,2261.0,43531.0,1.8,0.0,8.0,1631.0,1006.0,264.0,13.0,1008.0,787.0,227359.0,60188.0,8551.0
123,307500,2010JJ00,1451.0,147.0,14053.0,7.0,1907.0,46738.0,1.7,0.0,8.0,1869.0,,,13.0,1054.0,766.0,238809.0,63976.0,7298.0
124,307500,2011JJ00,1386.0,142.6,,,,44955.0,1.7,0.0,7.9,1977.0,,,13.0,1057.0,759.0,244762.0,66030.0,8117.0
125,307500,2012JJ00,1411.0,,,,,45118.0,1.8,0.0,7.5,1967.0,,,,,755.0,244469.0,65368.0,7644.0
126,307610,1995JJ00,94.0,,,3.0,2396.0,4358.0,0.2,118.1,2.6,156.0,,,,,145.0,44019.0,10691.0,1331.0
127,307610,1996JJ00,104.0,,,2.0,2285.0,4668.0,0.2,89.1,2.2,173.0,,,,,138.0,44909.0,10797.0,1472.0
128,307610,1997JJ00,99.0,,,2.0,2210.0,4468.0,0.1,60.1,2.0,176.0,,,,,138.0,45254.0,10665.0,1560.0
129,307610,1998JJ00,102.0,,,2.0,2136.0,4589.0,0.1,31.0,1.9,181.0,,,,,137.0,46337.0,10664.0,1458.0
130,307610,1999JJ00,106.0,,,2.0,2062.0,4878.0,0.1,2.0,2.1,231.0,,,,,137.0,46995.0,10916.0,1584.0
131,307610,2000JJ00,103.0,,,1.0,2025.0,4750.0,0.1,1.7,2.1,237.0,,,,,137.0,47411.0,11181.0,1602.0
132,307610,2001JJ00,101.0,,,1.0,1914.0,4610.0,0.1,1.1,2.0,222.0,,,,,137.0,46964.0,11188.0,1611.0
133,307610,2002JJ00,102.0,,9151.0,1.0,1839.0,4765.0,0.1,0.5,2.1,212.0,,,,,133.0,46685.0,11456.0,1660.0
134,307610,2003JJ00,98.0,46.3,9002.0,1.0,1782.0,4678.0,0.1,0.1,2.0,204.0,,,,,128.0,46873.0,11382.0,1650.0
135,307610,2004JJ00,98.0,44.3,7963.0,1.0,1654.0,4658.0,0.1,0.0,2.0,229.0,,,,,123.0,47384.0,11493.0,1638.0
136,307610,2005JJ00,96.0,43.5,7600.0,1.0,1835.0,4586.0,0.1,0.0,2.1,255.0,,,,,120.0,48287.0,11937.0,1780.0
