ID,Periods,Beer_1,Bread_2,Butter_3,Cheese_4,Coffee_5,Eggs_6,Margarine_7,Milk_8,PorkSteak_9,Potatoes_10,Rice_11,StewingSteak_12,Sugar_13,Tea_14
115,1915JJ00,,,,0.52,0.31,,0.24,,,,0.14,,0.25,0.08
116,1916JJ00,,,,0.5,0.35,,0.26,,,,0.16,,0.26,0.09
117,1917JJ00,,,,0.52,0.42,,0.28,,,,0.16,,0.27,0.1
118,1918JJ00,,,,0.7,0.63,,0.31,,,,0.16,,0.27,0.1
119,1919JJ00,,,,0.79,0.59,,0.34,,,,0.25,,0.33,0.11
120,1920JJ00,,,,0.88,0.52,,0.38,,,,0.44,,0.47,0.11
121,1921JJ00,,0.12,0.35,0.95,0.4,0.07,0.33,0.1,1.11,,0.22,1.17,0.33,0.09
122,1922JJ00,,0.1,0.29,0.78,0.4,0.05,0.29,0.08,1.01,0.05,0.18,0.99,0.27,0.09
123,1923JJ00,,0.09,0.29,0.77,0.41,0.04,0.29,0.07,0.94,0.03,0.16,0.85,0.31,0.12
124,1924JJ00,,0.09,0.3,0.78,0.46,0.04,0.27,0.07,0.94,0.05,0.16,0.88,0.3,0.13
125,1925JJ00,,0.1,0.26,0.72,0.53,0.04,0.27,0.08,0.94,0.04,0.17,0.87,0.25,0.15
126,1926JJ00,,0.1,0.26,0.72,0.53,0.04,0.27,0.07,0.84,0.04,0.17,0.81,0.23,0.15
127,1927JJ00,,0.1,0.27,0.67,0.5,0.04,0.25,0.07,0.77,0.05,0.17,0.76,0.24,0.14
128,1928JJ00,,0.1,0.27,0.72,0.49,0.04,0.25,0.07,0.75,0.05,0.17,0.77,0.23,0.13
129,1929JJ00,,0.09,0.27,0.71,0.49,0.04,0.25,0.07,0.86,0.04,0.17,0.79,0.21,0.13
130,1930JJ00,,0.09,0.23,0.64,0.45,0.03,0.25,0.06,0.84,0.04,0.16,0.84,0.27,0.13
131,1931JJ00,,0.07,0.19,0.55,0.4,0.03,0.23,0.05,0.65,0.04,0.15,0.72,0.18,0.12
132,1932JJ00,,0.07,0.17,0.41,0.37,0.02,0.2,0.05,0.49,0.04,0.14,0.55,0.18,0.11
133,1933JJ00,,0.07,0.21,0.39,0.37,0.02,0.26,0.05,0.53,0.03,0.12,0.53,0.2,0.11
134,1934JJ00,,0.07,0.2,0.35,0.35,0.02,0.26,0.05,0.53,0.03,0.11,0.62,0.22,0.11
135,1935JJ00,,0.08,0.2,0.29,0.33,0.02,0.26,0.05,0.5,0.03,0.1,0.53,0.21,0.1
136,1936JJ00,,0.08,0.2,0.31,0.31,0.02,0.25,0.05,0.49,0.02,0.1,0.52,0.21,0.1
137,1937JJ00,,0.08,0.2,0.32,0.3,0.02,0.25,0.05,0.54,0.02,0.11,0.6,0.21,0.11
138,1938JJ00,,0.08,0.19,0.34,0.3,0.02,0.25,0.05,0.57,0.03,0.11,0.62,0.21,0.11
139,1939JJ00,,0.08,0.19,0.34,0.3,0.02,0.26,0.05,0.56,0.03,0.11,0.59,0.21,0.11
140,1940JJ00,,0.08,0.22,0.44,0.34,0.03,0.29,0.06,0.62,0.03,0.13,0.66,0.24,0.12
141,1941JJ00,,0.08,0.28,0.69,,0.04,0.3,0.07,0.75,0.04,0.15,0.74,0.25,0.13
142,1942JJ00,,,0.29,0.77,,0.05,0.31,0.08,0.82,0.04,0.15,0.73,0.25,
143,1943JJ00,,,0.29,0.77,,0.05,0.31,0.08,0.82,0.04,0.17,0.73,0.25,
144,1944JJ00,,,0.29,0.77,,0.05,0.31,0.08,0.82,0.04,0.18,0.73,0.25,
145,1945JJ00,,,0.29,0.8,0.36,0.07,0.31,0.08,0.82,0.05,0.23,0.73,0.25,
146,1946JJ00,,,0.29,0.87,0.46,0.1,0.31,0.08,1.06,0.05,0.23,0.91,0.25,0.18
147,1947JJ00,,,0.3,0.88,0.69,0.08,0.31,0.09,1.17,0.05,0.23,0.98,0.25,0.21
