ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20162018_7,k_31122018_8,k_31122017_9,k_31122016_10,Gemiddelde20162018_11,k_31122018_12,k_31122017_13,k_31122016_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122017_25,PersonenMetBijstand31122018_26,WajongUitkeringen31122017_27,InstroomWerkregelingWajong20122014_28,InstroomWachtlijstWSW20122014_29,InstroomWajongExclWSW20122014_30,PersonenMetLoonkostensubs31122018_31,PsychischMedicijngebruikOuders2018_32
230,GM0437,8720,3100,6270,2250,1630,210,50,50,50,50,50,50,50,60,6000,30700,2100,34600,2800,200,200,7,1,11,1110,203,120,10,0,10,10,90
231,GM0589,6410,2270,4230,1630,1160,120,30,30,30,20,30,30,30,30,4100,27900,1500,30100,2100,200,200,5,1,21,670,98,70,0,0,0,0,70
232,GM1734,30130,11060,19510,7930,5770,550,140,140,140,150,170,180,170,170,19200,25700,7700,26900,10500,900,800,25,4,15,3890,718,550,90,50,90,40,500
233,GM0590,20000,6850,14120,5150,3650,460,140,150,140,140,180,180,170,190,14100,26200,5100,26800,6600,600,500,16,3,16,2880,598,350,40,30,40,40,360
234,GM1894,27530,8320,18100,6660,4320,360,80,80,80,80,110,110,120,110,18300,24500,6700,26300,8200,600,600,23,5,20,3440,464,610,40,40,40,70,290
235,GM0765,7660,2380,5550,1870,1280,160,130,120,130,130,150,150,160,150,5600,20700,1900,21000,2300,500,500,6,2,28,1890,574,310,40,30,40,0,120
236,GM1926,35410,14200,21090,9890,7500,720,150,160,150,150,190,190,200,190,20000,28500,9200,29900,13000,900,900,30,5,16,4140,615,670,60,20,60,30,620
237,GM0439,52480,15820,35870,13510,8960,1320,480,440,500,500,510,470,510,540,36200,24300,13200,25700,15000,1900,1600,43,7,16,7770,1857,1430,200,110,200,30,680
238,GM0273,15020,5510,9620,3790,2620,230,50,30,50,60,70,60,80,80,9900,25600,3700,26600,5200,500,500,14,3,25,2110,242,270,20,30,20,30,250
239,GM0177,23530,7900,15560,5730,3940,340,100,90,100,100,120,120,130,120,15500,24600,5600,26200,7500,600,600,21,4,18,2840,485,580,40,30,30,10,330
240,GM0703,14130,5990,9100,3500,2680,200,60,60,60,60,90,90,90,90,8800,24100,3400,25300,5500,400,500,11,3,30,2100,289,160,10,40,10,20,300
241,GM0274,18100,5930,14510,4220,3100,340,130,120,130,130,170,170,170,160,15200,27300,4200,29700,5600,600,600,15,2,11,3220,794,530,80,30,80,40,280
242,GM0339,3330,1450,1990,870,670,40,10,10,10,10,10,10,10,10,1800,26900,800,27200,1300,100,100,3,1,29,340,42,20,10,0,10,0,40
243,GM1667,8340,2730,5450,2020,1360,120,20,20,20,30,30,30,30,30,5200,25700,2000,27700,2500,200,200,9,1,17,1010,114,120,10,30,10,20,110
244,GM0275,26140,8180,20890,6090,4370,550,260,270,240,270,310,300,300,310,21500,24200,5900,25600,7700,1100,1000,21,4,17,5080,1153,1100,80,100,80,50,430
245,GM0340,12240,4660,8260,3010,2230,180,60,50,60,70,80,70,80,80,8100,25700,2800,26500,4300,400,400,10,2,18,2000,297,340,20,10,20,20,190
246,GM0597,28070,8960,20790,7050,4730,630,240,240,240,240,260,280,260,250,20800,25100,6600,26100,7800,900,900,23,5,23,4490,1026,430,70,20,70,30,380
247,GM1742,23510,9940,14310,6280,4490,280,90,90,90,100,120,120,130,120,14200,24400,6000,25100,9400,600,700,19,4,21,3260,504,530,40,30,30,40,440
248,GM0603,32970,10650,26220,7960,5970,860,440,440,440,450,470,470,470,480,24700,25100,6600,25800,7600,1400,1200,25,3,12,6110,1587,580,100,40,100,30,470
249,GM1669,12610,3480,9390,3010,1930,200,70,60,70,80,80,70,80,90,9300,25000,3000,26300,3300,400,300,10,2,18,2100,316,270,10,40,10,20,140
250,GM0957,37610,11010,27960,8590,6030,800,440,440,450,450,500,480,490,520,27500,23200,8200,24400,10000,1800,1600,29,5,17,7180,2017,970,90,230,90,90,550
251,GM0736,28200,9270,18890,7200,4920,510,120,120,130,120,160,160,170,150,18000,30200,6900,32100,8700,700,600,24,4,15,3610,570,300,40,20,40,10,340
252,GM1674,49140,15260,34990,11540,8080,1010,480,460,480,500,580,550,580,620,35100,24200,11500,25500,14200,2100,2000,39,7,18,9130,2134,1050,110,210,100,60,740
253,GM0599,442470,130680,324540,95680,69680,13960,10540,9850,10650,11130,10930,10150,11050,11580,314500,21800,89500,22900,111100,31000,27900,320,54,17,104260,40586,8520,1250,670,1230,360,5240
254,GM0277,930,390,680,260,210,10,0,0,0,0,0,0,0,0,600,40300,200,42200,300,0,0,1,0,2,90,7,0,0,0,0,0,10
255,GM0840,14680,3820,9780,3480,2160,170,80,70,80,80,80,70,80,90,9600,24500,3300,26100,3400,300,300,11,3,26,2460,357,210,30,80,30,10,170
