ID,HerkomstBestemming,Perioden,CO2_1,N2O_2,CH4_3,BroeikasgasEquivalent_4,NOx_5,SO2_6,NH3_7,ZuurEquivalent_8,CFK12Equivalent_9,PM10_10,FijnStofEquivalent_11,CO_12,NMVOS_13
1261,64,1991JJ00,,,,,,,,,4540.0,,,,
1262,64,1992JJ00,,,,,,,,,3347.8,,,,
1263,64,1993JJ00,,,,,,,,,2318.7,,,,
1264,64,1994JJ00,,,,,,,,,1401.8,,,,
1265,64,1995JJ00,,,,,,,,,641.0,,,,
1266,64,1996JJ00,,,,,,,,,587.0,,,,
1267,64,1997JJ00,,,,,,,,,416.2,,,,
1268,64,1998JJ00,,,,,,,,,288.1,,,,
1269,64,1999JJ00,,,,,,,,,231.1,,,,
1270,64,2000JJ00,,,,,,,,,216.1,,,,
1271,64,2001JJ00,,,,,,,,,244.4,,,,
1272,64,2002JJ00,,,,,,,,,218.7,,,,
1273,64,2003JJ00,,,,,,,,,184.4,,,,
1274,64,2004JJ00,,,,,,,,,178.9,,,,
1275,64,2005JJ00,,,,,,,,,173.7,,,,
1276,64,2006JJ00,,,,,,,,,170.2,,,,
1277,64,2007JJ00,,,,,,,,,161.4,,,,
1278,64,2008JJ00,,,,,,,,,154.6,,,,
1279,64,2009JJ00,,,,,,,,,147.6,,,,
1280,65,1990JJ00,,,,,239.0,222.3,143.7,20.6,,,,,
1281,65,1991JJ00,,,,,213.4,195.2,154.4,19.8,,,,,
1282,65,1992JJ00,,,,,206.3,190.3,108.6,16.8,,,,,
1283,65,1993JJ00,,,,,188.2,182.7,127.9,17.3,,,,,
1284,65,1994JJ00,,,,,162.7,170.8,120.4,16.0,,,,,
1285,65,1995JJ00,,,,,171.1,169.8,110.5,15.5,,,,,
1286,65,1996JJ00,,,,,202.5,176.2,153.3,18.9,,,,,
1287,65,1997JJ00,,,,,204.0,163.5,181.5,20.2,,,,,
1288,65,1998JJ00,,,,,226.6,155.9,104.6,16.0,,,,,
1289,65,1999JJ00,,,,,243.1,149.2,121.0,17.1,,,,,
1290,65,2000JJ00,,,,,191.6,154.3,109.3,15.4,,,,,
1291,65,2001JJ00,,,,,198.2,151.5,101.4,15.0,,,,,
1292,65,2002JJ00,,,,,202.5,152.2,94.7,14.7,,,,,
1293,65,2003JJ00,,,,,203.7,147.2,90.6,14.4,,,,,
1294,65,2004JJ00,,,,,233.6,154.3,81.3,14.7,,,,,
1295,65,2005JJ00,,,,,225.1,155.4,81.5,14.5,,,,,
1296,65,2006JJ00,,,,,217.2,158.1,80.9,14.4,,,,,
1297,65,2007JJ00,,,,,187.5,147.0,81.3,13.4,,,,,
1298,65,2008JJ00,,,,,165.0,118.1,73.7,11.6,,,,,
1299,65,2009JJ00,,,,,129.9,99.0,74.3,10.3,,,,,
1300,66,1990JJ00,,,,,,,,,,77.5,77.5,1131.9,464.4
1301,66,1991JJ00,,,,,,,,,,73.3,73.3,1114.7,426.4
1302,66,1992JJ00,,,,,,,,,,69.7,69.7,1131.3,402.5
1303,66,1993JJ00,,,,,,,,,,65.8,65.8,1091.3,377.0
1304,66,1994JJ00,,,,,,,,,,61.8,61.8,1034.7,353.7
1305,66,1995JJ00,,,,,,,,,,57.5,57.5,915.7,326.0
1306,66,1996JJ00,,,,,,,,,,52.3,52.3,896.8,305.2
1307,66,1997JJ00,,,,,,,,,,49.2,49.2,843.3,273.3
1308,66,1998JJ00,,,,,,,,,,48.0,48.0,823.3,258.2
1309,66,1999JJ00,,,,,,,,,,47.4,47.4,795.4,244.4
1310,66,2000JJ00,,,,,,,,,,47.7,47.7,780.2,234.0
1311,66,2001JJ00,,,,,,,,,,46.1,46.1,758.3,210.0
1312,66,2002JJ00,,,,,,,,,,45.5,45.5,731.1,198.6
1313,66,2003JJ00,,,,,,,,,,43.5,43.5,709.8,186.0
1314,66,2004JJ00,,,,,,,,,,42.7,42.7,718.2,176.2
1315,66,2005JJ00,,,,,,,,,,42.3,42.3,688.9,181.0
1316,66,2006JJ00,,,,,,,,,,42.0,42.0,681.0,172.2
1317,66,2007JJ00,,,,,,,,,,40.9,40.9,660.2,168.8
1318,66,2008JJ00,,,,,,,,,,39.0,39.0,664.9,168.1
1319,66,2009JJ00,,,,,,,,,,36.9,36.9,656.2,160.2
1320,67,1990JJ00,176899.0,65.6,1216.4,229702.0,881.8,386.0,266.2,46.9,5878.0,85.7,85.7,1224.1,485.3
1321,67,1991JJ00,182803.0,66.7,1229.9,235326.0,861.5,321.3,277.0,45.1,4540.0,81.6,81.6,1213.7,448.6
1322,67,1992JJ00,182035.0,69.9,1204.9,235683.0,863.2,320.2,231.2,42.4,3347.8,78.2,78.2,1226.5,423.0
1323,67,1993JJ00,187118.0,71.2,1193.7,241509.0,851.1,315.4,250.5,43.1,2318.7,74.2,74.2,1192.6,398.0
1324,67,1994JJ00,188388.0,69.5,1176.9,243195.0,824.4,306.5,227.8,40.9,1401.8,70.7,70.7,1142.8,375.3
1325,67,1995JJ00,193231.0,70.0,1150.6,247344.0,812.9,306.3,214.6,39.9,641.0,66.2,66.2,1028.9,348.1
1326,67,1996JJ00,201293.0,69.4,1118.6,256293.0,815.0,236.2,216.6,37.8,587.0,60.6,60.6,1000.2,324.5
1327,67,1997JJ00,196887.0,68.7,1070.3,251456.0,807.0,225.1,215.9,37.3,416.2,57.8,57.8,954.4,293.0
1328,67,1998JJ00,199764.0,67.4,1034.4,253812.0,822.4,224.6,195.1,36.4,288.1,56.8,56.8,923.0,275.1
1329,67,1999JJ00,196468.0,65.3,985.6,244078.0,839.9,232.3,197.5,37.1,231.1,57.2,57.2,897.0,261.0
1330,67,2000JJ00,198443.0,62.9,942.6,243526.0,793.0,288.4,180.3,36.9,216.1,57.7,57.7,880.3,250.2
1331,67,2001JJ00,203633.0,59.1,920.4,244644.0,782.8,283.5,171.0,35.9,244.4,55.4,55.4,851.7,224.7
1332,67,2002JJ00,203740.0,56.4,878.5,243793.0,765.9,271.8,166.2,34.9,218.7,54.0,54.0,816.8,211.7
1333,67,2003JJ00,207287.0,55.3,851.7,244694.0,772.9,271.7,162.1,34.8,184.4,52.1,52.1,792.8,198.3
1334,67,2004JJ00,209699.0,56.9,838.8,247166.0,771.8,277.9,158.8,34.8,178.9,51.0,51.0,796.3,187.4
1335,67,2005JJ00,206417.0,56.5,821.3,243070.0,767.9,281.7,159.0,34.9,173.7,50.9,50.9,770.1,192.1
1336,67,2006JJ00,202050.0,56.0,802.3,238449.0,731.5,267.4,158.5,33.6,170.2,49.4,49.4,759.4,182.1
1337,67,2007JJ00,204281.0,50.5,802.9,239177.0,732.6,271.6,158.8,33.8,161.4,49.2,49.2,742.0,179.2
1338,67,2008JJ00,207436.0,38.6,813.8,238896.0,686.8,211.8,151.2,30.4,154.6,46.6,46.6,743.6,178.0
1339,67,2009JJ00,202925.0,38.6,804.2,234189.0,641.7,192.2,151.8,28.9,147.6,43.5,43.5,731.7,169.2
