ID,Voertuigtype,Perioden,KooldioxideCO2_1,DistikstofoxideN2O_2,MethaanCH4_3,KoolmonoxideCO_4,NMVOS_5,StikstofoxidenNOx_6,RoetElementalCarbon_7,PM10TotaalFijnStof_8,PM10VerbrandingFijnStof_9,PM10SlijtageFijnStof_10,PM25TotaalFijnStof_11,PM25VerbrandingFijnStof_12,PM25SlijtageFijnStof_13,AmmoniakNH3_14,ZwaveldioxideSO2_15,KooldioxideCO2_16,DistikstofoxideN2O_17,MethaanCH4_18,KoolmonoxideCO_19,NMVOS_20,StikstofoxidenNOx_21,RoetElementalCarbon_22,PM10TotaalFijnStof_23,PM10VerbrandingFijnStof_24,PM10SlijtageFijnStof_25,PM25TotaalFijnStof_26,PM25VerbrandingFijnStof_27,PM25SlijtageFijnStof_28,AmmoniakNH3_29,ZwaveldioxideSO2_30
47,A018943,2002JJ00,18356.0,0.67,2.11,309.68,29.1,53.15,1.62,4.03,2.49,1.54,2.75,2.49,0.26,4.97,0.54,,,,,,,,,,,,,,,
48,A018943,2003JJ00,18574.0,0.65,2.1,313.07,25.9,49.53,1.56,3.9,2.34,1.56,2.6,2.34,0.26,5.11,0.32,,,,,,,,,,,,,,,
49,A018943,2004JJ00,19053.0,0.64,2.08,314.88,23.59,46.85,1.53,3.84,2.24,1.6,2.51,2.24,0.27,5.27,0.34,193.0,0.006,0.021,3.18,0.24,0.47,0.015,0.039,0.023,0.016,0.025,0.023,0.003,0.053,0.003
50,A018943,2005JJ00,18457.0,0.65,1.85,303.48,20.2,43.8,1.41,3.65,2.07,1.58,2.33,2.07,0.26,4.99,0.18,187.0,0.007,0.019,3.08,0.21,0.44,0.014,0.037,0.021,0.016,0.024,0.021,0.003,0.051,0.002
51,A018943,2006JJ00,18314.0,0.65,1.66,284.42,17.57,40.47,1.28,3.49,1.88,1.61,2.14,1.88,0.27,4.6,0.19,184.0,0.007,0.017,2.86,0.18,0.41,0.013,0.035,0.019,0.016,0.022,0.019,0.003,0.046,0.002
52,A018943,2007JJ00,18310.0,0.65,1.48,269.55,15.31,37.35,1.13,3.31,1.66,1.65,1.94,1.66,0.27,4.28,0.19,181.0,0.006,0.015,2.66,0.15,0.37,0.011,0.033,0.016,0.016,0.019,0.016,0.003,0.042,0.002
53,A018943,2008JJ00,17818.0,0.64,1.28,248.38,12.87,33.26,0.93,3.03,1.39,1.64,1.66,1.39,0.27,3.87,0.11,178.0,0.006,0.013,2.48,0.13,0.33,0.009,0.03,0.014,0.016,0.017,0.014,0.003,0.039,0.001
54,A018943,2009JJ00,17547.0,0.63,1.07,233.96,10.51,29.31,0.73,2.77,1.11,1.66,1.39,1.11,0.27,3.55,0.1,175.0,0.006,0.011,2.33,0.1,0.29,0.007,0.028,0.011,0.016,0.014,0.011,0.003,0.035,0.001
55,A018943,2010JJ00,17416.0,0.63,1.16,223.24,10.65,28.82,0.62,2.63,0.97,1.66,1.24,0.97,0.28,3.46,0.1,172.0,0.006,0.011,2.2,0.11,0.28,0.006,0.026,0.01,0.016,0.012,0.01,0.003,0.034,0.001
56,A018943,2011JJ00,17202.0,0.62,1.28,210.05,11.01,28.48,0.49,2.47,0.81,1.66,1.09,0.81,0.28,3.36,0.1,169.0,0.006,0.013,2.06,0.11,0.28,0.005,0.024,0.008,0.016,0.011,0.008,0.003,0.033,0.001
57,A018943,2012JJ00,16990.0,0.61,1.35,198.98,11.06,28.47,0.42,2.37,0.71,1.66,0.99,0.71,0.28,3.25,0.1,166.0,0.006,0.013,1.95,0.11,0.28,0.004,0.023,0.007,0.016,0.01,0.007,0.003,0.032,0.001
58,A018943,2013JJ00,16830.0,0.6,1.4,192.42,11.15,28.42,0.36,2.3,0.64,1.66,0.92,0.64,0.28,3.19,0.1,165.0,0.006,0.014,1.88,0.11,0.28,0.004,0.023,0.006,0.016,0.009,0.006,0.003,0.031,0.001
59,A018943,2014JJ00,16781.0,0.6,1.46,189.63,11.16,28.29,0.31,2.25,0.58,1.67,0.86,0.58,0.28,3.16,0.1,163.0,0.006,0.014,1.85,0.11,0.28,0.003,0.022,0.006,0.016,0.008,0.006,0.003,0.031,0.001
60,A018943,2015JJ00,16893.0,0.6,1.51,185.27,11.31,28.0,0.27,2.22,0.52,1.7,0.8,0.52,0.28,3.13,0.1,162.0,0.006,0.014,1.78,0.11,0.27,0.003,0.021,0.005,0.016,0.008,0.005,0.003,0.03,0.001
61,A018943,2016JJ00,17232.0,0.61,1.55,185.66,11.6,28.43,0.25,2.25,0.49,1.75,0.79,0.49,0.29,3.16,0.1,162.0,0.006,0.015,1.74,0.11,0.27,0.002,0.021,0.005,0.016,0.007,0.005,0.003,0.03,0.001
62,A018943,2017JJ00,17341.0,0.61,1.57,183.27,11.66,28.27,0.23,2.24,0.46,1.77,0.76,0.46,0.29,3.16,0.1,161.0,0.006,0.015,1.7,0.11,0.26,0.002,0.021,0.004,0.016,0.007,0.004,0.003,0.029,0.001
63,A018943,2018JJ00,17487.0,0.62,1.58,187.32,11.69,28.79,0.23,2.25,0.45,1.8,0.75,0.45,0.3,3.17,0.11,160.0,0.006,0.014,1.71,0.11,0.26,0.002,0.021,0.004,0.016,0.007,0.004,0.003,0.029,0.001
