ID,Perioden,InkomstenTotaal_1,Belastingen_2,WettelijkeSocialeVerzekeringspremies_3,VerkopenVanGoederenEnDiensten_4,Overig_5,UitgavenTotaal_6,BeloningVanWerknemers_7,AankopenGoederenEnDiensten_8,Uitkeringen_9,BrutoInvesteringenInVasteActiva_10,Overig_11,Overheidssaldo_12,OverheidsschuldEMU_13,Overheidsconsumptie_14,Inkomsten_15,Uitgaven_16,Overheidssaldo_17,InkomstenTotaal_18,Belastingen_19,WettelijkeSocialeVerzekeringspremies_20,VerkopenVanGoederenEnDiensten_21,Overig_22,UitgavenTotaal_23,BeloningVanWerknemers_24,AankopenGoederenEnDiensten_25,Uitkeringen_26,BrutoInvesteringenInVasteActiva_27,Overig_28,Overheidssaldo_29,OverheidsschuldEMU_30,Overheidsconsumptie_31,BelastingEnPremiedruk_32,Inkomsten_33,Uitgaven_34,Overheidssaldo_35,VolumegroeiOverheidsconsumptie_36,Arbeidsvolume_37
70,2012KW02,69917.0,37464.0,20882.0,4294.0,7277.0,79495.0,16750.0,10484.0,37140.0,5927.0,9194.0,-9578.0,412021.0,44256.0,69799.0,75819.0,-6020.0,43.1,21.6,14.1,2.7,4.7,47.0,9.3,6.7,21.1,3.7,6.3,-4.0,63.9,26.1,35.7,43.2,46.9,-3.7,-1.6,
71,2012KW03,62397.0,31366.0,20895.0,4172.0,5964.0,72601.0,13487.0,10339.0,33291.0,6253.0,9231.0,-10204.0,418274.0,40405.0,68567.0,76213.0,-7646.0,42.9,21.4,14.1,2.7,4.7,47.2,9.3,6.7,21.2,3.7,6.2,-4.3,65.0,26.3,35.5,42.7,47.4,-4.8,-1.6,
72,2012KW04,75087.0,32816.0,29510.0,4708.0,8053.0,77289.0,16453.0,11480.0,34206.0,6237.0,8913.0,-2202.0,427767.0,44727.0,70995.0,76332.0,-5337.0,43.2,21.0,14.7,2.7,4.8,47.1,9.3,6.6,21.4,3.7,6.0,-3.9,66.3,26.3,35.7,43.8,47.1,-3.3,-1.1,
73,2012JJ00,278801.0,135482.0,94844.0,17371.0,31104.0,303865.0,60113.0,42608.0,138117.0,24158.0,38869.0,-25064.0,427767.0,169875.0,,,,43.2,21.0,14.7,2.7,4.8,47.1,9.3,6.6,21.4,3.7,6.0,-3.9,66.3,26.3,35.7,,,,-1.3,1029.0
74,2013KW01,74325.0,34584.0,24515.0,4121.0,11105.0,71934.0,13618.0,10180.0,34356.0,5685.0,8095.0,2391.0,430863.0,41321.0,72170.0,72959.0,-789.0,43.6,21.1,14.8,2.7,5.0,46.6,9.3,6.6,21.5,3.7,5.5,-3.0,66.7,26.4,35.9,44.3,44.8,-0.5,0.4,
75,2013KW02,72321.0,37997.0,22349.0,4162.0,7813.0,79713.0,16806.0,10291.0,38126.0,6042.0,8448.0,-7392.0,442671.0,44407.0,71982.0,75910.0,-3928.0,43.9,21.1,15.0,2.7,5.1,46.6,9.3,6.5,21.6,3.7,5.4,-2.7,68.4,26.4,36.1,44.3,46.7,-2.4,0.1,
76,2013KW03,65312.0,33057.0,22324.0,4105.0,5826.0,73490.0,13563.0,10280.0,34404.0,6103.0,9140.0,-8178.0,441933.0,40576.0,71822.0,77243.0,-5421.0,44.1,21.3,15.2,2.6,5.0,46.5,9.3,6.5,21.7,3.7,5.3,-2.4,68.0,26.3,36.5,44.0,47.4,-3.3,-0.2,
77,2013KW04,74581.0,33469.0,28184.0,4642.0,8286.0,76899.0,16206.0,11094.0,34987.0,5927.0,8685.0,-2318.0,442543.0,43954.0,70748.0,76217.0,-5469.0,43.9,21.3,14.9,2.6,5.1,46.3,9.2,6.4,21.7,3.6,5.3,-2.4,67.8,26.1,36.2,43.1,46.4,-3.3,-0.7,
78,2013JJ00,286539.0,139107.0,97372.0,17030.0,33030.0,302036.0,60193.0,41845.0,141873.0,23757.0,34368.0,-15497.0,442543.0,170258.0,,,,43.9,21.3,14.9,2.6,5.1,46.3,9.2,6.4,21.7,3.6,5.3,-2.4,67.8,26.1,36.2,,,,-0.1,1012.7
79,2014KW01,73735.0,36577.0,24581.0,4120.0,8457.0,75788.0,13570.0,10347.0,34885.0,5717.0,11269.0,-2053.0,440732.0,41603.0,71605.0,76565.0,-4960.0,43.7,21.6,14.9,2.6,4.6,46.8,9.2,6.4,21.8,3.6,5.7,-3.0,67.4,26.1,36.5,43.5,46.5,-3.0,0.3,
