ID,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1,VolumeIndexcijfers_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,PrijsmutatieTOVVoorafgaandJaar_5,WaardeIndexcijfers_6,WaardemutatieTOVVoorafgaandJaar_7
23,T001102,2021JJ00,124794,119.1,8.5,113.5,-1.2,135.2,7.2
24,T001102,2022JJ00,127306,119.6,0.4,115.3,1.6,137.9,2.0
25,A041723,1998JJ00,33875,58.2,,72.7,,42.3,
26,A041723,1999JJ00,36195,60.0,3.2,75.3,3.6,45.2,6.8
27,A041723,2000JJ00,38583,61.5,2.5,78.3,4.0,48.2,6.6
28,A041723,2001JJ00,43225,64.4,4.8,83.7,6.9,54.0,12.0
29,A041723,2002JJ00,48745,68.0,5.5,89.5,6.9,60.8,12.8
30,A041723,2003JJ00,52582,71.2,4.7,92.2,3.1,65.6,7.9
31,A041723,2004JJ00,54700,74.2,4.3,92.0,-0.3,68.3,4.0
32,A041723,2005JJ00,56571,76.5,3.0,92.3,0.4,70.6,3.4
33,A041723,2006JJ00,59152,78.7,2.9,93.8,1.6,73.8,4.6
34,A041723,2007JJ00,62404,82.3,4.5,94.7,1.0,77.9,5.5
35,A041723,2008JJ00,66592,85.4,3.8,97.3,2.8,83.1,6.7
36,A041723,2009JJ00,70213,89.2,4.4,98.3,1.0,87.6,5.4
37,A041723,2010JJ00,73402,92.6,3.9,98.9,0.6,91.6,4.5
38,A041723,2011JJ00,75593,97.5,5.2,96.8,-2.1,94.4,3.0
39,A041723,2012JJ00,78309,99.1,1.6,98.7,2.0,97.7,3.6
40,A041723,2013JJ00,78957,100.7,1.6,97.9,-0.8,98.6,0.8
41,A041723,2014JJ00,80116,101.3,0.6,98.7,0.9,100.0,1.5
42,A041723,2015JJ00,80118,100.0,-1.3,100.0,1.3,100.0,0.0
43,A041723,2016JJ00,82021,103.0,3.0,99.4,-0.6,102.4,2.4
44,A041723,2017JJ00,83932,105.3,2.2,99.5,0.1,104.8,2.3
45,A041723,2018JJ00,87334,107.4,2.0,101.5,2.0,109.0,4.1
46,A041723,2019JJ00,92804,111.1,3.4,104.2,2.8,115.8,6.3
47,A041723,2020JJ00,100538,110.4,-0.7,113.7,9.0,125.5,8.3
48,A041723,2021JJ00,107943,120.2,8.9,112.1,-1.4,134.7,7.4
49,A041723,2022JJ00,108279,119.0,-1.0,113.6,1.4,135.2,0.3
50,A041724,1998JJ00,9710,56.8,,66.8,,37.9,
51,A041724,1999JJ00,10249,56.9,0.2,70.4,5.4,40.0,5.6
52,A041724,2000JJ00,10806,57.0,0.3,74.0,5.1,42.2,5.4
53,A041724,2001JJ00,12245,58.6,2.7,81.6,10.3,47.8,13.3
54,A041724,2002JJ00,13791,61.8,5.4,87.2,6.8,53.9,12.6
55,A041724,2003JJ00,14691,64.3,4.1,89.2,2.4,57.4,6.5
56,A041724,2004JJ00,15628,68.3,6.3,89.3,0.1,61.0,6.4
57,A041724,2005JJ00,16302,71.5,4.5,89.1,-0.2,63.7,4.3
58,A041724,2006JJ00,17058,73.8,3.2,90.3,1.3,66.6,4.6
59,A041724,2007JJ00,18086,77.0,4.3,91.8,1.6,70.6,6.0
60,A041724,2008JJ00,19719,81.1,5.4,95.0,3.5,77.0,9.0
61,A041724,2009JJ00,21260,86.3,6.4,96.2,1.3,83.0,7.8
