ID,Klimaatsectoren,EmissiesNaarLucht,Perioden,EmissieBroeikasgassen_1
429,A050124  ,A044110  ,1999JJ00,0.1
430,A050124  ,A044110  ,2000JJ00,0.1
431,A050124  ,A044110  ,2001JJ00,0.1
432,A050124  ,A044110  ,2002JJ00,0.1
433,A050124  ,A044110  ,2003JJ00,0.1
434,A050124  ,A044110  ,2004JJ00,0.1
435,A050124  ,A044110  ,2005JJ00,0.1
436,A050124  ,A044110  ,2006JJ00,0.1
437,A050124  ,A044110  ,2007JJ00,0.1
438,A050124  ,A044110  ,2008JJ00,0.1
439,A050124  ,A044110  ,2009JJ00,0.1
440,A050124  ,A044110  ,2010JJ00,0.1
441,A050124  ,A044110  ,2011JJ00,0.1
442,A050124  ,A044110  ,2012JJ00,0.1
443,A050124  ,A044110  ,2013JJ00,0.1
444,A050124  ,A044110  ,2014JJ00,0.1
445,A050124  ,A044110  ,2015JJ00,0.1
446,A050124  ,A044110  ,2016JJ00,0.1
447,A050124  ,A044110  ,2017JJ00,0.1
448,A050124  ,A044110  ,2018JJ00,0.1
449,A050124  ,A044110  ,2019JJ00,0.1
450,A050124  ,A044110  ,2020JJ00,0.1
451,A050124  ,A044110  ,2021JJ00,0.1
452,A050124  ,A044110  ,2022JJ00,0.1
453,A050124  ,A044110  ,2023JJ00,0.1
454,A050124  ,A044110  ,2024JJ00,0.1
455,A050124  ,A044107  ,1990JJ00,0.0
456,A050124  ,A044107  ,1991JJ00,0.0
457,A050124  ,A044107  ,1992JJ00,0.1
458,A050124  ,A044107  ,1993JJ00,0.1
459,A050124  ,A044107  ,1994JJ00,0.1
460,A050124  ,A044107  ,1995JJ00,0.1
461,A050124  ,A044107  ,1996JJ00,0.1
462,A050124  ,A044107  ,1997JJ00,0.1
463,A050124  ,A044107  ,1998JJ00,0.1
464,A050124  ,A044107  ,1999JJ00,0.1
465,A050124  ,A044107  ,2000JJ00,0.1
466,A050124  ,A044107  ,2001JJ00,0.1
467,A050124  ,A044107  ,2002JJ00,0.1
468,A050124  ,A044107  ,2003JJ00,0.1
469,A050124  ,A044107  ,2004JJ00,0.1
470,A050124  ,A044107  ,2005JJ00,0.1
