ID,RegioS,Perioden,InGebruikGenomenWindmolens_1,UitGebruikGenomenWindmolens_2,OpgesteldeWindmolensEindeVanJaar_3,InGebruikGenomenRotoroppervlak_4,UitGebruikGenomenRotoroppervlak_5,OpgesteldRotoroppervlakEindeJaar_6,InGebruikGenomenVermogen_7,UitGebruikGenomenVermogen_8,OpgesteldVermogenEindeJaar_9,GenormaliseerdeProductie_10,NietGenormaliseerdeProductie_11,Productiefactor_12,ProductiePerRotoroppervlak_13,AantalVollasturen_14
144,PV23,1994JJ00,,,,,,,,,,,,,,
145,PV23,1995JJ00,,,,,,,,,,,,,,
146,PV23,1996JJ00,,,,,,,,,,,,,,
147,PV23,1997JJ00,,,,,,,,,,,,,,
148,PV23,1998JJ00,,,,,,,,,,,,,,
149,PV23,1999JJ00,,,,,,,,,,,,,,
150,PV23,2000JJ00,,,,,,,,,,,,,,
151,PV23,2001JJ00,,,,,,,,,,,,,,
152,PV23,2002JJ00,,,,,,,,,,,,,,
153,PV23,2003JJ00,3.0,,3.0,10.0,,10.0,6.0,,6.0,,,,,
154,PV23,2004JJ00,,,3.0,,,10.0,,,6.0,,,,,
155,PV23,2005JJ00,,,3.0,,,10.0,,,6.0,,,,,
156,PV23,2006JJ00,,,3.0,,,10.0,,,6.0,,,,,
157,PV23,2007JJ00,,,3.0,,,10.0,,,6.0,,,,,
158,PV23,2008JJ00,,,3.0,,,10.0,,,6.0,,,,,
159,PV23,2009JJ00,,,3.0,,,10.0,,,6.0,,,,,
160,PV23,2010JJ00,,,3.0,,,10.0,,,6.0,,,,,
161,PV23,2011JJ00,,,3.0,,,10.0,,,6.0,,,,,
162,PV23,2012JJ00,8.0,,11.0,42.0,,52.0,20.0,,26.0,27.0,27.0,21.4,963.0,1878.0
163,PV23,2013JJ00,,,11.0,,,52.0,,,26.0,47.0,50.0,22.0,949.0,1930.0
164,PV23,2014JJ00,,,11.0,,,52.0,,,26.0,48.0,48.0,21.4,920.0,1871.0
165,PV23,2015JJ00,6.0,,17.0,34.0,,87.0,17.0,,43.0,58.0,64.0,22.1,954.0,1932.0
166,PV23,2016JJ00,,,17.0,,,87.0,,,43.0,70.0,68.0,18.3,787.0,1604.0
167,PV23,2017JJ00,,,17.0,,,87.0,,,43.0,73.0,80.0,21.5,921.0,1882.0
168,PV23,2018JJ00,,0.0,17.0,,0.0,87.0,,0.0,43.0,67.0,71.0,18.9,812.0,1660.0
169,PV23,2019JJ00,8.0,0.0,25.0,67.0,0.0,154.0,19.0,0.0,61.0,86.0,92.0,23.1,941.0,2022.0
170,PV23,2020JJ00,2.0,0.0,27.0,15.0,0.0,169.0,5.0,0.0,66.0,140.0,153.0,26.6,917.0,2339.0
171,PV23,2021JJ00,2.0,0.0,29.0,29.0,0.0,198.0,8.0,0.0,74.0,141.0,135.0,22.3,751.0,1956.0
172,PV23,2022JJ00,0.0,0.0,29.0,0.0,0.0,198.0,0.0,0.0,74.0,149.0,155.0,23.7,778.0,2078.0
173,PV23,2023JJ00,3.0,0.0,32.0,44.0,0.0,243.0,13.0,0.0,87.0,165.0,188.0,27.2,877.0,2383.0
174,PV23,2024JJ00,0.0,0.0,32.0,0.0,0.0,243.0,0.0,0.0,87.0,181.0,190.0,24.8,780.0,2178.0
175,PV24,1990JJ00,1.0,,35.0,0.0,,14.0,0.0,,8.0,,,,,
