ID,Sources,Periods,Total_1,UrbanRoads_2,RuralRoads_3,Motorways_4,Total_5,UrbanRoads_6,RuralRoads_7,Motorways_8,Total_9,UrbanRoads_10,RuralRoads_11,Motorways_12,Total_13,UrbanRoads_14,RuralRoads_15,Motorways_16,Total_17,UrbanRoads_18,RuralRoads_19,Motorways_20,Total_21,UrbanRoads_22,RuralRoads_23,Motorways_24,Total_25,UrbanRoads_26,RuralRoads_27,Motorways_28,Total_29,UrbanRoads_30,RuralRoads_31,Motorways_32,Total_33,UrbanRoads_34,RuralRoads_35,Motorways_36,Total_37,UrbanRoads_38,RuralRoads_39,Motorways_40,Total_41,UrbanRoads_42,RuralRoads_43,Motorways_44,Total_45,UrbanRoads_46,RuralRoads_47,Motorways_48,Total_49,UrbanRoads_50,RuralRoads_51,Motorways_52,Total_53,UrbanRoads_54,RuralRoads_55,Motorways_56,Total_57,UrbanRoads_58,RuralRoads_59,Motorways_60,Total_61,UrbanRoads_62,RuralRoads_63,Motorways_64,Total_65,UrbanRoads_66,RuralRoads_67,Motorways_68
151,Batot,2015JJ00,2.6,1.2,0.6,0.9,0.56,0.2,0.16,0.2,0.55,0.19,0.16,0.2,17.23,3.13,4.51,9.59,0.84,0.22,0.2,0.42,0.02,0.0,0.01,0.01,3958,787,1048,2123.0,0.08,0.02,0.02,0.03,0.04,0.01,0.01,0.02,0.2,0.4,0.1,0.1,0.03,0.07,0.03,0.02,1.0,1.2,0.9,1.1,0.051,0.082,0.038,0.049,0.001,0.002,0.001,0.001,239,297,198,247.0,0.005,0.009,0.004,0.004,0.002,0.005,0.002,0.002
152,Batot,2016JJ00,2.6,1.1,0.6,0.9,0.52,0.18,0.15,0.19,0.51,0.18,0.15,0.19,17.53,3.2,4.64,9.69,0.72,0.19,0.18,0.35,0.02,0.0,0.01,0.01,4105,819,1088,2198.0,0.08,0.03,0.02,0.04,0.04,0.01,0.01,0.02,0.2,0.4,0.1,0.1,0.03,0.06,0.03,0.02,1.0,1.2,0.8,1.1,0.042,0.069,0.032,0.039,0.001,0.002,0.001,0.001,239,297,198,247.0,0.005,0.009,0.004,0.004,0.002,0.005,0.002,0.002
153,Batot,2017JJ00,2.8,1.2,0.7,1.0,0.48,0.17,0.13,0.18,0.47,0.16,0.13,0.18,17.16,3.17,4.6,9.39,0.62,0.17,0.15,0.3,0.03,0.01,0.01,0.01,4240,847,1122,2271.0,0.09,0.03,0.02,0.04,0.04,0.01,0.01,0.02,0.2,0.4,0.1,0.1,0.03,0.06,0.02,0.02,1.0,1.1,0.8,1.0,0.035,0.059,0.027,0.033,0.001,0.002,0.001,0.001,239,296,198,247.0,0.005,0.009,0.004,0.004,0.002,0.005,0.002,0.002
154,Batot,2018JJ00,3.1,1.2,0.8,1.1,0.45,0.16,0.13,0.17,0.45,0.15,0.12,0.17,16.47,3.09,4.47,8.9,0.55,0.15,0.13,0.26,0.03,0.01,0.01,0.01,4412,878,1168,2366.0,0.09,0.03,0.02,0.04,0.04,0.01,0.01,0.02,0.2,0.4,0.1,0.1,0.02,0.05,0.02,0.02,0.9,1.0,0.8,0.9,0.03,0.05,0.023,0.027,0.001,0.002,0.001,0.001,239,296,198,247.0,0.005,0.009,0.004,0.004,0.002,0.005,0.002,0.002
155,Vatot,1980JJ00,22.5,13.3,5.4,3.8,15.31,8.85,3.64,2.81,15.25,8.8,3.64,2.81,51.4,15.35,16.54,19.51,7.82,4.23,2.02,1.58,5.87,2.17,1.8,1.9,2953,1090,906,956.0,0.1,0.03,0.04,0.04,0.61,0.35,0.15,0.11,6.4,13.0,4.4,3.0,4.36,8.57,3.0,2.23,14.7,14.9,13.6,15.5,2.236,4.119,1.664,1.251,1.678,2.112,1.487,1.508,844,1062,747,759.0,0.03,0.03,0.03,0.03,0.175,0.343,0.12,0.089
156,Vatot,1985JJ00,13.5,6.4,3.8,3.4,8.82,4.2,2.45,2.17,8.8,4.18,2.45,2.17,45.41,10.41,16.44,18.55,4.45,1.68,1.45,1.32,3.38,0.95,1.17,1.26,2794,786,963,1045.0,0.1,0.02,0.04,0.04,0.35,0.17,0.1,0.09,4.2,9.0,3.1,2.6,2.72,5.95,2.0,1.66,14.1,14.8,13.5,14.2,1.376,2.388,1.183,1.014,1.047,1.356,0.955,0.968,865,1120,788,800.0,0.03,0.03,0.03,0.03,0.109,0.238,0.08,0.067
157,Vatot,1990JJ00,12.6,4.6,4.1,3.8,5.2,2.58,1.42,1.2,5.19,2.57,1.42,1.19,44.94,12.01,15.15,17.78,2.52,0.94,0.82,0.76,3.21,1.02,1.11,1.08,3017,958,1044,1015.0,0.03,0.01,0.01,0.01,0.21,0.1,0.06,0.05,3.7,6.0,3.5,2.6,1.52,3.35,1.21,0.82,13.2,15.7,12.9,12.1,0.74,1.221,0.701,0.519,0.944,1.328,0.949,0.739,887,1248,891,694.0,0.01,0.013,0.011,0.008,0.061,0.134,0.049,0.033
158,Vatot,1991JJ00,13.2,4.8,4.2,4.2,5.6,2.79,1.47,1.34,5.58,2.78,1.47,1.34,46.58,12.16,15.11,19.3,2.74,1.01,0.86,0.86,3.37,1.05,1.13,1.19,3127,978,1048,1101.0,0.04,0.01,0.01,0.01,0.22,0.11,0.06,0.05,3.7,6.0,3.5,2.6,1.56,3.5,1.23,0.84,13.0,15.3,12.7,12.0,0.763,1.277,0.725,0.537,0.939,1.329,0.949,0.739,872,1234,881,686.0,0.01,0.013,0.011,0.008,0.062,0.14,0.049,0.033
159,Vatot,1992JJ00,13.2,4.6,4.1,4.5,5.46,2.73,1.36,1.37,5.45,2.72,1.36,1.37,46.9,12.13,14.65,20.11,2.69,0.97,0.82,0.9,3.44,1.06,1.11,1.26,3189,982,1034,1173.0,0.04,0.01,0.01,0.01,0.22,0.11,0.05,0.06,3.5,5.7,3.5,2.6,1.47,3.38,1.15,0.79,12.6,15.1,12.3,11.6,0.723,1.204,0.694,0.519,0.924,1.315,0.939,0.731,857,1220,872,678.0,0.01,0.013,0.011,0.008,0.059,0.135,0.046,0.032
160,Vatot,1993JJ00,12.1,4.1,3.7,4.4,4.92,2.45,1.17,1.3,4.91,2.44,1.17,1.3,43.42,11.13,13.05,19.24,2.44,0.86,0.73,0.86,3.27,0.99,1.03,1.25,3036,920,951,1164.0,0.04,0.01,0.01,0.01,0.2,0.1,0.05,0.05,3.4,5.3,3.3,2.5,1.36,3.2,1.06,0.75,12.1,14.6,11.8,11.1,0.679,1.128,0.658,0.496,0.909,1.301,0.929,0.723,843,1208,863,671.0,0.01,0.013,0.011,0.008,0.055,0.128,0.043,0.03
161,Vatot,1994JJ00,11.5,3.8,3.4,4.3,4.68,2.29,1.08,1.3,4.66,2.28,1.08,1.3,41.6,10.48,12.04,19.08,2.34,0.81,0.67,0.86,3.15,0.94,0.95,1.26,3007,897,909,1202.0,0.04,0.01,0.01,0.01,0.19,0.09,0.04,0.05,3.2,5.0,3.2,2.4,1.29,3.04,1.02,0.72,11.5,14.0,11.3,10.5,0.646,1.084,0.631,0.474,0.869,1.252,0.894,0.696,830,1195,853,664.0,0.01,0.013,0.011,0.008,0.052,0.122,0.041,0.029
162,Vatot,1995JJ00,10.8,3.5,3.1,4.3,4.3,2.06,0.97,1.27,4.29,2.05,0.97,1.27,40.5,10.1,11.29,19.12,2.17,0.74,0.6,0.83,2.91,0.85,0.85,1.21,3043,892,886,1265.0,0.04,0.01,0.01,0.02,0.17,0.08,0.04,0.05,2.9,4.6,3.0,2.2,1.15,2.72,0.93,0.66,10.9,13.4,10.8,9.9,0.582,0.977,0.573,0.431,0.782,1.133,0.809,0.63,817,1183,845,658.0,0.01,0.013,0.011,0.008,0.046,0.109,0.037,0.026
163,Vatot,1996JJ00,9.5,2.9,2.6,3.9,3.68,1.71,0.82,1.15,3.67,1.7,0.81,1.15,36.99,9.12,9.9,17.97,1.85,0.62,0.5,0.74,2.05,0.59,0.57,0.89,2878,830,805,1244.0,0.04,0.01,0.01,0.02,0.15,0.07,0.03,0.05,2.6,4.2,2.7,2.0,1.02,2.4,0.85,0.6,10.3,12.9,10.3,9.4,0.517,0.873,0.515,0.387,0.572,0.833,0.595,0.463,803,1170,836,651.0,0.01,0.013,0.011,0.008,0.041,0.096,0.034,0.024
164,Vatot,1997JJ00,8.5,2.6,2.3,3.6,3.22,1.44,0.7,1.07,3.21,1.44,0.7,1.07,35.36,8.61,9.07,17.68,1.62,0.53,0.42,0.67,0.85,0.24,0.23,0.38,2834,803,760,1271.0,0.04,0.01,0.01,0.02,0.13,0.06,0.03,0.04,2.4,3.7,2.5,1.8,0.89,2.07,0.76,0.54,9.8,12.4,9.9,8.9,0.45,0.761,0.454,0.339,0.236,0.346,0.247,0.193,789,1157,826,643.0,0.01,0.013,0.011,0.008,0.036,0.083,0.031,0.022
165,Vatot,1998JJ00,7.6,2.3,2.0,3.3,2.83,1.22,0.61,1.0,2.82,1.21,0.61,1.0,33.37,7.98,8.18,17.21,1.41,0.45,0.35,0.6,0.82,0.23,0.21,0.38,2742,763,703,1276.0,0.03,0.01,0.01,0.02,0.11,0.05,0.02,0.04,2.2,3.4,2.3,1.7,0.8,1.82,0.7,0.5,9.5,12.0,9.5,8.6,0.399,0.683,0.408,0.302,0.233,0.343,0.245,0.191,778,1147,819,637.0,0.01,0.014,0.011,0.008,0.032,0.073,0.028,0.02
166,Vatot,1999JJ00,7.3,2.1,1.9,3.3,2.65,1.1,0.56,0.99,2.64,1.09,0.56,0.99,33.92,7.97,7.92,18.03,1.3,0.41,0.31,0.58,0.85,0.23,0.21,0.41,2839,775,695,1369.0,0.04,0.01,0.01,0.02,0.11,0.04,0.02,0.04,2.0,3.1,2.2,1.5,0.71,1.6,0.65,0.46,9.2,11.7,9.3,8.3,0.352,0.605,0.365,0.267,0.229,0.34,0.243,0.189,766,1136,812,632.0,0.01,0.014,0.011,0.008,0.029,0.064,0.026,0.018
167,Vatot,2000JJ00,6.5,1.9,1.6,3.0,2.27,0.91,0.46,0.9,2.26,0.9,0.46,0.9,31.42,7.24,6.97,17.22,1.1,0.34,0.25,0.51,0.46,0.12,0.11,0.23,2660,712,619,1328.0,0.03,0.01,0.01,0.02,0.09,0.04,0.02,0.04,1.8,2.9,2.1,1.4,0.64,1.42,0.6,0.42,8.9,11.5,9.1,8.1,0.313,0.539,0.329,0.24,0.131,0.196,0.14,0.109,755,1127,805,626.0,0.01,0.014,0.012,0.008,0.026,0.057,0.024,0.017
168,Vatot,2001JJ00,5.7,1.6,1.4,2.7,1.97,0.78,0.41,0.78,1.96,0.78,0.41,0.78,28.02,6.46,6.21,15.34,0.94,0.29,0.22,0.43,0.06,0.02,0.01,0.03,2364,633,550,1181.0,0.03,0.01,0.01,0.01,0.08,0.03,0.02,0.03,1.8,2.9,2.0,1.4,0.62,1.36,0.59,0.41,8.8,11.3,9.0,8.0,0.295,0.508,0.314,0.225,0.019,0.028,0.02,0.016,744,1111,793,617.0,0.009,0.013,0.011,0.008,0.025,0.055,0.024,0.016
169,Vatot,2002JJ00,5.2,1.4,1.3,2.4,1.68,0.65,0.35,0.68,1.67,0.64,0.35,0.68,26.02,6.08,5.73,14.21,0.78,0.24,0.18,0.36,0.05,0.01,0.01,0.02,2222,595,517,1110.0,0.03,0.01,0.01,0.01,0.07,0.03,0.01,0.03,1.7,2.6,1.9,1.3,0.55,1.17,0.53,0.37,8.6,11.2,8.7,7.8,0.257,0.439,0.273,0.197,0.015,0.022,0.016,0.012,734,1095,782,609.0,0.009,0.013,0.011,0.007,0.022,0.047,0.021,0.015
170,Vatot,2003JJ00,4.8,1.3,1.2,2.3,1.51,0.57,0.32,0.62,1.5,0.56,0.32,0.62,24.7,5.84,5.4,13.46,0.68,0.21,0.16,0.31,0.04,0.01,0.01,0.02,2109,565,491,1053.0,0.03,0.01,0.01,0.01,0.06,0.02,0.01,0.03,1.7,2.5,1.9,1.3,0.51,1.08,0.5,0.35,8.5,11.2,8.5,7.7,0.234,0.398,0.248,0.179,0.013,0.02,0.014,0.011,724,1080,771,600.0,0.009,0.012,0.011,0.007,0.021,0.043,0.02,0.014
171,Vatot,2004JJ00,4.7,1.3,1.2,2.3,1.39,0.52,0.29,0.58,1.38,0.51,0.29,0.58,24.06,5.74,5.23,13.09,0.62,0.19,0.14,0.29,0.04,0.01,0.01,0.02,2041,547,475,1019.0,0.02,0.01,0.01,0.01,0.06,0.02,0.01,0.02,1.6,2.4,1.9,1.3,0.48,1.0,0.47,0.34,8.4,11.2,8.4,7.6,0.216,0.363,0.229,0.167,0.015,0.022,0.015,0.012,714,1065,761,592.0,0.008,0.012,0.01,0.007,0.02,0.04,0.019,0.014
172,Vatot,2005JJ00,4.6,1.2,1.2,2.2,1.32,0.49,0.28,0.55,1.31,0.48,0.28,0.55,23.52,5.65,5.1,12.77,0.58,0.18,0.14,0.27,0.01,0.0,0.0,0.0,1977,528,459,989.0,0.02,0.01,0.01,0.01,0.05,0.02,0.01,0.02,1.7,2.5,1.9,1.3,0.47,0.96,0.45,0.33,8.4,11.2,8.3,7.6,0.207,0.349,0.222,0.16,0.003,0.005,0.004,0.003,704,1048,749,585.0,0.008,0.011,0.01,0.007,0.019,0.039,0.018,0.013
173,Vatot,2006JJ00,4.7,1.3,1.2,2.2,1.23,0.46,0.26,0.51,1.22,0.45,0.26,0.51,22.79,5.54,4.92,12.33,0.54,0.16,0.13,0.25,0.01,0.0,0.0,0.01,1940,518,451,971.0,0.02,0.01,0.01,0.01,0.05,0.02,0.01,0.02,1.7,2.6,1.9,1.3,0.44,0.9,0.43,0.31,8.3,11.2,8.2,7.4,0.194,0.328,0.209,0.149,0.005,0.007,0.005,0.004,703,1047,748,585.0,0.009,0.012,0.01,0.007,0.018,0.037,0.017,0.012
174,Vatot,2007JJ00,4.9,1.4,1.2,2.3,1.14,0.43,0.24,0.47,1.13,0.42,0.24,0.47,22.54,5.58,4.87,12.09,0.5,0.15,0.12,0.23,0.01,0.0,0.0,0.01,1920,513,446,961.0,0.03,0.01,0.01,0.02,0.05,0.02,0.01,0.02,1.8,2.8,2.0,1.4,0.41,0.84,0.4,0.28,8.1,11.2,8.0,7.3,0.179,0.307,0.194,0.135,0.005,0.007,0.005,0.004,694,1033,738,577.0,0.011,0.012,0.012,0.01,0.017,0.034,0.016,0.011
175,Vatot,2008JJ00,5.1,1.5,1.2,2.3,1.01,0.38,0.22,0.41,1.0,0.37,0.22,0.41,21.47,5.37,4.69,11.41,0.44,0.14,0.11,0.2,0.01,0.0,0.0,0.01,1895,502,444,950.0,0.04,0.01,0.01,0.02,0.04,0.02,0.01,0.02,1.9,3.1,2.0,1.4,0.37,0.77,0.37,0.25,7.8,11.0,7.8,6.9,0.161,0.28,0.177,0.12,0.004,0.006,0.004,0.004,693,1033,737,576.0,0.013,0.014,0.015,0.013,0.015,0.031,0.015,0.01
176,Vatot,2009JJ00,5.1,1.5,1.2,2.3,0.86,0.32,0.19,0.35,0.85,0.31,0.19,0.35,19.85,5.0,4.39,10.46,0.37,0.11,0.09,0.17,0.01,0.0,0.0,0.01,1848,482,435,931.0,0.04,0.01,0.01,0.03,0.03,0.01,0.01,0.01,1.9,3.3,2.1,1.4,0.32,0.67,0.33,0.22,7.4,10.7,7.4,6.5,0.14,0.245,0.156,0.104,0.004,0.006,0.004,0.004,692,1033,738,577.0,0.017,0.016,0.018,0.016,0.013,0.027,0.013,0.009
177,Vatot,2010JJ00,4.9,1.5,1.2,2.2,0.74,0.27,0.17,0.3,0.73,0.26,0.17,0.3,17.92,4.56,4.0,9.36,0.32,0.1,0.08,0.14,0.01,0.0,0.0,0.01,1784,463,421,900.0,0.05,0.01,0.01,0.03,0.03,0.01,0.01,0.01,1.9,3.4,2.1,1.4,0.28,0.59,0.29,0.19,7.0,10.3,7.0,6.0,0.123,0.218,0.138,0.091,0.004,0.006,0.004,0.004,696,1039,741,581.0,0.02,0.018,0.022,0.019,0.012,0.024,0.012,0.008
178,Vatot,2011JJ00,4.8,1.5,1.2,2.2,0.63,0.23,0.15,0.25,0.62,0.22,0.15,0.25,16.38,4.2,3.71,8.48,0.27,0.08,0.07,0.12,0.01,0.0,0.0,0.01,1685,432,399,853.0,0.06,0.01,0.01,0.03,0.03,0.01,0.01,0.01,1.9,3.5,2.1,1.4,0.25,0.52,0.26,0.17,6.6,9.8,6.7,5.6,0.108,0.19,0.122,0.08,0.004,0.006,0.004,0.003,677,1009,717,567.0,0.022,0.02,0.025,0.022,0.01,0.021,0.011,0.007
179,Vatot,2012JJ00,4.7,1.5,1.1,2.1,0.52,0.19,0.12,0.21,0.51,0.18,0.12,0.21,14.73,3.85,3.33,7.55,0.22,0.07,0.06,0.1,0.01,0.0,0.0,0.0,1614,415,381,818.0,0.06,0.01,0.01,0.04,0.02,0.01,0.0,0.01,2.0,3.7,2.1,1.4,0.21,0.44,0.23,0.14,6.1,9.3,6.3,5.2,0.091,0.159,0.104,0.067,0.004,0.006,0.004,0.003,673,1004,715,564.0,0.025,0.022,0.028,0.025,0.009,0.018,0.009,0.006
180,Vatot,2013JJ00,4.3,1.4,1.0,1.9,0.43,0.16,0.1,0.17,0.42,0.15,0.1,0.17,12.73,3.38,2.89,6.46,0.17,0.05,0.04,0.08,0.01,0.0,0.0,0.0,1485,381,349,754.0,0.06,0.01,0.01,0.04,0.02,0.01,0.0,0.01,2.0,3.8,2.1,1.4,0.19,0.39,0.2,0.12,5.8,8.9,5.9,4.8,0.078,0.137,0.09,0.057,0.004,0.006,0.004,0.003,672,1002,714,563.0,0.028,0.024,0.031,0.028,0.008,0.016,0.008,0.005
181,Vatot,2014JJ00,4.1,1.4,1.0,1.8,0.36,0.13,0.09,0.14,0.35,0.13,0.09,0.14,11.47,3.09,2.63,5.75,0.15,0.04,0.04,0.06,0.01,0.0,0.0,0.0,1439,371,338,730.0,0.06,0.01,0.02,0.04,0.01,0.01,0.0,0.01,1.9,3.7,2.0,1.4,0.17,0.34,0.18,0.11,5.4,8.3,5.5,4.4,0.068,0.116,0.079,0.05,0.004,0.006,0.004,0.003,671,1001,712,562.0,0.03,0.026,0.033,0.03,0.007,0.014,0.007,0.004
182,Vatot,2015JJ00,4.0,1.3,1.0,1.7,0.36,0.13,0.09,0.14,0.35,0.12,0.09,0.14,10.91,2.96,2.57,5.37,0.14,0.04,0.04,0.06,0.01,0.0,0.0,0.0,1454,374,345,735.0,0.07,0.01,0.02,0.04,0.01,0.0,0.0,0.01,1.8,3.5,2.0,1.3,0.16,0.33,0.18,0.11,5.0,7.9,5.3,4.1,0.065,0.11,0.076,0.048,0.004,0.006,0.004,0.003,668,997,709,560.0,0.031,0.028,0.034,0.031,0.007,0.013,0.007,0.004
183,Vatot,2016JJ00,3.9,1.3,0.9,1.7,0.33,0.12,0.08,0.13,0.32,0.11,0.08,0.13,10.29,2.84,2.46,4.99,0.13,0.04,0.03,0.06,0.01,0.0,0.0,0.0,1488,379,355,754.0,0.07,0.01,0.02,0.04,0.01,0.0,0.0,0.01,1.7,3.4,1.9,1.2,0.15,0.3,0.16,0.1,4.6,7.5,4.9,3.7,0.058,0.099,0.068,0.043,0.004,0.006,0.004,0.003,670,1000,711,562.0,0.032,0.029,0.035,0.031,0.006,0.012,0.007,0.004
184,Vatot,2017JJ00,3.6,1.2,0.9,1.5,0.31,0.11,0.08,0.12,0.31,0.11,0.08,0.12,9.59,2.7,2.32,4.57,0.12,0.03,0.03,0.05,0.01,0.0,0.0,0.0,1486,377,357,753.0,0.07,0.01,0.02,0.04,0.01,0.0,0.0,0.01,1.6,3.2,1.8,1.1,0.14,0.28,0.15,0.09,4.3,7.1,4.6,3.4,0.053,0.092,0.062,0.039,0.004,0.006,0.004,0.003,668,997,708,560.0,0.032,0.03,0.035,0.031,0.006,0.012,0.006,0.004
185,Vatot,2018JJ00,3.2,1.1,0.8,1.3,0.31,0.11,0.08,0.12,0.3,0.1,0.07,0.12,8.72,2.5,2.13,4.1,0.11,0.03,0.03,0.05,0.01,0.0,0.0,0.0,1492,374,358,760.0,0.07,0.01,0.02,0.04,0.01,0.0,0.0,0.0,1.4,2.8,1.6,1.0,0.13,0.27,0.15,0.09,3.9,6.6,4.2,3.0,0.049,0.086,0.057,0.035,0.004,0.006,0.004,0.003,664,993,706,558.0,0.031,0.031,0.035,0.03,0.005,0.011,0.006,0.004
186,Trtot,1980JJ00,9.4,5.5,1.8,2.2,7.24,3.91,1.44,1.89,7.24,3.91,1.44,1.89,35.57,9.38,9.44,16.75,3.72,1.83,0.81,1.07,3.05,0.97,0.81,1.27,1521,486,402,634.0,0.04,0.01,0.01,0.02,0.29,0.16,0.06,0.08,6.7,17.5,4.6,3.1,5.15,12.56,3.76,2.66,25.3,30.1,24.6,23.6,2.644,5.893,2.102,1.513,2.166,3.123,2.096,1.785,1082,1560,1047,892.0,0.03,0.03,0.03,0.03,0.206,0.502,0.15,0.106
187,Trtot,1985JJ00,8.3,3.7,2.0,2.6,6.58,2.76,1.66,2.15,6.58,2.76,1.66,2.15,38.17,7.77,12.4,18.0,3.08,0.99,0.91,1.19,2.02,0.5,0.63,0.88,1660,411,520,729.0,0.05,0.01,0.02,0.03,0.26,0.11,0.07,0.09,5.0,13.3,3.9,3.1,3.98,10.0,3.19,2.51,23.1,28.1,23.8,21.0,1.861,3.573,1.738,1.385,1.218,1.806,1.212,1.032,1003,1488,999,850.0,0.03,0.03,0.03,0.03,0.159,0.4,0.127,0.101
188,Trtot,1990JJ00,7.4,2.0,1.8,3.6,2.68,1.39,0.45,0.84,2.68,1.39,0.45,0.84,33.17,7.57,7.78,17.83,1.64,0.51,0.38,0.75,2.18,0.51,0.49,1.18,2043,481,459,1104.0,0.02,0.0,0.01,0.01,0.11,0.06,0.02,0.03,3.5,6.2,3.9,2.8,1.29,4.32,0.97,0.65,16.0,23.5,16.9,13.8,0.789,1.585,0.824,0.578,1.051,1.589,1.067,0.911,985,1490,1000,854.0,0.01,0.013,0.011,0.008,0.052,0.173,0.039,0.026
189,Trtot,1991JJ00,7.8,1.9,1.9,4.0,2.85,1.46,0.46,0.92,2.85,1.46,0.46,0.92,34.27,7.43,7.97,18.87,1.71,0.51,0.39,0.81,2.32,0.52,0.52,1.29,2151,478,479,1194.0,0.03,0.01,0.01,0.02,0.11,0.06,0.02,0.04,3.5,6.0,3.9,2.8,1.29,4.55,0.95,0.66,15.5,23.1,16.6,13.5,0.776,1.574,0.82,0.578,1.053,1.602,1.076,0.919,976,1485,997,852.0,0.014,0.02,0.017,0.011,0.052,0.182,0.038,0.026
190,Trtot,1992JJ00,8.2,1.8,2.0,4.4,2.9,1.44,0.46,1.0,2.9,1.44,0.46,1.0,35.2,7.24,8.14,19.82,1.74,0.47,0.4,0.86,2.51,0.53,0.56,1.43,2331,487,516,1328.0,0.03,0.01,0.01,0.02,0.12,0.06,0.02,0.04,3.4,5.4,3.9,2.8,1.2,4.38,0.89,0.64,14.6,22.0,15.7,12.7,0.72,1.443,0.775,0.549,1.043,1.598,1.073,0.916,967,1481,995,849.0,0.014,0.02,0.017,0.011,0.048,0.175,0.035,0.026
191,Trtot,1993JJ00,8.0,1.6,2.0,4.4,2.74,1.29,0.44,1.02,2.74,1.29,0.44,1.02,34.03,6.6,7.84,19.59,1.65,0.42,0.39,0.85,2.58,0.5,0.57,1.51,2392,468,525,1399.0,0.03,0.01,0.01,0.02,0.11,0.05,0.02,0.04,3.2,4.9,3.8,2.7,1.1,4.06,0.83,0.62,13.6,20.8,14.8,11.9,0.662,1.319,0.728,0.515,1.033,1.594,1.07,0.914,958,1477,992,847.0,0.013,0.02,0.017,0.011,0.044,0.163,0.033,0.025
192,Trtot,1994JJ00,7.5,1.3,1.9,4.3,2.51,1.09,0.42,1.0,2.51,1.09,0.42,1.0,31.39,5.73,7.2,18.45,1.52,0.36,0.36,0.81,2.46,0.45,0.54,1.48,2345,427,510,1408.0,0.03,0.01,0.01,0.02,0.1,0.04,0.02,0.04,3.0,4.6,3.7,2.6,1.02,3.77,0.81,0.6,12.7,19.8,14.0,11.1,0.615,1.235,0.691,0.484,0.995,1.545,1.037,0.886,949,1473,989,845.0,0.013,0.02,0.017,0.011,0.041,0.151,0.032,0.024
193,Trtot,1995JJ00,7.3,1.2,1.8,4.3,2.34,0.9,0.41,1.03,2.34,0.9,0.41,1.03,30.69,5.23,7.0,18.46,1.44,0.31,0.34,0.79,2.36,0.4,0.51,1.45,2462,415,531,1516.0,0.03,0.01,0.01,0.02,0.09,0.04,0.02,0.04,2.8,4.2,3.4,2.4,0.89,3.19,0.76,0.57,11.7,18.5,13.0,10.3,0.551,1.103,0.629,0.441,0.901,1.409,0.946,0.808,940,1469,987,843.0,0.013,0.02,0.017,0.011,0.036,0.128,0.031,0.023
194,Trtot,1996JJ00,6.8,1.0,1.7,4.1,2.11,0.71,0.39,1.01,2.11,0.71,0.39,1.01,29.51,4.65,6.69,18.17,1.31,0.26,0.31,0.75,1.78,0.28,0.38,1.13,2502,387,535,1579.0,0.04,0.01,0.01,0.02,0.08,0.03,0.02,0.04,2.5,3.8,3.1,2.2,0.79,2.68,0.72,0.54,11.0,17.6,12.3,9.7,0.489,0.984,0.569,0.396,0.663,1.044,0.701,0.598,930,1465,983,840.0,0.013,0.02,0.017,0.011,0.031,0.107,0.029,0.021
195,Trtot,1997JJ00,6.3,0.9,1.6,3.9,1.87,0.53,0.37,0.96,1.87,0.53,0.37,0.96,28.59,4.12,6.43,18.05,1.16,0.21,0.28,0.68,0.76,0.11,0.16,0.49,2537,357,538,1642.0,0.04,0.0,0.01,0.02,0.07,0.02,0.01,0.04,2.3,3.5,2.8,2.0,0.68,2.19,0.68,0.49,10.4,16.8,11.7,9.2,0.422,0.856,0.501,0.346,0.276,0.437,0.293,0.251,920,1458,979,836.0,0.013,0.02,0.017,0.011,0.027,0.087,0.027,0.02
196,Trtot,1998JJ00,6.0,0.8,1.5,3.7,1.73,0.42,0.36,0.94,1.72,0.42,0.36,0.94,28.67,3.74,6.38,18.55,1.06,0.17,0.25,0.63,0.79,0.1,0.17,0.52,2638,333,555,1749.0,0.04,0.0,0.01,0.02,0.07,0.02,0.01,0.04,2.1,3.3,2.6,1.8,0.6,1.84,0.64,0.45,9.9,16.3,11.2,8.8,0.366,0.761,0.442,0.302,0.273,0.436,0.293,0.25,912,1456,977,835.0,0.013,0.02,0.017,0.011,0.024,0.074,0.026,0.018
197,Trtot,1999JJ00,6.0,0.7,1.5,3.9,1.69,0.35,0.37,0.96,1.69,0.35,0.37,0.96,30.42,3.54,6.71,20.18,1.01,0.15,0.24,0.62,0.86,0.1,0.18,0.58,2867,321,598,1948.0,0.04,0.0,0.01,0.03,0.07,0.01,0.01,0.04,1.9,3.1,2.4,1.7,0.53,1.61,0.6,0.41,9.6,16.0,10.9,8.6,0.319,0.679,0.391,0.266,0.271,0.435,0.292,0.25,904,1453,976,833.0,0.013,0.02,0.017,0.011,0.021,0.064,0.024,0.016
198,Trtot,2000JJ00,5.8,0.6,1.4,3.8,1.56,0.28,0.35,0.93,1.56,0.28,0.35,0.93,30.31,3.08,6.62,20.61,0.91,0.12,0.22,0.58,0.51,0.05,0.1,0.35,2906,282,601,2023.0,0.04,0.0,0.01,0.03,0.06,0.01,0.01,0.04,1.8,3.0,2.2,1.6,0.48,1.45,0.57,0.38,9.3,15.8,10.7,8.5,0.282,0.613,0.35,0.238,0.156,0.252,0.169,0.145,896,1451,974,832.0,0.013,0.02,0.017,0.011,0.019,0.058,0.023,0.015
