ID,Energiedragers,Perioden,EnergieverbruikInDeSectorHuishoudens_1
258,7 ,1981JJ00,403.6
259,7 ,1982JJ00,373.47
260,7 ,1983JJ00,367.14
261,7 ,1984JJ00,373.47
262,7 ,1985JJ00,411.45
263,7 ,1986JJ00,392.46
264,7 ,1987JJ00,389.3
265,7 ,1988JJ00,332.32
266,7 ,1989JJ00,329.16
267,7 ,1990JJ00,350.28
268,7 ,1991JJ00,405.17
269,7 ,1992JJ00,372.33
270,7 ,1993JJ00,391.38
271,7 ,1994JJ00,366.75
272,7 ,1995JJ00,402.39
273,7 ,1996JJ00,471.22
274,7 ,1997JJ00,395.33
275,7 ,1998JJ00,375.91
276,7 ,1999JJ00,356.57
277,7 ,2000JJ00,356.2
278,7 ,2001JJ00,378.59
279,7 ,2002JJ00,365.33
280,7 ,2003JJ00,374.15
281,7 ,2004JJ00,357.65
282,7 ,2005JJ00,343.9
283,7 ,2006JJ00,346.63
284,7 ,2007JJ00,309.54
285,7 ,2008JJ00,350.71
286,7 ,2009JJ00,349.24
287,7 ,2010JJ00,406.7
288,7 ,2011JJ00,315.95
289,7 ,2012JJ00,337.88
290,7 ,2013JJ00,358.93
291,7 ,2014JJ00,267.68
292,7 ,2015JJ00,285.26
293,7 ,2016JJ00,297.23
294,8 ,1975JJ00,44.79
295,8 ,1976JJ00,48.66
296,8 ,1977JJ00,49.1
297,8 ,1978JJ00,50.66
298,8 ,1979JJ00,54.08
299,8 ,1980JJ00,56.29
300,8 ,1981JJ00,55.6
301,8 ,1982JJ00,53.98
302,8 ,1983JJ00,54.0
303,8 ,1984JJ00,54.0
304,8 ,1985JJ00,54.36
305,8 ,1986JJ00,54.72
306,8 ,1987JJ00,55.08
307,8 ,1988JJ00,55.8
308,8 ,1989JJ00,57.6
309,8 ,1990JJ00,56.43
310,8 ,1991JJ00,58.48
311,8 ,1992JJ00,59.85
312,8 ,1993JJ00,61.21
313,8 ,1994JJ00,63.27
314,8 ,1995JJ00,65.11
315,8 ,1996JJ00,66.1
316,8 ,1997JJ00,67.42
317,8 ,1998JJ00,68.75
318,8 ,1999JJ00,70.57
319,8 ,2000JJ00,72.07
320,8 ,2001JJ00,73.08
321,8 ,2002JJ00,75.4
322,8 ,2003JJ00,77.1
323,8 ,2004JJ00,77.47
324,8 ,2005JJ00,78.47
325,8 ,2006JJ00,79.49
326,8 ,2007JJ00,80.16
327,8 ,2008JJ00,81.0
328,8 ,2009JJ00,82.34
329,8 ,2010JJ00,82.78
330,8 ,2011JJ00,82.96
331,8 ,2012JJ00,84.32
332,8 ,2013JJ00,84.43
333,8 ,2014JJ00,82.43
334,8 ,2015JJ00,81.66
335,8 ,2016JJ00,81.67
336,9 ,1975JJ00,
337,9 ,1976JJ00,
338,9 ,1977JJ00,
339,9 ,1978JJ00,
340,9 ,1979JJ00,
341,9 ,1980JJ00,
342,9 ,1981JJ00,
343,9 ,1982JJ00,
344,9 ,1983JJ00,
345,9 ,1984JJ00,
346,9 ,1985JJ00,
347,9 ,1986JJ00,
348,9 ,1987JJ00,
349,9 ,1988JJ00,
350,9 ,1989JJ00,
351,9 ,1990JJ00,4.7
352,9 ,1991JJ00,4.73
353,9 ,1992JJ00,6.02
354,9 ,1993JJ00,6.63
355,9 ,1994JJ00,6.7
356,9 ,1995JJ00,6.14
357,9 ,1996JJ00,7.72
