ID,EigendomWoning,Bouwjaar,RegioS,Perioden,TotaalWoningenMetEnergielabel_1,WoningenMetEnergielabelAEnB_2,WoningenMetEnergielabelCEnD_3,WoningenMetEnergielabelEFG_4
332,4, 3,CR13,2011JJ00,496,64,206,226
333,4, 3,CR14,2011JJ00,338,10,99,229
334,4, 3,CR15,2011JJ00,2041,131,1117,793
335,4, 3,CR16,2011JJ00,129,4,87,38
336,4, 3,CR17,2011JJ00,2392,108,933,1351
337,4, 3,CR18,2011JJ00,367,4,285,78
338,4, 3,CR19,2011JJ00,204,6,120,78
339,4, 3,CR20,2011JJ00,300,25,114,161
340,4, 3,CR21,2011JJ00,1671,44,648,979
341,4, 3,CR22,2011JJ00,513,2,134,377
342,4, 3,CR23,2011JJ00,6174,168,1950,4056
343,4, 3,CR24,2011JJ00,741,12,201,528
344,4, 3,CR25,2011JJ00,1092,7,385,700
345,4, 3,CR26,2011JJ00,2458,43,604,1811
346,4, 3,CR27,2011JJ00,568,0,254,314
347,4, 3,CR28,2011JJ00,145,5,43,97
348,4, 3,CR29,2011JJ00,2546,99,876,1571
349,4, 3,CR30,2011JJ00,757,14,475,268
350,4, 3,CR31,2011JJ00,96,3,38,55
351,4, 3,CR32,2011JJ00,892,33,296,563
352,4, 3,CR33,2011JJ00,608,116,234,258
353,4, 3,CR34,2011JJ00,183,12,54,117
354,4, 3,CR35,2011JJ00,803,52,142,609
355,4, 3,CR36,2011JJ00,1784,44,834,906
356,4, 3,CR37,2011JJ00,198,24,80,94
357,4, 3,CR38,2011JJ00,85,8,27,50
358,4, 3,CR39,2011JJ00,1733,69,477,1187
359,4, 3,CR40,2011JJ00,86,0,0,86
360,4, 3,GA01,2011JJ00,2166,125,1393,648
361,4, 3,GA02,2011JJ00,217,2,92,123
362,4, 3,GA03,2011JJ00,515,15,312,188
363,4, 3,GA04,2011JJ00,727,41,448,238
364,4, 3,GA05,2011JJ00,137,8,43,86
365,4, 3,GA06,2011JJ00,795,118,319,358
366,4, 3,GA07,2011JJ00,981,4,688,289
367,4, 3,GA08,2011JJ00,938,22,427,489
368,4, 3,GA09,2011JJ00,780,34,177,569
369,4, 3,GA10,2011JJ00,6471,164,2013,4294
370,4, 3,GA11,2011JJ00,1664,44,647,973
371,4, 3,GA12,2011JJ00,941,4,320,617
372,4, 3,GA13,2011JJ00,2373,42,576,1755
373,4, 3,GA14,2011JJ00,2391,96,837,1458
374,4, 3,GA15,2011JJ00,579,8,429,142
375,4, 3,GA16,2011JJ00,360,100,122,138
376,4, 3,GA17,2011JJ00,108,3,30,75
377,4, 3,GA18,2011JJ00,538,8,61,469
378,4, 3,GA19,2011JJ00,1512,14,732,766
379,4, 3,GA20,2011JJ00,94,2,12,80
380,4, 3,GA21,2011JJ00,593,47,190,356
381,4, 3,GA22,2011JJ00,981,12,258,711
382,4, 3,SG01,2011JJ00,2258,131,1432,695
383,4, 3,SG02,2011JJ00,290,5,100,185
384,4, 3,SG03,2011JJ00,541,18,321,202
385,4, 3,SG04,2011JJ00,1055,51,592,412
386,4, 3,SG05,2011JJ00,158,12,55,91
387,4, 3,SG06,2011JJ00,945,123,399,423
388,4, 3,SG07,2011JJ00,1037,7,702,328
389,4, 3,SG08,2011JJ00,1013,26,462,525
390,4, 3,SG09,2011JJ00,1150,51,362,737
391,4, 3,SG10,2011JJ00,6572,170,2046,4356
392,4, 3,SG11,2011JJ00,1971,69,762,1140
393,4, 3,SG12,2011JJ00,992,6,337,649
394,4, 3,SG13,2011JJ00,3026,43,858,2125
395,4, 3,SG14,2011JJ00,2471,99,853,1519
396,4, 3,SG15,2011JJ00,669,8,455,206
397,4, 3,SG16,2011JJ00,387,105,133,149
398,4, 3,SG17,2011JJ00,136,9,41,86
399,4, 3,SG18,2011JJ00,553,10,67,476
400,4, 3,SG19,2011JJ00,1548,17,743,788
401,4, 3,SG20,2011JJ00,108,4,17,87
402,4, 3,SG21,2011JJ00,618,49,197,372
403,4, 3,SG22,2011JJ00,1004,15,263,726
404,4, 4,NL01,2011JJ00,292318,9148,115165,168005
405,4, 4,LD01,2011JJ00,34759,928,12206,21625
406,4, 4,LD02,2011JJ00,58729,2037,24537,32155
407,4, 4,LD03,2011JJ00,136817,4587,54929,77301
408,4, 4,LD04,2011JJ00,62013,1596,23493,36924
409,4, 4,PV20,2011JJ00,11251,128,3525,7598
410,4, 4,PV21,2011JJ00,13821,367,4483,8971
411,4, 4,PV22,2011JJ00,9687,433,4198,5056
412,4, 4,PV23,2011JJ00,23245,959,10078,12208
413,4, 4,PV24,2011JJ00,1877,18,266,1593
414,4, 4,PV25,2011JJ00,33607,1060,14193,18354
415,4, 4,PV26,2011JJ00,14885,1072,5197,8616
416,4, 4,PV27,2011JJ00,44414,1531,17829,25054
417,4, 4,PV28,2011JJ00,69917,1880,28267,39770
418,4, 4,PV29,2011JJ00,7601,104,3636,3861
419,4, 4,PV30,2011JJ00,39514,1067,14677,23770
420,4, 4,PV31,2011JJ00,22499,529,8816,13154
421,4, 4,CR01,2011JJ00,3159,13,685,2461
422,4, 4,CR02,2011JJ00,744,19,235,490
423,4, 4,CR03,2011JJ00,7348,96,2605,4647
424,4, 4,CR04,2011JJ00,7420,249,2494,4677
425,4, 4,CR05,2011JJ00,1709,75,683,951
426,4, 4,CR06,2011JJ00,4692,43,1306,3343
427,4, 4,CR07,2011JJ00,2977,274,1678,1025
