ID,GWW,Periods,InputPriceIndices_1,ChangesComparedTo1YearEarlier_2
521,A048133,2022MM08,120.6,10.9
522,A048133,2022MM09,121.3,11.5
523,A048133,2022MM10,120.6,9.5
524,A048133,2022MM11,120.3,9.2
525,A048133,2022MM12,118.5,7.4
526,A048133,2023MM01,120.0,6.1
527,A048133,2023MM02,120.0,5.6
528,A048133,2023MM03,120.8,4.2
529,A048133,2023MM04,121.4,1.1
530,A048133,2023MM05,121.0,-0.3
531,A048133,2023MM06,120.4,0.9
532,A048133,2023MM07,120.6,-0.2
533,A048133,2023MM08,119.7,-0.7
534,A048133,2023MM09,119.7,-1.3
535,A048133,2023MM10,119.2,-1.2
536,A048133,2023MM11,118.7,-1.3
537,A048133,2023MM12,119.1,0.5
538,A048133,2024MM01,121.0,0.9
539,A048133,2024MM02,121.0,0.8
540,A048133,2024MM03,120.9,0.1
541,A048133,2024MM04,120.6,-0.6
542,A048133,2024MM05,120.0,-0.8
543,A048133,2024MM06,120.4,0.0
544,A048133,2024MM07,123.7,2.6
545,A048133,2024MM08,124.1,3.6
546,A048133,2024MM09,124.3,3.8
547,A048133,2024MM10,123.8,3.9
548,A048133,2024MM11,124.2,4.6
549,A048133,2024MM12,124.1,4.3
550,A048133,2025MM01,124.8,3.1
551,A048133,2025MM02,125.2,3.5
552,A048133,2025MM03,126.0,4.3
553,A048133,2025MM04,126.1,4.6
554,A048133,2025MM05,127.3,6.0
555,A048133,2025MM06,127.3,5.8
556,A048133,2025MM07,127.4,2.9
557,A048133,2025MM08,127.3,2.6
558,A048133,2025MM09,127.3,2.4
559,A048133,2025MM10,128.0,3.3
560,A048134,2020MM01,100.7,
561,A048134,2020MM02,100.7,
562,A048134,2020MM03,100.4,
563,A048134,2020MM04,100.1,
564,A048134,2020MM05,99.3,
565,A048134,2020MM06,98.9,
566,A048134,2020MM07,99.8,
567,A048134,2020MM08,99.8,
568,A048134,2020MM09,99.5,
569,A048134,2020MM10,99.6,
570,A048134,2020MM11,100.0,
571,A048134,2020MM12,101.2,
572,A048134,2021MM01,104.5,3.8
573,A048134,2021MM02,105.5,4.8
574,A048134,2021MM03,106.4,5.9
575,A048134,2021MM04,107.7,7.5
576,A048134,2021MM05,109.6,10.4
577,A048134,2021MM06,111.4,12.6
578,A048134,2021MM07,113.6,13.9
579,A048134,2021MM08,115.7,15.9
580,A048134,2021MM09,115.6,16.2
581,A048134,2021MM10,117.1,17.6
582,A048134,2021MM11,116.9,16.9
583,A048134,2021MM12,118.3,16.9
584,A048134,2022MM01,121.5,16.2
585,A048134,2022MM02,122.7,16.3
586,A048134,2022MM03,128.0,20.3
587,A048134,2022MM04,135.4,25.7
588,A048134,2022MM05,137.9,25.8
589,A048134,2022MM06,135.0,21.2
590,A048134,2022MM07,134.2,18.1
591,A048134,2022MM08,132.9,14.9
592,A048134,2022MM09,134.0,16.0
593,A048134,2022MM10,132.1,12.9
594,A048134,2022MM11,129.3,10.6
595,A048134,2022MM12,126.5,7.0
596,A048134,2023MM01,126.4,4.1
597,A048134,2023MM02,125.9,2.6
598,A048134,2023MM03,126.5,-1.2
599,A048134,2023MM04,127.0,-6.2
600,A048134,2023MM05,126.5,-8.3
601,A048134,2023MM06,124.4,-7.9
602,A048134,2023MM07,122.3,-8.9
603,A048134,2023MM08,122.0,-8.2
604,A048134,2023MM09,121.9,-9.1
605,A048134,2023MM10,122.4,-7.4
606,A048134,2023MM11,121.8,-5.8
607,A048134,2023MM12,122.1,-3.5
608,A048134,2024MM01,122.9,-2.8
609,A048134,2024MM02,123.6,-1.9
610,A048134,2024MM03,123.6,-2.3
611,A048134,2024MM04,124.3,-2.1
612,A048134,2024MM05,123.9,-2.1
613,A048134,2024MM06,124.3,-0.1
614,A048134,2024MM07,125.8,2.9
615,A048134,2024MM08,126.2,3.5
616,A048134,2024MM09,125.9,3.3
617,A048134,2024MM10,124.0,1.3
618,A048134,2024MM11,124.7,2.4
619,A048134,2024MM12,125.0,2.4
620,A048134,2025MM01,125.5,2.1
621,A048134,2025MM02,125.6,1.6
622,A048134,2025MM03,126.4,2.3
623,A048134,2025MM04,126.4,1.7
624,A048134,2025MM05,127.4,2.9
625,A048134,2025MM06,127.3,2.4
626,A048134,2025MM07,127.0,0.9
627,A048134,2025MM08,126.7,0.3
628,A048134,2025MM09,126.3,0.3
629,A048134,2025MM10,126.4,2.0
630,A048135,2020MM01,100.0,
631,A048135,2020MM02,99.9,
632,A048135,2020MM03,99.6,
633,A048135,2020MM04,99.3,
634,A048135,2020MM05,99.1,
635,A048135,2020MM06,99.1,
636,A048135,2020MM07,100.0,
637,A048135,2020MM08,99.9,
638,A048135,2020MM09,100.1,
639,A048135,2020MM10,100.3,
640,A048135,2020MM11,100.7,
641,A048135,2020MM12,101.9,
642,A048135,2021MM01,103.4,3.4
643,A048135,2021MM02,104.2,4.3
644,A048135,2021MM03,105.0,5.4
645,A048135,2021MM04,107.3,8.0
646,A048135,2021MM05,108.2,9.2
647,A048135,2021MM06,109.3,10.3
648,A048135,2021MM07,112.6,12.7
649,A048135,2021MM08,112.8,12.9
650,A048135,2021MM09,113.1,13.0
651,A048135,2021MM10,115.2,14.8
652,A048135,2021MM11,115.3,14.5
653,A048135,2021MM12,115.3,13.1
654,A048135,2022MM01,118.2,14.4
655,A048135,2022MM02,118.5,13.7
656,A048135,2022MM03,121.0,15.2
657,A048135,2022MM04,124.3,15.9
658,A048135,2022MM05,125.6,16.0
659,A048135,2022MM06,124.7,14.0
660,A048135,2022MM07,124.8,10.8
661,A048135,2022MM08,123.7,9.7
662,A048135,2022MM09,123.8,9.4
663,A048135,2022MM10,122.3,6.1
664,A048135,2022MM11,121.3,5.1
665,A048135,2022MM12,120.2,4.3
666,A048135,2023MM01,121.1,2.4
667,A048135,2023MM02,120.7,1.9
668,A048135,2023MM03,121.4,0.3
669,A048135,2023MM04,121.5,-2.3
670,A048135,2023MM05,121.4,-3.3
671,A048135,2023MM06,120.6,-3.3
672,A048135,2023MM07,120.4,-3.5
673,A048135,2023MM08,119.9,-3.0
674,A048135,2023MM09,119.6,-3.4
675,A048135,2023MM10,119.2,-2.6
676,A048135,2023MM11,119.4,-1.6
677,A048135,2023MM12,119.2,-0.8
678,A048135,2024MM01,121.1,0.1
679,A048135,2024MM02,121.3,0.4
680,A048135,2024MM03,121.5,0.1
681,A048135,2024MM04,121.8,0.2
682,A048135,2024MM05,121.6,0.1
683,A048135,2024MM06,121.5,0.7
684,A048135,2024MM07,125.0,3.8
685,A048135,2024MM08,124.7,4.0
686,A048135,2024MM09,125.1,4.6
687,A048135,2024MM10,124.4,4.4
688,A048135,2024MM11,124.5,4.3
689,A048135,2024MM12,124.4,4.3
690,A048135,2025MM01,124.7,3.0
691,A048135,2025MM02,125.0,3.1
692,A048135,2025MM03,126.4,4.0
693,A048135,2025MM04,126.2,3.6
694,A048135,2025MM05,127.5,4.9
695,A048135,2025MM06,127.4,4.9
