ID,ConsumptionByHouseholds,Periods,Indices_1,VolumeChanges_2,VolumeChangesShoppingdayAdjusted_3,Indices_4,ValueChanges_5,PriceChanges_6
5372,A048213,2023MM11,110.8,0.3,,139.2,4.3,4.0
5373,A048213,2023MM12,119.4,-1.0,,148.5,2.4,3.4
5374,A048213,2023KW04,109.7,-0.8,,137.5,3.5,4.3
5375,A048213,2023JJ00,109.2,-2.3,,137.3,5.0,7.5
5376,A048213,2024MM01,105.0,3.1,,132.5,5.4,2.2
5377,A048213,2024MM02,92.8,5.0,,120.0,7.1,2.0
5378,A048213,2024MM03,106.9,5.2,,135.9,6.6,1.3
5379,A048213,2024KW01,101.6,4.4,,129.5,6.3,1.8
5380,A048213,2024MM04,115.3,2.4,,148.6,3.5,1.1
5381,A048213,2024MM05,124.9,1.2,,161.6,3.5,2.2
5382,A047837,2000JJ00,93.3,4.1,4.1,69.3,7.5,3.2
5383,A047837,2001JJ00,95.8,2.7,2.8,72.6,4.8,2.1
5384,A047837,2002JJ00,97.0,1.2,1.2,76.6,5.5,4.2
5385,A047837,2003JJ00,97.1,0.1,0.1,79.6,3.9,3.8
5386,A047837,2004JJ00,98.6,1.5,1.4,82.6,3.8,2.2
5387,A047837,2005JJ00,100.0,1.4,1.5,85.8,3.8,2.4
5388,A047837,2006JJ00,97.5,-2.4,-2.4,86.6,0.9,3.4
5389,A047837,2007JJ00,98.8,1.3,1.3,90.2,4.2,2.9
5390,A047837,2008JJ00,99.4,0.5,0.5,92.2,2.1,1.6
5391,A047837,2009JJ00,98.0,-1.4,-1.3,89.0,-3.4,-2.0
5392,A047837,2010JJ00,97.7,-0.3,-0.3,90.5,1.7,2.0
5393,A047837,2011JJ00,98.3,0.6,0.6,92.8,2.5,1.9
5394,A047837,2012JJ00,97.7,-0.6,-0.7,92.4,-0.4,0.2
5395,A047837,2013JJ00,98.2,0.5,0.6,95.1,2.9,2.4
5396,A047837,2014JJ00,98.6,0.5,0.5,97.6,2.6,2.1
5397,A047837,2015JJ00,100.0,1.4,1.4,100.0,2.5,1.1
5398,A047837,2016JJ00,101.7,1.7,1.6,103.1,3.1,1.4
5399,A047837,2017JJ00,103.9,2.1,2.2,106.7,3.5,1.4
5400,A047837,2018JJ00,106.3,2.3,2.3,111.9,4.9,2.5
5401,A047837,2019JJ00,107.9,1.5,1.5,116.4,4.1,2.5
5402,A047837,2020JJ00,95.1,-11.9,-11.9,104.9,-10.0,2.2
5403,A047837,2000MM01,92.9,4.1,4.1,68.4,7.9,3.6
5404,A047837,2000MM02,94.6,5.6,4.5,69.3,9.5,3.7
5405,A047837,2000MM03,95.0,5.3,5.3,69.8,8.8,3.3
5406,A047837,2000KW01,94.2,5.0,4.6,69.2,8.7,3.5
5407,A047837,2000MM04,92.9,5.6,5.6,68.9,9.1,3.4
5408,A047837,2000MM05,95.2,5.1,5.1,71.2,9.0,3.7
5409,A047837,2000MM06,94.5,5.4,5.4,70.4,9.4,3.7
5410,A047837,2000KW02,94.2,5.4,5.4,70.2,9.1,3.6
5411,A047837,2000MM07,92.9,2.7,2.7,69.8,6.0,3.1
5412,A047837,2000MM08,93.0,4.1,4.1,70.3,7.4,3.2
5413,A047837,2000MM09,93.1,3.7,3.7,69.3,7.0,3.2
5414,A047837,2000KW03,93.0,3.5,3.5,69.8,6.8,3.2
5415,A047837,2000MM10,92.7,2.5,2.5,69.0,4.9,2.4
5416,A047837,2000MM11,91.0,2.9,2.9,67.2,5.3,2.4
5417,A047837,2000MM12,91.8,2.9,2.9,67.9,5.4,2.5
5418,A047837,2000KW04,91.8,2.7,2.7,68.0,5.2,2.4
