ID,Perioden,TotaalConsumptie_1,Totaal_2,VoedingEnNietAlcoholischeDranken_3,AlcoholischeDrankenTabak_4,KledingEnSchoeisel_5,HuisvestingWaterEnEnergie_6,WoninginrichtingEnHuishouding_7,Gezondheid_8,Vervoer_9,Communicatie_10,RecreatieEnCultuur_11,Onderwijs_12,Horeca_13,SocialeBescherming_14,OverigeVerbruiksfuncties_15,ConsumptieBuitenlandersInNederland_16,ConsumptieHuishoudensInBuitenland_17,Totaal_18,VoedingEnNietAlcoholischeDranken_19,AlcoholischeDrankenTabak_20,KledingEnSchoeisel_21,HuisvestingWaterEnEnergie_22,WoninginrichtingEnHuishouding_23,Gezondheid_24,Vervoer_25,Communicatie_26,RecreatieEnCultuur_27,Onderwijs_28,Horeca_29,SocialeBescherming_30,OverigeVerbruiksfuncties_31,ConsumptieBuitenlandersInNederland_32,ConsumptieHuishoudensInBuitenland_33,Totaal_34,Huisvesting_35,Gezondheid_36,RecreatieEnCultuur_37,Onderwijs_38,SocialeBescherming_39,CollectieveConsumptieDoorDeOverheid_40,TotaalConsumptie_41,Totaal_42,VoedingEnNietAlcoholischeDranken_43,AlcoholischeDrankenTabak_44,KledingEnSchoeisel_45,HuisvestingWaterEnEnergie_46,WoninginrichtingEnHuishouding_47,Gezondheid_48,Vervoer_49,Communicatie_50,RecreatieEnCultuur_51,Onderwijs_52,Horeca_53,SocialeBescherming_54,OverigeVerbruiksfuncties_55,ConsumptieBuitenlandersInNederland_56,ConsumptieHuishoudensInBuitenland_57,Totaal_58,VoedingEnNietAlcoholischeDranken_59,AlcoholischeDrankenTabak_60,KledingEnSchoeisel_61,HuisvestingWaterEnEnergie_62,WoninginrichtingEnHuishouding_63,Gezondheid_64,Vervoer_65,Communicatie_66,RecreatieEnCultuur_67,Onderwijs_68,Horeca_69,SocialeBescherming_70,OverigeVerbruiksfuncties_71,ConsumptieBuitenlandersInNederland_72,ConsumptieHuishoudensInBuitenland_73,Totaal_74,Huisvesting_75,Gezondheid_76,RecreatieEnCultuur_77,Onderwijs_78,SocialeBescherming_79,CollectieveConsumptieDoorDeOverheid_80,TotaalConsumptie_81,Totaal_82,VoedingEnNietAlcoholischeDranken_83,AlcoholischeDrankenTabak_84,KledingEnSchoeisel_85,HuisvestingWaterEnEnergie_86,WoninginrichtingEnHuishouding_87,Gezondheid_88,Vervoer_89,Communicatie_90,RecreatieEnCultuur_91,Onderwijs_92,Horeca_93,SocialeBescherming_94,OverigeVerbruiksfuncties_95,ConsumptieBuitenlandersInNederland_96,ConsumptieHuishoudensInBuitenland_97,Totaal_98,VoedingEnNietAlcoholischeDranken_99,AlcoholischeDrankenTabak_100,KledingEnSchoeisel_101,HuisvestingWaterEnEnergie_102,WoninginrichtingEnHuishouding_103,Gezondheid_104,Vervoer_105,Communicatie_106,RecreatieEnCultuur_107,Onderwijs_108,Horeca_109,SocialeBescherming_110,OverigeVerbruiksfuncties_111,ConsumptieBuitenlandersInNederland_112,ConsumptieHuishoudensInBuitenland_113,Totaal_114,Huisvesting_115,Gezondheid_116,RecreatieEnCultuur_117,Onderwijs_118,SocialeBescherming_119,CollectieveConsumptieDoorDeOverheid_120,TotaalConsumptie_121,Totaal_122,VoedingEnNietAlcoholischeDranken_123,AlcoholischeDrankenTabak_124,KledingEnSchoeisel_125,HuisvestingWaterEnEnergie_126,WoninginrichtingEnHuishouding_127,Gezondheid_128,Vervoer_129,Communicatie_130,RecreatieEnCultuur_131,Onderwijs_132,Horeca_133,SocialeBescherming_134,OverigeVerbruiksfuncties_135,ConsumptieBuitenlandersInNederland_136,ConsumptieHuishoudensInBuitenland_137,Totaal_138,VoedingEnNietAlcoholischeDranken_139,AlcoholischeDrankenTabak_140,KledingEnSchoeisel_141,HuisvestingWaterEnEnergie_142,WoninginrichtingEnHuishouding_143,Gezondheid_144,Vervoer_145,Communicatie_146,RecreatieEnCultuur_147,Onderwijs_148,Horeca_149,SocialeBescherming_150,OverigeVerbruiksfuncties_151,ConsumptieBuitenlandersInNederland_152,ConsumptieHuishoudensInBuitenland_153,Totaal_154,Huisvesting_155,Gezondheid_156,RecreatieEnCultuur_157,Onderwijs_158,SocialeBescherming_159,CollectieveConsumptieDoorDeOverheid_160
25,1994JJ00,213338,180638,18659.0,4845.0,9625.0,30239.0,9966.0,17535.0,16625.0,3011.0,16822.0,13561.0,8137.0,12078.0,18163.0,5179,6551,144084,18659,4845,9625,29371,9966,5784,16625,3011,15675,1002,8137,1849,18163,5179,6551,36554,868.0,11751.0,1147.0,12559.0,10229.0,32700,285017,241610.0,21536.0,7428.0,10418.0,45867.0,11857.0,23381.0,22333.0,2880.0,18463.0,22359.0,11584.0,17534.0,26669.0,6646,8727,188063,21536.0,7428.0,10418.0,44618.0,11857.0,7635.0,22333.0,2880.0,16884.0,1507.0,11584.0,2830.0,26669.0,6646,8727,54003.0,1259.0,15754.0,1688.0,20831.0,14718.0,43375.0,2.0,1.9,2.6,4.9,0.1,4.0,1.4,1.7,2.0,5.2,0.6,0.1,2.8,5.3,-0.3,1.6,-2.3,2.0,2.6,4.9,0.1,4.2,1.4,3.8,2.0,5.2,0.9,-6.5,2.8,1.5,-0.3,1.6,-2.3,1.8,-3.5,0.7,-3.9,0.6,6.0,2.3,74.9,74.8,86.6,65.2,92.4,65.9,84.1,75.0,74.4,104.5,91.1,60.7,70.2,68.9,68.1,77.9,75.1,76.6,86.6,65.2,92.4,65.8,84.1,75.8,74.4,104.5,92.8,66.5,70.2,65.3,68.1,77.9,75.1,67.7,68.9,74.6,68.0,60.3,69.5,75.4
26,1995JJ00,223745,189157,19221.0,4926.0,9527.0,32498.0,10427.0,18304.0,16911.0,3280.0,17541.0,13969.0,8318.0,12656.0,19954.0,5481,7106,151058,19221,4926,9527,31547,10427,6095,16911,3280,16342,946,8318,1939,19954,5481,7106,38099,951.0,12209.0,1199.0,13023.0,10717.0,34588,292466,247767.0,22079.0,7485.0,10346.0,47102.0,12425.0,23907.0,22648.0,3105.0,19324.0,22407.0,11418.0,18217.0,27960.0,7080,9124,193074,22079.0,7485.0,10346.0,45802.0,12425.0,7916.0,22648.0,3105.0,17717.0,1364.0,11418.0,2918.0,27960.0,7080,9124,55131.0,1310.0,15998.0,1704.0,21037.0,15311.0,44666.0,2.6,2.5,2.5,0.8,-0.7,2.7,4.8,2.3,1.4,7.8,4.7,0.2,-1.4,3.9,4.8,6.5,4.5,2.7,2.5,0.8,-0.7,2.7,4.8,3.7,1.4,7.8,4.9,-9.5,-1.4,3.1,4.8,6.5,4.5,2.1,4.0,1.5,1.0,1.0,4.0,3.0,76.5,76.3,87.1,65.8,92.1,69.0,83.9,76.6,74.7,105.6,90.8,62.3,72.9,69.5,71.4,77.4,77.9,78.2,87.1,65.8,92.1,68.9,83.9,77.0,74.7,105.6,92.2,69.3,72.9,66.4,71.4,77.4,77.9,69.1,72.6,76.3,70.4,61.9,70.0,77.4
27,1996JJ00,233488,198536,19828.0,5112.0,9786.0,35123.0,10988.0,18945.0,17659.0,4068.0,18661.0,14104.0,8789.0,13023.0,20872.0,5822,7400,160658,19828,5112,9786,34102,10988,7216,17659,4068,17440,952,8789,2268,20872,5822,7400,37878,1021.0,11729.0,1221.0,13152.0,10755.0,34952,300272,255699.0,22639.0,7562.0,10640.0,48785.0,12993.0,24786.0,23289.0,3421.0,20532.0,22362.0,11783.0,18502.0,29071.0,7379,9164,201375,22639.0,7562.0,10640.0,47450.0,12993.0,9277.0,23289.0,3421.0,18898.0,1328.0,11783.0,3358.0,29071.0,7379,9164,54496.0,1346.0,15507.0,1714.0,21032.0,15176.0,44557.0,2.7,3.2,2.5,1.0,2.8,3.6,4.6,3.7,2.8,10.2,6.2,-0.2,3.2,1.6,4.0,4.2,0.4,4.3,2.5,1.0,2.8,3.6,4.6,17.2,2.8,10.2,6.7,-2.6,3.2,15.1,4.0,4.2,0.4,-1.2,2.7,-3.1,0.6,0.0,-0.9,-0.2,77.8,77.6,87.6,67.6,92.0,72.0,84.6,76.4,75.8,118.9,90.9,63.1,74.6,70.4,71.8,78.9,80.8,79.8,87.6,67.6,92.0,71.9,84.6,77.8,75.8,118.9,92.3,71.7,74.6,67.5,71.8,78.9,80.8,69.5,75.9,75.6,71.2,62.5,70.9,78.4
28,1997JJ00,246651,210789,20750.0,5349.0,10322.0,36835.0,11787.0,19879.0,18818.0,4725.0,20134.0,14858.0,9397.0,14055.0,22721.0,6708,7867,170179,20750,5349,10322,35650,11787,7349,18818,4725,18868,999,9397,2285,22721,6708,7867,40610,1185.0,12530.0,1266.0,13859.0,11770.0,35862,309813,264797.0,23160.0,7607.0,11040.0,49165.0,13746.0,25606.0,24263.0,4079.0,21766.0,22657.0,12362.0,19279.0,30731.0,8238,9597,208427,23160.0,7607.0,11040.0,47667.0,13746.0,9358.0,24263.0,4079.0,20125.0,1335.0,12362.0,3300.0,30731.0,8238,9597,56565.0,1502.0,16251.0,1700.0,21322.0,16003.0,45010.0,3.2,3.6,2.3,0.6,3.8,0.8,5.8,3.3,4.2,19.2,6.0,1.3,4.9,4.2,5.7,11.6,4.7,3.5,2.3,0.6,3.8,0.5,5.8,0.9,4.2,19.2,6.5,0.5,4.9,-1.7,5.7,11.6,4.7,3.8,11.6,4.8,-0.8,1.4,5.4,1.0,79.6,79.6,89.6,70.3,93.5,74.9,85.7,77.6,77.6,115.8,92.5,65.6,76.0,72.9,73.9,81.4,82.0,81.6,89.6,70.3,93.5,74.8,85.7,78.5,77.6,115.8,93.8,74.8,76.0,69.2,73.9,81.4,82.0,71.8,78.9,77.1,74.5,65.0,73.5,79.7
29,1998JJ00,263029,225834,21661.0,5441.0,11235.0,38680.0,13104.0,20850.0,19963.0,5748.0,21789.0,15832.0,10051.0,15353.0,24823.0,7320,8624,182540,21661,5441,11235,37316,13104,7796,19963,5748,20497,1052,10051,2549,24823,7320,8624,43294,1364.0,13054.0,1292.0,14780.0,12804.0,37195,323171,277354.0,23623.0,7463.0,11670.0,49997.0,15024.0,26302.0,25695.0,5122.0,23250.0,22959.0,12968.0,20494.0,32615.0,8843,10448,219136,23623.0,7463.0,11670.0,48325.0,15024.0,9688.0,25695.0,5122.0,21617.0,1335.0,12968.0,3615.0,32615.0,8843,10448,58309.0,1668.0,16617.0,1664.0,21626.0,16911.0,45811.0,4.3,4.7,2.0,-1.9,5.7,1.7,9.3,2.7,5.9,25.6,6.8,1.3,4.9,6.3,6.1,7.3,8.9,5.1,2.0,-1.9,5.7,1.4,9.3,3.5,5.9,25.6,7.4,0.0,4.9,9.5,6.1,7.3,8.9,3.1,11.1,2.3,-2.1,1.4,5.7,1.8,81.4,81.4,91.7,72.9,96.3,77.4,87.2,79.3,77.7,112.2,93.7,69.0,77.5,74.9,76.1,82.8,82.5,83.3,91.7,72.9,96.3,77.2,87.2,80.5,77.7,112.2,94.8,78.8,77.5,70.5,76.1,82.8,82.5,74.2,81.8,78.6,77.7,68.3,75.7,81.2
30,1999JJ00,281641,242001,22363.0,5741.0,11871.0,40754.0,14012.0,22196.0,22134.0,6787.0,23824.0,16994.0,10713.0,16322.0,26854.0,7715,9151,195774,22363,5741,11871,39295,14012,8371,22134,6787,22466,1108,10713,2623,26854,7715,9151,46227,1459.0,13825.0,1358.0,15886.0,13699.0,39640,337771,290079.0,24063.0,7593.0,12153.0,51044.0,15781.0,26948.0,27718.0,6614.0,25399.0,23126.0,13318.0,20913.0,34272.0,9106,10948,230668,24063.0,7593.0,12153.0,49313.0,15781.0,10026.0,27718.0,6614.0,23730.0,1335.0,13318.0,3574.0,34272.0,9106,10948,59326.0,1725.0,16923.0,1677.0,21795.0,17364.0,47685.0,4.5,4.6,1.9,1.7,4.1,2.1,5.0,2.5,7.9,29.1,9.2,0.7,2.7,2.0,5.1,3.0,4.8,5.3,1.9,1.7,4.1,2.0,5.0,3.5,7.9,29.1,9.8,0.0,2.7,-1.1,5.1,3.0,4.8,1.7,3.4,1.8,0.8,0.8,2.7,4.1,83.4,83.4,92.9,75.6,97.7,79.8,88.8,82.4,79.9,102.6,93.8,73.5,80.4,78.0,78.4,84.7,83.6,84.9,92.9,75.6,97.7,79.7,88.8,83.5,79.9,102.6,94.7,83.0,80.4,73.4,78.4,84.7,83.6,77.9,84.6,81.7,81.0,72.9,78.9,83.1
31,2000JJ00,302694,260902,22992.0,5915.0,12493.0,43424.0,15152.0,23647.0,23675.0,7997.0,25690.0,18207.0,11517.0,18038.0,30422.0,8320,10053,210823,22992,5915,12493,41962,15152,8736,23675,7997,24253,1161,11517,2815,30422,8320,10053,50079,1462.0,14911.0,1437.0,17046.0,15223.0,41792,348532,300197.0,24533.0,7532.0,12653.0,52126.0,16695.0,27516.0,27667.0,8283.0,26950.0,23133.0,13871.0,21902.0,35527.0,9515,11465,239268,24533.0,7532.0,12653.0,50443.0,16695.0,10089.0,27667.0,8283.0,25265.0,1363.0,13871.0,3563.0,35527.0,9515,11465,60791.0,1681.0,17431.0,1679.0,21770.0,18353.0,48325.0,3.2,3.5,2.0,-0.8,4.1,2.1,5.8,2.1,-0.2,25.2,6.1,0.0,4.2,4.7,3.7,4.5,4.7,3.7,2.0,-0.8,4.1,2.3,5.8,0.6,-0.2,25.2,6.5,2.1,4.2,-0.3,3.7,4.5,4.7,2.5,-2.5,3.0,0.1,-0.1,5.7,1.3,86.8,86.9,93.7,78.5,98.7,83.3,90.8,85.9,85.6,96.6,95.3,78.7,83.0,82.4,85.6,87.4,87.7,88.1,93.7,78.5,98.7,83.2,90.8,86.6,85.6,96.6,96.0,85.2,83.0,79.0,85.6,87.4,87.7,82.4,87.0,85.5,85.6,78.3,82.9,86.5
32,2001JJ00,325629,279460,24488.0,6609.0,13150.0,46692.0,16163.0,26065.0,24134.0,9096.0,27244.0,19869.0,12083.0,20126.0,31774.0,8543,10510,224244,24488,6609,13150,45187,16163,9761,24134,9096,25684,1216,12083,2932,31774,8543,10510,55216,1505.0,16304.0,1560.0,18653.0,17194.0,46169,357792,306697.0,24671.0,7777.0,12649.0,53330.0,17020.0,28204.0,27447.0,9465.0,27599.0,23514.0,13754.0,23467.0,35614.0,9296,11592,243639,24671.0,7777.0,12649.0,51651.0,17020.0,10593.0,27447.0,9465.0,25857.0,1385.0,13754.0,3532.0,35614.0,9296,11592,62974.0,1679.0,17612.0,1739.0,22129.0,19936.0,51092.0,2.7,2.2,0.6,3.2,0.0,2.3,1.9,2.5,-0.8,14.3,2.4,1.6,-0.8,7.1,0.2,-2.3,1.1,1.8,0.6,3.2,0.0,2.4,1.9,5.0,-0.8,14.3,2.3,1.6,-0.8,-0.9,0.2,-2.3,1.1,3.6,-0.1,1.0,3.5,1.6,8.6,5.7,91.0,91.1,99.3,85.0,104.0,87.6,95.0,92.4,87.9,96.1,98.7,84.5,87.8,85.8,89.2,91.9,90.7,92.0,99.3,85.0,104.0,87.5,95.0,92.1,87.9,96.1,99.3,87.8,87.8,83.0,89.2,91.9,90.7,87.7,89.6,92.6,89.7,84.3,86.2,90.4
33,2002JJ00,343289,294051,25547.0,6779.0,13396.0,48472.0,16135.0,29240.0,25763.0,10228.0,28275.0,21436.0,12447.0,22427.0,31972.0,9151,11085,233043,25547,6779,13396,46755,16135,10962,25763,10228,26604,1299,12447,3222,31972,9151,11085,61008,1717.0,18278.0,1671.0,20137.0,19205.0,49238,363717,311235.0,25045.0,7687.0,12610.0,53665.0,16386.0,29676.0,28510.0,10277.0,28131.0,23810.0,13247.0,24496.0,35564.0,9614,11858,245897,25045.0,7687.0,12610.0,51790.0,16386.0,11218.0,28510.0,10277.0,26336.0,1408.0,13247.0,3606.0,35564.0,9614,11858,65319.0,1871.0,18459.0,1793.0,22402.0,20888.0,52484.0,1.7,1.5,1.5,-1.1,-0.3,0.6,-3.7,5.2,3.9,8.6,1.9,1.3,-3.7,4.4,-0.1,3.4,2.3,0.9,1.5,-1.1,-0.3,0.3,-3.7,5.9,3.9,8.6,1.9,1.6,-3.7,2.1,-0.1,3.4,2.3,3.7,11.4,4.8,3.1,1.2,4.8,2.7,94.4,94.5,102.0,88.2,106.2,90.3,98.5,98.5,90.4,99.5,100.5,90.0,94.0,91.6,89.9,95.2,93.5,94.8,102.0,88.2,106.2,90.3,98.5,97.7,90.4,99.5,101.0,92.2,94.0,89.4,89.9,95.2,93.5,93.4,91.8,99.0,93.2,89.9,91.9,93.8
34,2003JJ00,354896,302922,26009.0,6899.0,12827.0,50907.0,15793.0,31326.0,26050.0,10890.0,27896.0,22593.0,12153.0,24090.0,33664.0,9158,10983,238103,26009,6899,12827,49304,15793,11580,26050,10890,26189,1409,12153,3511,33664,9158,10983,64819,1603.0,19746.0,1707.0,21184.0,20579.0,51974,366658,312463.0,25212.0,7599.0,12405.0,54536.0,15833.0,31208.0,28237.0,10646.0,27616.0,23982.0,12592.0,25230.0,35416.0,9360,11440,245449,25212.0,7599.0,12405.0,52841.0,15833.0,11595.0,28237.0,10646.0,25836.0,1469.0,12592.0,3776.0,35416.0,9360,11440,67016.0,1694.0,19611.0,1779.0,22512.0,21454.0,54206.0,0.8,0.4,0.7,-1.2,-1.6,1.6,-3.4,5.2,-1.0,3.6,-1.8,0.7,-4.9,3.0,-0.4,-2.6,-3.5,-0.2,0.7,-1.2,-1.6,2.0,-3.4,3.4,-1.0,3.6,-1.9,4.3,-4.9,4.7,-0.4,-2.6,-3.5,2.6,-9.4,6.2,-0.8,0.5,2.7,3.3,96.8,96.9,103.2,90.8,103.4,93.3,99.7,100.4,92.3,102.3,101.0,94.2,96.5,95.5,95.1,97.8,96.0,97.0,103.2,90.8,103.4,93.3,99.7,99.9,92.3,102.3,101.4,95.9,96.5,93.0,95.1,97.8,96.0,96.7,94.6,100.7,95.9,94.1,95.9,95.9
35,2004JJ00,361723,309173,26211.0,6965.0,12762.0,52992.0,15521.0,32404.0,27189.0,11009.0,27989.0,23264.0,12294.0,24676.0,34800.0,9220,10317,242781,26211,6965,12762,51343,15521,12189,27189,11009,26238,1491,12294,3672,34800,9220,10317,66392,1649.0,20215.0,1751.0,21773.0,21004.0,52550,368982,315329.0,25907.0,7139.0,12568.0,55195.0,15581.0,32295.0,28394.0,10794.0,27920.0,23970.0,12514.0,25269.0,36699.0,9330,10454,247856,25907.0,7139.0,12568.0,53503.0,15581.0,12208.0,28394.0,10794.0,26128.0,1521.0,12514.0,3798.0,36699.0,9330,10454,67475.0,1691.0,20087.0,1792.0,22447.0,21471.0,53654.0,0.6,0.9,2.8,-6.1,1.3,1.2,-1.6,3.5,0.6,1.4,1.1,0.0,-0.6,0.2,3.6,-0.3,-8.6,1.0,2.8,-6.1,1.3,1.3,-1.6,5.3,0.6,1.4,1.1,3.5,-0.6,0.6,3.6,-0.3,-8.6,0.7,-0.2,2.4,0.7,-0.3,0.1,-1.0,98.0,98.0,101.2,97.6,101.5,96.0,99.6,100.3,95.8,102.0,100.2,97.1,98.2,97.7,94.8,98.8,98.7,98.0,101.2,97.6,101.5,96.0,99.6,99.8,95.8,102.0,100.4,98.0,98.2,96.7,94.8,98.8,98.7,98.4,97.5,100.6,97.7,97.0,97.8,97.9
36,2005JJ00,372028,319010,25985.0,6992.0,12819.0,55579.0,15513.0,33535.0,28289.0,11366.0,28496.0,23831.0,12540.0,25631.0,37582.0,9313,10165,250343,25985,6992,12819,53893,15513,12733,28289,11366,26653,1316,12540,3810,37582,9313,10165,68667,1686.0,20802.0,1843.0,22515.0,21821.0,53018,372028,319010.0,25985.0,6992.0,12819.0,55579.0,15513.0,33535.0,28289.0,11366.0,28496.0,23831.0,12540.0,25631.0,37582.0,9313,10165,250343,25985.0,6992.0,12819.0,53893.0,15513.0,12733.0,28289.0,11366.0,26653.0,1316.0,12540.0,3810.0,37582.0,9313,10165,68667.0,1686.0,20802.0,1843.0,22515.0,21821.0,53018.0,0.8,1.2,0.3,-2.1,2.0,0.7,-0.4,3.8,-0.4,5.3,2.1,-0.6,0.2,1.4,2.4,-0.2,-2.8,1.0,0.3,-2.1,2.0,0.7,-0.4,4.3,-0.4,5.3,2.0,-13.5,0.2,0.3,2.4,-0.2,-2.8,1.8,-0.3,3.6,2.9,0.3,1.6,-1.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
37,2006JJ00,390317,334717,27227.0,7212.0,13599.0,58268.0,16273.0,35559.0,30014.0,11634.0,29875.0,24611.0,13124.0,26597.0,40112.0,9994,10606,254875,27227,7212,13599,56242,16273,5742,30014,11634,27973,1350,13124,3761,40112,9994,10606,79842,2026.0,29817.0,1902.0,23261.0,22836.0,55600,382772,327880.0,26675.0,7109.0,13570.0,56196.0,16201.0,34853.0,29211.0,11958.0,30035.0,23961.0,12854.0,26266.0,38616.0,9808,10183,249482,26675.0,7109.0,13570.0,54218.0,16201.0,5549.0,29211.0,11958.0,28173.0,1313.0,12854.0,3660.0,38616.0,9808,10183,78398.0,1978.0,29304.0,1862.0,22648.0,22606.0,54892.0,2.9,2.8,2.7,1.7,5.9,1.1,4.4,3.9,3.3,5.2,5.4,0.5,2.5,2.5,2.8,5.3,0.2,-0.3,2.7,1.7,5.9,0.6,4.4,-56.4,3.3,5.2,5.7,-0.2,2.5,-3.9,2.8,5.3,0.2,14.2,17.3,40.9,1.0,0.6,3.6,3.5,102.0,102.1,102.1,101.4,100.2,103.7,100.4,102.0,102.7,97.3,99.5,102.7,102.1,101.3,103.9,101.9,104.2,102.2,102.1,101.4,100.2,103.7,100.4,103.5,102.7,97.3,99.3,102.8,102.1,102.8,103.9,101.9,104.2,101.8,102.4,101.8,102.1,102.7,101.0,101.3
38,2007JJ00,407971,349635,28308.0,7530.0,14220.0,59629.0,16805.0,37617.0,31218.0,11748.0,31573.0,26153.0,13838.0,28350.0,42507.0,10739,10878,264099,28308,7530,14220,57481,16805,6178,31218,11748,29649,1420,13838,3058,42507,10739,10878,85536,2148.0,31439.0,1924.0,24733.0,25292.0,58336,391844,335354.0,27349.0,7281.0,14100.0,56086.0,16544.0,36078.0,29830.0,12313.0,31809.0,24229.0,13103.0,27419.0,39426.0,10353,10209,253864,27349.0,7281.0,14100.0,54031.0,16544.0,5867.0,29830.0,12313.0,29973.0,1354.0,13103.0,2908.0,39426.0,10353,10209,81494.0,2056.0,30209.0,1840.0,22875.0,24527.0,56492.0,2.4,2.3,2.5,2.4,3.9,-0.2,2.1,3.5,2.1,3.0,5.9,1.1,1.9,4.4,2.1,5.6,0.3,1.8,2.5,2.4,3.9,-0.3,2.1,5.7,2.1,3.0,6.4,3.1,1.9,-20.6,2.1,5.6,0.3,3.9,3.9,3.1,-1.2,1.0,8.5,2.9,104.1,104.3,103.5,103.4,100.9,106.3,101.6,104.3,104.7,95.4,99.3,107.9,105.6,103.4,107.8,103.7,106.6,104.0,103.5,103.4,100.9,106.4,101.6,105.3,104.7,95.4,98.9,104.9,105.6,105.2,107.8,103.7,106.6,105.0,104.5,104.1,104.5,108.1,103.1,103.3
39,2008JJ00,423230,360964,30068.0,7865.0,14302.0,62124.0,16987.0,40903.0,32844.0,11375.0,32091.0,27505.0,13881.0,29531.0,41140.0,11230,11578,270417,30068,7865,14302,59965,16987,7297,32844,11375,30091,1490,13881,2764,41140,11230,11578,90547,2159.0,33606.0,2000.0,26015.0,26767.0,62266,398967,341088.0,27368.0,7257.0,14267.0,57080.0,16371.0,38731.0,30206.0,12378.0,32217.0,24395.0,12626.0,27739.0,40035.0,10470,10926,257164,27368.0,7257.0,14267.0,55047.0,16371.0,6839.0,30206.0,12378.0,30382.0,1400.0,12626.0,2560.0,40035.0,10470,10926,83919.0,2033.0,31883.0,1840.0,22996.0,25202.0,57885.0,1.8,1.7,0.1,-0.3,1.2,1.8,-1.0,7.4,1.3,0.5,1.3,0.7,-3.6,1.2,1.5,1.1,7.0,1.3,0.1,-0.3,1.2,1.9,-1.0,16.6,1.3,0.5,1.4,3.4,-3.6,-12.0,1.5,1.1,7.0,3.0,-1.1,5.5,0.0,0.5,2.8,2.5,106.1,105.8,109.9,108.4,100.2,108.8,103.8,105.6,108.7,91.9,99.6,112.8,109.9,106.5,102.8,107.3,106.0,105.2,109.9,108.4,100.2,108.9,103.8,106.7,108.7,91.9,99.0,106.5,109.9,108.0,102.8,107.3,106.0,107.9,106.2,105.4,108.7,113.1,106.2,107.6
40,2009JJ00,427677,360852,30292.0,8130.0,14198.0,63693.0,16224.0,43603.0,30626.0,10888.0,30739.0,29513.0,13241.0,31357.0,37711.0,11015,11652,263537,30292,8130,14198,61558,16224,7079,30626,10888,28690,1548,13241,2715,37711,11015,11652,97315,2135.0,36524.0,2049.0,27965.0,28642.0,66825,400861,339994.0,27179.0,6911.0,14250.0,57212.0,15355.0,41046.0,29063.0,12115.0,30713.0,24825.0,11650.0,28963.0,39645.0,10202,11199,251867,27179.0,6911.0,14250.0,55247.0,15355.0,6643.0,29063.0,12115.0,28882.0,1426.0,11650.0,2480.0,39645.0,10202,11199,88008.0,1963.0,34401.0,1828.0,23400.0,26510.0,60829.0,0.5,-0.3,-0.7,-4.8,-0.1,0.2,-6.2,6.0,-3.8,-2.1,-4.7,1.8,-7.7,4.4,-1.0,-2.6,2.5,-2.1,-0.7,-4.8,-0.1,0.4,-6.2,-2.9,-3.8,-2.1,-4.9,1.9,-7.7,-3.1,-1.0,-2.6,2.5,4.9,-3.5,7.9,-0.7,1.8,5.2,5.1,106.7,106.1,111.5,117.6,99.6,111.3,105.7,106.2,105.4,89.9,100.1,118.9,113.7,108.3,95.1,108.0,104.0,104.6,111.5,117.6,99.6,111.4,105.7,106.6,105.4,89.9,99.3,108.6,113.7,109.5,95.1,108.0,104.0,110.6,108.8,106.2,112.1,119.5,108.0,109.9
41,2010JJ00,435169,368498,30768.0,8308.0,14344.0,65356.0,16099.0,45448.0,32841.0,10905.0,30847.0,30124.0,12875.0,32411.0,38725.0,12181,11628,268199,30768,8308,14344,63143,16099,7285,32841,10905,28746,1635,12875,3078,38725,12181,11628,100299,2213.0,38163.0,2101.0,28489.0,29333.0,66671,402329,342283.0,27342.0,6816.0,14441.0,58828.0,15124.0,42414.0,29779.0,11913.0,30630.0,25011.0,11068.0,29365.0,39672.0,11083,10817,252611,27342.0,6816.0,14441.0,56837.0,15124.0,6807.0,29779.0,11913.0,28818.0,1474.0,11068.0,2700.0,39672.0,11083,10817,89502.0,1988.0,35606.0,1811.0,23542.0,26691.0,60043.0,0.4,0.7,0.6,-1.4,1.3,2.8,-1.5,3.3,2.5,-1.7,-0.3,0.8,-5.0,1.4,0.1,8.6,-3.4,0.3,0.6,-1.4,1.3,2.9,-1.5,2.5,2.5,-1.7,-0.2,3.4,-5.0,8.9,0.1,8.6,-3.4,1.7,1.3,3.5,-1.0,0.6,0.7,-1.3,108.2,107.7,112.5,121.9,99.3,111.1,106.5,107.2,110.3,91.5,100.7,120.4,116.3,110.4,97.6,109.9,107.5,106.2,112.5,121.9,99.3,111.1,106.5,107.0,110.3,91.5,99.7,110.9,116.3,114.0,97.6,109.9,107.5,112.1,111.3,107.2,116.0,121.0,109.9,111.0
