ID,Bedrijfstype,RegioS,Perioden,TotaalMestproductie_1,DunneMestInDeStal_2,DunneMestInDeWei_3,VasteMestInDeStal_4,Stikstofuitscheiding_5,TotaalGasvormigeStikstofverliezen_6,TotaalVerliezenInStalEnOpslag_7,AmmoniakUitgedruktInN_8,OverigeStikstofverliezen_9,AmmoniakverliesTijdensBeweidingN_10,StikstofInGeproduceerdeMestN_11,FosfaatuitscheidingP205_12,PlaatsingsruimteStikstofN_13,PlaatsingsruimteFosfaatP205_14,AandeelBedrijvenZonderOverproductie_15,ResterendePlaatsingsruimteStikstof_16,ResterendePlaatsingsruimteFosfaat_17,AandeelBedrijvenMetOverproductie_18,Stikstofoverschot_19,Fosfaatoverschot_20,SaldoPlaatsingsruimteStikstof_21,SaldoPlaatsingsruimteStikstofPerHa_22,SaldoPlaatsingsruimteFosfaat_23,SaldoPlaatsingsruimteFosfaatPerHa_24
2195,T20,PV22  ,2013JJ00,335.0,251.0,4.0,80.0,5430.0,670.0,670.0,600.0,70.0,0.0,4760.0,2190.0,770.0,280.0,1.0,0.0,0.0,99.0,4100.0,1910.0,-4100.0,-924.0,-1910.0,-431.0
2196,T20,PV22  ,2014JJ00,341.0,251.0,4.0,87.0,5450.0,680.0,680.0,600.0,70.0,0.0,4770.0,2250.0,690.0,250.0,2.0,0.0,0.0,98.0,4200.0,2010.0,-4200.0,-1058.0,-2010.0,-506.0
2197,T20,PV22  ,2015JJ00,310.0,224.0,3.0,83.0,5510.0,660.0,660.0,590.0,70.0,0.0,4850.0,2280.0,710.0,240.0,2.0,0.0,0.0,98.0,4310.0,2050.0,-4300.0,-1048.0,-2040.0,-498.0
2198,T20,PV22  ,2016JJ00,309.0,222.0,4.0,83.0,5510.0,660.0,660.0,590.0,70.0,0.0,4850.0,2280.0,670.0,220.0,2.0,10.0,0.0,98.0,4350.0,2060.0,-4340.0,-1132.0,-2060.0,-538.0
2199,T20,PV22  ,2017JJ00,273.0,190.0,3.0,80.0,5170.0,580.0,580.0,520.0,70.0,0.0,4590.0,2100.0,590.0,200.0,3.0,10.0,0.0,97.0,4140.0,1900.0,-4130.0,-1213.0,-1900.0,-558.0
2200,T20,PV23  ,1990JJ00,2466.0,2100.0,249.0,118.0,24220.0,5850.0,5690.0,5230.0,450.0,160.0,18530.0,10370.0,,4930.0,24.0,,460.0,76.0,9150.0,5900.0,,,-5440.0,-306.0
2201,T20,PV23  ,1994JJ00,2231.0,1921.0,186.0,124.0,23120.0,5800.0,5710.0,5270.0,440.0,90.0,17410.0,9700.0,,2880.0,10.0,,100.0,90.0,11130.0,6910.0,,,-6820.0,-423.0
2202,T20,PV23  ,1995JJ00,2209.0,1897.0,185.0,127.0,22880.0,5630.0,5520.0,5080.0,430.0,110.0,17370.0,8870.0,,2170.0,6.0,,50.0,94.0,11950.0,6750.0,,,-6710.0,-415.0
2203,T20,PV23  ,1996JJ00,2236.0,1923.0,186.0,127.0,22900.0,5620.0,5470.0,5040.0,430.0,150.0,17430.0,8630.0,,1980.0,5.0,,30.0,95.0,12080.0,6680.0,,,-6650.0,-420.0
2204,T20,PV23  ,1997JJ00,2348.0,2017.0,189.0,143.0,24960.0,6100.0,6000.0,5520.0,480.0,110.0,18960.0,9500.0,,2120.0,5.0,,40.0,95.0,13440.0,7420.0,,,-7380.0,-433.0
2205,T20,PV23  ,1998JJ00,2322.0,1982.0,182.0,157.0,23360.0,5700.0,5650.0,5210.0,450.0,50.0,17710.0,9210.0,,2010.0,4.0,,30.0,96.0,12710.0,7230.0,,,-7200.0,-406.0
2206,T20,PV23  ,1999JJ00,2209.0,1868.0,176.0,164.0,22700.0,5530.0,5470.0,5050.0,420.0,50.0,17230.0,8920.0,,1970.0,5.0,,40.0,95.0,12430.0,6990.0,,,-6950.0,-400.0
2207,T20,PV23  ,2000JJ00,2190.0,1860.0,167.0,163.0,21330.0,5020.0,4980.0,4580.0,400.0,40.0,16350.0,8780.0,,1830.0,4.0,,30.0,96.0,11960.0,6980.0,,,-6950.0,-411.0
2208,T20,PV23  ,2001JJ00,2004.0,1698.0,140.0,166.0,19260.0,4470.0,4420.0,4070.0,360.0,40.0,14830.0,7620.0,,1600.0,5.0,,30.0,95.0,11000.0,6050.0,,,-6020.0,-396.0
2209,T20,PV23  ,2002JJ00,1861.0,1589.0,112.0,160.0,18000.0,4140.0,4110.0,3780.0,330.0,30.0,13890.0,7230.0,,1550.0,5.0,,20.0,95.0,10280.0,5700.0,,,-5680.0,-370.0
2210,T20,PV23  ,2003JJ00,1634.0,1428.0,77.0,129.0,16500.0,3900.0,3880.0,3580.0,300.0,20.0,12620.0,6810.0,,1140.0,2.0,,10.0,98.0,10030.0,5680.0,,,-5670.0,-469.0
2211,T20,PV23  ,2004JJ00,1647.0,1446.0,80.0,121.0,15840.0,3740.0,3730.0,3440.0,290.0,10.0,12110.0,6440.0,,1150.0,2.0,,10.0,98.0,9530.0,5290.0,,,-5280.0,-436.0
