ID,BankenSBI2008,Perioden,Ondernemingen_1,LokaleBedrijfseenheid_2,TotaalWerkzamePersonen_3,WerkzameVrouwen_4,WerkzameMannen_5,NoordNederland_6,OostNederland_7,WestNederland_8,ZuidNederland_9,WerknemersInVTE_10,AantalGelduitgifteautomaten_11,TotaalBaten_12,TotaalRenteEnSoortgelijkeBaten_13,RenteBatenVastRentendeWaardepapieren_14,OverigeRenteEnSoortgelijkeBaten_15,TotaalOpbrengstenUitWaardepapieren_16,OpbrengstenUitAandelen_17,OverigeOpbrengstenUitWaardepapieren_18,Provisiebaten_19,ResultaatUitFinancieleTransacties_20,OverigeBaten_21,TotaalLasten_22,TotaalRenteEnSoortgelijkeLasten_23,RenteEnSoortgelLastenUitgegevenObl_24,OverigeRenteEnSoortgelijkeLasten_25,Provisielasten_26,TotaalAlgemeneAdministratieveUitgaven_27,OverigeAdministratieveUitgaven_28,TotaalPersoneelskosten_29,LonenEnSalarissen_30,SocialeLasten_31,OverigeBedrijfslasten_32,WaardeverVanVordEnToevOnttr_33,OverigeWaardeveranderingen_34,ResultaatUitGewoneActiviteiten_35,ResultaatBuitengewoneBatenEnLasten_36,Belastingen_37,WinstVerliesBoekjaar_38,Productiewaarde_39,ToegevoegdeWaardeTegenBasisprijzen_40,BrutoInvesteringenInMaterieleActiva_41,TotaleAankoopVanGoederenEnDiensten_42
45,6419  ,2004JJ00,89.0,4353.0,129036.0,61937.0,67099.0,10585.0,18973.0,76715.0,22762.0,116249.0,7889.0,65373.0,50571.0,5928.0,44643.0,5622.0,530.0,5092.0,5586.0,1265.0,2329.0,65373.0,33913.0,8968.0,24945.0,775.0,16049.0,7444.0,8605.0,6393.0,2212.0,158.0,1420.0,1136.0,11922.0,-1.0,1839.0,10082.0,26369.0,17992.0,1309.0,8377.0
46,6419  ,2005JJ00,91.0,4259.0,126362.0,60654.0,65708.0,10366.0,18580.0,75126.0,22291.0,113840.0,7446.0,81976.0,61644.0,9088.0,52556.0,5468.0,258.0,5210.0,5967.0,2627.0,6270.0,81976.0,45270.0,12998.0,32272.0,838.0,18627.0,9929.0,8698.0,6947.0,1751.0,128.0,1090.0,866.0,15157.0,0.0,1935.0,13222.0,31496.0,20601.0,3257.0,10895.0
47,6419  ,2006JJ00,89.0,4129.0,125135.0,60065.0,65070.0,10265.0,18399.0,74396.0,22074.0,112734.0,8114.0,87352.0,62829.0,7044.0,55785.0,7569.0,252.0,7317.0,6514.0,2676.0,7764.0,87354.0,48270.0,14904.0,33366.0,929.0,21191.0,12542.0,8649.0,7181.0,1469.0,83.0,972.0,668.0,15241.0,0.0,1466.0,13775.0,31766.0,18213.0,3140.0,13553.0
48,6419  ,2007JJ00,93.0,4157.0,132795.0,63742.0,69053.0,10894.0,19526.0,78950.0,23426.0,119635.0,8546.0,110015.0,79161.0,7347.0,71814.0,16568.0,394.0,16174.0,6692.0,2369.0,5225.0,110015.0,64477.0,13824.0,50653.0,1109.0,21829.0,12218.0,9611.0,7639.0,1972.0,68.0,853.0,1906.0,19773.0,22.0,798.0,18998.0,29363.0,15969.0,-3563.0,13395.0
49,6419  ,2008JJ00,93.0,4402.0,130617.0,62696.0,67921.0,10715.0,19206.0,77655.0,23041.0,117673.0,8654.0,97756.0,107037.0,5858.0,101179.0,915.0,320.0,595.0,7374.0,-18420.0,850.0,97756.0,89471.0,9579.0,79892.0,1296.0,17444.0,8936.0,8508.0,7025.0,1483.0,166.0,4359.0,1850.0,-16830.0,9.0,120.0,-16941.0,7690.0,-2708.0,1546.0,10398.0
50,6419  ,2009JJ00,93.0,4047.0,126450.0,60696.0,65754.0,10373.0,18593.0,75178.0,22306.0,113919.0,8506.0,95726.0,85106.0,4220.0,80886.0,2093.0,252.0,1841.0,6435.0,1050.0,1042.0,95726.0,67539.0,7022.0,60517.0,1269.0,15878.0,8382.0,7496.0,6436.0,1060.0,592.0,5137.0,1588.0,3723.0,-6.0,51.0,3666.0,26346.0,16103.0,912.0,10243.0
51,6419  ,2010JJ00,93.0,4017.0,118514.0,56887.0,61627.0,9722.0,17426.0,70459.0,20906.0,106769.0,7919.0,97467.0,88519.0,3061.0,85458.0,1789.0,188.0,1601.0,6600.0,-849.0,1408.0,97467.0,67488.0,7230.0,60258.0,1378.0,16078.0,8344.0,7734.0,6268.0,1466.0,251.0,3137.0,1776.0,7359.0,2.0,1340.0,6021.0,28378.0,18405.0,827.0,9973.0
52,6419  ,2011JJ00,93.0,3874.0,114629.0,55022.0,59607.0,9404.0,16855.0,68150.0,20221.0,103269.0,7799.0,101917.0,89898.0,5669.0,84229.0,3522.0,1307.0,2215.0,6675.0,-332.0,2154.0,101917.0,69130.0,10862.0,58268.0,1445.0,16684.0,8779.0,7905.0,6408.0,1497.0,277.0,3911.0,3067.0,7403.0,-4.0,514.0,6885.0,30572.0,20071.0,526.0,10501.0
53,6419  ,2012JJ00,89.0,3694.0,114826.0,55116.0,59710.0,9420.0,16884.0,68267.0,20256.0,103447.0,7569.0,91186.0,81781.0,2370.0,79411.0,1916.0,483.0,1433.0,4783.0,-374.0,3080.0,91186.0,63310.0,10058.0,53252.0,908.0,17541.0,9406.0,8135.0,6707.0,1428.0,702.0,5797.0,1168.0,1760.0,-28.0,-144.0,1876.0,26443.0,15427.0,300.0,11016.0
54,6419  ,2013JJ00,91.0,,107030.0,,,,,,,96423.0,7383.0,84901.0,78121.0,1631.0,76490.0,483.0,489.0,-6.0,5424.0,-1150.0,2023.0,84901.0,59758.0,9350.0,50408.0,946.0,16373.0,8422.0,7951.0,6164.0,1787.0,565.0,4645.0,485.0,1235.0,-4.0,1078.0,-180.0,27655.0,17722.0,155.0,9933.0
55,6419  ,2014JJ00,88.0,,104340.0,,,,,,,94000.0,7535.0,73421.0,65265.0,4580.0,60685.0,904.0,904.0,0.0,4532.0,0.0,2720.0,73421.0,50394.0,12337.0,38057.0,622.0,13331.0,5564.0,7767.0,4987.0,2780.0,761.0,4311.0,1588.0,2414.0,704.0,-54.0,3172.0,23027.0,16080.0,1987.0,6947.0
56,6419  ,2015JJ00,88.0,,100052.0,,,,,,,90137.0,7114.0,69608.0,64598.0,3908.0,60690.0,762.0,762.0,0.0,4598.0,0.0,-350.0,69608.0,46910.0,13622.0,33288.0,654.0,11846.0,5371.0,6475.0,4887.0,1588.0,588.0,2524.0,882.0,6204.0,698.0,1889.0,5013.0,22698.0,16085.0,1446.0,6613.0
