ID,Standaardisatie,RegionaleIndeling,ContactMetHuisarts_1,GemHuisartscontactInBevolking_2,GemHuisartscontactBijContact_3,ContactMetSpecialist_4,GemSpecialistcontactInBevolking_5,GemSpecialistcontactBijContact_6,ContactMetTandarts_7,GemTandartscontactInBevolking_8,GemTandartscontactBijContact_9,ContactMetFysiotherapeut_10,GemFysiotherapeutcontactInBevolking_11,GemFysiotherapeutcontactBijContact_12,ContactMetRiagg_13,ContactMetAlternatieveGenezers_14,Ziekenhuisopname_15,AantalZiekenhuisopnamenInBevolking_16,AantalZiekenhuisopnamenVanPatienten_17,MedicijngebruikVoorgeschreven_18,MedicijngebruikNietVoorgeschreven_19,ContactConsultatiebureau_20,GemiddeldeLengteVanMannen_21,GemiddeldeLengteVanVrouwen_22,GemiddeldGewichtVanMannen_23,GemiddeldGewichtVanVrouwen_24,OndergewichtMannen_25,NormaalgewichtMannen_26,OvergewichtMannen_27,ErnstigOvergewichtMannen_28,OndergewichtVrouwen_29,NormaalgewichtVrouwen_30,OvergewichtVrouwen_31,ErnstigOvergewichtVrouwen_32,MinderGoedeGezondheid_33,Astma_34,Neusholteontsteking_35,HartkwaalOfHartinfarct_36,HogeBloeddruk_37,GevolgenVanEenBeroerte_38,Maagzweer_39,ErnstigeDarmstoornissen_40,GalstenenGalblaasontsteking_41,LeverziekteOfLevercirrhose_42,Nierstenen_43,Nierziekte_44,ChronischeBlaasontsteking_45,Verzakking_46,Suikerziekte_47,Schildklierafwijking_48,Rugaandoening_49,GewrichtsslijtageArthrose_50,GewrichtsontstekingArthritis_51,ChronischeReuma_52,Epilepsie_53,DuizeligheidMetVallen_54,Migraine_55,ErnstigeHuidziekte_56,KwaadaardigeAandoeningOfKanker_57,PersonenMet1OfMeerOESOScores_58,PersonenMetBeperkingenInHoren_59,PersonenMetBeperkingenInZien_60,PersonenMetBeperkingInBewegelijkheid_61,ZonderKunstgebit_62,MetAlleenKunstgebitBovenOfOnder_63,MetKunstgebitBovenEnOnder_64,MetAlleenEenAndereGebitsprothese_65,GemiddeldeGeboortelengte_66,GemiddeldGeboortegewicht_67,Geboortegewicht2500Gr_68,Pilgebruik_69,BorstvoedingBijGeboorte_70,BorstvoedingOpLeeftijdVan6Weken_71,BorstvoedingOpLeeftijdVan3Maanden_72,BorstvoedingOpLeeftijdVan6Maanden_73,Rokers_74,ZwareRokers_75,GeenAlcoholDrinkers_76,ZwareDrinkers_77
74,2,0016,79,5.1,6.1,36,1.1,3.0,75,3.3,4.3,14,2.2,15.2,1,4,7,0.1,1.4,30,25,,180.8,166.8,84.0,71.5,0,52,38,10,3,49,35,13,18,8,12,2,7,0,1,3,0,0,0,0,2,1,1,1,10,8,2,1,1,1,7,2,1,11,2,4,9,62,7,22,9,,,,41,,,,,38,10,20,15
75,2,0017,79,4.4,5.3,37,1.1,2.5,73,1.7,2.5,10,1.8,18.7,1,7,7,0.1,1.1,35,29,,181.0,167.7,83.3,72.0,5,39,48,8,2,46,36,15,19,9,8,2,8,1,2,2,0,0,0,0,1,1,2,1,8,8,4,2,1,1,6,2,2,13,3,3,9,59,7,23,11,,,,45,,,,,34,9,16,11
76,2,0018,71,3.4,4.7,34,1.0,2.9,73,1.8,2.5,12,1.7,14.3,1,5,6,0.1,1.3,32,29,,180.1,164.1,80.9,68.2,2,54,37,7,1,65,26,7,17,8,8,3,7,1,1,2,0,0,1,0,1,2,3,1,8,7,2,1,1,1,5,1,1,11,3,4,8,61,6,22,11,,,,40,,,,,34,9,18,15
77,2,0019,75,4.3,5.7,36,2.0,5.1,75,2.4,3.2,16,3.3,18.6,1,6,7,0.1,1.2,32,29,,180.2,166.7,81.4,68.2,1,54,39,6,3,59,29,9,18,9,8,2,9,1,1,3,1,0,0,0,2,2,2,1,9,7,3,1,1,2,5,2,1,14,4,5,9,62,7,20,11,,,,40,,,,,35,12,17,15
78,2,0020,73,4.0,5.3,38,2.2,5.6,76,2.5,3.3,14,2.5,17.6,2,6,6,0.1,1.2,34,31,,180.0,166.2,80.0,66.8,1,60,33,6,5,63,26,6,18,8,7,2,6,0,2,2,0,0,0,0,1,1,2,1,7,8,3,1,0,1,5,2,1,12,2,4,8,63,7,17,13,,,,47,,,,,36,11,17,13
79,2,0021,75,3.9,5.1,34,1.7,4.9,75,1.9,2.3,14,2.7,15.5,1,5,6,0.1,1.3,37,34,,180.2,166.6,79.4,68.9,1,60,32,6,4,61,23,12,18,6,8,2,7,1,1,2,0,0,0,0,1,1,2,1,6,6,1,1,0,2,5,1,1,11,3,4,6,66,5,19,10,,,,36,,,,,30,11,19,12
80,2,0022,70,3.8,5.3,32,1.6,4.6,76,2.2,2.9,11,1.8,17.3,1,5,5,0.1,1.1,33,33,,180.4,165.1,82.0,67.0,0,53,40,7,3,68,22,7,18,7,10,2,9,1,2,3,0,0,1,0,1,2,1,1,7,5,3,1,0,1,5,1,1,10,3,4,7,57,5,22,16,,,,42,,,,,33,8,17,12
81,2,0023,70,3.7,5.1,36,1.9,4.8,73,2.3,3.0,11,2.0,17.5,2,6,6,0.1,1.1,31,34,,180.1,167.7,80.9,68.6,1,55,38,5,2,59,30,10,18,6,9,2,8,0,1,2,1,0,0,0,2,1,3,1,8,8,3,1,1,2,6,2,1,15,4,5,9,60,7,22,12,,,,47,,,,,38,14,13,15
82,2,0024,75,3.9,5.1,38,1.6,3.7,80,2.6,3.4,13,3.1,22.6,1,6,7,0.1,1.3,33,35,,179.7,166.1,79.4,68.3,1,60,33,5,1,63,27,9,19,8,7,2,9,1,2,2,1,0,1,0,1,1,3,2,8,9,3,1,1,1,6,2,0,12,2,4,8,63,7,13,17,,,,42,,,,,35,12,14,13
83,2,0025,74,4.0,5.3,39,1.0,2.2,74,1.9,2.5,13,2.9,18.1,1,5,7,0.1,1.0,30,29,,179.6,164.5,80.8,66.9,1,50,41,8,4,62,24,11,20,8,6,2,9,1,1,2,0,1,1,0,1,2,1,0,7,9,2,2,1,2,5,1,2,20,6,7,12,61,7,20,12,,,,50,,,,,34,11,18,12
