ID,Slachtdieren,Perioden,AantalSlachtingen_1,GeslachtGewicht_2
273,A028972,2011MM01,162.8,32034.0
274,A028972,2011MM02,160.8,30824.0
275,A028972,2011MM03,183.7,34669.0
276,A028972,2011MM04,162.0,30058.0
277,A028972,2011MM05,169.3,31926.0
278,A028972,2011MM06,163.7,30332.0
279,A028972,2011MM07,150.2,27737.0
280,A028972,2011MM08,174.0,32314.0
281,A028972,2011MM09,177.2,33596.0
282,A028972,2011MM10,165.6,31239.0
283,A028972,2011MM11,181.3,34419.0
284,A028972,2011MM12,177.7,32412.0
285,A028972,2011JJ00,2028.3,381559.0
286,A028972,2012MM01,154.2,29909.0
287,A028972,2012MM02,150.8,28366.0
288,A028972,2012MM03,165.3,32001.0
289,A028972,2012MM04,142.6,27836.0
290,A028972,2012MM05,177.6,33446.0
291,A028972,2012MM06,160.8,31126.0
292,A028972,2012MM07,161.4,30362.0
293,A028972,2012MM08,160.1,31303.0
294,A028972,2012MM09,161.8,31499.0
295,A028972,2012MM10,172.0,34314.0
296,A028972,2012MM11,166.2,33014.0
297,A028972,2012MM12,160.8,30356.0
298,A028972,2012JJ00,1933.7,373531.0
299,A028972,2013MM01,153.2,29722.0
300,A028972,2013MM02,137.9,26214.0
301,A028972,2013MM03,156.8,30355.0
302,A028972,2013MM04,154.8,29919.0
303,A028972,2013MM05,170.1,33545.0
304,A028972,2013MM06,167.9,31799.0
305,A028972,2013MM07,158.1,30474.0
306,A028972,2013MM08,161.5,31403.0
307,A028972,2013MM09,167.1,32748.0
308,A028972,2013MM10,177.8,35184.0
309,A028972,2013MM11,173.6,34514.0
310,A028972,2013MM12,178.8,33223.0
311,A028972,2013JJ00,1957.8,379101.0
312,A028972,2014MM01,163.3,32395.0
313,A028972,2014MM02,143.1,27373.0
314,A028972,2014MM03,155.6,29448.0
315,A028972,2014MM04,164.3,30967.0
316,A028972,2014MM05,160.1,30494.0
317,A028972,2014MM06,155.4,29702.0
318,A028972,2014MM07,156.5,29361.0
319,A028972,2014MM08,147.7,28380.0
320,A028972,2014MM09,176.6,33612.0
321,A028972,2014MM10,183.6,36301.0
322,A028972,2014MM11,160.2,31894.0
323,A028972,2014MM12,191.7,36257.0
324,A028972,2014JJ00,1958.2,376185.0
325,A028972,2015MM01,163.7,32147.0
326,A028972,2015MM02,147.2,28286.0
327,A028972,2015MM03,174.5,32969.0
328,A028972,2015MM04,150.3,29025.0
329,A028972,2015MM05,147.6,28392.0
330,A028972,2015MM06,161.3,31870.0
331,A028972,2015MM07,170.2,32906.0
332,A028972,2015MM08,147.8,29313.0
333,A028972,2015MM09,177.5,35371.0
334,A028972,2015MM10,160.3,32407.0
335,A028972,2015MM11,167.4,33831.0
336,A028972,2015MM12,189.0,36002.0
337,A028972,2015JJ00,1956.9,382519.0
338,A028972,2016MM01,152.7,30136.0
339,A028972,2016MM02,154.2,30526.0
340,A028972,2016MM03,183.0,35273.0
341,A028972,2016MM04,168.5,34546.0
342,A028972,2016MM05,184.6,36006.0
343,A028972,2016MM06,181.4,36260.0
344,A028972,2016MM07,159.1,31404.0
345,A028972,2016MM08,174.3,34316.0
346,A028972,2016MM09,175.6,35682.0
347,A028972,2016MM10,180.9,35443.0
348,A028972,2016MM11,181.4,36892.0
349,A028972,2016MM12,200.8,39578.0
350,A028972,2016JJ00,2096.5,416062.0
351,A028972,2017MM01,177.2,36080.0
352,A028972,2017MM02,173.6,35829.0
353,A028972,2017MM03,212.6,44059.0
354,A028972,2017MM04,172.7,34999.0
355,A028972,2017MM05,193.9,39130.0
356,A028972,2017MM06,161.6,33786.0
357,A028972,2017MM07,159.4,31790.0
358,A028972,2017MM08,164.2,33254.0
359,A028972,2017MM09,173.3,34709.0
