ID,TypeWoning,Perioden,PrijsindexVerkoopprijzen_1,OntwikkelingTOVVoorgaandePeriode_2,OntwikkelingTOVEenJaarEerder_3,VerkochteWoningen_4,OntwikkelingTOVVoorgaandePeriode_5,OntwikkelingTOVEenJaarEerder_6,GemiddeldeVerkoopprijs_7,TotaleWaardeVerkoopprijzen_8
153,ZW10290,1996KW04,49.4,2.2,12.6,35732,5.7,6.4,115124,4114
154,ZW10290,1996JJ00,47.4,10.8,10.8,126186,12.8,12.8,110965,14002
155,ZW10290,1997KW01,50.9,3.2,13.0,24705,-30.9,-1.2,117280,2897
156,ZW10290,1997KW02,52.2,2.6,11.9,33429,35.3,5.7,120261,4020
157,ZW10290,1997KW03,53.9,3.1,11.5,35250,5.4,4.3,125766,4433
158,ZW10290,1997KW04,55.0,2.2,11.5,37331,5.9,4.5,126630,4727
159,ZW10290,1997JJ00,53.0,12.0,12.0,130715,3.6,3.6,123001,16078
160,ZW10290,1998KW01,56.3,2.3,10.5,26356,-29.4,6.7,129060,3401
161,ZW10290,1998KW02,57.6,2.4,10.3,33810,28.3,1.1,130631,4417
162,ZW10290,1998KW03,59.7,3.5,10.8,36743,8.7,4.2,137682,5059
163,ZW10290,1998KW04,61.3,2.7,11.4,39750,8.2,6.5,138596,5509
164,ZW10290,1998JJ00,58.7,10.8,10.8,136659,4.5,4.5,134541,18386
165,ZW10290,1999KW01,63.6,3.8,13.1,28956,-27.2,9.9,142502,4126
166,ZW10290,1999KW02,66.4,4.4,15.3,34753,20.0,2.8,151584,5268
167,ZW10290,1999KW03,70.0,5.3,17.3,39100,12.5,6.4,161482,6314
168,ZW10290,1999KW04,73.0,4.3,19.1,39262,0.4,-1.2,168334,6609
169,ZW10290,1999JJ00,68.3,16.2,16.2,142071,4.0,4.0,157086,22317
170,ZW10290,2000KW01,76.3,4.6,19.9,26624,-32.2,-8.1,174369,4642
171,ZW10290,2000KW02,79.3,3.9,19.3,32064,20.4,-7.7,183538,5885
172,ZW10290,2000KW03,82.7,4.3,18.2,33663,5.0,-13.9,194361,6543
173,ZW10290,2000KW04,84.6,2.3,15.9,36368,8.0,-7.4,196721,7154
174,ZW10290,2000JJ00,80.7,18.3,18.3,128719,-9.4,-9.4,188197,24224
175,ZW10290,2001KW01,86.5,2.3,13.4,24925,-31.5,-6.4,198374,4944
176,ZW10290,2001KW02,88.7,2.5,11.9,32567,30.7,1.6,203765,6636
177,ZW10290,2001KW03,91.1,2.7,10.1,35811,10.0,6.4,208420,7464
178,ZW10290,2001KW04,91.7,0.7,8.4,38614,7.8,6.2,209360,8084
179,ZW10290,2001JJ00,89.5,10.9,10.9,131917,2.5,2.5,205648,27128
180,ZW10290,2002KW01,93.4,1.8,7.9,29383,-23.9,17.9,213412,6271
181,ZW10290,2002KW02,94.7,1.4,6.7,32299,9.9,-0.8,216955,7007
182,ZW10290,2002KW03,96.2,1.6,5.7,35638,10.3,-0.5,221679,7900
183,ZW10290,2002KW04,96.1,-0.2,4.7,35738,0.3,-7.4,218673,7815
184,ZW10290,2002JJ00,95.1,6.2,6.2,133058,0.9,0.9,217899,28993
185,ZW10290,2003KW01,97.0,1.0,3.8,25889,-27.6,-11.9,219929,5694
186,ZW10290,2003KW02,98.1,1.1,3.6,30913,19.4,-4.3,221815,6857
187,ZW10290,2003KW03,98.9,0.9,2.8,34076,10.2,-4.4,223825,7627
188,ZW10290,2003KW04,100.0,1.1,4.1,37985,11.5,6.3,228094,8664
189,ZW10290,2003JJ00,98.5,3.6,3.6,128863,-3.2,-3.2,223818,28842
190,ZW10290,2004KW01,101.3,1.3,4.4,25291,-33.4,-2.3,229761,5811
191,ZW10290,2004KW02,102.4,1.2,4.4,31124,23.1,0.7,232470,7235
192,ZW10290,2004KW03,104.0,1.5,5.1,34212,9.9,0.4,237804,8136
193,ZW10290,2004KW04,104.4,0.3,4.4,35931,5.0,-5.4,231527,8319
194,ZW10290,2004JJ00,103.0,4.6,4.6,126558,-1.8,-1.8,233103,29501
195,ZW10290,2005KW01,105.4,1.0,4.1,26991,-24.9,6.7,236961,6396
196,ZW10290,2005KW02,106.8,1.3,4.2,33822,25.3,8.7,240714,8141
197,ZW10290,2005KW03,108.1,1.2,3.9,38192,12.9,11.6,247273,9444
198,ZW10290,2005KW04,108.7,0.6,4.1,39716,4.0,10.5,247408,9826
199,ZW10290,2005JJ00,107.2,4.1,4.1,138721,9.6,9.6,243706,33807
200,ZW10290,2006KW01,110.5,1.6,4.8,31756,-20.0,17.7,250796,7964
201,ZW10290,2006KW02,111.7,1.2,4.7,36048,13.5,6.6,255499,9210
202,ZW10290,2006KW03,113.2,1.3,4.7,37074,2.8,-2.9,262176,9720
203,ZW10290,2006KW04,113.7,0.5,4.7,36913,-0.4,-7.1,259402,9575
204,ZW10290,2006JJ00,112.3,4.7,4.7,141791,2.2,2.2,257208,36470
205,ZW10290,2007KW01,115.1,1.2,4.2,29754,-19.4,-6.3,267602,7962
206,ZW10290,2007KW02,116.3,1.1,4.1,33497,12.6,-7.1,268936,9009
207,ZW10290,2007KW03,118.0,1.4,4.2,35012,4.5,-5.6,276644,9686
208,ZW10290,2007KW04,118.4,0.4,4.1,36725,4.9,-0.5,271990,9989
209,ZW10290,2007JJ00,117.0,4.2,4.2,134988,-4.8,-4.8,271472,36645
210,ZW10290,2008KW01,119.8,1.2,4.1,26917,-26.7,-9.5,276662,7447
211,ZW10290,2008KW02,119.8,0.0,3.0,32337,20.1,-3.5,275699,8915
212,ZW10290,2008KW03,121.1,1.1,2.7,32998,2.0,-5.8,283029,9339
213,ZW10290,2008KW04,120.2,-0.7,1.6,30657,-7.1,-16.5,275390,8443
214,ZW10290,2008JJ00,120.2,2.8,2.8,122909,-8.9,-8.9,277801,34144
215,ZW10290,2009KW01,119.6,-0.5,-0.2,18113,-40.9,-32.7,272662,4939
216,ZW10290,2009KW02,116.4,-2.6,-2.8,20061,10.8,-38.0,257210,5160
217,ZW10290,2009KW03,114.8,-1.5,-5.3,22047,9.9,-33.2,253799,5596
218,ZW10290,2009KW04,113.8,-0.9,-5.4,24131,9.5,-21.3,256917,6200
219,ZW10290,2009JJ00,116.1,-3.4,-3.4,84352,-31.4,-31.4,259553,21894
220,ZW10290,2010KW01,113.6,-0.2,-5.0,17787,-26.3,-1.8,257264,4576
221,ZW10290,2010KW02,113.7,0.1,-2.3,20844,17.2,3.9,260571,5431
222,ZW10290,2010KW03,113.8,0.1,-0.8,21745,4.3,-1.4,264452,5751
223,ZW10290,2010KW04,112.5,-1.2,-1.1,22609,4.0,-6.3,255640,5780
224,ZW10290,2010JJ00,113.4,-2.4,-2.4,82985,-1.6,-1.6,259536,21538
225,ZW10290,2011KW01,111.9,-0.6,-1.5,18709,-17.3,5.2,260214,4868
226,ZW10290,2011KW02,111.5,-0.4,-2.0,19701,5.3,-5.5,261565,5153
227,ZW10290,2011KW03,110.6,-0.8,-2.8,20971,6.4,-3.6,264738,5552
228,ZW10290,2011KW04,108.7,-1.7,-3.4,21548,2.8,-4.7,252510,5441
229,ZW10290,2011JJ00,110.6,-2.4,-2.4,80929,-2.5,-2.5,259664,21014
230,ZW10290,2012KW01,107.4,-1.2,-4.0,16179,-24.9,-13.5,254233,4113
231,ZW10290,2012KW02,105.2,-2.0,-5.6,24309,50.3,23.4,251705,6119
232,ZW10290,2012KW03,100.9,-4.1,-8.7,15227,-37.4,-27.4,230977,3517
233,ZW10290,2012KW04,100.4,-0.6,-7.6,25025,64.3,16.1,232904,5828
234,ZW10290,2012JJ00,103.5,-6.5,-6.5,80740,-0.2,-0.2,242475,19577
235,ZW10290,2013KW01,98.0,-2.3,-8.7,15409,-38.4,-4.8,228404,3519
236,ZW10290,2013KW02,95.9,-2.1,-8.9,14847,-3.6,-38.9,225752,3352
237,ZW10290,2013KW03,96.4,0.4,-4.6,19854,33.7,30.4,228721,4541
238,ZW10290,2013KW04,96.0,-0.4,-4.4,24882,25.3,-0.6,227701,5666
239,ZW10290,2013JJ00,96.6,-6.7,-6.7,74992,-7.1,-7.1,227730,17078
240,ZW10290,2014KW01,96.5,0.6,-1.5,19810,-20.4,28.6,230839,4573
241,ZW10290,2014KW02,97.1,0.6,1.2,23132,16.8,55.8,236194,5464
242,ZW10290,2014KW03,98.0,0.9,1.7,26782,15.8,34.9,240842,6450
243,ZW10290,2014KW04,97.9,0.0,2.0,34690,29.5,39.4,239995,8325
244,ZW10290,2014JJ00,97.4,0.8,0.8,104414,39.2,39.2,237633,24812
245,ZW10290,2015KW01,98.7,0.8,2.3,23225,-33.1,17.2,239158,5554
246,ZW10290,2015KW02,99.4,0.7,2.4,27422,18.1,18.5,245561,6734
247,ZW10290,2015KW03,100.6,1.2,2.7,34847,27.1,30.1,249912,8709
248,ZW10290,2015KW04,101.2,0.6,3.4,35345,1.4,1.9,253465,8959
249,ZW10290,2015JJ00,100.0,2.7,2.7,120839,15.7,15.7,247897,29956
250,ZW10290,2016KW01,102.6,1.3,3.9,28361,-19.8,22.1,255326,7241
251,ZW10290,2016KW02,103.4,0.8,4.0,33749,19.0,23.1,258637,8729
252,ZW10290,2016KW03,106.0,2.5,5.3,41728,23.6,19.7,268772,11215
253,ZW10290,2016KW04,107.0,1.0,5.7,41607,-0.3,17.7,265299,11038
254,ZW10290,2016JJ00,104.7,4.7,4.7,145445,20.4,20.4,262805,38224
255,ZW10290,2017KW01,109.0,1.8,6.2,38552,-7.3,35.9,276853,10673
256,ZW10290,2017KW02,110.9,1.8,7.3,40723,5.6,20.7,279248,11372
257,ZW10290,2017KW03,113.3,2.2,6.9,43255,6.2,3.7,284792,12319
258,ZW10290,2017KW04,115.2,1.6,7.7,46932,8.5,12.8,284344,13345
259,ZW10290,2017JJ00,112.1,7.0,7.0,169462,16.5,16.5,281529,47709
260,ZW10290,2018KW01,118.2,2.6,8.4,36529,-22.2,-5.2,294677,10764
261,ZW10290,2018KW02,120.0,1.5,8.1,37715,3.2,-7.4,299956,11313
262,ZW10290,2018KW03,123.1,2.6,8.6,40804,8.2,-5.7,307016,12527
263,ZW10290,2018KW04,124.8,1.4,8.3,41609,2.0,-11.3,306845,12768
264,ZW10290,2018JJ00,121.5,8.4,8.4,156657,-7.6,-7.6,302394,47372
265,ZW10290,2019KW01,127.0,1.8,7.5,33689,-19.0,-7.8,317020,10680
266,ZW10290,2019KW02,128.3,1.0,6.9,37965,12.7,0.7,315874,11992
267,ZW10290,2019KW03,130.6,1.8,6.1,42915,13.0,5.2,326741,14022
268,ZW10290,2019KW04,132.4,1.4,6.1,43191,0.6,3.8,327594,14149
269,ZW10290,2019JJ00,129.6,6.6,6.6,157760,0.7,0.7,322283,50843
270,ZW10290,2020KW01,135.2,2.1,6.4,37674,-12.8,11.8,339609,12794
271,ZW10290,2020KW02,137.7,1.9,7.3,40691,8.0,7.2,343481,13977
272,ZW10290,2020KW03,141.1,2.5,8.0,45567,12.0,6.2,355435,16196
273,ZW10290,2020KW04,144.2,2.2,8.9,45293,-0.6,4.9,365632,16561
274,ZW10290,2020JJ00,139.5,7.7,7.7,169225,7.3,7.3,351767,59528
275,ZW10290,2021KW01,149.5,3.7,10.7,49688,9.7,31.9,392533,19504
276,ZW10290,2021KW02,156.0,4.3,13.3,37328,-24.9,-8.3,385972,14408
