ID,RegioS,TypeVerwarmingsinstallatie,Perioden,Woningen_1
328,LD03  ,A050116,2021JJ00,7.1
329,LD03  ,A050116,2022JJ00,7.4
330,LD03  ,A050117,2017JJ00,0.4
331,LD03  ,A050117,2018JJ00,0.4
332,LD03  ,A050117,2019JJ00,0.5
333,LD03  ,A050117,2020JJ00,0.7
334,LD03  ,A050117,2021JJ00,0.7
335,LD03  ,A050117,2022JJ00,0.8
336,LD03  ,A050118,2017JJ00,0.0
337,LD03  ,A050118,2018JJ00,0.0
338,LD03  ,A050118,2019JJ00,0.0
339,LD03  ,A050118,2020JJ00,0.0
340,LD03  ,A050118,2021JJ00,0.1
341,LD03  ,A050118,2022JJ00,0.1
342,LD03  ,A050119,2017JJ00,0.2
343,LD03  ,A050119,2018JJ00,0.5
344,LD03  ,A050119,2019JJ00,0.7
345,LD03  ,A050119,2020JJ00,1.0
346,LD03  ,A050119,2021JJ00,1.5
347,LD03  ,A050119,2022JJ00,2.1
348,LD03  ,A052175,2017JJ00,6.1
349,LD03  ,A052175,2018JJ00,6.8
350,LD03  ,A052175,2019JJ00,7.3
351,LD03  ,A052175,2020JJ00,7.8
352,LD03  ,A052175,2021JJ00,8.6
353,LD03  ,A052175,2022JJ00,9.5
354,LD03  ,A050120,2017JJ00,3.1
355,LD03  ,A050120,2018JJ00,2.4
356,LD03  ,A050120,2019JJ00,2.3
357,LD03  ,A050120,2020JJ00,2.0
358,LD03  ,A050120,2021JJ00,2.1
359,LD03  ,A050120,2022JJ00,2.6
360,LD04  ,A050112,2017JJ00,87.2
361,LD04  ,A050112,2018JJ00,87.2
362,LD04  ,A050112,2019JJ00,86.9
363,LD04  ,A050112,2020JJ00,86.7
364,LD04  ,A050112,2021JJ00,86.3
365,LD04  ,A050112,2022JJ00,85.3
366,LD04  ,A050113,2017JJ00,4.3
367,LD04  ,A050113,2018JJ00,4.4
368,LD04  ,A050113,2019JJ00,4.3
369,LD04  ,A050113,2020JJ00,4.6
370,LD04  ,A050113,2021JJ00,4.2
371,LD04  ,A050113,2022JJ00,3.9
372,LD04  ,A050114,2017JJ00,0.3
373,LD04  ,A050114,2018JJ00,0.3
374,LD04  ,A050114,2019JJ00,0.3
375,LD04  ,A050114,2020JJ00,0.3
376,LD04  ,A050114,2021JJ00,0.3
377,LD04  ,A050114,2022JJ00,0.3
378,LD04  ,A050115,2017JJ00,0.6
379,LD04  ,A050115,2018JJ00,0.6
380,LD04  ,A050115,2019JJ00,0.6
381,LD04  ,A050115,2020JJ00,0.6
382,LD04  ,A050115,2021JJ00,0.5
383,LD04  ,A050115,2022JJ00,0.5
384,LD04  ,A050116,2017JJ00,3.3
385,LD04  ,A050116,2018JJ00,3.4
386,LD04  ,A050116,2019JJ00,3.5
387,LD04  ,A050116,2020JJ00,3.5
388,LD04  ,A050116,2021JJ00,3.6
389,LD04  ,A050116,2022JJ00,3.6
390,LD04  ,A050117,2017JJ00,0.5
391,LD04  ,A050117,2018JJ00,0.6
392,LD04  ,A050117,2019JJ00,0.7
393,LD04  ,A050117,2020JJ00,0.9
394,LD04  ,A050117,2021JJ00,0.9
395,LD04  ,A050117,2022JJ00,1.1
396,LD04  ,A050118,2017JJ00,0.1
397,LD04  ,A050118,2018JJ00,0.0
398,LD04  ,A050118,2019JJ00,0.0
399,LD04  ,A050118,2020JJ00,0.1
400,LD04  ,A050118,2021JJ00,0.1
401,LD04  ,A050118,2022JJ00,0.1
402,LD04  ,A050119,2017JJ00,0.3
403,LD04  ,A050119,2018JJ00,0.6
404,LD04  ,A050119,2019JJ00,0.9
405,LD04  ,A050119,2020JJ00,1.3
406,LD04  ,A050119,2021JJ00,1.8
407,LD04  ,A050119,2022JJ00,2.6
408,LD04  ,A052175,2017JJ00,3.6
409,LD04  ,A052175,2018JJ00,4.0
410,LD04  ,A052175,2019JJ00,4.4
411,LD04  ,A052175,2020JJ00,4.8
412,LD04  ,A052175,2021JJ00,5.4
413,LD04  ,A052175,2022JJ00,6.2
414,LD04  ,A050120,2017JJ00,3.4
415,LD04  ,A050120,2018JJ00,3.0
416,LD04  ,A050120,2019JJ00,2.8
417,LD04  ,A050120,2020JJ00,2.1
418,LD04  ,A050120,2021JJ00,2.2
419,LD04  ,A050120,2022JJ00,2.4
420,LD99  ,A050112,2017JJ00,77.4
421,LD99  ,A050112,2018JJ00,63.9
422,LD99  ,A050112,2019JJ00,
423,LD99  ,A050112,2020JJ00,30.0
424,LD99  ,A050112,2021JJ00,27.8
425,LD99  ,A050112,2022JJ00,7.7
426,LD99  ,A050113,2017JJ00,0.9
427,LD99  ,A050113,2018JJ00,3.7
428,LD99  ,A050113,2019JJ00,
429,LD99  ,A050113,2020JJ00,1.4
430,LD99  ,A050113,2021JJ00,0.0
431,LD99  ,A050113,2022JJ00,0.0
432,LD99  ,A050114,2017JJ00,0.0
433,LD99  ,A050114,2018JJ00,0.0
434,LD99  ,A050114,2019JJ00,
435,LD99  ,A050114,2020JJ00,0.0
436,LD99  ,A050114,2021JJ00,0.0
437,LD99  ,A050114,2022JJ00,0.0
438,LD99  ,A050115,2017JJ00,0.0
439,LD99  ,A050115,2018JJ00,0.0
440,LD99  ,A050115,2019JJ00,
441,LD99  ,A050115,2020JJ00,0.0
442,LD99  ,A050115,2021JJ00,0.0
443,LD99  ,A050115,2022JJ00,0.0
444,LD99  ,A050116,2017JJ00,10.1
445,LD99  ,A050116,2018JJ00,1.8
446,LD99  ,A050116,2019JJ00,
447,LD99  ,A050116,2020JJ00,0.0
448,LD99  ,A050116,2021JJ00,0.0
449,LD99  ,A050116,2022JJ00,0.0
450,LD99  ,A050117,2017JJ00,4.7
451,LD99  ,A050117,2018JJ00,0.3
452,LD99  ,A050117,2019JJ00,
453,LD99  ,A050117,2020JJ00,0.0
454,LD99  ,A050117,2021JJ00,0.0
455,LD99  ,A050117,2022JJ00,0.0
456,LD99  ,A050118,2017JJ00,0.0
457,LD99  ,A050118,2018JJ00,0.0
458,LD99  ,A050118,2019JJ00,
459,LD99  ,A050118,2020JJ00,0.0
460,LD99  ,A050118,2021JJ00,0.0
461,LD99  ,A050118,2022JJ00,0.0
462,LD99  ,A050119,2017JJ00,0.2
463,LD99  ,A050119,2018JJ00,3.2
464,LD99  ,A050119,2019JJ00,
465,LD99  ,A050119,2020JJ00,30.0
466,LD99  ,A050119,2021JJ00,16.7
467,LD99  ,A050119,2022JJ00,23.1
468,LD99  ,A052175,2017JJ00,10.3
469,LD99  ,A052175,2018JJ00,5.0
470,LD99  ,A052175,2019JJ00,
471,LD99  ,A052175,2020JJ00,30.0
472,LD99  ,A052175,2021JJ00,16.7
473,LD99  ,A052175,2022JJ00,23.1
474,LD99  ,A050120,2017JJ00,6.6
475,LD99  ,A050120,2018JJ00,27.1
476,LD99  ,A050120,2019JJ00,
477,LD99  ,A050120,2020JJ00,38.6
478,LD99  ,A050120,2021JJ00,55.6
479,LD99  ,A050120,2022JJ00,69.2
480,PV20  ,A050112,2017JJ00,89.5
481,PV20  ,A050112,2018JJ00,89.5
482,PV20  ,A050112,2019JJ00,89.1
483,PV20  ,A050112,2020JJ00,88.3
484,PV20  ,A050112,2021JJ00,87.7
485,PV20  ,A050112,2022JJ00,86.4
486,PV20  ,A050113,2017JJ00,5.8
487,PV20  ,A050113,2018JJ00,5.9
488,PV20  ,A050113,2019JJ00,5.8
489,PV20  ,A050113,2020JJ00,6.1
490,PV20  ,A050113,2021JJ00,5.6
491,PV20  ,A050113,2022JJ00,5.2
492,PV20  ,A050114,2017JJ00,0.1
493,PV20  ,A050114,2018JJ00,0.3
494,PV20  ,A050114,2019JJ00,0.4
495,PV20  ,A050114,2020JJ00,0.4
496,PV20  ,A050114,2021JJ00,0.3
497,PV20  ,A050114,2022JJ00,0.2
498,PV20  ,A050115,2017JJ00,0.1
499,PV20  ,A050115,2018JJ00,0.1
500,PV20  ,A050115,2019JJ00,0.1
501,PV20  ,A050115,2020JJ00,0.1
502,PV20  ,A050115,2021JJ00,0.1
503,PV20  ,A050115,2022JJ00,0.1
504,PV20  ,A050116,2017JJ00,0.5
505,PV20  ,A050116,2018JJ00,0.7
506,PV20  ,A050116,2019JJ00,0.7
507,PV20  ,A050116,2020JJ00,0.8
508,PV20  ,A050116,2021JJ00,1.3
509,PV20  ,A050116,2022JJ00,1.4
510,PV20  ,A050117,2017JJ00,0.4
511,PV20  ,A050117,2018JJ00,0.4
512,PV20  ,A050117,2019JJ00,0.5
513,PV20  ,A050117,2020JJ00,0.9
