ID,Aardolieproducten,Perioden,TotaalAanbod_1,TotaleProductie_2,Raffinaderijen_3,PetrochemischeIndustrie_4,Groothandel_5,Invoer_6,Uitvoer_7,Bunkers_8,Voorraadmutatie_9,TotaalVerbruik_10,TotaalVoorOmzettingInOlieproducten_11,Raffinaderijen_12,PetrochemischeIndustrie_13,Groothandel_14,TotaalFinaalVerbruikAndereOmzetting_15,RaffinaderijenBrandstof_16,PetrochemischeIndustrieBrandstof_17,PetrochemischeIndustrieGrondstof_18,Visserij_19,VervoerEnOverig_20,Beginvoorraad_21,Eindvoorraad_22,Voorraadmutatie_23
206,E006497,2021MM03,4722.0,7982.0,5180.0,307.0,2495.0,7234.0,9095.0,1143.0,-255.0,4722.0,2874.0,410.0,235.0,2228.0,1848.0,150.0,202.0,528.0,12.0,956.04,11579.0,11835.0,-255.0
207,E006497,2021KW01,12901.0,22010.0,14937.0,947.0,6126.0,19746.0,25090.0,3270.0,-495.0,12900.0,7312.0,1318.0,805.0,5189.0,5588.0,490.0,616.0,1882.0,35.0,2564.97,11340.0,11835.0,-495.0
208,E006497,2021MM04,4479.0,7414.0,4791.0,307.0,2316.0,6718.0,8659.0,1133.0,139.0,4479.0,2616.0,490.0,243.0,1883.0,1863.0,185.0,203.0,516.0,10.0,948.18,11835.0,11696.0,139.0
209,E006498,1946JJ00,,,,,,,,,,,,,,,,,,,,,,,
210,E006498,1947JJ00,,,,,,,,,,,,,,,,,,,,,,,
211,E006498,1948JJ00,,,,,,,,,,,,,,,,,,,,,,,
212,E006498,1949JJ00,,,,,,,,,,,,,,,,,,,,,,,
213,E006498,1950JJ00,,,56.0,,,,34.0,,,,,,,,,,,,,,,,
214,E006498,1951JJ00,,,102.0,,,,,,,,,,,,,,,,,,,,
215,E006498,1952JJ00,,,147.0,,,,,,,,,,,,,,,,,,,,
216,E006498,1953JJ00,,,214.0,,,,,,,,,,,,,,,,,,,,
217,E006498,1954JJ00,,,327.0,,,,,,,,,,,,,,,,,,,,
218,E006498,1955JJ00,,,163.0,,,5.0,89.0,,,87.0,,,,,,,,,,87.0,,,
219,E006498,1956JJ00,,,216.0,,,,,,,96.0,,,,,,,,,,96.0,,,
220,E006498,1957JJ00,,,228.0,,,,,,,120.0,,,,,,,,,,120.0,,,
221,E006498,1958JJ00,,,240.0,,,,,,,145.0,,,,,,,,,,145.0,,,
222,E006498,1959JJ00,,,249.0,,,,,,,170.0,,,,,,,,,,170.0,,,
223,E006498,1960JJ00,,,267.0,,,63.0,134.0,,,188.0,,,,,,,,,,188.0,,,
224,E006498,1961JJ00,,,295.0,,,63.0,158.0,,,194.0,,,,,,,,,,194.0,,,
225,E006498,1962JJ00,,,332.0,,,64.0,177.0,,,215.0,,,,,,,,,,215.0,,,
226,E006498,1963JJ00,,,334.0,,,68.0,172.0,,,223.0,,,,,,,,,,223.0,,,
227,E006498,1964JJ00,,,362.0,,,76.0,196.0,,,237.0,,,,,,,,,,237.0,,,
228,E006498,1965JJ00,,,396.0,,,78.0,224.0,,,247.0,,,,,,,,,,247.0,,,
229,E006498,1966JJ00,,,465.0,,,72.0,288.0,,,249.0,,,,,,,,,,249.0,,,
230,E006498,1967JJ00,,,519.0,,,70.0,324.0,,,259.0,,,,,,,,,,259.0,,,
231,E006498,1968JJ00,,,528.0,,,83.0,313.0,,,296.0,,,,,,,,,,296.0,,,
232,E006498,1969JJ00,,,619.0,,,84.0,363.0,,,339.0,,,,,,,,,,339.0,,,
233,E006498,1970JJ00,,,704.0,,,88.0,418.0,,,363.0,,,,,,,,,,363.0,,,
234,E006498,1971JJ00,,,785.0,,,77.0,498.0,,,359.0,,,,,,,,,,359.0,,,
235,E006498,1972JJ00,,,858.0,,,61.0,490.0,,,436.0,,,,,,,,,,436.0,,,
236,E006498,1973JJ00,,,966.0,,,57.0,542.0,,,476.0,,,,,,,,,,476.0,,,
237,E006498,1974JJ00,,,826.0,,,40.0,374.0,,,485.0,,,,,,,,,,485.0,,,
238,E006498,1975JJ00,,,929.0,,,54.0,445.0,,,541.0,,,,,,30.0,,,,511.0,,,
239,E006498,1976JJ00,,,1068.0,,,111.0,445.0,,,739.0,,,,,,16.0,,,,723.0,,,
240,E006498,1977JJ00,,,1027.0,,,173.0,361.0,,,843.0,,,,,,7.0,,,,836.0,,,
241,E006498,1978JJ00,,1231.0,1096.0,135.0,,297.0,303.0,,,1221.0,3.0,3.0,,,1218.0,14.0,,,,845.0,,,
242,E006498,1979JJ00,,1846.0,1213.0,633.0,,667.0,519.0,,,1984.0,124.0,1.0,123.0,,1860.0,15.0,,,,959.0,,,
243,E006498,1980JJ00,2072.0,1632.0,932.0,700.0,,995.0,552.0,,-4.0,2072.0,131.0,1.0,131.0,,1940.0,6.0,,,,1071.73,76.0,79.0,-4.0
244,E006498,1981JJ00,2695.0,1481.0,753.0,728.0,,2060.0,853.0,,6.0,2695.0,42.0,20.0,22.0,,2653.0,14.0,,,,1209.07,67.0,61.0,6.0
245,E006498,1982JJ00,2758.0,1972.0,1039.0,933.0,,1634.0,838.0,,-10.0,2758.0,442.0,66.0,376.0,,2316.0,6.0,,,,1223.8,61.0,71.0,-10.0
246,E006498,1983JJ00,2651.0,2145.0,1136.0,1009.0,,1329.0,747.0,,-76.0,2651.0,313.0,151.0,163.0,,2338.0,3.0,,,,1383.37,71.0,147.0,-76.0
247,E006498,1984JJ00,3929.0,2544.0,1134.0,1410.0,,2289.0,917.0,,14.0,3929.0,1074.0,245.0,829.0,,2855.0,2.0,,,,1524.45,147.0,133.0,14.0
248,E006498,1985JJ00,3449.0,1945.0,990.0,955.0,,2502.0,1004.0,,6.0,3449.0,540.0,264.0,276.0,,2909.0,3.0,,,,1522.86,133.0,128.0,6.0
249,E006498,1986JJ00,3486.0,2175.0,1236.0,939.0,,2373.0,1050.0,,-12.0,3486.0,609.0,368.0,241.0,,2877.0,16.0,,,,1490.78,128.0,140.0,-12.0
250,E006498,1987JJ00,3700.0,2367.0,1156.0,1211.0,,2414.0,1075.0,,-6.0,3700.0,628.0,160.0,467.0,,3072.0,24.0,,,,1516.04,140.0,146.0,-6.0
251,E006498,1988JJ00,3526.0,2291.0,1162.0,1129.0,,1923.0,724.0,,35.0,3526.0,1028.0,236.0,792.0,,2498.0,26.0,,,,1433.2,146.0,111.0,35.0
252,E006498,1989JJ00,3815.0,2617.0,1302.0,1315.0,,2136.0,934.0,,-4.0,3815.0,1388.0,311.0,1077.0,,2428.0,21.0,,,,1051.78,111.0,116.0,-4.0
253,E006498,1990JJ00,2149.0,1094.0,1078.0,17.0,,1973.0,928.0,,9.0,2149.0,514.0,,318.0,196.0,1635.0,14.0,6.0,530.0,,1084.71,110.0,101.0,9.0
254,E006498,1991JJ00,1862.0,1099.0,1074.0,24.0,,1858.0,1033.0,,-62.0,1862.0,330.0,1.0,267.0,62.0,1533.0,8.0,6.0,459.0,,1059.67,101.0,162.0,-62.0
255,E006498,1992JJ00,2037.0,1100.0,1085.0,14.0,,1613.0,752.0,,77.0,2037.0,378.0,3.0,335.0,40.0,1659.0,3.0,5.0,608.0,,1042.57,162.0,85.0,77.0
256,E006498,1993JJ00,1968.0,1211.0,1197.0,14.0,,2086.0,1325.0,,-4.0,1968.0,351.0,,319.0,33.0,1617.0,1.0,0.0,590.0,,1026.16,85.0,89.0,-4.0
257,E006498,1994JJ00,1802.0,1249.0,1239.0,10.0,,1744.0,1176.0,,-15.0,1802.0,309.0,1.0,260.0,48.0,1493.0,3.0,,497.0,,992.47,89.0,104.0,-15.0
258,E006498,1995JJ00,1718.0,1316.0,1306.0,10.0,0.0,1559.0,1144.0,,-13.0,1718.0,293.0,,251.0,42.0,1425.0,1.0,,471.0,,953.42,104.0,118.0,-13.0
259,E006498,1996JJ00,1743.0,1284.0,1251.0,33.0,,1527.0,1040.0,,-27.0,1743.0,293.0,,251.0,42.0,1449.0,3.0,,473.0,,973.51,118.0,145.0,-27.0
260,E006498,1997JJ00,1864.0,1291.0,1286.0,2.0,3.0,1818.0,1245.0,,0.0,1864.0,378.0,1.0,326.0,51.0,1486.0,1.0,,581.0,,904.29,145.0,145.0,0.0
261,E006498,1998JJ00,1881.0,1166.0,1166.0,,,1490.0,774.0,,-1.0,1881.0,368.0,,334.0,33.0,1513.0,12.0,,640.0,,861.86,145.0,146.0,-1.0
262,E006498,1999JJ00,1635.0,1133.0,1133.0,,,1255.0,716.0,,-37.0,1635.0,283.0,3.0,270.0,9.0,1352.0,1.0,,576.0,,775.48,146.0,183.0,-37.0
263,E006498,2000JJ00,1551.0,1174.0,1167.0,7.0,,1085.0,730.0,,22.0,1551.0,285.0,44.0,233.0,7.0,1266.0,3.0,,576.0,,687.28,183.0,161.0,22.0
264,E006498,2001JJ00,1542.0,1085.0,1072.0,14.0,,1224.0,773.0,,6.0,1542.0,304.0,4.0,279.0,21.0,1238.0,1.0,,582.0,,655.21,161.0,155.0,6.0
265,E006498,2002JJ00,1509.0,996.0,929.0,67.0,0.0,1209.0,710.0,,14.0,1509.0,329.0,5.0,274.0,50.0,1179.0,1.0,,540.0,,638.45,155.0,141.0,14.0
266,E006498,2003JJ00,1309.0,1065.0,1004.0,61.0,0.0,944.0,725.0,,25.0,1309.0,252.0,3.0,210.0,39.0,1057.0,1.0,,486.0,,570.04,141.0,116.0,25.0
267,E006498,2004JJ00,1816.0,1393.0,1294.0,99.0,0.0,1580.0,1135.0,,-22.0,1816.0,434.0,4.0,354.0,76.0,1381.0,6.0,,759.0,,617.38,116.0,137.0,-22.0
268,E006498,2005JJ00,2040.0,1354.0,1312.0,42.0,,1682.0,1032.0,,36.0,2040.0,534.0,6.0,388.0,140.0,1506.0,1.0,,908.0,,596.38,137.0,102.0,36.0
269,E006498,2006JJ00,2181.0,1366.0,1213.0,153.0,,1891.0,1082.0,,7.0,2181.0,517.0,6.0,445.0,67.0,1664.0,1.0,,1064.0,,599.04,102.0,95.0,7.0
270,E006498,2007JJ00,1928.0,1386.0,1279.0,107.0,,1585.0,1081.0,,37.0,1928.0,507.0,2.0,413.0,93.0,1421.0,4.0,3.0,931.0,,482.7,95.0,58.0,37.0
271,E006498,2008JJ00,1951.0,1352.0,1293.0,59.0,,1561.0,966.0,,3.0,1951.0,532.0,7.0,391.0,134.0,1419.0,1.0,,931.0,,487.9,58.0,55.0,3.0
272,E006498,2009JJ00,1817.0,1423.0,1350.0,62.0,12.0,1454.0,1051.0,,-10.0,1817.0,446.0,,341.0,105.0,1371.0,2.0,,875.0,,494.52,55.0,65.0,-10.0
273,E006498,2010JJ00,1787.0,1457.0,1339.0,118.0,,1408.0,1043.0,,-35.0,1787.0,435.0,1.0,339.0,95.0,1353.0,1.0,,848.0,,503.69,65.0,100.0,-35.0
274,E006498,2011JJ00,2059.0,1563.0,1460.0,99.0,4.0,2002.0,1485.0,,-22.0,2059.0,571.0,,426.0,145.0,1487.0,1.0,,1045.0,,441.73,100.0,122.0,-22.0
275,E006498,2012JJ00,1588.0,1604.0,1484.0,120.0,,1565.0,1575.0,,-6.0,1588.0,453.0,1.0,280.0,172.0,1135.0,1.0,,689.0,,444.33,122.0,128.0,-6.0
