ID,SectorBranchSIC2008,Periods,NaturalGasDelivered_1,ElectricityDelivered_2
254,300014,2024JJ00,274,1829
255,428100,2010JJ00,306,1520
256,428100,2011JJ00,246,1494
257,428100,2012JJ00,264,1484
258,428100,2013JJ00,296,1585
259,428100,2014JJ00,234,1530
260,428100,2015JJ00,258,1603
261,428100,2016JJ00,254,1583
262,428100,2017JJ00,236,1505
263,428100,2018JJ00,223,1491
264,428100,2019JJ00,205,1439
265,428100,2020JJ00,193,1292
266,428100,2021JJ00,206,1251
267,428100,2022JJ00,181,1349
268,428100,2023JJ00,167,1319
269,428100,2024JJ00,151,1319
270,435500,2010JJ00,264,664
271,435500,2011JJ00,214,666
272,435500,2012JJ00,230,660
273,435500,2013JJ00,232,636
274,435500,2014JJ00,188,614
275,435500,2015JJ00,207,657
276,435500,2016JJ00,210,646
277,435500,2017JJ00,198,653
278,435500,2018JJ00,192,584
279,435500,2019JJ00,175,541
280,435500,2020JJ00,149,477
281,435500,2021JJ00,158,454
282,435500,2022JJ00,143,470
283,435500,2023JJ00,130,460
284,435500,2024JJ00,119,472
285,440900,2010JJ00,7,26
286,440900,2011JJ00,6,25
287,440900,2012JJ00,6,27
288,440900,2013JJ00,9,52
289,440900,2014JJ00,6,50
290,440900,2015JJ00,8,52
291,440900,2016JJ00,8,52
292,440900,2017JJ00,8,51
293,440900,2018JJ00,7,56
294,440900,2019JJ00,7,51
295,440900,2020JJ00,6,48
296,440900,2021JJ00,7,46
297,440900,2022JJ00,6,43
298,440900,2023JJ00,5,40
299,440900,2024JJ00,5,38
