ID,LandbouwgoederenEnDiensten,Perioden,OutputTegenAfProducentwaarde_1,OutputBasisprijzen_2,OutputTegenAfProducentwaarde_3,OutputBasisprijzen_4,OutputTegenAfProducentwaarde_5,OutputBasisprijzen_6,OutputTegenAfProducentwaarde_7,OutputBasisprijzen_8
1699,A045478,2012JJ00,2461.0,2461.0,2492.0,2435.0,-3.2,-2.1,98.7,101.0
1700,A045478,2013JJ00,2493.0,2493.0,2457.0,2429.0,-1.4,-0.2,101.4,102.6
1701,A045478,2014JJ00,2517.0,2517.0,2466.0,2466.0,0.4,1.5,102.1,102.1
1702,A045478,2015JJ00,2518.0,2518.0,2518.0,2518.0,2.1,2.1,100.0,100.0
1703,A045478,2016JJ00,2566.0,2566.0,2562.0,2562.0,1.7,1.7,100.2,100.2
1704,A045478,2017JJ00,2670.0,2670.0,2597.0,2597.0,1.4,1.4,102.8,102.8
1705,A045478,2018JJ00,2697.0,2697.0,2583.0,2583.0,-0.5,-0.5,104.4,104.4
1706,A045478,2019JJ00,2767.0,2767.0,2575.0,2575.0,-0.3,-0.3,107.5,107.5
1707,A045478,2020JJ00,2817.0,2817.0,2584.0,2584.0,0.4,0.4,109.0,109.0
1708,A045478,2021JJ00,2950.0,2950.0,2639.0,2639.0,2.1,2.1,111.8,111.8
1709,A045478,2022JJ00,3118.0,3118.0,2582.0,2582.0,-2.1,-2.1,120.7,120.7
1710,A045478,2023JJ00,,,,,,,,
1711,A045479,1995JJ00,120.0,120.0,100.0,100.0,,,120.4,120.4
1712,A045479,1996JJ00,103.0,103.0,84.0,84.0,-15.8,-15.8,122.8,122.8
1713,A045479,1997JJ00,119.0,119.0,95.0,95.0,13.6,13.6,124.9,124.9
1714,A045479,1998JJ00,132.0,132.0,102.0,102.0,7.6,7.6,128.8,128.8
1715,A045479,1999JJ00,131.0,131.0,99.0,99.0,-3.0,-3.0,131.8,131.8
1716,A045479,2000JJ00,136.0,136.0,101.0,101.0,1.5,1.5,134.8,134.8
1717,A045479,2001JJ00,149.0,149.0,104.0,104.0,2.9,2.9,143.5,143.5
1718,A045479,2002JJ00,157.0,157.0,102.0,102.0,-1.3,-1.3,153.2,153.2
1719,A045479,2003JJ00,154.0,154.0,101.0,101.0,-1.9,-1.9,153.2,153.2
1720,A045479,2004JJ00,162.0,162.0,104.0,104.0,3.2,3.2,156.1,156.1
1721,A045479,2005JJ00,166.0,166.0,106.0,106.0,1.9,1.9,157.1,157.1
1722,A045479,2006JJ00,153.0,153.0,110.0,110.0,3.6,3.6,139.7,139.7
1723,A045479,2007JJ00,106.0,106.0,111.0,111.0,1.3,1.3,95.5,95.5
1724,A045479,2008JJ00,116.0,116.0,119.0,119.0,7.5,7.5,97.2,97.2
1725,A045479,2009JJ00,118.0,118.0,117.0,117.0,-1.7,-1.7,100.6,100.6
1726,A045479,2010JJ00,113.0,113.0,121.0,121.0,3.4,3.4,93.2,93.2
1727,A045479,2011JJ00,120.0,120.0,120.0,120.0,-0.9,-0.9,99.9,99.9
1728,A045479,2012JJ00,100.0,100.0,119.0,119.0,-0.8,-0.8,83.9,83.9
1729,A045479,2013JJ00,108.0,108.0,119.0,119.0,0.0,0.0,90.6,90.6
1730,A045479,2014JJ00,143.0,143.0,124.0,124.0,3.7,3.7,115.7,115.7
1731,A045479,2015JJ00,31.0,31.0,31.0,31.0,-74.9,-74.9,100.0,100.0
1732,A045479,2016JJ00,,,,,,,,
1733,A045479,2017JJ00,,,,,,,,
1734,A045479,2018JJ00,,,,,,,,
1735,A045479,2019JJ00,,,,,,,,
1736,A045479,2020JJ00,,,,,,,,
1737,A045479,2021JJ00,,,,,,,,
1738,A045479,2022JJ00,,,,,,,,
1739,A045479,2023JJ00,,,,,,,,
1740,A045480,1995JJ00,87.0,87.0,119.0,120.0,,,72.8,72.5
1741,A045480,1996JJ00,111.0,111.0,149.0,150.0,24.7,24.7,74.7,74.4
1742,A045480,1997JJ00,132.0,132.0,172.0,173.0,15.5,15.6,76.8,76.5
