ID,BronTechniek,Perioden,InGebruikGenomen_1,UitGebruikGenomen_2,OpgesteldAanHetEindeVanHetJaar_3,InGebruikGenomen_4,UitGebruikGenomen_5,OpgesteldAanHetEindeVanHetJaar_6,InGebruikGenomen_7,UitGebruikGenomen_8,OpgesteldAanHetEindeVanHetJaar_9,InGebruikGenomen_10,UitGebruikGenomen_11,OpgesteldAanHetEindeVanHetJaar_12,ElektriciteitInMlnKWh_13,AandeelInTotaalElektriciteitsverbruik_14,Warmte_15,BiogasVoorNuttigFinaalVerbruik_16,WinningVanBiogas_17,GefakkeldBiogas_18,NuttigEnergetischVerbruikVanBiomassa_19
262,zthto,2012JJ00,,,,,,,,,,63.0,41.0,865.0,,,,,,,
263,zthto,2013JJ00,,,,,,,,,,,,,,,,,,,
264,zthbo,1990JJ00,544.0,0.0,2129.0,,,,,0.0,,2.0,0.0,6.0,,,,,,,
265,zthbo,1991JJ00,1815.0,0.0,3944.0,,,,,0.0,,5.0,0.0,11.0,,,,,,,
266,zthbo,1992JJ00,2135.0,0.0,6079.0,,,,,0.0,,7.0,0.0,18.0,,,,,,,
267,zthbo,1993JJ00,1914.0,12.0,7981.0,,,,,,,6.0,0.0,24.0,,,,,,,
268,zthbo,1994JJ00,2505.0,5.0,10481.0,,,,,,,8.0,0.0,32.0,,,,,,,
269,zthbo,1995JJ00,3375.0,52.0,13804.0,,,,,,,11.0,0.0,43.0,,,,,,,
270,zthbo,1996JJ00,4495.0,124.0,18175.0,,,,,,,15.0,0.0,57.0,,,,,,,
271,zthbo,1997JJ00,7917.0,233.0,25859.0,,,,,,,22.0,1.0,78.0,,,,,,,
272,zthbo,1998JJ00,7526.0,326.0,33059.0,,,,,,,20.0,1.0,98.0,,,,,,,
273,zthbo,1999JJ00,8565.0,142.0,41482.0,,,,,,,26.0,0.0,123.0,,,,,,,
274,zthbo,2000JJ00,7971.0,184.0,49269.0,,,,,,,25.0,0.0,147.0,,,,,,,
275,zthbo,2001JJ00,8736.0,126.0,57879.0,,,,,,,27.0,0.0,174.0,,,,,,,
276,zthbo,2002JJ00,10035.0,240.0,67674.0,,,,,,,28.0,1.0,201.0,,,,,,,
277,zthbo,2003JJ00,8385.0,125.0,75934.0,,,,,,,23.0,0.0,225.0,,,,,,,
278,zthbo,2004JJ00,7844.0,249.0,83529.0,,,,,,,21.0,1.0,245.0,,,,,,,
279,zthbo,2005JJ00,7294.0,544.0,90279.0,,,,,,,18.0,2.0,261.0,,,,,,,
280,zthbo,2006JJ00,5626.0,1815.0,94090.0,,,,,,,13.0,5.0,269.0,,,,,,,
281,zthbo,2007JJ00,6365.0,2135.0,98320.0,,,,,,,17.0,7.0,280.0,,,,,,,
282,zthbo,2008JJ00,7284.0,1914.0,103690.0,,,,,,,20.0,6.0,294.0,,,,,,,
283,zthbo,2009JJ00,11522.0,2501.0,112711.0,,,,,,,34.0,8.0,320.0,,,,,,,
284,zthbo,2010JJ00,10397.0,3300.0,119808.0,,,,,,,32.0,11.0,341.0,,,,,,,
285,zthbo,2011JJ00,10235.0,4454.0,125589.0,,,,,,,28.0,15.0,354.0,,,,,,,
286,zthbo,2012JJ00,9384.0,7804.0,127169.0,,,,,,,28.0,21.0,360.0,,,,,,,
287,zthbo,2013JJ00,,,,,,,,,,,,,,,,,,,
288,zthag,1990JJ00,,,,,,,,,,1.0,0.0,11.0,,,,,,,
289,zthag,1991JJ00,,,,,,,,,,1.0,1.0,11.0,,,,,,,
290,zthag,1992JJ00,,,,,,,,,,1.0,1.0,11.0,,,,,,,
291,zthag,1993JJ00,,,,,,,,,,2.0,0.0,13.0,,,,,,,
292,zthag,1994JJ00,,,,,,,,,,2.0,0.0,15.0,,,,,,,
293,zthag,1995JJ00,,,,,,,,,,2.0,0.0,16.0,,,,,,,
294,zthag,1996JJ00,,,,,,,,,,2.0,0.0,18.0,,,,,,,
295,zthag,1997JJ00,,,,,,,,,,4.0,1.0,21.0,,,,,,,
296,zthag,1998JJ00,,,,,,,,,,4.0,0.0,24.0,,,,,,,
297,zthag,1999JJ00,,,,,,,,,,2.0,0.0,26.0,,,,,,,
298,zthag,2000JJ00,,,,,,,,,,3.0,2.0,28.0,,,,,,,
299,zthag,2001JJ00,,,,,,,,,,3.0,1.0,30.0,,,,,,,
300,zthag,2002JJ00,,,,,,,,,,6.0,1.0,36.0,,,,,,,
301,zthag,2003JJ00,,,,,,,,,,4.0,0.0,40.0,,,,,,,
302,zthag,2004JJ00,,,,,,,,,,5.0,0.0,44.0,,,,,,,
303,zthag,2005JJ00,,,,,,,,,,3.0,0.0,46.0,,,,,,,
304,zthag,2006JJ00,,,,,,,,,,2.0,0.0,48.0,,,,,,,
305,zthag,2007JJ00,,,,,,,,,,2.0,1.0,50.0,,,,,,,
306,zthag,2008JJ00,,,,,,,,,,3.0,4.0,49.0,,,,,,,
307,zthag,2009JJ00,,,,,,,,,,11.0,2.0,58.0,,,,,,,
308,zthag,2010JJ00,,,,,,,,,,18.0,2.0,74.0,,,,,,,
309,zthag,2011JJ00,,,,,,,,,,9.0,4.0,78.0,,,,,,,
310,zthag,2012JJ00,,,,,,,,,,8.0,1.0,85.0,,,,,,,
311,zthag,2013JJ00,,,,,,,,,,,,,,,,,,,
312,zthov,1990JJ00,,,,,,,,,,9.0,1.0,60.0,,,,,,,
313,zthov,1991JJ00,,,,,,,,,,9.0,4.0,65.0,,,,,,,
314,zthov,1992JJ00,,,,,,,,,,14.0,2.0,76.0,,,,,,,
315,zthov,1993JJ00,,,,,,,,,,11.0,4.0,83.0,,,,,,,
316,zthov,1994JJ00,,,,,,,,,,12.0,2.0,93.0,,,,,,,
317,zthov,1995JJ00,,,,,,,,,,13.0,2.0,103.0,,,,,,,
318,zthov,1996JJ00,,,,,,,,,,12.0,4.0,112.0,,,,,,,
319,zthov,1997JJ00,,,,,,,,,,17.0,4.0,124.0,,,,,,,
320,zthov,1998JJ00,,,,,,,,,,22.0,3.0,143.0,,,,,,,
321,zthov,1999JJ00,,,,,,,,,,21.0,3.0,161.0,,,,,,,
322,zthov,2000JJ00,,,,,,,,,,28.0,3.0,186.0,,,,,,,
323,zthov,2001JJ00,,,,,,,,,,28.0,2.0,212.0,,,,,,,
324,zthov,2002JJ00,,,,,,,,,,29.0,3.0,238.0,,,,,,,
325,zthov,2003JJ00,,,,,,,,,,25.0,3.0,260.0,,,,,,,
326,zthov,2004JJ00,,,,,,,,,,36.0,4.0,292.0,,,,,,,
327,zthov,2005JJ00,,,,,,,,,,29.0,8.0,313.0,,,,,,,
328,zthov,2006JJ00,,,,,,,,,,24.0,8.0,330.0,,,,,,,
329,zthov,2007JJ00,,,,,,,,,,28.0,14.0,344.0,,,,,,,
330,zthov,2008JJ00,,,,,,,,,,28.0,11.0,361.0,,,,,,,
331,zthov,2009JJ00,,,,,,,,,,34.0,12.0,383.0,,,,,,,
332,zthov,2010JJ00,,,,,,,,,,27.0,13.0,396.0,,,,,,,
333,zthov,2011JJ00,,,,,,,,,,27.0,14.0,410.0,,,,,,,
334,zthov,2012JJ00,,,,,,,,,,27.0,19.0,419.0,,,,,,,
335,zthov,2013JJ00,,,,,,,,,,,,,,,,,,,
336,botot,1990JJ00,,,,,,,,,,,,,,,2.0,,,,
337,botot,1991JJ00,,,,,,,,,,,,,,,2.0,,,,
338,botot,1992JJ00,,,,,,,,,,,,,,,2.0,,,,
339,botot,1993JJ00,,,,,,,,,,,,,,,4.0,,,,
340,botot,1994JJ00,,,,,,,,,,,,,,,132.0,,,,
341,botot,1995JJ00,,,,,,,,,,,,,,,138.0,,,,
342,botot,1996JJ00,,,,,,,,,,,,,,,149.0,,,,
343,botot,1997JJ00,,,,,,,,,,,,,,,185.0,,,,
344,botot,1998JJ00,,,,,,,,,,,,,,,243.0,,,,
345,botot,1999JJ00,,,,,,,,,,,,,,,294.0,,,,
346,botot,2000JJ00,,,,,,,,,,,,,,,359.0,,,,
347,botot,2001JJ00,,,,,,,,,,,,,,,416.0,,,,
348,botot,2002JJ00,,,,,,,,,,,,,,,510.0,,,,
349,botot,2003JJ00,,,,,,,,,,,,,,,618.0,,,,
350,botot,2004JJ00,,,,,,,,,,,,,,,829.0,,,,
351,botot,2005JJ00,,,,,,,,,,,,,,,1098.0,,,,
352,botot,2006JJ00,,,,,,,,,,,,,,,1438.0,,,,
353,botot,2007JJ00,,,,,,,,,,,,,,,1857.0,,,,
354,botot,2008JJ00,,,,,,,,,,,,,,,2447.0,,,,
355,botot,2009JJ00,,,,,,,,,,,,,,,2985.0,,,,
356,botot,2010JJ00,,,,,,,,,,,,,,,3677.0,,,,
357,botot,2011JJ00,,,,,,,,,,,,,,,4157.0,,,,
358,botot,2012JJ00,,,,,,,,,,,,,,,4783.0,,,,
359,botot,2013JJ00,,,,,,,,,,,,,,,,,,,
360,bodie,1990JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
361,bodie,1991JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
362,bodie,1992JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
363,bodie,1993JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
364,bodie,1994JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
365,bodie,1995JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
366,bodie,1996JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
367,bodie,1997JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
368,bodie,1998JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
369,bodie,1999JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
370,bodie,2000JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
371,bodie,2001JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
372,bodie,2002JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
373,bodie,2003JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
374,bodie,2004JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
375,bodie,2005JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
376,bodie,2006JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
377,bodie,2007JJ00,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,,
378,bodie,2008JJ00,1.0,0.0,1.0,,,,,0.0,,,,,,,96.0,,,,
379,bodie,2009JJ00,0.0,0.0,1.0,,,,,0.0,,,,,,,142.0,,,,
380,bodie,2010JJ00,0.0,0.0,2.0,,,,,0.0,,,,,,,318.0,,,,
381,bodie,2011JJ00,2.0,0.0,4.0,,,,,0.0,,,,,,,316.0,,,,
382,bodie,2012JJ00,2.0,0.0,6.0,,,,,0.0,,,,,,,495.0,,,,
383,bodie,2013JJ00,,,,,,,,,,,,,,,,,,,
384,booto,1990JJ00,,,,,,,,,,,,,,,2.0,,,,
385,booto,1991JJ00,,,,,,,,,,,,,,,2.0,,,,
386,booto,1992JJ00,,,,,,,,,,,,,,,2.0,,,,
387,booto,1993JJ00,,,,,,,,,,,,,,,4.0,,,,
388,booto,1994JJ00,,,,,,,,,,,,,,,132.0,,,,
389,booto,1995JJ00,,,,,,,,,,,,,,,138.0,,,,
390,booto,1996JJ00,,,,,,,,,,,,,,,149.0,,,,
391,booto,1997JJ00,,,,,,,,,,,,,,,185.0,,,,
392,booto,1998JJ00,,,,,,,,,,,,,,,243.0,,,,
393,booto,1999JJ00,,,,,,,,,,,,,,,294.0,,,,
394,booto,2000JJ00,,,,,,,,,,,,,,,359.0,,,,
395,booto,2001JJ00,,,,,,,,,,,,,,,416.0,,,,
396,booto,2002JJ00,,,,,,,,,,,,,,,510.0,,,,
397,booto,2003JJ00,,,,,,,,,,,,,,,618.0,,,,
398,booto,2004JJ00,,,,,,,,,,,,,,,829.0,,,,
399,booto,2005JJ00,,,,,,,,,,,,,,,1098.0,,,,
400,booto,2006JJ00,,,,,,,,,,,,,,,1438.0,,,,
401,booto,2007JJ00,,,,,,,,,,,,,,,1857.0,,,,
402,booto,2008JJ00,,,,,,,,,,,,,,,2351.0,,,,
403,booto,2009JJ00,,,,,,,,,,,,,,,2843.0,,,,
404,booto,2010JJ00,,,,,,,,,,,,,,,3359.0,,,,
405,booto,2011JJ00,,,,,,,,,,,,,,,3841.0,,,,
406,booto,2012JJ00,,,,,,,,,,,,,,,4288.0,,,,
407,booto,2013JJ00,,,,,,,,,,,,,,,,,,,
408,boowt,1990JJ00,,,,,,,,,,,,,,,2.0,,,,
409,boowt,1991JJ00,,,,,,,,,,,,,,,2.0,,,,
410,boowt,1992JJ00,,,,,,,,,,,,,,,2.0,,,,
411,boowt,1993JJ00,,,,,,,,,,,,,,,4.0,,,,
412,boowt,1994JJ00,,,,,,,,,,,,,,,132.0,,,,
413,boowt,1995JJ00,,,,,,,,,,,,,,,138.0,,,,
414,boowt,1996JJ00,,,,,,,,,,,,,,,149.0,,,,
415,boowt,1997JJ00,,,,,,,,,,,,,,,185.0,,,,
416,boowt,1998JJ00,,,,,,,,,,,,,,,243.0,,,,
417,boowt,1999JJ00,,,,,,,,,,,,,,,294.0,,,,
418,boowt,2000JJ00,,,,,,,,,,,,,,,359.0,,,,
419,boowt,2001JJ00,,,,,,,,,,,,,,,416.0,,,,
420,boowt,2002JJ00,,,,,,,,,,,,,,,510.0,,,,
421,boowt,2003JJ00,,,,,,,,,,,,,,,618.0,,,,
422,boowt,2004JJ00,,,,,,,,,,,,,,,829.0,,,,
423,boowt,2005JJ00,,,,,,,,,,,,,,,1098.0,,,,
424,boowt,2006JJ00,,,,,,,,,,,,,,,1438.0,,,,
425,boowt,2007JJ00,,,,,,,,,,,,,,,1857.0,,,,
426,boowt,2008JJ00,,,,,,,,,,,,,,,2351.0,,,,
427,boowt,2009JJ00,,,,,,,,,,,,,,,2843.0,,,,
428,boowt,2010JJ00,,,,,,,,,,,,,,,3359.0,,,,
429,boowt,2011JJ00,,,,,,,,,,,,,,,3841.0,,,,
430,boowt,2012JJ00,,,,,,,,,,,,,,,4288.0,,,,
431,boowt,2013JJ00,,,,,,,,,,,,,,,,,,,
432,booww,1990JJ00,,,,,,,,,,,,,,,,,,,
433,booww,1991JJ00,,,,,,,,,,,,,,,,,,,
434,booww,1992JJ00,,,,,,,,,,,,,,,,,,,
435,booww,1993JJ00,,,,,,,,,,,,,,,,,,,
436,booww,1994JJ00,,0.0,48.0,,,,,0.0,3.0,,,,,,32.0,,,,
437,booww,1995JJ00,18.0,0.0,66.0,,,,0.0,0.0,3.0,,,,,,32.0,,,,
438,booww,1996JJ00,66.0,0.0,132.0,,,,0.0,0.0,4.0,,,,,,34.0,,,,
439,booww,1997JJ00,492.0,0.0,624.0,,,,3.0,0.0,7.0,,,,,,48.0,,,,
440,booww,1998JJ00,378.0,0.0,1002.0,,,,6.0,0.0,13.0,,,,,,71.0,,,,
441,booww,1999JJ00,279.0,0.0,1281.0,,,,2.0,0.0,15.0,,,,,,82.0,,,,
442,booww,2000JJ00,454.0,0.0,1735.0,,,,4.0,0.0,19.0,,,,,,97.0,,,,
443,booww,2001JJ00,179.0,0.0,1914.0,,,,2.0,0.0,21.0,,,,,,104.0,,,,
444,booww,2002JJ00,517.0,0.0,2431.0,,,,5.0,0.0,26.0,,,,,,129.0,,,,
445,booww,2003JJ00,753.0,0.0,3184.0,,,,8.0,0.0,33.0,,,,,,161.0,,,,
446,booww,2004JJ00,707.0,0.0,3891.0,,,,8.0,0.0,41.0,,,,,,191.0,,,,
447,booww,2005JJ00,1481.0,10.0,5362.0,,,,9.0,1.0,50.0,,,,,,229.0,,,,
448,booww,2006JJ00,2565.0,10.0,7918.0,,,,23.0,1.0,72.0,,,,,,322.0,,,,
449,booww,2007JJ00,2687.0,10.0,10595.0,,,,23.0,1.0,94.0,,,,,,417.0,,,,
450,booww,2008JJ00,3323.0,10.0,13908.0,,,,40.0,1.0,133.0,,,,,,588.0,,,,
451,booww,2009JJ00,4560.0,10.0,18459.0,,,,56.0,1.0,188.0,,,,,,828.0,,,,
452,booww,2010JJ00,5040.0,18.0,23481.0,,,,46.0,0.0,233.0,,,,,,1043.0,,,,
453,booww,2011JJ00,4890.0,66.0,28305.0,,,,44.0,0.0,277.0,,,,,,1244.0,,,,
454,booww,2012JJ00,4843.0,492.0,32656.0,,,,39.0,3.0,313.0,,,,,,1413.0,,,,
455,booww,2013JJ00,,,,,,,,,,,,,,,,,,,
456,boowu,1990JJ00,,,,,,,,,,,,,,,,,,,
457,boowu,1991JJ00,,,,,,,,,,,,,,,,,,,
458,boowu,1992JJ00,,,,,,,,,,,,,,,,,,,
459,boowu,1993JJ00,,,,,,,,,,,,,,,,,,,
460,boowu,1994JJ00,,0.0,42.0,,,,,0.0,11.0,,,,,,95.0,,,,
461,boowu,1995JJ00,23.0,0.0,65.0,,,,1.0,0.0,12.0,,,,,,99.0,,,,
462,boowu,1996JJ00,34.0,0.0,99.0,,,,1.0,0.0,13.0,,,,,,104.0,,,,
463,boowu,1997JJ00,89.0,0.0,188.0,,,,4.0,0.0,17.0,,,,,,119.0,,,,
464,boowu,1998JJ00,49.0,0.0,237.0,,,,6.0,0.0,23.0,,,,,,144.0,,,,
465,boowu,1999JJ00,127.0,0.0,364.0,,,,7.0,0.0,30.0,,,,,,174.0,,,,
466,boowu,2000JJ00,211.0,0.0,575.0,,,,10.0,0.0,40.0,,,,,,212.0,,,,
467,boowu,2001JJ00,350.0,0.0,925.0,,,,9.0,0.0,49.0,,,,,,249.0,,,,
468,boowu,2002JJ00,386.0,0.0,1311.0,,,,15.0,0.0,64.0,,,,,,307.0,,,,
469,boowu,2003JJ00,242.0,0.0,1553.0,,,,16.0,0.0,80.0,,,,,,370.0,,,,
470,boowu,2004JJ00,720.0,0.0,2273.0,,,,42.0,0.0,121.0,,,,,,543.0,,,,
471,boowu,2005JJ00,664.0,8.0,2928.0,,,,54.0,2.0,174.0,,,,,,760.0,,,,
472,boowu,2006JJ00,881.0,8.0,3801.0,,,,55.0,2.0,226.0,,,,,,980.0,,,,
473,boowu,2007JJ00,896.0,8.0,4689.0,,,,82.0,2.0,306.0,,,,,,1298.0,,,,
474,boowu,2008JJ00,777.0,8.0,5458.0,,,,79.0,2.0,383.0,,,,,,1596.0,,,,
475,boowu,2009JJ00,749.0,8.0,6198.0,,,,65.0,2.0,445.0,,,,,,1834.0,,,,
476,boowu,2010JJ00,633.0,23.0,6808.0,,,,71.0,1.0,516.0,,,,,,2119.0,,,,
477,boowu,2011JJ00,969.0,34.0,7743.0,,,,77.0,1.0,591.0,,,,,,2419.0,,,,
478,boowu,2012JJ00,943.0,89.0,8597.0,,,,74.0,4.0,662.0,,,,,,2698.0,,,,
479,boowu,2013JJ00,,,,,,,,,,,,,,,,,,,
480,boozw,1990JJ00,,,,,,,,,,,,,,,2.0,,,,
481,boozw,1991JJ00,,,,,,,,,,,,,,,2.0,,,,
482,boozw,1992JJ00,,,,,,,,,,,,,,,2.0,,,,
483,boozw,1993JJ00,,,,,,,,,,,,,,,4.0,,,,
484,boozw,1994JJ00,,,,,,,,,,,,,,,5.0,,,,
485,boozw,1995JJ00,,,,,,,,,,,,,,,7.0,,,,
486,boozw,1996JJ00,,,,,,,,,,,,,,,11.0,,,,
487,boozw,1997JJ00,,,,,,,,,,,,,,,19.0,,,,
488,boozw,1998JJ00,,,,,,,,,,,,,,,28.0,,,,
489,boozw,1999JJ00,,,,,,,,,,,,,,,39.0,,,,
490,boozw,2000JJ00,,,,,,,,,,,,,,,50.0,,,,
491,boozw,2001JJ00,,,,,,,,,,,,,,,63.0,,,,
492,boozw,2002JJ00,,,,,,,,,,,,,,,74.0,,,,
493,boozw,2003JJ00,,,,,,,,,,,,,,,87.0,,,,
494,boozw,2004JJ00,,,,,,,,,,,,,,,94.0,,,,
495,boozw,2005JJ00,,,,,,,,,,,,,,,109.0,,,,
496,boozw,2006JJ00,,,,,,,,,,,,,,,136.0,,,,
497,boozw,2007JJ00,,,,,,,,,,,,,,,142.0,,,,
498,boozw,2008JJ00,,,,,,,,,,,,,,,167.0,,,,
499,boozw,2009JJ00,,,,,,,,,,,,,,,181.0,,,,
500,boozw,2010JJ00,,,,,,,,,,,,,,,198.0,,,,
501,boozw,2011JJ00,,,,,,,,,,,,,,,178.0,,,,
502,boozw,2012JJ00,,,,,,,,,,,,,,,177.0,,,,
503,boozw,2013JJ00,,,,,,,,,,,,,,,,,,,
504,booko,1990JJ00,,,,,,,,,,,,,,,,,,,
505,booko,1991JJ00,,,,,,,,,,,,,,,,,,,
506,booko,1992JJ00,,,,,,,,,,,,,,,,,,,
507,booko,1993JJ00,,,,,,,,,,,,,,,,,,,
508,booko,1994JJ00,,,,,,,,,,,,,,,,,,,
509,booko,1995JJ00,,,,,,,,,,,,,,,,,,,
510,booko,1996JJ00,,,,,,,,,,,,,,,,,,,
511,booko,1997JJ00,,,,,,,,,,,,,,,,,,,
512,booko,1998JJ00,,,,,,,,,,,,,,,,,,,
513,booko,1999JJ00,,,,,,,,,,,,,,,,,,,
514,booko,2000JJ00,,,,,,,,,,,,,,,,,,,
515,booko,2001JJ00,,,,,,,,,,,,,,,,,,,
516,booko,2002JJ00,,,,,,,,,,,,,,,,,,,
517,booko,2003JJ00,,,,,,,,,,,,,,,,,,,
518,booko,2004JJ00,,,,,,,,,,,,,,,,,,,
519,booko,2005JJ00,,,,,,,,,,,,,,,,,,,
520,booko,2006JJ00,,,,,,,,,,,,,,,,,,,
521,booko,2007JJ00,,,,,,,,,,,,,,,,,,,
522,booko,2008JJ00,,,,,,,,,,,,,,,,,,,
523,booko,2009JJ00,,,,,,,,,,,,,,,,,,,
524,booko,2010JJ00,,,,,,,,,,,,,,,,,,,
525,booko,2011JJ00,,,,,,,,,,,,,,,,,,,
526,booko,2012JJ00,,,,,,,,,,,,,,,,,,,
527,booko,2013JJ00,,,,,,,,,,,,,,,,,,,
528,butot,1990JJ00,,,,,,,,,,,,,,,,,,,
529,butot,1991JJ00,,,,,,,,,,,,,,,,,,,
530,butot,1992JJ00,,,,,,,,,,,,,,,,,,,
531,butot,1993JJ00,,,,,,,,,,,,,,,,,,,
532,butot,1994JJ00,,,1806.0,,,,,,8.0,,,,,,26.0,,,,
533,butot,1995JJ00,33.0,,1839.0,,,,1.0,,9.0,,,,,,29.0,,,,
534,butot,1996JJ00,86.0,,1925.0,,,,2.0,,11.0,,,,,,32.0,,,,
535,butot,1997JJ00,1114.0,,3039.0,,,,8.0,,19.0,,,,,,54.0,,,,
536,butot,1998JJ00,1438.0,,4477.0,,,,6.0,,25.0,,,,,,73.0,,,,
537,butot,1999JJ00,1287.0,,5764.0,,,,15.0,,40.0,,,,,,107.0,,,,
538,butot,2000JJ00,1253.0,,7017.0,,,,17.0,,57.0,,,,,,142.0,,,,
539,butot,2001JJ00,1295.0,,8312.0,,,,14.0,,71.0,,,,,,175.0,,,,
540,butot,2002JJ00,3494.0,,11806.0,,,,14.0,,86.0,,,,,,222.0,,,,
541,butot,2003JJ00,3932.0,,15738.0,,,,43.0,,129.0,,,,,,325.0,,,,
542,butot,2004JJ00,6249.0,,21987.0,,,,69.0,,198.0,,,,,,477.0,,,,
543,butot,2005JJ00,5459.0,361.0,27085.0,,,,82.0,2.0,278.0,,,,,,644.0,,,,
544,butot,2006JJ00,8342.0,361.0,35065.0,,,,145.0,2.0,421.0,,,,,,938.0,,,,
545,butot,2007JJ00,11778.0,361.0,46482.0,,,,197.0,2.0,617.0,,,,,,1333.0,,,,
546,butot,2008JJ00,14151.0,361.0,60272.0,,,,263.0,2.0,878.0,,,,,,1907.0,,,,
547,butot,2009JJ00,13609.0,361.0,73520.0,,,,226.0,2.0,1102.0,,,,,,2436.0,,,,
548,butot,2010JJ00,12276.0,33.0,85763.0,,,,239.0,1.0,1340.0,,,,,,2971.0,,,,
549,butot,2011JJ00,32403.0,86.0,118080.0,,,,260.0,2.0,1599.0,,,,,,3618.0,,,,
550,butot,2012JJ00,30849.0,1114.0,147815.0,,,,230.0,8.0,1821.0,,,,,,4166.0,,,,
551,butot,2013JJ00,,,,,,,,,,,,,,,,,,,
552,buwaw,1990JJ00,,,,,,,,,,,,,,,,,,,
553,buwaw,1991JJ00,,,,,,,,,,,,,,,,,,,
554,buwaw,1992JJ00,,,,,,,,,,,,,,,,,,,
555,buwaw,1993JJ00,,,,,,,,,,,,,,,,,,,
556,buwaw,1994JJ00,,0.0,1652.0,,,,,0.0,2.0,,,,,,15.0,,,,
557,buwaw,1995JJ00,25.0,0.0,1677.0,,,,0.0,0.0,2.0,,,,,,15.0,,,,
558,buwaw,1996JJ00,46.0,0.0,1723.0,,,,0.0,0.0,2.0,,,,,,15.0,,,,
559,buwaw,1997JJ00,811.0,0.0,2534.0,,,,1.0,0.0,3.0,,,,,,23.0,,,,
560,buwaw,1998JJ00,1169.0,0.0,3702.0,,,,2.0,0.0,5.0,,,,,,33.0,,,,
561,buwaw,1999JJ00,482.0,0.0,4184.0,,,,1.0,0.0,6.0,,,,,,38.0,,,,
562,buwaw,2000JJ00,287.0,0.0,4471.0,,,,1.0,0.0,7.0,,,,,,41.0,,,,
563,buwaw,2001JJ00,962.0,0.0,5433.0,,,,2.0,0.0,8.0,,,,,,50.0,,,,
564,buwaw,2002JJ00,3079.0,0.0,8512.0,,,,6.0,0.0,14.0,,,,,,80.0,,,,
565,buwaw,2003JJ00,3135.0,0.0,11647.0,,,,11.0,0.0,25.0,,,,,,120.0,,,,
566,buwaw,2004JJ00,2514.0,0.0,14161.0,,,,8.0,0.0,33.0,,,,,,149.0,,,,
567,buwaw,2005JJ00,1848.0,330.0,15679.0,,,,3.0,0.0,35.0,,,,,,163.0,,,,
568,buwaw,2006JJ00,2048.0,330.0,17397.0,,,,3.0,0.0,38.0,,,,,,178.0,,,,
569,buwaw,2007JJ00,2506.0,330.0,19572.0,,,,14.0,0.0,51.0,,,,,,212.0,,,,
570,buwaw,2008JJ00,4308.0,330.0,23550.0,,,,24.0,0.0,74.0,,,,,,281.0,,,,
571,buwaw,2009JJ00,3698.0,330.0,26917.0,,,,13.0,0.0,87.0,,,,,,330.0,,,,
572,buwaw,2010JJ00,3360.0,25.0,30252.0,,,,20.0,0.0,107.0,,,,,,412.0,,,,
573,buwaw,2011JJ00,12449.0,46.0,42656.0,,,,61.0,0.0,167.0,,,,,,640.0,,,,
574,buwaw,2012JJ00,13810.0,811.0,55655.0,,,,58.0,1.0,224.0,,,,,,807.0,,,,
575,buwaw,2013JJ00,,,,,,,,,,,,,,,,,,,
576,buwau,1990JJ00,,,,,,,,,,,,,,,,,,,
577,buwau,1991JJ00,,,,,,,,,,,,,,,,,,,
578,buwau,1992JJ00,,,,,,,,,,,,,,,,,,,
579,buwau,1993JJ00,,,,,,,,,,,,,,,,,,,
580,buwau,1994JJ00,,0.0,154.0,,,,,0.0,6.0,,,,,,12.0,,,,
581,buwau,1995JJ00,8.0,0.0,162.0,,,,1.0,0.0,7.0,,,,,,14.0,,,,
582,buwau,1996JJ00,40.0,0.0,202.0,,,,1.0,0.0,8.0,,,,,,17.0,,,,
583,buwau,1997JJ00,303.0,0.0,505.0,,,,7.0,0.0,15.0,,,,,,31.0,,,,
584,buwau,1998JJ00,269.0,0.0,775.0,,,,5.0,0.0,20.0,,,,,,40.0,,,,
