ID,Geslacht,Leeftijd,Herkomst,Perioden,TotaalUniekeGebruikersToevoegingen_1,Civiel_2,Ambtshalve_3,Straf_4,Erfrecht_5,PersonenEnFamilierecht_6,Verbintenissenrecht_7,Arbeidsrecht_8,Huurrecht_9,Faillissementsrecht_10,Goederenrecht_11,OverigCiviel_12,SocialeVoorzieningen_13,Vreemdelingenrecht_14,SocialeVerzekeringen_15,Bestuursrecht_16,Woonrecht_17,FiscaalRecht_18,Ambtenarenrecht_19,Milieurecht_20,StrafrechtVerdachten_21,StrafrechtOverig_22,Onbekend_23
140,1100,60300,1271,2007JJ00,7880,6720,590,1160,10,1010,710,390,220,10,0,20,590,3890,140,280,40,40,10,0,1220,550,10
141,1100,60300,1271,2008JJ00,7910,6540,700,1290,10,1030,760,460,220,10,0,20,520,3650,110,230,40,30,10,0,1340,660,10
142,1100,60300,1271,2009JJ00,7700,6350,630,1380,10,1130,810,550,250,20,0,30,590,3140,140,350,20,40,0,0,1320,630,0
143,1100,60300,1271,2010JJ00,7400,6020,660,1300,10,1260,890,380,200,10,0,20,500,2890,130,310,30,40,10,0,1230,710,0
144,1100,60300,1271,2011JJ00,6800,5430,630,1260,10,1300,680,320,230,10,0,30,530,2470,120,270,30,20,0,0,1250,630,0
145,1100,60300,1272,2007JJ00,4530,3390,430,1090,0,1150,630,520,240,10,0,20,190,640,110,100,30,20,10,0,1120,400,10
146,1100,60300,1272,2008JJ00,4570,3340,460,1150,20,1210,630,560,250,10,10,30,200,460,100,100,30,20,10,0,1190,440,20
147,1100,60300,1272,2009JJ00,4700,3460,450,1220,10,1210,740,640,290,10,0,20,210,390,110,120,30,20,10,0,1200,440,0
148,1100,60300,1272,2010JJ00,4380,3300,420,1020,10,1250,700,520,270,10,10,20,170,360,90,130,20,20,10,0,1010,420,0
149,1100,60300,1272,2011JJ00,4140,3010,450,1040,10,1160,650,500,260,0,0,20,190,260,110,100,10,20,10,0,1070,410,0
150,1100,60400,1000,2007JJ00,56010,47250,4620,8500,110,25720,6780,4270,2180,270,40,310,3690,4600,2550,1170,300,220,120,0,9040,3960,300
151,1100,60400,1000,2008JJ00,55990,46870,5020,8610,100,26760,6890,4310,2150,280,30,310,3280,3820,2120,1190,270,250,120,0,9340,4210,370
152,1100,60400,1000,2009JJ00,54880,46090,4620,8680,110,26690,6930,4470,2090,220,30,290,3150,3530,2020,1300,270,260,130,0,9040,4160,80
153,1100,60400,1000,2010JJ00,52740,44450,4710,7550,120,26540,6670,3650,2030,140,30,290,2870,3470,1810,1350,260,310,100,0,8160,4080,10
154,1100,60400,1000,2011JJ00,49580,41310,4780,7250,100,24930,5910,3060,1950,70,30,400,3050,3210,1670,1210,170,200,100,0,7920,3960,10
155,1100,60400,6030,2007JJ00,27820,23250,2360,4230,70,15970,3160,1990,1040,140,30,170,1050,60,800,390,100,80,60,0,4570,1970,260
156,1100,60400,6030,2008JJ00,27690,23120,2460,4170,60,16180,3110,1910,980,170,30,180,970,30,690,370,80,80,50,0,4550,2080,320
157,1100,60400,6030,2009JJ00,26720,22550,2140,4010,70,16050,3150,1920,940,130,20,150,870,20,620,400,80,80,60,0,4180,1910,60
158,1100,60400,6030,2010JJ00,25550,21600,2170,3460,90,15840,2990,1550,890,80,20,140,750,10,580,450,70,60,40,0,3770,1850,10
159,1100,60400,6030,2011JJ00,23600,19780,2150,3260,60,14710,2560,1330,830,40,20,200,710,20,520,380,50,50,30,0,3570,1800,10
160,1100,60400,1100,2007JJ00,28200,24010,2260,4270,40,9750,3620,2280,1140,130,10,150,2640,4540,1740,790,210,150,60,0,4470,2000,50
161,1100,60400,1100,2008JJ00,28300,23740,2560,4440,40,10580,3780,2400,1170,120,10,130,2310,3780,1430,810,190,170,70,0,4790,2130,50
