ID,Perioden,NederlandHICP_1,EurozoneMUICP_2,EuropeseUnieEICP_3,NederlandHICP_4,EurozoneMUICP_5,EuropeseUnieEICP_6
327,2021MM03,79.56,82.74,80.88,1.9,1.3,1.7
328,2021MM04,80.19,83.21,81.35,1.7,1.6,2.0
329,2021MM05,80.31,83.43,81.57,2.0,2.0,2.3
330,2021MM06,80.43,83.65,81.77,1.7,1.9,2.2
331,2021MM07,80.93,83.58,81.8,1.4,2.2,2.5
332,2021MM08,81.36,83.87,82.07,2.7,3.0,3.2
333,2021MM09,81.24,84.26,82.47,3.0,3.4,3.6
334,2021MM10,82.51,84.98,83.2,3.7,4.1,4.4
335,2021MM11,83.19,85.36,83.6,5.9,4.9,5.2
336,2021MM12,83.97,85.72,83.99,6.4,5.0,5.3
337,2021JJ00,80.95,83.71,81.91,2.8,2.6,2.9
338,2022MM01,84.36,85.98,84.45,7.6,5.1,5.6
339,2022MM02,85.07,86.79,85.18,7.3,5.9,6.2
340,2022MM03,88.84,88.9,87.21,11.7,7.4,7.8
341,2022MM04,89.18,89.41,87.94,11.2,7.5,8.1
342,2022MM05,88.48,90.15,88.78,10.2,8.1,8.8
343,2022MM06,88.43,90.88,89.59,9.9,8.6,9.6
344,2022MM07,90.35,90.98,89.8,11.6,8.9,9.8
345,2022MM08,92.47,91.53,90.4,13.7,9.1,10.1
346,2022MM09,95.1,92.63,91.49,17.1,9.9,10.9
347,2022MM10,96.36,94.0,92.77,16.8,10.6,11.5
348,2022MM11,92.6,93.94,92.88,11.3,10.1,11.1
349,2022MM12,93.22,93.61,92.72,11.0,9.2,10.4
350,2022JJ00,90.37,90.73,89.43,11.6,8.4,9.2
351,2023MM01,91.44,93.41,92.87,8.4,8.6,10.0
352,2023MM02,92.67,94.17,93.65,8.9,8.5,9.9
353,2023MM03,92.86,95.02,94.48,4.5,6.9,8.3
354,2023MM04,94.34,95.62,95.07,5.8,6.9,8.1
355,2023MM05,94.52,95.65,95.1,6.8,6.1,7.1
356,2023MM06,94.05,95.9,95.35,6.4,5.5,6.4
357,2023MM07,95.13,95.81,95.32,5.3,5.3,6.1
358,2023MM08,95.61,96.33,95.77,3.4,5.2,5.9
359,2023MM09,94.81,96.64,96.02,-0.3,4.3,5.0
360,2023MM10,95.36,96.73,96.14,-1.0,2.9,3.6
361,2023MM11,93.94,96.19,95.76,1.4,2.4,3.1
362,2023MM12,94.13,96.35,95.9,1.0,2.9,3.4
363,2023JJ00,94.07,95.65,95.12,4.1,5.4,6.4
364,2024MM01,94.28,96.0,95.74,3.1,2.8,3.1
365,2024MM02,95.17,96.6,96.3,2.7,2.6,2.8
366,2024MM03,95.76,97.33,96.94,3.1,2.4,2.6
367,2024MM04,96.77,97.89,97.51,2.6,2.4,2.6
368,2024MM05,97.05,98.1,97.69,2.7,2.6,2.7
