ID,Geslacht,Leeftijd,Zorgvormen,Perioden,JongerenMetKostenZvwGGZ_1,GedeclareerdeEnToegekendeKosten_2
211,4000,10222,ZVW05 ,2014JJ00,24015.0,15920.0
212,4000,10222,ZVW06 ,2011JJ00,,
213,4000,10222,ZVW06 ,2012JJ00,,
214,4000,10222,ZVW06 ,2013JJ00,,
215,4000,10222,ZVW06 ,2014JJ00,63345.0,204889.0
216,4000,70100,ZVW01 ,2011JJ00,2835.0,8104.0
217,4000,70100,ZVW01 ,2012JJ00,2760.0,7550.0
218,4000,70100,ZVW01 ,2013JJ00,2695.0,7927.0
219,4000,70100,ZVW01 ,2014JJ00,1965.0,4834.0
220,4000,70100,ZVW02 ,2011JJ00,535.0,140.0
221,4000,70100,ZVW02 ,2012JJ00,605.0,115.0
222,4000,70100,ZVW02 ,2013JJ00,605.0,115.0
223,4000,70100,ZVW02 ,2014JJ00,,
224,4000,70100,ZVW03 ,2011JJ00,2335.0,7961.0
225,4000,70100,ZVW03 ,2012JJ00,2195.0,7435.0
226,4000,70100,ZVW03 ,2013JJ00,2110.0,7778.0
227,4000,70100,ZVW03 ,2014JJ00,,
228,4000,70100,ZVW04 ,2011JJ00,5.0,4.0
229,4000,70100,ZVW04 ,2012JJ00,5.0,0.0
230,4000,70100,ZVW04 ,2013JJ00,35.0,33.0
231,4000,70100,ZVW04 ,2014JJ00,0.0,0.0
232,4000,70100,ZVW05 ,2011JJ00,,
233,4000,70100,ZVW05 ,2012JJ00,,
234,4000,70100,ZVW05 ,2013JJ00,,
235,4000,70100,ZVW05 ,2014JJ00,460.0,241.0
236,4000,70100,ZVW06 ,2011JJ00,,
237,4000,70100,ZVW06 ,2012JJ00,,
238,4000,70100,ZVW06 ,2013JJ00,,
239,4000,70100,ZVW06 ,2014JJ00,1515.0,4593.0
240,4000,51506,ZVW01 ,2011JJ00,50185.0,125351.0
241,4000,51506,ZVW01 ,2012JJ00,49855.0,124901.0
242,4000,51506,ZVW01 ,2013JJ00,48595.0,120214.0
243,4000,51506,ZVW01 ,2014JJ00,38660.0,76760.0
244,4000,51506,ZVW02 ,2011JJ00,15130.0,5771.0
245,4000,51506,ZVW02 ,2012JJ00,14665.0,3651.0
246,4000,51506,ZVW02 ,2013JJ00,14150.0,3380.0
247,4000,51506,ZVW02 ,2014JJ00,,
248,4000,51506,ZVW03 ,2011JJ00,37290.0,119558.0
249,4000,51506,ZVW03 ,2012JJ00,37380.0,121216.0
250,4000,51506,ZVW03 ,2013JJ00,35855.0,116194.0
251,4000,51506,ZVW03 ,2014JJ00,,
252,4000,51506,ZVW04 ,2011JJ00,30.0,22.0
253,4000,51506,ZVW04 ,2012JJ00,75.0,34.0
254,4000,51506,ZVW04 ,2013JJ00,645.0,639.0
255,4000,51506,ZVW04 ,2014JJ00,5.0,2.0
256,4000,51506,ZVW05 ,2011JJ00,,
257,4000,51506,ZVW05 ,2012JJ00,,
258,4000,51506,ZVW05 ,2013JJ00,,
259,4000,51506,ZVW05 ,2014JJ00,10125.0,6740.0
260,4000,51506,ZVW06 ,2011JJ00,,
261,4000,51506,ZVW06 ,2012JJ00,,
262,4000,51506,ZVW06 ,2013JJ00,,
263,4000,51506,ZVW06 ,2014JJ00,29755.0,70018.0
264,4000,52041,ZVW01 ,2011JJ00,50305.0,191489.0
265,4000,52041,ZVW01 ,2012JJ00,51405.0,185755.0
266,4000,52041,ZVW01 ,2013JJ00,52780.0,209831.0
267,4000,52041,ZVW01 ,2014JJ00,43610.0,139244.0
268,4000,52041,ZVW02 ,2011JJ00,15625.0,5617.0
269,4000,52041,ZVW02 ,2012JJ00,16050.0,3837.0
270,4000,52041,ZVW02 ,2013JJ00,16665.0,3999.0
271,4000,52041,ZVW02 ,2014JJ00,,
