ID,CharacteristicsOfHouseholds,Periods,GrossOperatingSurplus_1,GrossMixedIncome_2,CompensationOfEmployees_3,GrossDisposableIncome_4,SocialTransfersInKind_5,GrossAdjustedDisposableIncome_6,FinalConsumptionExpenditure_7,ActualIndividualConsumption_8,NetWorth_9,Total_10,PensionEntitlementsAndClaims_11,OtherAssets_12,Total_13,HomeMortgagesClosingBalance_14,OtherLiabilities_15,Total_16,DwellingsAndLandUnderlyingDwellings_17,OtherNonFinancialAssets_18,GrossOperatingSurplus_19,GrossMixedIncome_20,CompensationOfEmployees_21,GrossDisposableIncome_22,SocialTransfersInKind_23,GrossAdjustedDisposableIncome_24,FinalConsumptionExpenditure_25,ActualIndividualConsumption_26,NetWorth_27,Total_28,PensionEntitlementsAndClaims_29,OtherAssets_30,Total_31,HomeMortgagesClosingBalance_32,OtherLiabilities_33,Total_34,DwellingsAndLandUnderlyingDwellings_35,OtherNonFinancialAssets_36,GrossOperatingSurplus_37,GrossMixedIncome_38,CompensationOfEmployees_39,GrossDisposableIncome_40,SocialTransfersInKind_41,GrossAdjustedDisposableIncome_42,FinalConsumptionExpenditure_43,ActualIndividualConsumption_44,NetWorth_45,Total_46,PensionEntitlementsAndClaims_47,OtherAssets_48,Total_49,HomeMortgagesClosingBalance_50,OtherLiabilities_51,Total_52,DwellingsAndLandUnderlyingDwellings_53,OtherNonFinancialAssets_54,SavingsRatioAdjustedDisposableIncome_55
35,1021030,2010JJ00,409,5276,52625,52089,23538,75627,51292.0,74830.0,359661,232234,136056,96178,131704,116955,14749,259131,240935,18196,0.3,3.5,34.5,34.1,15.4,49.6,33.6,49.0,235.7,152.2,89.2,63.0,86.3,76.7,9.7,169.8,157.9,11.9,0.2,2.5,24.6,24.3,11.0,35.3,24.0,35.0,168.0,108.5,63.6,44.9,61.5,54.6,6.9,121.1,112.6,8.5,3.5
36,1021030,2011JJ00,740,5320,54203,52774,23677,76451,52453.0,76130.0,373960,257390,163319,94071,131969,120282,11686,248539,235636,12903,0.5,3.5,35.2,34.3,15.4,49.7,34.1,49.5,242.9,167.2,106.1,61.1,85.7,78.1,7.6,161.4,153.1,8.4,0.3,2.5,25.2,24.5,11.0,35.5,24.4,35.4,173.7,119.6,75.9,43.7,61.3,55.9,5.4,115.5,109.5,6.0,3.6
37,1021030,2012JJ00,107,5153,54724,53169,24182,77351,56034.0,80216.0,379129,278437,174412,104025,133610,121266,12344,234303,222599,11703,0.1,3.3,35.3,34.3,15.6,49.9,36.1,51.7,244.4,179.5,112.4,67.0,86.1,78.2,8.0,151.0,143.5,7.5,0.0,2.4,25.3,24.6,11.2,35.8,25.9,37.1,175.3,128.7,80.6,48.1,61.8,56.1,5.7,108.3,102.9,5.4,0.1
38,1021030,2013JJ00,405,5482,52900,55613,24088,79701,53975.0,78063.0,368236,273316,169829,103487,129426,116944,12482,224346,212452,11894,0.3,3.5,33.9,35.6,15.4,51.0,34.6,50.0,235.7,175.0,108.7,66.3,82.9,74.9,8.0,143.6,136.0,7.6,0.2,2.5,24.3,25.6,11.1,36.6,24.8,35.9,169.3,125.7,78.1,47.6,59.5,53.8,5.7,103.1,97.7,5.5,5.3
39,1021030,2014JJ00,785,5805,52455,56580,24338,80917,54517.0,78854.0,416084,318812,206754,112058,134553,117344,17209,231825,217179,14646,0.5,3.7,33.3,35.9,15.5,51.4,34.6,50.1,264.1,202.4,131.3,71.1,85.4,74.5,10.9,147.2,137.9,9.3,0.4,2.7,24.0,25.9,11.1,37.0,24.9,36.1,190.2,145.8,94.5,51.2,61.5,53.6,7.9,106.0,99.3,6.7,5.7
40,1021040,2005JJ00,1951,8056,70716,60500,15925,76426,59447.0,75373.0,465080,291296,149389,141907,150559,131347,19212,324343,296181,28162,1.3,5.5,48.2,41.3,10.9,52.1,40.5,51.4,317.2,198.7,101.9,96.8,102.7,89.6,13.1,221.2,202.0,19.2,0.9,3.7,32.8,28.0,7.4,35.4,27.5,34.9,215.4,134.9,69.2,65.7,69.7,60.8,8.9,150.2,137.2,13.0,8.6
41,1021040,2006JJ00,2932,8616,72126,62195,18810,81004,62502.0,81312.0,486902,299151,148758,150392,157141,137877,19263,344892,316322,28570,2.0,5.8,48.9,42.2,12.7,54.9,42.4,55.1,330.0,202.8,100.8,101.9,106.5,93.5,13.1,233.8,214.4,19.4,1.4,4.0,33.3,28.7,8.7,37.4,28.8,37.5,224.7,138.0,68.6,69.4,72.5,63.6,8.9,159.1,146.0,13.2,4.9
42,1021040,2007JJ00,3943,8199,76716,64502,19637,84139,63609.0,83246.0,492536,296760,149464,147296,162521,146602,15918,358296,333659,24637,2.7,5.5,51.7,43.4,13.2,56.7,42.8,56.1,331.8,199.9,100.7,99.2,109.5,98.7,10.7,241.3,224.7,16.6,1.8,3.8,35.2,29.6,9.0,38.6,29.2,38.2,226.1,136.2,68.6,67.6,74.6,67.3,7.3,164.4,153.1,11.3,6.6
43,1021040,2008JJ00,4144,8546,80764,65824,21215,87038,67543.0,88757.0,532961,330171,181337,148834,175620,155700,19919,378410,353105,25305,2.8,5.7,54.0,44.0,14.2,58.1,45.1,59.3,356.0,220.6,121.1,99.4,117.3,104.0,13.3,252.8,235.9,16.9,1.9,3.9,36.8,30.0,9.7,39.6,30.7,40.4,242.6,150.3,82.5,67.8,79.9,70.9,9.1,172.3,160.7,11.5,4.8
44,1021040,2009JJ00,1263,9444,81635,67848,22795,90643,64217.0,87012.0,539460,343201,185340,157861,178971,160879,18093,375230,342594,32636,0.8,6.2,54.0,44.9,15.1,60.0,42.5,57.6,356.9,227.1,122.6,104.4,118.4,106.4,12.0,248.3,226.7,21.6,0.6,4.3,36.8,30.6,10.3,40.8,28.9,39.2,243.1,154.7,83.5,71.1,80.7,72.5,8.2,169.1,154.4,14.7,10.5
