ID,TypeOfDwellings,Periods,PriceIndexOfExistingOwnHomes_1,ChangesComparedToOnePeriodEarlier_2,ChangesComparedToOneYearEarlier_3,NumberOfDwellingsSold_4,ChangesComparedToOnePeriodEarlier_5,ChangesComparedToOneYearEarlier_6,AveragePurchasePrice_7,TotalValuePurchasePrices_8
505,5 ,2004KW01,89.9,1.2,3.9,3907,-37.9,-7.1,240994,942
506,5 ,2004KW02,90.9,1.1,4.3,4987,27.6,-1.2,241470,1204
507,5 ,2004KW03,92.3,1.5,4.7,5466,9.6,2.8,246791,1349
508,5 ,2004KW04,93.1,0.9,4.8,5660,3.5,-10.0,242053,1370
509,5 ,2004JJ00,91.6,4.5,4.5,20020,-4.0,-4.0,242995,4865
510,5 ,2005KW01,93.6,0.5,4.1,4112,-27.4,5.2,253218,1041
511,5 ,2005KW02,94.7,1.2,4.1,5268,28.1,5.6,251521,1325
512,5 ,2005KW03,95.4,0.8,3.4,5943,12.8,8.7,260344,1547
513,5 ,2005KW04,96.4,1.0,3.5,6202,4.4,9.6,260972,1619
514,5 ,2005JJ00,95.0,3.8,3.8,21525,7.5,7.5,257004,5532
515,5 ,2006KW01,98.1,1.7,4.8,4747,-23.5,15.4,267622,1270
516,5 ,2006KW02,99.2,1.1,4.7,5593,17.8,6.2,272016,1521
517,5 ,2006KW03,100.4,1.3,5.2,5710,2.1,-3.9,274316,1566
518,5 ,2006KW04,101.1,0.7,4.9,6042,5.8,-2.6,273005,1649
519,5 ,2006JJ00,99.7,4.9,4.9,22092,2.6,2.6,271937,6008
520,5 ,2007KW01,101.8,0.7,3.8,4732,-21.7,-0.3,278534,1318
521,5 ,2007KW02,102.9,1.0,3.8,5397,14.1,-3.5,281779,1521
522,5 ,2007KW03,104.2,1.3,3.7,5529,2.4,-3.2,287906,1592
523,5 ,2007KW04,104.9,0.7,3.7,5951,7.6,-1.5,284041,1690
524,5 ,2007JJ00,103.4,3.8,3.8,21609,-2.2,-2.2,283259,6121
525,5 ,2008KW01,105.4,0.5,3.5,4259,-28.4,-10.0,292611,1246
526,5 ,2008KW02,105.4,0.0,2.4,5120,20.2,-5.1,288898,1479
527,5 ,2008KW03,107.4,1.9,3.1,5123,0.1,-7.3,304243,1559
528,5 ,2008KW04,106.9,-0.4,1.9,4801,-6.3,-19.3,292705,1405
529,5 ,2008JJ00,106.3,2.7,2.7,19303,-10.7,-10.7,294737,5689
530,5 ,2009KW01,105.7,-1.1,0.3,2755,-42.6,-35.3,283406,781
531,5 ,2009KW02,103.2,-2.3,-2.0,3080,11.8,-39.8,267084,823
532,5 ,2009KW03,101.4,-1.7,-5.5,3504,13.8,-31.6,269617,945
533,5 ,2009KW04,100.2,-1.2,-6.3,3756,7.2,-21.8,265026,995
534,5 ,2009JJ00,102.6,-3.4,-3.4,13095,-32.2,-32.2,270606,3544
535,5 ,2010KW01,99.9,-0.3,-5.5,2729,-27.3,-0.9,274398,749
536,5 ,2010KW02,100.4,0.6,-2.7,3331,22.1,8.1,272331,907
537,5 ,2010KW03,100.4,-0.1,-1.1,3583,7.6,2.3,275927,989
538,5 ,2010KW04,99.3,-1.1,-0.9,3736,4.3,-0.5,266153,994
539,5 ,2010JJ00,100.0,-2.6,-2.6,13379,2.2,2.2,271991,3639
540,5 ,2011KW01,98.7,-0.6,-1.1,3003,-19.6,10.0,273169,820
541,5 ,2011KW02,98.8,0.0,-1.7,3199,6.5,-4.0,281061,899
542,5 ,2011KW03,97.4,-1.4,-3.0,3375,5.5,-5.8,278968,942
543,5 ,2011KW04,95.5,-1.9,-3.8,3415,1.2,-8.6,264182,902
544,5 ,2011JJ00,97.6,-2.4,-2.4,12992,-2.9,-2.9,274256,3563
545,5 ,2012KW01,94.1,-1.5,-4.7,2574,-24.6,-14.3,264568,681
546,5 ,2012KW02,92.8,-1.3,-6.0,3972,54.3,24.2,261759,1040
547,5 ,2012KW03,88.7,-4.5,-8.9,2546,-35.9,-24.6,239143,609
548,5 ,2012KW04,87.7,-1.2,-8.2,4089,60.6,19.7,240023,981
549,5 ,2012JJ00,90.8,-7.0,-7.0,13181,1.5,1.5,251196,3311
550,5 ,2013KW01,85.6,-2.4,-9.1,2482,-39.3,-3.6,237333,589
551,5 ,2013KW02,84.2,-1.5,-9.3,2509,1.1,-36.8,232516,583
552,5 ,2013KW03,84.7,0.6,-4.4,3179,26.7,24.9,240608,765
553,5 ,2013KW04,83.7,-1.3,-4.5,3932,23.7,-3.8,231472,910
554,5 ,2013JJ00,84.6,-6.9,-6.9,12102,-8.2,-8.2,235291,2847
555,5 ,2014KW01,84.5,1.0,-1.2,2963,-24.6,19.4,235620,698
556,5 ,2014KW02,85.1,0.7,1.1,3527,19.0,40.6,243285,858
557,5 ,2014KW03,86.1,1.1,1.6,4027,14.2,26.7,252377,1016
558,5 ,2014KW04,86.1,0.0,2.8,5317,32.0,35.2,245602,1306
559,5 ,2014JJ00,85.4,1.1,1.1,15834,30.8,30.8,244941,3878
560,5 ,2015KW01,86.6,0.6,2.5,3237,-39.1,9.2,248377,804
561,5 ,2015KW02,87.2,0.7,2.4,4062,25.5,15.2,249699,1014
562,5 ,2015KW03,88.1,1.1,2.4,5321,31.0,32.1,261387,1391
563,5 ,2015KW04,89.1,1.1,3.5,5166,-2.9,-2.8,260686,1347
564,5 ,2015JJ00,87.8,2.7,2.7,17786,12.3,12.3,256146,4556
565,5 ,2016KW01,90.2,1.3,4.2,3949,-23.6,22.0,266724,1053
566,5 ,2016KW02,91.0,0.9,4.4,4942,25.1,21.7,267352,1321
567,5 ,2016KW03,93.1,2.3,5.7,6149,24.4,15.6,278890,1715
568,5 ,2016KW04,94.3,1.2,5.8,6212,1.0,20.2,276180,1716
569,5 ,2016JJ00,92.2,5.0,5.0,21252,19.5,19.5,273154,5805
570,5 ,2017KW01,95.9,1.7,6.3,5744,-7.5,45.5,281432,1617
571,5 ,2017KW02,97.1,1.3,6.7,6088,6.0,23.2,287345,1749
572,5 ,2017KW03,99.4,2.3,6.7,6421,5.5,4.4,291710,1873
573,5 ,2017KW04,101.1,1.8,7.3,6811,6.1,9.6,290136,1976
574,5 ,2017JJ00,98.4,6.7,6.7,25064,17.9,17.9,287867,7215
575,6 ,1995KW01,31.9,,,4019,,,133033,535
576,6 ,1995KW02,32.0,0.4,,5392,34.2,,132257,713
577,6 ,1995KW03,33.2,3.5,,5722,6.1,,140221,802
578,6 ,1995KW04,33.6,1.4,,6636,16.0,,138841,921
579,6 ,1995JJ00,32.7,,,21769,,,136501,2971
580,6 ,1996KW01,34.6,3.0,8.5,4677,-29.5,16.4,145153,679
581,6 ,1996KW02,36.4,5.0,13.5,6069,29.8,12.6,148589,902
582,6 ,1996KW03,37.8,3.9,13.9,6302,3.8,10.1,158696,1000
583,6 ,1996KW04,38.7,2.3,15.0,6580,4.4,-0.8,163684,1077
584,6 ,1996JJ00,36.9,12.8,12.8,23628,8.5,8.5,154808,3658
585,6 ,1997KW01,39.9,3.1,15.1,4234,-35.7,-9.5,165761,702
586,6 ,1997KW02,41.1,3.1,13.1,5961,40.8,-1.8,166693,994
587,6 ,1997KW03,42.6,3.6,12.7,6422,7.7,1.9,179353,1152
588,6 ,1997KW04,43.5,2.1,12.5,6655,3.6,1.1,178572,1188
589,6 ,1997JJ00,41.8,13.3,13.3,23272,-1.5,-1.5,173414,4036
590,6 ,1998KW01,44.8,3.1,12.5,4373,-34.3,3.3,186659,816
591,6 ,1998KW02,46.0,2.6,12.0,5587,27.8,-6.3,188014,1050
592,6 ,1998KW03,48.0,4.4,12.8,6325,13.2,-1.5,200891,1271
593,6 ,1998KW04,49.8,3.7,14.6,6381,0.9,-4.1,202290,1291
594,6 ,1998JJ00,47.2,13.0,13.0,22666,-2.6,-2.6,195365,4428
595,6 ,1999KW01,52.3,5.1,16.7,4685,-26.6,7.1,206128,966
596,6 ,1999KW02,55.0,5.0,19.4,6195,32.2,10.9,221109,1370
597,6 ,1999KW03,58.5,6.5,21.9,6963,12.4,10.1,239504,1668
598,6 ,1999KW04,61.5,5.0,23.4,6918,-0.6,8.4,252304,1745
599,6 ,1999JJ00,56.8,20.4,20.4,24761,9.2,9.2,232163,5749
600,6 ,2000KW01,65.7,7.0,25.6,4444,-35.8,-5.1,263723,1172
601,6 ,2000KW02,68.2,3.7,24.1,5441,22.4,-12.2,281362,1531
602,6 ,2000KW03,71.8,5.3,22.7,5912,8.7,-15.1,295738,1748
603,6 ,2000KW04,73.3,2.1,19.3,6654,12.6,-3.8,294744,1961
604,6 ,2000JJ00,69.8,22.7,22.7,22451,-9.3,-9.3,285622,6413
605,6 ,2001KW01,75.2,2.6,14.4,4188,-37.1,-5.8,308880,1294
606,6 ,2001KW02,77.8,3.5,14.1,5496,31.2,1.0,314706,1730
607,6 ,2001KW03,80.3,3.2,11.9,6022,9.6,1.9,317423,1912
608,6 ,2001KW04,79.9,-0.5,9.0,6588,9.4,-1.0,317066,2089
609,6 ,2001JJ00,78.3,12.3,12.3,22294,-0.7,-0.7,315043,7024
610,6 ,2002KW01,81.5,2.0,8.3,4775,-27.5,14.0,328093,1567
611,6 ,2002KW02,82.1,0.8,5.5,5223,9.4,-5.0,329459,1721
612,6 ,2002KW03,83.6,1.7,4.0,5884,12.7,-2.3,331476,1950
613,6 ,2002KW04,83.3,-0.4,4.2,6031,2.5,-8.5,325312,1962
614,6 ,2002JJ00,82.6,5.5,5.5,21913,-1.7,-1.7,328562,7200
615,6 ,2003KW01,83.3,0.0,2.3,4168,-30.9,-12.7,326521,1361
616,6 ,2003KW02,84.6,1.6,3.0,5068,21.6,-3.0,326758,1656
617,6 ,2003KW03,85.6,1.2,2.5,5586,10.2,-5.1,332339,1856
618,6 ,2003KW04,86.6,1.1,4.0,6488,16.1,7.6,334892,2173
619,6 ,2003JJ00,85.0,2.9,2.9,21310,-2.8,-2.8,330651,7046
620,6 ,2004KW01,87.9,1.5,5.5,4177,-35.6,0.2,336126,1404
621,6 ,2004KW02,89.7,2.1,6.1,5333,27.7,5.2,341179,1820
622,6 ,2004KW03,91.1,1.5,6.4,5960,11.8,6.7,350790,2091
623,6 ,2004KW04,91.4,0.3,5.6,6093,2.2,-6.1,338913,2065
624,6 ,2004JJ00,90.0,5.9,5.9,21563,1.2,1.2,342217,7379
625,6 ,2005KW01,92.7,1.5,5.5,4247,-30.3,1.7,358460,1522
626,6 ,2005KW02,94.2,1.6,5.0,5358,26.2,0.5,366717,1965
627,6 ,2005KW03,95.7,1.6,5.0,6039,12.7,1.3,376725,2275
628,6 ,2005KW04,95.9,0.3,5.0,6195,2.6,1.7,374144,2318
629,6 ,2005JJ00,94.6,5.1,5.1,21839,1.3,1.3,369986,8080
630,6 ,2006KW01,98.1,2.3,5.8,4775,-22.9,12.4,383639,1832
631,6 ,2006KW02,99.6,1.5,5.7,5582,16.9,4.2,386938,2160
632,6 ,2006KW03,100.8,1.2,5.3,5841,4.6,-3.3,396313,2315
633,6 ,2006KW04,101.4,0.6,5.7,6060,3.7,-2.2,389586,2361
634,6 ,2006JJ00,100.0,5.7,5.7,22258,1.9,1.9,389411,8668
635,6 ,2007KW01,102.9,1.5,4.9,4979,-17.8,4.3,415252,2068
636,6 ,2007KW02,104.2,1.3,4.7,5674,14.0,1.6,405915,2303
637,6 ,2007KW03,105.9,1.6,5.1,5962,5.1,2.1,423214,2523
638,6 ,2007KW04,106.3,0.4,4.8,6246,4.8,3.1,410595,2565
639,6 ,2007JJ00,104.8,4.9,4.9,22861,2.7,2.7,413739,9458
640,6 ,2008KW01,107.8,1.4,4.7,4502,-27.9,-9.6,422110,1900
641,6 ,2008KW02,107.4,-0.4,3.0,5187,15.2,-8.6,425420,2207
642,6 ,2008KW03,108.3,0.8,2.3,5298,2.1,-11.1,432162,2290
643,6 ,2008KW04,106.9,-1.3,0.5,4981,-6.0,-20.3,417985,2082
644,6 ,2008JJ00,107.6,2.6,2.6,19968,-12.7,-12.7,424608,8479
645,6 ,2009KW01,107.6,0.7,-0.2,2833,-43.1,-37.1,424616,1203
646,6 ,2009KW02,103.9,-3.4,-3.2,2907,2.6,-44.0,398755,1159
647,6 ,2009KW03,101.4,-2.4,-6.3,3100,6.6,-41.5,377526,1170
648,6 ,2009KW04,99.9,-1.5,-6.5,3811,22.9,-23.5,378188,1441
649,6 ,2009JJ00,103.2,-4.1,-4.1,12651,-36.6,-36.6,393149,4974
650,6 ,2010KW01,100.6,0.7,-6.5,2665,-30.1,-5.9,394401,1051
651,6 ,2010KW02,100.3,-0.3,-3.5,3233,21.3,11.2,389349,1259
652,6 ,2010KW03,100.3,0.0,-1.1,3384,4.7,9.2,390061,1320
653,6 ,2010KW04,98.8,-1.5,-1.1,3579,5.8,-6.1,375697,1345
654,6 ,2010JJ00,100.0,-3.1,-3.1,12861,1.7,1.7,386784,4974
655,6 ,2011KW01,98.1,-0.8,-2.5,2969,-17.0,11.4,392731,1166
656,6 ,2011KW02,97.5,-0.6,-2.8,3247,9.4,0.4,382256,1241
657,6 ,2011KW03,96.7,-0.8,-3.6,3531,8.7,4.3,394288,1392
658,6 ,2011KW04,95.2,-1.6,-3.7,3672,4.0,2.6,371157,1363
659,6 ,2011JJ00,96.9,-3.1,-3.1,13419,4.3,4.3,384702,5162
660,6 ,2012KW01,94.0,-1.2,-4.1,2775,-24.4,-6.5,371661,1031
661,6 ,2012KW02,91.2,-3.0,-6.4,4169,50.2,28.4,364519,1520
662,6 ,2012KW03,87.3,-4.3,-9.8,2609,-37.4,-26.1,332987,869
663,6 ,2012KW04,86.5,-0.9,-9.1,4250,62.9,15.7,331304,1408
664,6 ,2012JJ00,89.8,-7.3,-7.3,13803,2.9,2.9,349768,4828
665,6 ,2013KW01,84.4,-2.5,-10.3,2430,-42.8,-12.4,333063,809
666,6 ,2013KW02,81.8,-3.0,-10.3,2662,9.5,-36.1,323621,861
667,6 ,2013KW03,82.4,0.7,-5.6,3375,26.8,29.4,329354,1112
668,6 ,2013KW04,81.7,-0.8,-5.5,4396,30.3,3.4,324830,1428
669,6 ,2013JJ00,82.6,-8.0,-8.0,12863,-6.8,-6.8,327322,4210
670,6 ,2014KW01,82.0,0.3,-2.8,3262,-25.8,34.2,336098,1096
671,6 ,2014KW02,82.6,0.7,0.9,4052,24.2,52.2,338897,1373
672,6 ,2014KW03,82.8,0.3,0.5,4644,14.6,37.6,333755,1550
673,6 ,2014KW04,82.0,-1.0,0.3,6710,44.5,52.6,330395,2217
674,6 ,2014JJ00,82.3,-0.3,-0.3,18668,45.1,45.1,334073,6236
675,6 ,2015KW01,83.0,1.3,1.2,3917,-41.6,20.1,345831,1355
676,6 ,2015KW02,83.6,0.7,1.2,4953,26.4,22.2,348458,1726
677,6 ,2015KW03,83.9,0.4,1.3,5925,19.6,27.6,350647,2078
678,6 ,2015KW04,84.1,0.3,2.6,6683,12.8,-0.4,359978,2406
679,6 ,2015JJ00,83.6,1.6,1.6,21478,15.1,15.1,352167,7564
680,6 ,2016KW01,85.1,1.2,2.5,5140,-23.1,31.2,359337,1847
681,6 ,2016KW02,85.2,0.1,2.0,6212,20.9,25.4,359902,2236
682,6 ,2016KW03,87.5,2.7,4.3,7779,25.2,31.3,373447,2905
683,6 ,2016KW04,87.7,0.3,4.3,7728,-0.7,15.6,370687,2865
684,6 ,2016JJ00,86.4,3.3,3.3,26859,25.1,25.1,366820,9852
685,6 ,2017KW01,89.3,1.7,4.9,7562,-2.1,47.1,386422,2922
686,6 ,2017KW02,91.0,2.0,6.8,8062,6.6,29.8,386657,3117
687,6 ,2017KW03,92.4,1.6,5.6,8391,4.1,7.9,394535,3311
688,6 ,2017KW04,93.9,1.5,7.0,9014,7.4,16.6,399389,3600
689,6 ,2017JJ00,91.6,6.1,6.1,33029,23.0,23.0,392079,12950
690,7 ,1995KW01,36.0,,,6861,,,62502,429
691,7 ,1995KW02,36.7,1.9,,7560,10.2,,64293,486
692,7 ,1995KW03,37.6,2.4,,8321,10.1,,65011,541
693,7 ,1995KW04,38.0,1.1,,9681,16.3,,67342,652
694,7 ,1995JJ00,37.0,,,32423,,,65009,2108
695,7 ,1996KW01,39.2,3.2,8.9,8354,-13.7,21.8,70271,587
696,7 ,1996KW02,40.1,2.4,9.5,9319,11.6,23.3,71443,666
697,7 ,1996KW03,41.6,3.7,10.8,9741,4.5,17.1,72029,702
698,7 ,1996KW04,42.5,2.0,11.8,10707,9.9,10.6,74821,801
699,7 ,1996JJ00,40.8,10.3,10.3,38121,17.6,17.6,72285,2756
700,7 ,1997KW01,43.8,3.1,11.8,8817,-17.7,5.5,75589,666
701,7 ,1997KW02,45.3,3.5,12.9,10707,21.4,14.9,79223,848
702,7 ,1997KW03,46.0,1.6,10.6,11348,6.0,16.5,80621,915
703,7 ,1997KW04,47.1,2.3,11.0,12342,8.8,15.3,84613,1044
704,7 ,1997JJ00,45.6,11.5,11.5,43214,13.4,13.4,80388,3474
705,7 ,1998KW01,48.5,2.9,10.7,9425,-23.6,6.9,86239,813
706,7 ,1998KW02,50.2,3.5,10.7,10609,12.6,-0.9,88128,935
707,7 ,1998KW03,51.4,2.5,11.7,11083,4.5,-2.3,89681,994
708,7 ,1998KW04,53.1,3.3,12.7,12397,11.9,0.4,92936,1152
709,7 ,1998JJ00,50.8,11.5,11.5,43514,0.7,0.7,89484,3894
710,7 ,1999KW01,55.5,4.4,14.4,10309,-16.8,9.4,98932,1020
711,7 ,1999KW02,57.7,4.1,15.1,12085,17.2,13.9,101356,1225
712,7 ,1999KW03,60.8,5.3,18.2,12791,5.8,15.4,106267,1359
713,7 ,1999KW04,63.5,4.4,19.5,13260,3.7,7.0,111897,1484
714,7 ,1999JJ00,59.4,16.9,16.9,48445,11.3,11.3,105022,5088
715,7 ,2000KW01,66.3,4.5,19.6,10194,-23.1,-1.1,115835,1181
716,7 ,2000KW02,69.1,4.1,19.7,11753,15.3,-2.7,120980,1422
717,7 ,2000KW03,71.7,3.8,18.0,11844,0.8,-7.4,126538,1499
718,7 ,2000KW04,73.4,2.3,15.6,13435,13.4,1.3,131221,1763
719,7 ,2000JJ00,70.1,18.2,18.2,47226,-2.5,-2.5,124177,5864
720,7 ,2001KW01,75.5,2.9,13.9,10128,-24.6,-0.6,131918,1336
721,7 ,2001KW02,78.2,3.5,13.1,12213,20.6,3.9,137409,1678
722,7 ,2001KW03,79.9,2.2,11.4,12991,6.4,9.7,139660,1814
723,7 ,2001KW04,81.1,1.6,10.6,14666,12.9,9.2,143313,2102
724,7 ,2001JJ00,78.7,12.2,12.2,49998,5.9,5.9,138613,6930
725,7 ,2002KW01,82.5,1.7,9.3,12046,-17.9,18.9,145153,1749
726,7 ,2002KW02,83.9,1.6,7.3,12655,5.1,3.6,147508,1867
727,7 ,2002KW03,85.5,2.0,7.1,13563,7.2,4.4,151012,2048
728,7 ,2002KW04,85.7,0.2,5.6,13967,3.0,-4.8,151276,2113
729,7 ,2002JJ00,84.4,7.3,7.3,52231,4.5,4.5,148882,7776
730,7 ,2003KW01,86.2,0.6,4.5,11024,-21.1,-8.5,151631,1672
731,7 ,2003KW02,87.1,1.0,3.8,12232,11.0,-3.3,152141,1861
732,7 ,2003KW03,87.9,0.9,2.7,13119,7.3,-3.3,152217,1997
733,7 ,2003KW04,88.8,1.0,3.6,15415,17.5,10.4,157214,2423
734,7 ,2003JJ00,87.5,3.6,3.6,51790,-0.8,-0.8,153562,7953
735,7 ,2004KW01,89.2,0.5,3.4,11468,-25.6,4.0,156513,1795
736,7 ,2004KW02,89.8,0.7,3.2,13655,19.1,11.6,159251,2175
737,7 ,2004KW03,90.8,1.1,3.3,13749,0.7,4.8,162171,2230
738,7 ,2004KW04,91.0,0.2,2.5,14095,2.5,-8.6,157622,2222
739,7 ,2004JJ00,90.2,3.1,3.1,52967,2.3,2.3,158983,8421
740,7 ,2005KW01,91.4,0.5,2.5,11400,-19.1,-0.6,160181,1826
741,7 ,2005KW02,92.4,1.0,2.9,13307,16.7,-2.5,163567,2177
742,7 ,2005KW03,93.5,1.3,3.0,14020,5.4,2.0,167083,2343
743,7 ,2005KW04,94.0,0.5,3.3,15626,11.5,10.9,167567,2618
744,7 ,2005JJ00,92.8,3.0,3.0,54353,2.6,2.6,164914,8964
745,7 ,2006KW01,94.9,0.9,3.7,12661,-19.0,11.1,172309,2182
746,7 ,2006KW02,96.2,1.4,4.1,13770,8.8,3.5,173558,2390
747,7 ,2006KW03,97.3,1.2,4.1,13331,-3.2,-4.9,176256,2350
748,7 ,2006KW04,97.6,0.3,3.9,12895,-3.3,-17.5,173689,2240
749,7 ,2006JJ00,96.5,4.0,4.0,52657,-3.1,-3.1,173973,9161
750,7 ,2007KW01,98.2,0.6,3.6,10705,-17.0,-15.4,171929,1841
751,7 ,2007KW02,100.2,2.0,4.2,12632,18.0,-8.3,180263,2277
752,7 ,2007KW03,102.2,2.0,5.0,15231,20.6,14.3,192073,2925
753,7 ,2007KW04,102.5,0.3,5.0,16040,5.3,24.4,193281,3100
754,7 ,2007JJ00,100.8,4.4,4.4,54608,3.7,3.7,185747,10143
755,7 ,2008KW01,103.8,1.3,5.7,12672,-21.0,18.4,195402,2476
756,7 ,2008KW02,104.7,0.8,4.5,14324,13.0,13.4,194794,2790
757,7 ,2008KW03,105.8,1.1,3.5,14062,-1.8,-7.7,196809,2768
758,7 ,2008KW04,104.8,-0.9,2.3,13059,-7.1,-18.6,193388,2525
759,7 ,2008JJ00,104.8,3.9,3.9,54117,-0.9,-0.9,195121,10559
760,7 ,2009KW01,103.0,-1.7,-0.8,8336,-36.2,-34.2,186791,1557
761,7 ,2009KW02,101.1,-1.8,-3.4,9419,13.0,-34.2,182288,1717
762,7 ,2009KW03,100.6,-0.5,-4.9,10280,9.1,-26.9,184980,1902
763,7 ,2009KW04,100.1,-0.5,-4.5,11520,12.1,-11.8,190644,2196
764,7 ,2009JJ00,101.2,-3.4,-3.4,39555,-26.9,-26.9,186370,7372
765,7 ,2010KW01,99.9,-0.2,-3.0,9066,-21.3,8.8,189168,1715
766,7 ,2010KW02,100.3,0.3,-0.9,9992,10.2,6.1,189658,1895
767,7 ,2010KW03,100.4,0.2,-0.2,9615,-3.8,-6.5,192014,1846
768,7 ,2010KW04,99.4,-1.1,-0.8,10364,7.8,-10.0,187465,1943
769,7 ,2010JJ00,100.0,-1.2,-1.2,39037,-1.3,-1.3,189543,7399
770,7 ,2011KW01,99.1,-0.3,-0.9,8735,-15.7,-3.7,190936,1668
771,7 ,2011KW02,98.0,-1.0,-2.2,8901,1.9,-10.9,190671,1697
772,7 ,2011KW03,97.6,-0.4,-2.8,8839,-0.7,-8.1,191590,1693
773,7 ,2011KW04,95.8,-1.9,-3.5,9665,9.3,-6.7,184910,1787
774,7 ,2011JJ00,97.7,-2.3,-2.3,36140,-7.4,-7.4,189419,6846
775,7 ,2012KW01,94.2,-1.7,-4.9,7090,-26.6,-18.8,187393,1329
776,7 ,2012KW02,92.9,-1.4,-5.3,9341,31.7,4.9,183350,1713
777,7 ,2012KW03,90.2,-2.9,-7.6,7026,-24.8,-20.5,176928,1243
778,7 ,2012KW04,88.8,-1.5,-7.3,9411,33.9,-2.6,177303,1669
779,7 ,2012JJ00,91.5,-6.3,-6.3,32868,-9.1,-9.1,181118,5953
780,7 ,2013KW01,87.0,-2.0,-7.6,6939,-26.3,-2.1,172457,1197
781,7 ,2013KW02,85.9,-1.3,-7.5,6639,-4.3,-28.9,172205,1143
782,7 ,2013KW03,86.0,0.1,-4.7,8204,23.6,16.8,174706,1433
783,7 ,2013KW04,85.9,-0.1,-3.3,10053,22.5,6.8,175988,1769
784,7 ,2013JJ00,86.2,-5.8,-5.8,31835,-3.1,-3.1,174099,5542
785,7 ,2014KW01,86.3,0.5,-0.9,8517,-15.3,22.7,178259,1518
786,7 ,2014KW02,87.1,0.9,1.4,10102,18.6,52.2,183289,1852
787,7 ,2014KW03,88.0,1.1,2.4,11449,13.3,39.6,186522,2135
788,7 ,2014KW04,88.6,0.6,3.2,15229,33.0,51.5,187389,2854
789,7 ,2014JJ00,87.5,1.5,1.5,45297,42.3,42.3,184539,8359
790,7 ,2015KW01,89.0,0.4,3.2,10007,-34.3,17.5,183777,1839
791,7 ,2015KW02,89.9,1.0,3.3,11584,15.8,14.7,186724,2163
792,7 ,2015KW03,91.7,2.0,4.2,13655,17.9,19.3,191946,2621
793,7 ,2015KW04,92.3,0.7,4.2,14931,9.3,-2.0,192821,2879
794,7 ,2015JJ00,90.7,3.7,3.7,50177,10.8,10.8,189371,9502
795,7 ,2016KW01,93.6,1.4,5.2,12769,-14.5,27.6,193770,2474
796,7 ,2016KW02,96.0,2.6,6.8,14621,14.5,26.2,196566,2874
797,7 ,2016KW03,98.7,2.7,7.6,17106,17.0,25.3,202686,3467
798,7 ,2016KW04,100.3,1.6,8.6,17123,0.1,14.7,203307,3481
799,7 ,2016JJ00,97.1,7.1,7.1,61619,22.8,22.8,199559,12297
800,7 ,2017KW01,103.2,2.9,10.3,15681,-8.4,22.8,208490,3269
801,7 ,2017KW02,106.0,2.8,10.4,15836,1.0,8.3,213647,3383
802,7 ,2017KW03,110.1,3.8,11.6,16436,3.8,-3.9,222522,3657
803,7 ,2017KW04,112.2,1.9,11.9,17471,6.3,2.0,221670,3873
804,7 ,2017JJ00,107.9,11.1,11.1,65424,6.2,6.2,216783,14183
805,8 ,1995KW01,,,,2107,,,97601,206
806,8 ,1995KW02,,,,2480,17.7,,98336,244
807,8 ,1995KW03,,,,2674,7.8,,102602,274
808,8 ,1995KW04,,,,3005,12.4,,104213,313
809,8 ,1995JJ00,,,,10266,,,101016,1037
810,8 ,1996KW01,,,,2307,-23.2,9.5,107605,248
811,8 ,1996KW02,,,,2858,23.9,15.2,107718,308
812,8 ,1996KW03,,,,3028,5.9,13.2,112832,342
813,8 ,1996KW04,,,,3251,7.4,8.2,116169,378
814,8 ,1996JJ00,,,,11444,11.5,11.5,111449,1275
815,8 ,1997KW01,,,,2241,-31.1,-2.9,119456,268
816,8 ,1997KW02,,,,3024,34.9,5.8,120105,363
817,8 ,1997KW03,,,,3021,-0.1,-0.2,127770,386
818,8 ,1997KW04,,,,3419,13.2,5.2,128138,438
819,8 ,1997JJ00,,,,11705,2.3,2.3,124305,1455
820,8 ,1998KW01,,,,2347,-31.4,4.7,135530,318
821,8 ,1998KW02,,,,2991,27.4,-1.1,134402,402
822,8 ,1998KW03,,,,3327,11.2,10.1,138886,462
823,8 ,1998KW04,,,,3784,13.7,10.7,139264,527
824,8 ,1998JJ00,,,,12449,6.4,6.4,137291,1709
825,8 ,1999KW01,,,,2958,-21.8,26.0,141578,419
826,8 ,1999KW02,,,,3373,14.0,12.8,152335,514
827,8 ,1999KW03,,,,3684,9.2,10.7,161259,594
828,8 ,1999KW04,,,,4007,8.8,5.9,169862,681
829,8 ,1999JJ00,,,,14022,12.6,12.6,157419,2207
830,8 ,2000KW01,,,,2825,-29.5,-4.5,175037,494
831,8 ,2000KW02,,,,3281,16.1,-2.7,178830,587
832,8 ,2000KW03,,,,3287,0.2,-10.8,188242,619
833,8 ,2000KW04,,,,4020,22.3,0.3,196561,790
834,8 ,2000JJ00,,,,13413,-4.3,-4.3,185652,2490
835,8 ,2001KW01,,,,2676,-33.4,-5.3,195643,524
836,8 ,2001KW02,,,,3411,27.5,4.0,199031,679
837,8 ,2001KW03,,,,3696,8.4,12.4,210119,777
838,8 ,2001KW04,,,,4039,9.3,0.5,207559,838
839,8 ,2001JJ00,,,,13822,3.0,3.0,203832,2817
840,8 ,2002KW01,,,,2948,-27.0,10.2,212663,627
841,8 ,2002KW02,,,,3127,6.1,-8.3,217523,680
842,8 ,2002KW03,,,,3396,8.6,-8.1,221301,752
843,8 ,2002KW04,,,,3626,6.8,-10.2,220610,800
