ID,TypeOfDwellings,Periods,PriceIndexOfExistingOwnHomes_1,ChangesComparedToOnePeriodEarlier_2,ChangesComparedToOneYearEarlier_3,NumberOfDwellingsSold_4,ChangesComparedToOnePeriodEarlier_5,ChangesComparedToOneYearEarlier_6,AveragePurchasePrice_7,TotalValuePurchasePrices_8
295,3 ,2008KW01,103.9,0.9,3.5,12948,-26.3,-9.6,232773,3014
296,3 ,2008KW02,104.3,0.4,3.1,15719,21.4,-1.9,232535,3655
297,3 ,2008KW03,105.4,1.0,2.7,16093,2.4,-3.8,240337,3868
298,3 ,2008KW04,105.0,-0.4,2.0,14929,-7.2,-15.0,233941,3493
299,3 ,2008JJ00,104.7,2.8,2.8,59689,-7.7,-7.7,235042,14029
300,3 ,2009KW01,103.8,-1.1,-0.1,8910,-40.3,-31.2,233032,2076
301,3 ,2009KW02,101.6,-2.2,-2.6,10042,12.7,-36.1,222530,2235
302,3 ,2009KW03,101.0,-0.6,-4.2,10957,9.1,-31.9,223400,2448
303,3 ,2009KW04,100.7,-0.3,-4.1,11642,6.3,-22.0,225664,2627
304,3 ,2009JJ00,101.8,-2.8,-2.8,41551,-30.4,-30.4,225890,9386
305,3 ,2010KW01,100.1,-0.6,-3.6,8806,-24.4,-1.2,221738,1953
306,3 ,2010KW02,100.2,0.1,-1.4,10164,15.4,1.2,225324,2290
307,3 ,2010KW03,100.4,0.2,-0.6,10429,2.6,-4.8,229091,2389
308,3 ,2010KW04,99.3,-1.1,-1.4,10761,3.2,-7.6,221882,2388
309,3 ,2010JJ00,100.0,-1.7,-1.7,40160,-3.3,-3.3,224593,9020
310,3 ,2011KW01,99.0,-0.3,-1.1,9097,-15.5,3.3,222992,2029
311,3 ,2011KW02,98.5,-0.5,-1.7,9307,2.3,-8.4,222136,2067
312,3 ,2011KW03,98.1,-0.4,-2.3,9964,7.1,-4.5,226822,2260
313,3 ,2011KW04,96.5,-1.7,-2.8,10202,2.4,-5.2,217959,2224
