ID,Persoonskenmerken,Marges,CaribischNederland,Perioden,ToegangTotInternetInHetHuishouden_1,Inbel_2,Breedband_3,MobieleOfDongel_4,k_3MndGeleden_5,k_312MndGeleden_6,k_1JaarGeleden_7,NooitInternetGebruikt_8,BijnaDagelijks_9,NietDagelijksMaarMinstens1xPerWeek_10,NietWekelijksMaarMinstens1xPerMnd_11,Minstens1xPerMaand_12,Thuis_13,BijIemandAndersThuis_14,OpHetWerk_15,BijEenOnderwijsinstelling_16,ErgensAnders_17,VersturenOntvangenEMails_18,BerichtenPlaatsenOpChatsites_19,Weblogs_20,TekstberichtenUitwisselen_21,ProfessioneelNetwerk_22,AnderSociaalNetwerkFacebookTwitter_23,TelefonerenViaInternet_24,RadioTv_25,Kranten_26,Internetbankieren_27,SpelletjesFilmsOfMuziekDownloaden_28,FotoMuziekTekstOfSoftwareUploaden_29,SoftwareDownloadenAndersDanSpellen_30,OnlineAankopen_31
10,T009002,MW00000,GM9003 ,2017JJ00,89.3,,,,92.9,,,,95.4,4.3,,,,,,,,86.1,51.1,,90.8,20.9,77.3,74.6,81.7,51.7,58.2,56.5,66.2,39.5,61.2
11,T009002,MW00000,GM9003 ,2021JJ00,95.3,,,,99.8,,,,99.6,,,,,,,,,,,,,,,,91.7,53.9,57.0,56.7,,28.8,53.5
12,T009002,B000150,CN01   ,2013JJ00,2.6,2.2,3.0,3.4,2.7,1.0,1.4,2.5,2.5,2.2,1.0,0.8,1.8,2.6,3.6,2.6,2.2,2.7,3.4,2.6,3.6,2.3,3.3,3.5,3.6,3.6,3.5,3.6,3.6,3.2,3.4
13,T009002,B000150,CN01   ,2017JJ00,1.7,,,,1.3,,,,1.4,1.3,0.4,,,,,,,2.4,2.6,,1.6,1.8,2.4,2.3,2.5,2.7,2.7,2.7,2.7,2.3,2.7
14,T009002,B000150,CN01   ,2021JJ00,1.6,,,,0.8,0.4,,0.7,0.7,0.7,,,,,,,,,,,,,,,1.9,2.7,2.5,2.7,,2.2,2.7
15,T009002,B000150,GM9001 ,2013JJ00,3.0,2.7,3.5,3.9,3.2,1.1,1.6,2.9,2.9,2.6,1.2,0.9,2.0,3.2,4.2,2.8,2.6,3.3,3.8,2.9,4.2,2.4,3.9,4.1,4.2,4.2,4.1,4.2,4.2,3.5,3.8
16,T009002,B000150,GM9001 ,2017JJ00,2.2,,,,1.3,,,,1.3,1.2,,,,,,,,3.2,3.2,,1.8,2.2,2.9,2.7,3.3,3.3,3.4,3.4,3.4,2.9,3.3
17,T009002,B000150,GM9001 ,2021JJ00,2.1,,,,1.3,,,1.2,1.0,0.9,,,,,,,,,,,,,,,2.9,3.8,3.5,3.8,,3.1,3.7
18,T009002,B000150,GM9002 ,2013JJ00,8.0,5.6,9.3,9.7,8.2,3.3,3.9,7.6,7.1,6.5,,,7.4,6.6,10.7,7.3,6.5,7.6,10.8,7.8,10.7,7.5,10.2,10.9,10.3,10.5,10.6,10.8,10.7,10.3,10.8
19,T009002,B000150,GM9002 ,2017JJ00,4.0,,,,3.7,,,,4.8,4.5,1.6,,,,,,,5.3,5.9,,4.8,4.2,5.8,5.7,4.9,6.0,6.0,6.0,5.9,4.7,6.1
20,T009002,B000150,GM9002 ,2021JJ00,3.4,,,,1.5,1.1,,,1.6,1.6,,,,,,,,,,,,,,,3.1,4.7,4.4,4.9,,3.2,5.1
21,T009002,B000150,GM9003 ,2013JJ00,6.0,5.4,7.3,7.7,6.0,,,5.5,6.6,6.1,,,4.1,5.9,8.2,8.5,5.2,5.7,8.8,7.2,8.7,7.8,7.7,7.3,8.9,8.9,8.9,8.9,8.9,8.7,8.7
22,T009002,B000150,GM9003 ,2017JJ00,3.8,,,,3.4,,,,2.8,2.7,,,,,,,,4.7,6.8,,3.9,5.5,5.7,5.9,5.3,6.8,6.7,6.8,6.4,6.7,6.7
