ID,RegioS,Perioden,TotaleOppervlakte_1,TotaalAgrarischGebruik_2,Glastuinbouw_3,OverigAgrarischGebruik_4,Bossen_5,TotaalBebouwdeGrond_6,Woongebied_7,Delfstoffenwinning_8,Bedrijfsterreinen_9,DienstverlenendeSector_10,OverigeOpenbareVoorzieningen_11,SociaalCultureleVoorzieningen_12,TotaalVerkeer_13,SpoorTramEnMetrowegen_14,VerhardeWegen_15,OnverhardeEnHalfverhardeWegen_16,Vliegvelden_17,TotaalRecreatie_18,ParkenEnPlantsoenen_19,Sportterreinen_20,Dagrecreatie_21,Volkstuinen_22,Verblijfsrecreatie_23,TotaalNatuurlijkTerrein_24,DroogNatuurlijkTerrein_25,NatNatuurlijkTerrein_26,TotaalOverigeGronden_27,Stortplaatsen_28,Wrakkenopslagplaatsen_29,Begraafplaatsen_30,BouwterreinVoorBedrijfsterreinen_31,BouwterreinVoorOverigeBestemmingen_32,OverigeGronden_33,TotaalWater_34,IJsselmeer_35,SpaarbekkensWaterreservoirs_36,WaterMetRecreatieveHoofdfunctie_37,OverigWaterBrederDan6Meter_38,WaddenzeeEemsDollard_39,OosterEnWesterschelde_40,Noordzee_41
2439,LB2703,1989JJ00,95866.0,45651.0,10202.0,35449.0,5491.0,18612.0,14254.0,0.0,2263.0,958.0,318.0,819.0,3074.0,148.0,2900.0,26.0,0.0,6332.0,977.0,2918.0,1964.0,367.0,106.0,1065.0,0.0,1065.0,1522.0,0.0,40.0,86.0,14.0,468.0,914.0,14121.0,0.0,0.0,0.0,14121.0,0.0,0.0,0.0
2440,LB2703,1993JJ00,95769.0,43924.0,11074.0,32850.0,5352.0,20143.0,15485.0,0.0,2491.0,958.0,422.0,787.0,3105.0,148.0,2931.0,26.0,0.0,6314.0,942.0,2948.0,1951.0,367.0,106.0,1015.0,0.0,1015.0,1846.0,0.0,53.0,86.0,68.0,781.0,858.0,14069.0,0.0,0.0,0.0,14069.0,0.0,0.0,0.0
2441,LB2703,1996JJ00,95770.0,42505.0,10382.0,32123.0,4678.0,22130.0,16848.0,0.0,2825.0,1444.0,406.0,607.0,3366.0,126.0,3137.0,103.0,0.0,6413.0,950.0,2653.0,2338.0,368.0,104.0,1046.0,0.0,1046.0,1133.0,0.0,40.0,79.0,0.0,391.0,623.0,14499.0,0.0,0.0,0.0,14499.0,0.0,0.0,0.0
2442,LB2704,1989JJ00,888784.0,310545.0,32.0,310513.0,23245.0,27195.0,19005.0,67.0,2837.0,918.0,2588.0,1780.0,14471.0,584.0,12561.0,450.0,876.0,11176.0,1384.0,2284.0,158.0,617.0,6733.0,65412.0,57576.0,7836.0,3140.0,146.0,23.0,276.0,251.0,427.0,2017.0,433598.0,0.0,48.0,0.0,9748.0,328282.0,0.0,95520.0
2443,LB2704,1993JJ00,914245.0,295001.0,56.0,294945.0,23412.0,27375.0,18922.0,67.0,3033.0,960.0,2596.0,1797.0,14163.0,584.0,12257.0,421.0,901.0,12040.0,1594.0,2498.0,165.0,621.0,7162.0,65230.0,57286.0,7944.0,3204.0,146.0,23.0,265.0,119.0,633.0,2018.0,473818.0,0.0,48.0,0.0,9759.0,328209.0,0.0,135802.0
2444,LB2704,1996JJ00,914243.0,293786.0,56.0,293730.0,23515.0,27908.0,19631.0,65.0,3073.0,1009.0,2502.0,1628.0,14102.0,584.0,12319.0,276.0,923.0,12262.0,1381.0,2659.0,162.0,580.0,7480.0,65573.0,57359.0,8214.0,3293.0,146.0,17.0,271.0,300.0,769.0,1790.0,473804.0,0.0,48.0,0.0,9752.0,328206.0,0.0,135798.0
2445,LB2705,1989JJ00,559881.0,440639.0,1375.0,439264.0,1809.0,51927.0,41966.0,0.0,6865.0,823.0,799.0,1474.0,22621.0,1912.0,20679.0,30.0,0.0,14091.0,2571.0,5008.0,3087.0,1133.0,2292.0,2394.0,33.0,2361.0,2999.0,0.0,71.0,433.0,615.0,1222.0,658.0,23397.0,9986.0,615.0,1016.0,11780.0,0.0,0.0,0.0
2446,LB2705,1993JJ00,855039.0,446450.0,2300.0,444150.0,2568.0,56635.0,45205.0,0.0,7848.0,838.0,1154.0,1590.0,23144.0,1909.0,21175.0,60.0,0.0,14764.0,2715.0,5265.0,3180.0,1179.0,2425.0,3138.0,62.0,3076.0,4453.0,0.0,85.0,451.0,1307.0,1799.0,811.0,303882.0,288844.0,1033.0,1042.0,12963.0,0.0,0.0,0.0
2447,LB2705,1996JJ00,855046.0,442249.0,3109.0,439140.0,2580.0,60648.0,47911.0,0.0,8821.0,1152.0,1221.0,1543.0,22952.0,1913.0,21039.0,0.0,0.0,15547.0,3287.0,5504.0,2961.0,1054.0,2741.0,3015.0,32.0,2983.0,3850.0,0.0,95.0,491.0,654.0,1798.0,812.0,304205.0,288935.0,1033.0,1024.0,13213.0,0.0,0.0,0.0
2448,LB2706,1989JJ00,737803.0,398312.0,730.0,397582.0,3430.0,119010.0,83498.0,35.0,22896.0,4232.0,3464.0,4885.0,30419.0,4861.0,24995.0,563.0,0.0,37684.0,11504.0,12289.0,8378.0,4474.0,1039.0,12891.0,368.0,12523.0,34337.0,1974.0,274.0,1685.0,15075.0,10618.0,4711.0,101727.0,26844.0,0.0,3935.0,70948.0,0.0,0.0,0.0
