ID,Sectoren,COFOGOverheidsfuncties,Perioden,Overheidsconsumptie_1
3288,30,12500 ,2007JJ00,309.0
3289,30,12500 ,2008JJ00,354.0
3290,30,12500 ,2009JJ00,428.0
3291,30,12500 ,2010JJ00,448.0
3292,30,12500 ,2011JJ00,426.0
3293,30,12500 ,2012JJ00,411.0
3294,30,12600 ,1995JJ00,4591.0
3295,30,12600 ,1996JJ00,4702.0
3296,30,12600 ,1997JJ00,4928.0
3297,30,12600 ,1998JJ00,5121.0
3298,30,12600 ,1999JJ00,5314.0
3299,30,12600 ,2000JJ00,5594.0
3300,30,12600 ,2001JJ00,6165.0
3301,30,12600 ,2002JJ00,6656.0
3302,30,12600 ,2003JJ00,7268.0
3303,30,12600 ,2004JJ00,7441.0
3304,30,12600 ,2005JJ00,7455.0
3305,30,12600 ,2006JJ00,7285.0
3306,30,12600 ,2007JJ00,7826.0
3307,30,12600 ,2008JJ00,8432.0
3308,30,12600 ,2009JJ00,9362.0
3309,30,12600 ,2010JJ00,9582.0
3310,30,12600 ,2011JJ00,9578.0
3311,30,12600 ,2012JJ00,9394.0
3312,30,12700 ,1995JJ00,2092.0
3313,30,12700 ,1996JJ00,2053.0
3314,30,12700 ,1997JJ00,2225.0
3315,30,12700 ,1998JJ00,2257.0
3316,30,12700 ,1999JJ00,2288.0
3317,30,12700 ,2000JJ00,2421.0
3318,30,12700 ,2001JJ00,2636.0
3319,30,12700 ,2002JJ00,2767.0
3320,30,12700 ,2003JJ00,3010.0
3321,30,12700 ,2004JJ00,3112.0
3322,30,12700 ,2005JJ00,3075.0
3323,30,12700 ,2006JJ00,3009.0
3324,30,12700 ,2007JJ00,3198.0
3325,30,12700 ,2008JJ00,3510.0
3326,30,12700 ,2009JJ00,3890.0
3327,30,12700 ,2010JJ00,3984.0
3328,30,12700 ,2011JJ00,3719.0
3329,30,12700 ,2012JJ00,3626.0
3330,30,12800 ,1995JJ00,6.0
3331,30,12800 ,1996JJ00,9.0
3332,30,12800 ,1997JJ00,17.0
3333,30,12800 ,1998JJ00,29.0
3334,30,12800 ,1999JJ00,56.0
3335,30,12800 ,2000JJ00,24.0
3336,30,12800 ,2001JJ00,31.0
3337,30,12800 ,2002JJ00,35.0
3338,30,12800 ,2003JJ00,46.0
