ID,CentraleDecentraleProductie,Energiedragers,Perioden,TotaalElektriciteitEnWarmteTJ_1,ElektriciteitMWh_2,ElektriciteitTJ_3,Elektriciteit_4,WarmteTJ_5,InzetTJ_6
113,E007022,E006534,2003JJ00,13116.0,533030.0,1919.0,0.5,11197.0,15847.0
114,E007022,E006534,2004JJ00,12980.0,433811.0,1562.0,0.4,11418.0,15306.0
115,E007022,E006534,2005JJ00,10162.0,331940.0,1195.0,0.3,8967.0,11744.0
116,E007022,E006534,2006JJ00,9482.0,282922.0,1019.0,0.3,8463.0,11123.0
117,E007022,E006534,2007JJ00,9745.0,259745.0,935.0,0.2,8810.0,11445.0
118,E007022,E006534,2008JJ00,9722.0,257889.0,928.0,0.2,8794.0,11268.0
119,E007022,E006534,2009JJ00,303.0,54442.0,196.0,0.0,107.0,660.0
120,E007022,E006534,2010JJ00,279.0,48180.0,173.0,0.0,105.0,522.0
121,E007022,E006534,2011JJ00,224.0,35944.0,130.0,0.0,94.0,409.0
122,E007022,E006534,2012JJ00,186.0,32366.0,117.0,0.0,70.0,432.0
123,E007022,E006534,2013JJ00,340.0,89993.0,324.0,0.1,16.0,953.0
124,E007022,E006534,2014JJ00,1265.0,342284.0,1232.0,0.3,33.0,3341.0
125,E007022,E006534,2015JJ00,365.0,93248.0,336.0,0.1,30.0,810.0
126,E007022,E006534,2016JJ00,267.0,60650.0,218.0,0.1,49.0,550.0
127,E007022,E006534,2017JJ00,243.0,51988.0,187.0,0.0,56.0,497.0
128,E007022,E006534,2018JJ00,253.0,44929.0,162.0,0.0,91.0,506.0
129,E007022,E006534,2019JJ00,337.0,72401.0,261.0,0.1,76.0,794.0
130,E007022,E006534,2020JJ00,175.0,29538.0,106.0,0.0,69.0,385.0
131,E007022,E006534,2021JJ00,232.0,42349.0,152.0,0.0,79.0,512.0
132,E007022,E006534,2022JJ00,191.0,33595.0,121.0,0.0,70.0,411.0
133,E007022,E006534,2023JJ00,165.0,30362.0,109.0,0.0,56.0,368.0
134,E007022,E006534,2024JJ00,232.0,50717.0,183.0,0.0,49.0,526.0
135,E007022,E006621,1998JJ00,39610.0,4817500.0,17343.0,5.2,22267.0,60661.0
136,E007022,E006621,1999JJ00,39793.0,4869784.0,17531.0,5.6,22262.0,60004.0
137,E007022,E006621,2000JJ00,38896.0,4463986.0,16070.0,5.0,22825.0,58548.0
138,E007022,E006621,2001JJ00,38787.0,4600083.0,16560.0,4.9,22227.0,60056.0
139,E007022,E006621,2002JJ00,37242.0,4270076.0,15372.0,4.5,21870.0,57447.0
140,E007022,E006621,2003JJ00,37660.0,4698004.0,16913.0,4.8,20748.0,58850.0
141,E007022,E006621,2004JJ00,33001.0,4690026.0,16884.0,4.6,16117.0,52391.0
142,E007022,E006621,2005JJ00,38009.0,4897662.0,17632.0,4.9,20378.0,60042.0
143,E007022,E006621,2006JJ00,33862.0,4029141.0,14505.0,4.1,19357.0,52787.0
144,E007022,E006621,2007JJ00,38694.0,4989536.0,17962.0,4.7,20732.0,63000.0
145,E007022,E006621,2008JJ00,35859.0,4587985.0,16517.0,4.2,19343.0,57964.0
146,E007022,E006621,2009JJ00,27191.0,3636909.0,13093.0,3.2,14098.0,44800.0
147,E007022,E006621,2010JJ00,33378.0,4296264.0,15467.0,3.6,17912.0,52118.0
148,E007022,E006621,2011JJ00,35184.0,4488974.0,16161.0,4.0,19023.0,55928.0
149,E007022,E006621,2012JJ00,30170.0,4252910.0,15310.0,4.1,14859.0,52113.0
150,E007022,E006621,2013JJ00,31190.0,4020145.0,14473.0,4.0,16717.0,49755.0
151,E007022,E006621,2014JJ00,29628.0,4197758.0,15112.0,4.1,14516.0,51999.0
152,E007022,E006621,2015JJ00,23193.0,4066477.0,14639.0,3.7,8554.0,44300.0
153,E007022,E006621,2016JJ00,22169.0,3923040.0,14123.0,3.4,8046.0,41424.0
154,E007022,E006621,2017JJ00,22693.0,3859520.0,13894.0,3.3,8799.0,42398.0
155,E007022,E006621,2018JJ00,23709.0,4087052.0,14713.0,3.6,8996.0,42178.0
156,E007022,E006621,2019JJ00,22817.0,3706565.0,13344.0,3.1,9473.0,42376.0
157,E007022,E006621,2020JJ00,22571.0,3806568.0,13704.0,3.1,8868.0,40980.0
158,E007022,E006621,2021JJ00,22901.0,4065632.0,14636.0,3.3,8265.0,42441.0
159,E007022,E006621,2022JJ00,27580.0,4158830.0,14972.0,3.4,12609.0,45895.0
160,E007022,E006621,2023JJ00,24065.0,3494747.0,12581.0,2.9,11484.0,39447.0
161,E007022,E006621,2024JJ00,25827.0,3939021.0,14180.0,3.2,11646.0,44034.0
162,E007022,E006565,1998JJ00,10637.0,2346091.0,8446.0,2.5,2191.0,25697.0
163,E007022,E006565,1999JJ00,11100.0,2528857.0,9104.0,2.9,1996.0,27769.0
164,E007022,E006565,2000JJ00,12592.0,2992297.0,10772.0,3.3,1819.0,30625.0
165,E007022,E006565,2001JJ00,14158.0,3313418.0,11928.0,3.5,2230.0,34459.0
166,E007022,E006565,2002JJ00,16983.0,3979428.0,14326.0,4.2,2656.0,39193.0
167,E007022,E006565,2003JJ00,16830.0,3968297.0,14286.0,4.0,2544.0,35857.0
168,E007022,E006565,2004JJ00,21855.0,5320778.0,19155.0,5.2,2700.0,43267.0
169,E007022,E006565,2005JJ00,30064.0,7465918.0,26877.0,7.4,3187.0,60852.0
170,E007022,E006565,2006JJ00,32398.0,8068422.0,29046.0,8.2,3351.0,60721.0
171,E007022,E006565,2007JJ00,31105.0,7605994.0,27382.0,7.2,3723.0,50070.0
172,E007022,E006565,2008JJ00,37739.0,9480115.0,34128.0,8.8,3611.0,64080.0
173,E007022,E006565,2009JJ00,43547.0,10836000.0,39010.0,9.5,4537.0,73240.0
174,E007022,E006565,2010JJ00,45563.0,11214722.0,40373.0,9.5,5190.0,81590.0
175,E007022,E006565,2011JJ00,50224.0,12341074.0,44428.0,10.9,5796.0,82140.0
176,E007022,E006565,2012JJ00,56817.0,12543575.0,45157.0,12.2,11660.0,88642.0
177,E007022,E006565,2013JJ00,54739.0,12211360.0,43961.0,12.1,10778.0,79500.0
