ID,BestemmingVanInvoer,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,WaardeInWerkelijkePrijzen_5,WaardePrijsniveau2005_6,VolumemutatieTOVVoorafgaandJaar_7,Prijsindexcijfers_8,WaardeInWerkelijkePrijzen_9,WaardePrijsniveau2005_10,VolumemutatieTOVVoorafgaandJaar_11,Prijsindexcijfers_12
1871,400200,2009JJ00,148.0,139.0,-4.0,106.3,29.0,34.0,-6.2,85.8,119.0,105.0,-3.4,112.9
1872,400200,2010JJ00,151.0,139.0,0.0,108.5,29.0,34.0,0.0,85.8,122.0,105.0,0.0,115.7
1873,400200,2011JJ00,167.0,148.0,6.6,112.5,38.0,41.0,20.7,93.2,129.0,109.0,3.3,118.5
1874,400200,2012JJ00,170.0,153.0,3.0,111.2,38.0,42.0,2.6,90.8,132.0,112.0,3.1,117.6
1875,402000,1988JJ00,209.0,247.0,,84.6,116.0,108.0,,107.5,93.0,144.0,,64.7
1876,402000,1989JJ00,256.0,302.0,22.0,84.9,133.0,130.0,20.7,102.1,123.0,178.0,23.7,69.2
1877,402000,1990JJ00,286.0,331.0,9.8,86.4,149.0,141.0,8.3,105.6,137.0,198.0,11.4,69.2
1878,402000,1991JJ00,342.0,402.0,21.3,85.2,170.0,159.0,12.8,106.9,172.0,259.0,30.7,66.5
1879,402000,1992JJ00,417.0,471.0,17.3,88.6,212.0,201.0,26.5,105.4,205.0,280.0,8.1,73.3
1880,402000,1993JJ00,381.0,448.0,-4.8,85.0,212.0,220.0,9.4,96.3,169.0,225.0,-19.5,75.0
1881,402000,1994JJ00,441.0,500.0,11.5,88.2,255.0,263.0,19.3,97.1,186.0,229.0,1.8,81.1
1882,402000,1995JJ00,461.0,539.0,7.7,85.6,262.0,274.0,4.3,95.6,199.0,258.0,12.4,77.3
1883,402000,1996JJ00,457.0,534.0,-0.9,85.6,248.0,260.0,-5.0,95.2,209.0,269.0,4.5,77.6
1884,402000,1997JJ00,477.0,547.0,2.4,87.2,258.0,266.0,2.0,97.1,219.0,277.0,2.9,79.1
1885,402000,1998JJ00,480.0,547.0,0.0,87.8,238.0,254.0,-4.3,93.6,242.0,291.0,5.0,83.2
1886,402000,1999JJ00,486.0,556.0,1.7,87.4,235.0,254.0,0.0,92.4,251.0,301.0,3.3,83.5
1887,402000,2000JJ00,498.0,567.0,2.1,87.8,227.0,248.0,-2.6,91.6,271.0,320.0,6.4,84.8
1888,402000,2001JJ00,530.0,578.0,1.8,91.8,228.0,234.0,-5.7,97.6,302.0,346.0,8.1,87.4
1889,402000,2002JJ00,559.0,599.0,3.8,93.3,243.0,256.0,9.6,94.8,316.0,343.0,-0.7,92.0
1890,402000,2003JJ00,542.0,555.0,-7.3,97.6,233.0,233.0,-9.1,100.0,309.0,323.0,-6.0,95.8
1891,402000,2004JJ00,534.0,546.0,-1.7,97.8,234.0,238.0,2.1,98.3,300.0,308.0,-4.5,97.4
1892,402000,2005JJ00,581.0,581.0,6.4,100.0,237.0,237.0,-0.4,100.0,344.0,344.0,11.7,100.0
1893,402000,2006JJ00,578.0,560.0,-3.6,103.2,252.0,245.0,3.4,102.9,326.0,315.0,-8.4,103.5
1894,402000,2007JJ00,592.0,567.0,1.2,104.4,266.0,258.0,5.2,103.2,326.0,309.0,-1.8,105.4
1895,402000,2008JJ00,613.0,571.0,0.7,107.4,262.0,248.0,-3.8,105.7,351.0,322.0,4.3,108.8
1896,402000,2009JJ00,635.0,577.0,1.1,110.0,260.0,247.0,-0.4,105.3,375.0,330.0,2.3,113.7
1897,402000,2010JJ00,665.0,602.0,4.3,110.5,275.0,260.0,5.4,105.6,390.0,341.0,3.5,114.3
1898,402000,2011JJ00,681.0,609.0,1.2,111.8,274.0,253.0,-2.9,108.4,407.0,355.0,4.1,114.6
1899,402000,2012JJ00,726.0,650.0,6.8,111.7,278.0,254.0,0.4,109.6,448.0,395.0,11.1,113.5
1900,300010,1988JJ00,2208.0,2873.0,,76.9,467.0,313.0,,149.1,1741.0,2686.0,,64.8
1901,300010,1989JJ00,2523.0,3223.0,12.2,78.3,529.0,364.0,16.1,145.5,1994.0,2986.0,11.1,66.8
1902,300010,1990JJ00,2732.0,3459.0,7.3,79.0,611.0,443.0,21.9,137.8,2121.0,3089.0,3.5,68.7
1903,300010,1991JJ00,3082.0,3836.0,10.9,80.4,645.0,495.0,11.8,130.2,2437.0,3417.0,10.6,71.3
1904,300010,1992JJ00,3444.0,4241.0,10.6,81.2,699.0,555.0,12.1,125.9,2745.0,3765.0,10.2,72.9
1905,300010,1993JJ00,3649.0,4510.0,6.3,80.9,703.0,584.0,5.2,120.4,2946.0,4014.0,6.6,73.4
1906,300010,1994JJ00,3803.0,4641.0,2.9,81.9,774.0,656.0,12.4,117.9,3029.0,4040.0,0.6,75.0
1907,300010,1995JJ00,4056.0,4930.0,6.2,82.3,798.0,705.0,7.4,113.3,3258.0,4280.0,5.9,76.1
1908,300010,1996JJ00,4304.0,5158.0,4.6,83.4,877.0,796.0,12.9,110.2,3427.0,4392.0,2.6,78.0
1909,300010,1997JJ00,4847.0,5760.0,11.7,84.1,979.0,902.0,13.3,108.6,3868.0,4885.0,11.2,79.2
1910,300010,1998JJ00,5398.0,6315.0,9.6,85.5,1061.0,999.0,10.8,106.2,4337.0,5341.0,9.3,81.2
1911,300010,1999JJ00,5991.0,6906.0,9.4,86.8,1210.0,1174.0,17.4,103.1,4781.0,5735.0,7.4,83.4
1912,300010,2000JJ00,6796.0,7613.0,10.2,89.3,1357.0,1267.0,7.9,107.1,5439.0,6355.0,10.8,85.6
1913,300010,2001JJ00,7688.0,8188.0,7.6,93.9,1386.0,1238.0,-2.3,112.0,6302.0,6992.0,10.0,90.1
1914,300010,2002JJ00,8170.0,8538.0,4.3,95.7,1621.0,1514.0,22.3,107.1,6549.0,7013.0,0.3,93.4
1915,300010,2003JJ00,8187.0,8410.0,-1.5,97.3,1494.0,1443.0,-4.7,103.6,6693.0,6964.0,-0.7,96.1
