ID,BronTechniek,Perioden,Elektriciteitsproductie_1,AandeelInTotaalElektriciteitsverbruik_2,Elektriciteitsproductie_3,AandeelInTotaalElektriciteitsverbruik_4,Elektriciteitsproductie_5,AandeelInTotaalElektriciteitsverbruik_6,Elektriciteit_7,AandeelInTotaalElektriciteitsverbruik_8,Elektriciteit_9,AandeelInTotaalElektriciteitsverbruik_10
699,19000,2009JJ00,6129.0,5.18,6129.0,5.18,5422.0,4.76,260.0,0.23,,
700,19000,2010KW01,,,1744.0,5.53,1553.0,5.1,,,,
701,19000,2010KW02,,,1734.0,6.16,1544.0,5.68,,,,
702,19000,2010KW03,,,1696.0,5.98,1510.0,5.49,,,,
703,19000,2010KW04,,,1884.0,5.74,1677.0,5.28,,,,
704,19000,2010JJ00,7058.0,5.84,7058.0,5.84,6284.0,5.37,205.0,0.18,,
705,19000,2011KW01,,,1851.0,5.76,1654.0,5.32,,,,
706,19000,2011KW02,,,1793.0,6.35,1598.0,5.86,,,,
707,19000,2011KW03,,,1813.0,6.32,1607.0,5.8,,,,
708,19000,2011KW04,,,1615.0,4.9,1417.0,4.45,,,,
709,19000,2011JJ00,7083.0,5.8,7083.0,5.8,6276.0,5.32,1021.0,0.87,,
710,19000,2012KW01,,,2035.0,6.45,1817.0,5.95,,,,
711,19000,2012KW02,,,1770.0,6.35,1571.0,5.83,,,,
712,19000,2012KW03,,,1821.0,6.45,1611.0,5.9,,,,
713,19000,2012KW04,,,1612.0,5.04,1419.0,4.59,,,,
714,19000,2012JJ00,7239.0,6.05,7239.0,6.05,6418.0,5.55,1227.0,1.06,,
715,19000,2013KW01,,,1558.0,5.05,1366.0,4.56,,,,
716,19000,2013KW02,,,1422.0,5.22,1238.0,4.68,,,,
717,19000,2013KW03,,,1559.0,5.6,1359.0,5.03,,,,
718,19000,2013KW04,,,1395.0,4.38,1215.0,3.93,,,,
719,19000,2013JJ00,5934.0,5.04,5934.0,5.04,5178.0,4.53,2081.0,1.82,,
720,19100,1990JJ00,539.0,0.67,539.0,0.67,462.0,0.59,,,,
721,19100,1991JJ00,588.0,0.71,588.0,0.71,510.0,0.63,,,,
722,19100,1992JJ00,567.0,0.66,567.0,0.66,476.0,0.57,,,,
723,19100,1993JJ00,634.0,0.73,634.0,0.73,492.0,0.58,,,,
724,19100,1994JJ00,661.0,0.73,661.0,0.73,506.0,0.58,,,,
725,19100,1995JJ00,703.0,0.76,703.0,0.76,528.0,0.59,,,,
726,19100,1996JJ00,953.0,0.99,953.0,0.99,731.0,0.79,,,,
727,19100,1997JJ00,1108.0,1.12,1108.0,1.12,836.0,0.87,,,,
728,19100,1998JJ00,1188.0,1.15,1188.0,1.15,898.0,0.9,,,,
729,19100,1999JJ00,1261.0,1.2,1261.0,1.2,967.0,0.95,,,,
730,19100,2000JJ00,1272.0,1.17,1272.0,1.17,987.0,0.94,,,,
731,19100,2001JJ00,1214.0,1.09,1214.0,1.09,945.0,0.88,,,,
732,19100,2002KW01,,,,,,,,,,
733,19100,2002KW02,,,,,,,,,,
734,19100,2002KW03,,,,,,,,,,
735,19100,2002KW04,,,,,,,,,,
736,19100,2002JJ00,1207.0,1.07,1207.0,1.07,933.0,0.86,,,,
737,19100,2003KW01,,,,,,,,,,
738,19100,2003KW02,,,,,,,,,,
739,19100,2003KW03,,,,,,,,,,
