ID,Energiedragers,NederlandseEconomie,Perioden,Winning_1,IntermediairEnHuishoudelijkVerbruik_2,Invoer_3,Productie_4,NettoEnergieverbruik_5,Uitvoer_6
289,T001027,348000 ,2023JJ00,0.6,143.9,,80.2,64.4,
290,T001027,348100 ,2014JJ00,,2.5,,,2.5,
291,T001027,348100 ,2015JJ00,,2.6,,,2.6,
292,T001027,348100 ,2016JJ00,,2.5,,,2.5,
293,T001027,348100 ,2017JJ00,,2.7,,,2.7,
294,T001027,348100 ,2018JJ00,0.0,2.6,,0.0,2.6,
295,T001027,348100 ,2019JJ00,0.1,2.8,,0.1,2.8,
296,T001027,348100 ,2020JJ00,0.0,2.7,,0.0,2.7,
297,T001027,348100 ,2021JJ00,0.1,2.6,,0.1,2.6,
298,T001027,348100 ,2022JJ00,0.1,2.6,,0.1,2.6,
299,T001027,348100 ,2023JJ00,0.1,2.2,,0.1,2.2,
300,T001027,800018 ,2014JJ00,0.0,141.8,,83.4,58.4,
301,T001027,800018 ,2015JJ00,0.0,140.1,,80.7,59.4,
302,T001027,800018 ,2016JJ00,0.0,147.2,,83.2,64.0,
303,T001027,800018 ,2017JJ00,0.0,148.6,,85.9,62.7,
304,T001027,800018 ,2018JJ00,0.1,146.4,,80.7,65.8,
305,T001027,800018 ,2019JJ00,0.1,144.1,,79.9,64.3,
306,T001027,800018 ,2020JJ00,0.2,148.7,,84.4,64.6,
307,T001027,800018 ,2021JJ00,0.3,158.1,,90.7,67.7,
308,T001027,800018 ,2022JJ00,0.5,148.2,,86.6,62.1,
309,T001027,800018 ,2023JJ00,0.5,141.7,,80.1,62.1,
310,T001027,350000 ,2014JJ00,0.0,55.6,,0.1,55.6,
311,T001027,350000 ,2015JJ00,0.1,58.1,,0.1,58.1,
312,T001027,350000 ,2016JJ00,0.1,57.9,,0.1,57.9,
313,T001027,350000 ,2017JJ00,0.1,57.4,,0.1,57.4,
314,T001027,350000 ,2018JJ00,0.2,57.5,,0.2,57.4,
315,T001027,350000 ,2019JJ00,0.3,56.1,,0.3,56.1,
316,T001027,350000 ,2020JJ00,0.7,55.0,,0.7,55.0,
317,T001027,350000 ,2021JJ00,0.8,54.8,,0.8,54.8,
318,T001027,350000 ,2022JJ00,1.3,54.9,,1.3,54.9,
319,T001027,350000 ,2023JJ00,1.4,56.0,,1.4,56.0,
320,T001027,354200 ,2014JJ00,1.0,98.1,,0.5,98.6,
321,T001027,354200 ,2015JJ00,1.3,99.1,,0.5,99.9,
322,T001027,354200 ,2016JJ00,1.4,97.7,,0.6,98.5,
323,T001027,354200 ,2017JJ00,1.7,102.2,,0.7,103.2,
324,T001027,354200 ,2018JJ00,2.2,97.7,,1.2,98.7,
325,T001027,354200 ,2019JJ00,2.7,93.1,,1.7,94.2,
326,T001027,354200 ,2020JJ00,3.6,84.4,,2.4,85.6,
327,T001027,354200 ,2021JJ00,4.5,87.2,,3.1,88.6,
328,T001027,354200 ,2022JJ00,5.9,82.0,,4.2,83.7,
329,T001027,354200 ,2023JJ00,7.4,79.7,,4.8,82.3,
330,T001027,354300 ,2014JJ00,0.1,11.2,,0.1,11.2,
331,T001027,354300 ,2015JJ00,0.1,11.3,,0.1,11.4,
332,T001027,354300 ,2016JJ00,0.2,11.6,,0.1,11.7,
333,T001027,354300 ,2017JJ00,0.2,11.6,,0.1,11.7,
334,T001027,354300 ,2018JJ00,0.2,11.4,,0.1,11.5,
335,T001027,354300 ,2019JJ00,0.3,11.2,,0.2,11.3,
336,T001027,354300 ,2020JJ00,0.4,9.8,,0.3,9.9,
337,T001027,354300 ,2021JJ00,0.5,9.7,,0.3,9.9,
338,T001027,354300 ,2022JJ00,0.6,9.1,,0.5,9.2,
339,T001027,354300 ,2023JJ00,0.8,9.3,,0.5,9.6,
340,T001027,356900 ,2014JJ00,0.4,51.7,,0.2,51.9,
341,T001027,356900 ,2015JJ00,0.6,52.1,,0.2,52.4,
342,T001027,356900 ,2016JJ00,0.6,52.5,,0.2,52.9,
