ID,NECSectoren,EmissiesNaarLucht,Perioden,EmissiesNaarLucht_1
216,A025447  ,A044118,1990JJ00,300.8
217,A025447  ,A044118,1995JJ00,226.8
218,A025447  ,A044118,2000JJ00,178.2
219,A025447  ,A044118,2001JJ00,158.5
220,A025447  ,A044118,2002JJ00,151.6
221,A025447  ,A044118,2003JJ00,143.5
222,A025447  ,A044118,2004JJ00,136.6
223,A025447  ,A044118,2005JJ00,146.4
224,A025447  ,A044118,2006JJ00,143.9
225,A025447  ,A044118,2007JJ00,147.0
226,A025447  ,A044118,2008JJ00,142.5
227,A025447  ,A044118,2009JJ00,136.3
228,A025447  ,A044118,2010JJ00,150.4
229,A025447  ,A044118,2011JJ00,144.8
230,A025447  ,A044118,2012JJ00,140.9
231,A025447  ,A044118,2013JJ00,138.8
232,A025447  ,A044118,2014JJ00,132.6
233,A025447  ,A044118,2015JJ00,131.1
234,A025447  ,A044118,2016JJ00,123.8
235,A025447  ,A044118,2017JJ00,126.0
236,A025447  ,A044118,2018JJ00,122.9
237,A025447  ,A044118,2019JJ00,121.7
238,A025447  ,A044118,2020JJ00,134.1
239,A025447  ,A044118,2021JJ00,122.1
240,A025447  ,A044118,2022JJ00,124.0
241,A025447  ,A044118,2023JJ00,122.6
242,A025447  ,A044118,2024JJ00,120.4
243,A025447  ,A051771,1990JJ00,31.6
244,A025447  ,A051771,1995JJ00,24.4
245,A025447  ,A051771,2000JJ00,17.7
246,A025447  ,A051771,2001JJ00,17.3
247,A025447  ,A051771,2002JJ00,16.4
248,A025447  ,A051771,2003JJ00,16.5
249,A025447  ,A051771,2004JJ00,16.2
250,A025447  ,A051771,2005JJ00,15.6
251,A025447  ,A051771,2006JJ00,15.9
252,A025447  ,A051771,2007JJ00,15.0
253,A025447  ,A051771,2008JJ00,14.8
254,A025447  ,A051771,2009JJ00,14.1
255,A025447  ,A051771,2010JJ00,14.9
256,A025447  ,A051771,2011JJ00,13.7
257,A025447  ,A051771,2012JJ00,13.1
258,A025447  ,A051771,2013JJ00,13.5
259,A025447  ,A051771,2014JJ00,12.4
260,A025447  ,A051771,2015JJ00,12.8
261,A025447  ,A051771,2016JJ00,12.6
262,A025447  ,A051771,2017JJ00,12.4
263,A025447  ,A051771,2018JJ00,12.1
264,A025447  ,A051771,2019JJ00,11.7
265,A025447  ,A051771,2020JJ00,10.7
266,A025447  ,A051771,2021JJ00,11.1
267,A025447  ,A051771,2022JJ00,11.1
268,A025447  ,A051771,2023JJ00,10.8
269,A025447  ,A051771,2024JJ00,10.5
270,800044   ,A044111,1990JJ00,0.0
271,800044   ,A044111,1995JJ00,0.0
272,800044   ,A044111,2000JJ00,0.0
273,800044   ,A044111,2001JJ00,0.0
274,800044   ,A044111,2002JJ00,0.0
275,800044   ,A044111,2003JJ00,0.1
276,800044   ,A044111,2004JJ00,0.1
277,800044   ,A044111,2005JJ00,0.2
278,800044   ,A044111,2006JJ00,0.0
279,800044   ,A044111,2007JJ00,0.0
280,800044   ,A044111,2008JJ00,0.1
281,800044   ,A044111,2009JJ00,0.0
282,800044   ,A044111,2010JJ00,0.0
283,800044   ,A044111,2011JJ00,0.0
284,800044   ,A044111,2012JJ00,0.0
285,800044   ,A044111,2013JJ00,0.0
286,800044   ,A044111,2014JJ00,0.0
287,800044   ,A044111,2015JJ00,0.0
288,800044   ,A044111,2016JJ00,0.0
289,800044   ,A044111,2017JJ00,0.0
290,800044   ,A044111,2018JJ00,0.0
291,800044   ,A044111,2019JJ00,0.1
292,800044   ,A044111,2020JJ00,0.1
293,800044   ,A044111,2021JJ00,0.0
294,800044   ,A044111,2022JJ00,0.0
295,800044   ,A044111,2023JJ00,0.0
296,800044   ,A044111,2024JJ00,0.0
297,800044   ,A044112,1990JJ00,103.9
298,800044   ,A044112,1995JJ00,83.2
299,800044   ,A044112,2000JJ00,64.9
300,800044   ,A044112,2001JJ00,62.7
301,800044   ,A044112,2002JJ00,62.9
302,800044   ,A044112,2003JJ00,63.8
303,800044   ,A044112,2004JJ00,56.6
304,800044   ,A044112,2005JJ00,55.2
305,800044   ,A044112,2006JJ00,52.0
306,800044   ,A044112,2007JJ00,43.4
307,800044   ,A044112,2008JJ00,38.1
308,800044   ,A044112,2009JJ00,32.3
309,800044   ,A044112,2010JJ00,32.6
310,800044   ,A044112,2011JJ00,29.1
311,800044   ,A044112,2012JJ00,28.3
312,800044   ,A044112,2013JJ00,29.5
313,800044   ,A044112,2014JJ00,26.8
314,800044   ,A044112,2015JJ00,27.6
315,800044   ,A044112,2016JJ00,23.4
316,800044   ,A044112,2017JJ00,21.5
317,800044   ,A044112,2018JJ00,20.7
318,800044   ,A044112,2019JJ00,19.4
319,800044   ,A044112,2020JJ00,17.0
320,800044   ,A044112,2021JJ00,17.1
321,800044   ,A044112,2022JJ00,16.3
322,800044   ,A044112,2023JJ00,13.6
323,800044   ,A044112,2024JJ00,13.0
324,800044   ,A044114,1990JJ00,112.7
325,800044   ,A044114,1995JJ00,78.3
326,800044   ,A044114,2000JJ00,48.2
327,800044   ,A044114,2001JJ00,50.6
328,800044   ,A044114,2002JJ00,44.4
329,800044   ,A044114,2003JJ00,43.7
330,800044   ,A044114,2004JJ00,43.1
331,800044   ,A044114,2005JJ00,42.1
332,800044   ,A044114,2006JJ00,42.2
333,800044   ,A044114,2007JJ00,38.7
334,800044   ,A044114,2008JJ00,32.1
335,800044   ,A044114,2009JJ00,24.2
336,800044   ,A044114,2010JJ00,19.4
337,800044   ,A044114,2011JJ00,19.2
338,800044   ,A044114,2012JJ00,22.1
339,800044   ,A044114,2013JJ00,19.5
340,800044   ,A044114,2014JJ00,18.3
341,800044   ,A044114,2015JJ00,19.7
342,800044   ,A044114,2016JJ00,17.1
343,800044   ,A044114,2017JJ00,15.3
344,800044   ,A044114,2018JJ00,13.6
345,800044   ,A044114,2019JJ00,11.3
346,800044   ,A044114,2020JJ00,8.8
347,800044   ,A044114,2021JJ00,10.4
348,800044   ,A044114,2022JJ00,10.7
349,800044   ,A044114,2023JJ00,9.6
350,800044   ,A044114,2024JJ00,8.1
351,800044   ,A044118,1990JJ00,32.2
352,800044   ,A044118,1995JJ00,26.6
353,800044   ,A044118,2000JJ00,26.8
354,800044   ,A044118,2001JJ00,19.2
355,800044   ,A044118,2002JJ00,17.7
356,800044   ,A044118,2003JJ00,16.0
