ID,Kenmerken,Perioden,TotaalNIS_1,Medicatie_2,KunstmatigeToedieningVochtVoeding_3,KunstmatigeBeademing_4,OperatieEnIngrepen_5,Oncotherapie_6,OverigeBehandelingen_7,BehandelingNietGespecificeerd_8,TotaalNIS_9,Medicatie_10,KunstmatigeToedieningVochtVoeding_11,KunstmatigeBeademing_12,OperatieEnIngrepen_13,Oncotherapie_14,OverigeBehandelingen_15,BehandelingNietGespecificeerd_16,TotaalToedienenMiddelen_17,Opioiden_18,Benzodiazepinen_19,Barbituraten_20,Spierrelaxantia_21,PsychofarmacaAntipsychotica_22,OverigeMiddelen_23,MiddelNietGespecificeerd_24,TotaalToedienenMiddelen_25,Opioiden_26,Benzodiazepinen_27,Barbituraten_28,Spierrelaxantia_29,PsychofarmacaAntipsychotica_30,OverigeMiddelen_31,MiddelNietGespecificeerd_32
10,06,1995JJ00,,,,,,,,,,,,,,,,,2136.0,1998.0,256.0,22.0,9.0,93.0,19.0,87.0,17.0,19.0,21.0,4.0,2.0,25.0,9.0,6.0
11,06,2001JJ00,294.0,196.0,93.0,21.0,18.0,54.0,73.0,23.0,2.0,3.0,2.0,1.0,2.0,8.0,2.0,2.0,675.0,614.0,148.0,0.0,0.0,10.0,9.0,39.0,5.0,6.0,7.0,0.0,0.0,2.0,2.0,2.0
12,07,1995JJ00,6419.0,3241.0,1792.0,892.0,531.0,213.0,900.0,487.0,51.0,55.0,55.0,71.0,46.0,39.0,48.0,27.0,1857.0,723.0,266.0,536.0,567.0,56.0,28.0,23.0,15.0,7.0,22.0,95.0,98.0,15.0,14.0,2.0
13,07,2001JJ00,6348.0,3460.0,2301.0,1256.0,545.0,347.0,1708.0,455.0,46.0,52.0,49.0,67.0,52.0,49.0,49.0,30.0,5068.0,3744.0,1018.0,880.0,798.0,157.0,203.0,254.0,36.0,36.0,45.0,98.0,100.0,33.0,48.0,12.0
14,08,1995JJ00,3615.0,1750.0,909.0,239.0,422.0,181.0,675.0,361.0,29.0,30.0,28.0,19.0,37.0,33.0,36.0,20.0,3866.0,3880.0,178.0,8.0,2.0,121.0,97.0,196.0,31.0,38.0,15.0,1.0,0.0,32.0,48.0,14.0
15,08,2001JJ00,4160.0,1875.0,1515.0,410.0,325.0,248.0,1184.0,302.0,30.0,28.0,32.0,22.0,31.0,35.0,34.0,20.0,4583.0,4104.0,608.0,24.0,0.0,189.0,206.0,291.0,33.0,39.0,27.0,3.0,0.0,39.0,49.0,13.0
16,09,1995JJ00,2001.0,1131.0,278.0,316.0,166.0,80.0,166.0,374.0,16.0,19.0,9.0,25.0,14.0,15.0,9.0,21.0,2580.0,2365.0,316.0,55.0,42.0,111.0,20.0,93.0,21.0,23.0,26.0,10.0,7.0,30.0,10.0,7.0
17,09,2001JJ00,2461.0,1473.0,612.0,708.0,209.0,111.0,628.0,122.0,18.0,22.0,13.0,38.0,20.0,16.0,18.0,8.0,2533.0,2285.0,536.0,36.0,23.0,84.0,19.0,144.0,18.0,22.0,24.0,4.0,3.0,17.0,5.0,7.0
18,10,1995JJ00,3727.0,1874.0,1109.0,482.0,271.0,133.0,501.0,308.0,30.0,32.0,34.0,38.0,24.0,24.0,27.0,17.0,3091.0,2529.0,447.0,172.0,249.0,86.0,54.0,74.0,25.0,24.0,36.0,31.0,43.0,23.0,27.0,5.0
19,10,2001JJ00,3308.0,2003.0,1332.0,479.0,226.0,116.0,805.0,227.0,24.0,30.0,28.0,26.0,22.0,16.0,23.0,15.0,3085.0,2555.0,689.0,295.0,261.0,137.0,105.0,121.0,22.0,24.0,31.0,33.0,33.0,29.0,25.0,6.0
20,11,1995JJ00,1599.0,685.0,541.0,125.0,131.0,94.0,281.0,149.0,13.0,12.0,17.0,10.0,11.0,17.0,15.0,8.0,1388.0,824.0,212.0,265.0,231.0,38.0,28.0,32.0,11.0,8.0,17.0,47.0,40.0,10.0,14.0,2.0
21,11,2001JJ00,1500.0,721.0,708.0,140.0,123.0,163.0,308.0,80.0,11.0,11.0,15.0,8.0,12.0,23.0,9.0,5.0,1374.0,743.0,276.0,401.0,386.0,43.0,50.0,138.0,10.0,7.0,12.0,44.0,48.0,9.0,12.0,6.0
22,12,1995JJ00,837.0,300.0,338.0,62.0,107.0,55.0,162.0,26.0,7.0,5.0,10.0,5.0,9.0,10.0,9.0,1.0,529.0,386.0,62.0,64.0,54.0,0.0,3.0,50.0,4.0,4.0,5.0,11.0,9.0,0.0,1.0,4.0
23,12,2001JJ00,745.0,345.0,294.0,45.0,57.0,58.0,267.0,25.0,5.0,5.0,6.0,2.0,5.0,8.0,8.0,2.0,526.0,365.0,65.0,130.0,111.0,13.0,29.0,25.0,4.0,3.0,3.0,14.0,14.0,3.0,7.0,1.0
24,13,1995JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13,2001JJ00,229.0,46.0,85.0,33.0,67.0,0.0,59.0,12.0,2.0,1.0,2.0,2.0,6.0,0.0,2.0,1.0,212.0,183.0,48.0,16.0,18.0,7.0,0.0,11.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0
26,14,1995JJ00,805.0,169.0,95.0,29.0,50.0,5.0,105.0,557.0,6.0,3.0,3.0,2.0,4.0,1.0,6.0,31.0,1120.0,343.0,10.0,0.0,0.0,22.0,0.0,975.0,9.0,3.0,1.0,0.0,0.0,6.0,0.0,69.0
27,14,2001JJ00,1314.0,230.0,197.0,47.0,37.0,17.0,245.0,733.0,10.0,3.0,4.0,3.0,4.0,2.0,7.0,49.0,1768.0,303.0,25.0,0.0,0.0,9.0,11.0,1453.0,13.0,3.0,1.0,0.0,0.0,2.0,3.0,67.0
28,15,1995JJ00,5383.0,2724.0,987.0,703.0,374.0,284.0,801.0,882.0,43.0,46.0,30.0,56.0,33.0,52.0,42.0,50.0,5999.0,4998.0,547.0,308.0,271.0,169.0,90.0,621.0,48.0,48.0,45.0,55.0,47.0,45.0,44.0,44.0
