ID,BedrijfstakkenBranches,Seizoencorrectie,Perioden,ProductieBedrAfgelopen3Mnd_1,ProductieBedrKomende3Mnd_2,OmzetAfgelopen3Mnd_3,OmzetKomende3Mnd_4,BuitenlandseOmzetAfgelopen3Mnd_5,BuitenlandseOmzetKomende3Mnd_6,VerkoopprijzenTarievenKomende3Mnd_7,PersoneelssterkteAfgelopen3Mnd_8,PersoneelssterkteKomende3Mnd_9,EconomischKlimaatAfgelopen3Mnd_10,WinstgevendheidAfgelopen3Mnd_11
82,301000,A042501,2022KW01,3.3,8.9,5.4,6.7,5.2,6.9,38.3,0.7,17.4,-12.8,-12.0
83,301000,A042501,2022KW02,12.2,11.8,4.2,15.2,6.8,1.7,36.5,9.5,17.5,-27.2,-24.2
84,301000,A042501,2022KW03,9.0,-10.9,4.3,-15.1,0.3,-11.8,16.6,3.0,-2.5,-34.2,-27.3
85,301000,A042501,2022KW04,-15.0,-11.7,-16.2,-14.0,-9.3,-1.0,36.0,-4.9,-8.2,-43.8,-35.1
86,301000,A042501,2023KW01,-7.1,5.0,-1.9,1.1,-3.5,8.9,34.4,-0.9,4.6,-28.7,-21.2
87,301000,A042500,2016KW01,11.2,17.2,8.3,13.2,7.1,4.6,2.4,5.6,7.0,1.2,-3.8
88,301000,A042500,2016KW02,17.6,15.7,16.6,14.5,7.7,10.1,4.0,4.5,8.0,-4.9,1.6
89,301000,A042500,2016KW03,9.2,10.6,-1.0,3.5,8.8,3.6,4.5,3.5,5.5,-4.9,6.7
90,301000,A042500,2016KW04,13.0,6.6,11.6,8.4,10.0,9.5,3.0,5.9,6.7,12.2,6.1
91,301000,A042500,2017KW01,10.6,18.9,6.0,11.7,4.2,10.0,3.1,6.3,16.2,-1.2,3.5
92,301000,A042500,2017KW02,18.7,12.2,23.0,7.2,15.0,12.8,0.6,17.8,12.2,15.9,11.5
93,301000,A042500,2017KW03,13.9,10.4,15.2,12.6,13.0,9.9,5.0,14.3,9.1,7.2,7.9
94,301000,A042500,2017KW04,13.0,19.7,15.2,14.7,15.8,12.8,5.8,13.5,17.2,10.5,9.1
95,301000,A042500,2018KW01,16.0,16.2,13.5,15.4,13.2,13.7,14.9,10.6,22.4,17.2,2.2
96,301000,A042500,2018KW02,19.5,18.3,19.3,13.6,10.8,15.5,6.5,27.5,21.1,3.8,6.7
