ID,Sources,Periods,CO_1,VOCByCombustion_2,VOCByEvaporation_3,VOCTotal_4,NOx_5,PM10_6,SO2_7,CO2_8,CH4_9,N2O_10,NMVOC_11,CO_12,VOCByCombustion_13,NOx_14,PM10_15,SO2_16,CO2_17,CH4_18,N2O_19,NMVOC_20
147,Wgovg,1992JJ00,52.9,25.87,0.44,26.31,13.4,1.76,0.95,1160,1.248,0.013,25.06,145.6,71.3,37.0,4.9,2.61,3195,3.44,0.04,69.0
148,Wgovg,1993JJ00,56.7,25.73,0.46,26.19,13.1,1.67,0.94,1170,1.245,0.013,24.94,154.2,70.0,35.7,4.6,2.55,3183,3.39,0.04,67.9
149,Wgovg,1994JJ00,59.5,26.11,0.49,26.6,13.0,1.61,0.91,1190,1.267,0.013,25.33,159.6,70.1,34.8,4.3,2.45,3194,3.4,0.04,68.0
150,Wgovg,1995JJ00,60.9,25.8,0.51,26.31,12.8,1.54,0.83,1190,1.254,0.014,25.06,162.3,68.8,34.2,4.1,2.22,3173,3.34,0.04,66.8
151,Wgovg,1996JJ00,64.7,25.77,0.54,26.31,12.6,1.46,0.62,1220,1.256,0.014,25.05,169.0,67.3,32.9,3.8,1.63,3185,3.28,0.04,65.4
152,Wgovg,1997JJ00,66.6,26.01,0.55,26.57,12.1,1.4,0.27,1220,1.271,0.014,25.29,174.6,68.2,31.8,3.7,0.7,3200,3.33,0.04,66.3
153,Wgovg,1998JJ00,67.8,25.77,0.57,26.34,11.8,1.33,0.27,1220,1.262,0.014,25.08,176.8,67.2,30.7,3.5,0.7,3183,3.29,0.04,65.4
154,Wgovg,1999JJ00,67.3,24.32,0.58,24.89,11.9,1.36,0.27,1240,1.189,0.015,23.7,173.9,62.8,30.7,3.5,0.69,3205,3.07,0.04,61.3
155,Wgovg,2000JJ00,66.2,21.84,0.61,22.45,11.8,1.17,0.16,1220,1.075,0.015,21.37,173.0,57.1,31.0,3.1,0.42,3191,2.81,0.04,55.9
156,Wgovg,2001JJ00,65.1,20.0,0.62,20.62,11.4,1.07,0.03,1230,0.986,0.015,19.64,169.8,52.2,29.6,2.8,0.09,3207,2.57,0.04,51.2
157,Wgovg,2002JJ00,66.2,19.14,0.62,19.76,11.3,1.05,0.03,1250,0.944,0.015,18.82,170.0,49.2,29.0,2.7,0.09,3211,2.42,0.04,48.3
158,Wgovg,2003JJ00,65.3,17.94,0.64,18.58,10.7,0.99,0.02,1230,0.891,0.015,17.69,170.2,46.7,27.9,2.6,0.06,3204,2.32,0.04,46.1
159,Wgovg,2004JJ00,63.1,15.9,0.64,16.54,10.1,0.91,0.02,1210,0.798,0.015,15.74,167.8,42.3,26.9,2.4,0.06,3216,2.12,0.04,41.8
160,Wgovg,2005JJ00,62.4,15.4,0.65,16.05,9.9,0.88,0.01,1220,0.78,0.015,15.27,163.8,40.5,25.9,2.3,0.02,3204,2.05,0.04,40.1
161,Wgovg,2006JJ00,61.8,14.95,0.66,15.61,9.4,0.82,0.01,1230,0.76,0.015,14.86,160.2,38.8,24.4,2.1,0.03,3189,1.97,0.04,38.5
162,Wgovg,2007JJ00,64.2,16.28,0.71,16.99,9.2,0.83,0.01,1290,0.827,0.018,16.16,158.0,40.1,22.7,2.0,0.03,3174,2.03,0.04,39.8
163,Wgovg,2008JJ00,65.0,16.06,0.75,16.81,8.8,0.81,0.01,1320,0.819,0.021,15.99,156.0,38.6,21.1,1.9,0.03,3169,1.97,0.05,38.4
164,Wgovg,2009JJ00,65.1,15.54,0.78,16.32,8.3,0.75,0.01,1350,0.796,0.025,15.52,151.7,36.2,19.4,1.8,0.03,3143,1.85,0.06,36.1
165,Wgovg,2010JJ00,65.5,15.25,0.79,16.05,7.7,0.72,0.01,1360,0.783,0.027,15.26,151.7,35.3,17.9,1.7,0.03,3150,1.81,0.06,35.4
166,Wgovg,2011JJ00,65.0,14.5,0.81,15.31,7.5,0.69,0.01,1370,0.745,0.03,14.56,148.6,33.2,17.2,1.6,0.03,3135,1.7,0.07,33.3
167,Wgovg,2012JJ00,63.9,14.24,0.81,15.05,6.9,0.65,0.01,1340,0.731,0.031,14.32,150.1,33.4,16.2,1.5,0.03,3146,1.72,0.07,33.6
168,Wgovg,2013JJ00,62.3,13.9,0.81,14.71,6.3,0.59,0.01,1310,0.717,0.032,13.99,148.5,33.1,15.0,1.4,0.03,3123,1.71,0.08,33.4
169,Wgovg,2014JJ00,60.6,13.27,0.81,14.08,5.6,0.56,0.01,1270,0.686,0.033,13.39,148.5,32.5,13.8,1.4,0.03,3111,1.68,0.08,32.8
170,Wgovg,2015JJ00,59.1,12.77,0.8,13.57,5.2,0.56,0.01,1260,0.662,0.034,12.91,145.9,31.6,12.7,1.4,0.03,3113,1.64,0.08,31.9
171,Wgovg,2016JJ00,57.7,12.26,0.8,13.06,4.9,0.59,0.01,1280,0.636,0.036,12.42,141.0,29.9,12.0,1.4,0.03,3127,1.55,0.09,30.3
172,Wgovg,2017JJ00,55.6,12.44,0.78,13.22,4.6,0.6,0.01,1280,0.644,0.037,12.58,136.3,30.5,11.2,1.5,0.03,3136,1.58,0.09,30.8
173,Wgovg,2018JJ00,65.1,9.58,0.81,10.39,4.3,0.51,0.01,1380,0.505,0.039,9.89,157.1,23.1,10.3,1.2,0.03,3332,1.22,0.09,23.9
174,Bvtot,1990JJ00,22.1,5.36,2.93,8.3,30.7,1.36,1.94,1850,0.093,0.043,8.2,37.9,9.2,52.6,2.3,3.33,3175,0.16,0.07,9.0
175,Bvtot,1991JJ00,20.8,5.04,3.02,8.06,29.7,1.36,1.94,1850,0.091,0.043,7.96,35.7,8.6,50.9,2.3,3.33,3175,0.16,0.07,8.5
176,Bvtot,1992JJ00,20.7,5.01,3.06,8.08,29.0,1.38,1.96,1870,0.09,0.043,7.99,35.2,8.5,49.2,2.3,3.33,3175,0.15,0.07,8.4
177,Bvtot,1993JJ00,22.7,5.51,4.7,10.21,28.5,1.41,2.0,1910,0.09,0.044,10.12,38.0,9.2,47.7,2.4,3.34,3190,0.15,0.07,9.1
178,Bvtot,1994JJ00,20.8,5.04,5.22,10.26,27.5,1.41,1.99,1900,0.087,0.044,10.18,34.7,8.4,45.9,2.4,3.33,3175,0.15,0.07,8.3
179,Bvtot,1995JJ00,22.9,5.53,4.09,9.62,27.3,1.37,1.97,1890,0.085,0.043,9.54,38.5,9.3,45.9,2.3,3.32,3175,0.14,0.07,9.2
180,Bvtot,1996JJ00,24.3,5.69,3.24,8.92,27.5,1.35,1.98,1910,0.085,0.043,8.84,40.6,9.5,45.8,2.2,3.31,3175,0.14,0.07,9.3
181,Bvtot,1997JJ00,24.8,5.62,3.24,8.86,32.0,1.54,2.32,2210,0.095,0.051,8.77,35.5,8.1,45.9,2.2,3.32,3175,0.14,0.07,7.9
182,Bvtot,1998JJ00,24.4,5.44,2.8,8.25,28.4,1.34,2.05,1970,0.084,0.045,8.16,39.4,8.8,45.8,2.2,3.31,3175,0.13,0.07,8.6
183,Bvtot,1999JJ00,25.4,5.53,2.53,8.06,29.3,1.36,2.12,2030,0.084,0.046,7.98,39.6,8.6,45.7,2.1,3.31,3175,0.13,0.07,8.5
184,Bvtot,2000JJ00,26.2,5.57,2.23,7.8,30.0,1.36,2.17,2090,0.085,0.048,7.71,39.9,8.5,45.7,2.1,3.3,3176,0.13,0.07,8.3
185,Bvtot,2001JJ00,27.2,5.61,2.7,8.31,31.2,1.39,2.26,2170,0.086,0.05,8.23,39.8,8.2,45.6,2.0,3.3,3176,0.13,0.07,8.1
186,Bvtot,2002JJ00,27.7,5.49,2.04,7.53,30.3,1.33,2.19,2110,0.083,0.048,7.45,41.7,8.3,45.6,2.0,3.29,3176,0.12,0.07,8.1
187,Bvtot,2003JJ00,28.5,5.44,2.1,7.53,31.1,1.34,2.25,2170,0.083,0.05,7.45,41.8,8.0,45.5,2.0,3.29,3176,0.12,0.07,7.8
188,Bvtot,2004JJ00,28.7,5.19,1.95,7.15,29.1,1.24,2.1,2030,0.077,0.046,7.07,44.8,8.1,45.4,1.9,3.28,3176,0.12,0.07,8.0
189,Bvtot,2005JJ00,28.3,4.81,1.79,6.61,28.1,1.18,2.03,1970,0.073,0.044,6.53,45.7,7.8,45.4,1.9,3.27,3176,0.12,0.07,7.7
190,Bvtot,2006JJ00,27.9,4.58,2.32,6.9,27.6,1.14,1.99,1930,0.07,0.044,6.83,45.8,7.5,45.5,1.9,3.27,3176,0.12,0.07,7.4
191,Bvtot,2007JJ00,27.6,4.39,2.18,6.57,28.0,1.14,2.01,1960,0.07,0.044,6.5,44.8,7.1,45.5,1.9,3.25,3176,0.11,0.07,7.0
192,Bvtot,2008JJ00,27.3,4.17,1.96,6.12,27.8,1.06,1.17,1940,0.068,0.044,6.06,44.7,6.8,45.5,1.7,1.92,3176,0.11,0.07,6.7
193,Bvtot,2009JJ00,26.9,4.01,1.97,5.98,23.1,0.95,0.96,1660,0.069,0.071,5.91,51.4,7.7,44.2,1.8,1.84,3177,0.13,0.14,7.5
194,Bvtot,2010JJ00,27.1,3.89,2.1,5.99,24.6,0.96,0.52,1780,0.072,0.077,5.92,48.5,7.0,44.0,1.7,0.93,3177,0.13,0.14,6.8
195,Bvtot,2011JJ00,27.3,3.76,1.98,5.74,26.1,0.96,0.01,1890,0.075,0.083,5.66,45.9,6.3,43.8,1.6,0.02,3176,0.13,0.14,6.2
196,Bvtot,2012JJ00,27.3,3.6,2.1,5.7,28.0,1.01,0.01,2040,0.077,0.09,5.62,42.5,5.6,43.5,1.6,0.02,3176,0.12,0.14,5.5
197,Bvtot,2013JJ00,26.9,3.31,2.1,5.41,27.3,0.97,0.01,2000,0.074,0.088,5.34,42.7,5.2,43.3,1.5,0.02,3176,0.12,0.14,5.1
198,Bvtot,2014JJ00,26.8,3.07,1.36,4.43,27.6,0.96,0.01,2040,0.073,0.09,4.36,41.7,4.8,43.0,1.5,0.02,3176,0.11,0.14,4.7
199,Bvtot,2015JJ00,26.6,2.82,1.42,4.24,27.9,0.96,0.01,2070,0.072,0.092,4.17,40.8,4.3,42.8,1.5,0.02,3176,0.11,0.14,4.2
200,Bvtot,2016JJ00,26.4,2.77,1.57,4.33,27.4,0.92,0.01,2050,0.07,0.091,4.26,41.0,4.3,42.5,1.4,0.02,3176,0.11,0.14,4.2
201,Bvtot,2017JJ00,26.5,2.76,1.57,4.33,27.9,0.93,0.01,2090,0.07,0.093,4.26,40.1,4.2,42.3,1.4,0.02,3176,0.11,0.14,4.1
202,Bvtot,2018JJ00,26.5,2.76,1.57,4.33,27.9,0.93,0.01,2090,0.07,0.093,4.26,40.1,4.2,42.3,1.4,0.02,3176,0.11,0.14,4.1
203,Bvpav,1990JJ00,0.3,0.19,0.0,0.19,1.6,0.13,0.11,100,0.008,0.001,0.18,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
204,Bvpav,1991JJ00,0.3,0.19,0.0,0.19,1.6,0.12,0.11,100,0.007,0.001,0.18,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
205,Bvpav,1992JJ00,0.3,0.2,0.0,0.2,1.7,0.14,0.12,110,0.008,0.001,0.2,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
206,Bvpav,1993JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
207,Bvpav,1994JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
208,Bvpav,1995JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
209,Bvpav,1996JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
210,Bvpav,1997JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
211,Bvpav,1998JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
212,Bvpav,1999JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
213,Bvpav,2000JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
214,Bvpav,2001JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
215,Bvpav,2002JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
216,Bvpav,2003JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
217,Bvpav,2004JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
218,Bvpav,2005JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
219,Bvpav,2006JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
220,Bvpav,2007JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.12,110,0.009,0.001,0.21,10.0,6.0,50.0,4.0,3.4,3173,0.24,0.03,5.8
221,Bvpav,2008JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.07,110,0.009,0.001,0.21,10.0,6.0,50.0,3.9,2.0,3173,0.24,0.03,5.8
222,Bvpav,2009JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.07,110,0.009,0.001,0.21,10.0,6.0,50.0,3.9,2.0,3173,0.24,0.03,5.8
223,Bvpav,2010JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.04,110,0.009,0.001,0.21,10.0,6.0,50.0,3.8,1.0,3173,0.24,0.03,5.8
224,Bvpav,2011JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.0,110,0.009,0.001,0.21,10.0,6.0,50.0,3.8,0.02,3173,0.24,0.03,5.8
225,Bvpav,2012JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.0,110,0.009,0.001,0.21,10.0,6.0,50.0,3.8,0.02,3173,0.24,0.03,5.8
226,Bvpav,2013JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.0,110,0.009,0.001,0.21,10.0,6.0,50.0,3.8,0.02,3173,0.24,0.03,5.8
227,Bvpav,2014JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.0,110,0.009,0.001,0.21,10.0,6.0,50.0,3.9,0.02,3173,0.24,0.03,5.8
228,Bvpav,2015JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.0,110,0.009,0.001,0.21,10.0,6.0,50.0,3.9,0.02,3173,0.24,0.03,5.8
229,Bvpav,2016JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.0,110,0.009,0.001,0.21,10.0,6.0,50.0,3.8,0.02,3173,0.24,0.03,5.8
230,Bvpav,2017JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.0,110,0.009,0.001,0.21,10.0,6.0,50.0,3.9,0.02,3173,0.24,0.03,5.8
231,Bvpav,2018JJ00,0.4,0.22,0.0,0.22,1.8,0.14,0.0,110,0.009,0.001,0.21,10.0,6.0,50.0,3.9,0.02,3173,0.24,0.03,5.8
232,Bvvav,1990JJ00,7.7,1.89,2.86,4.76,27.2,1.19,1.72,1610,0.076,0.041,4.68,15.2,3.7,53.7,2.3,3.4,3173,0.15,0.08,3.6
233,Bvvav,1991JJ00,7.6,1.85,2.95,4.8,26.4,1.19,1.73,1620,0.074,0.041,4.73,14.9,3.6,51.8,2.3,3.4,3173,0.15,0.08,3.5
234,Bvvav,1992JJ00,7.5,1.81,3.0,4.81,25.6,1.2,1.75,1630,0.072,0.041,4.73,14.6,3.5,49.8,2.3,3.4,3173,0.14,0.08,3.4
235,Bvvav,1993JJ00,7.4,1.77,4.63,6.4,24.7,1.21,1.76,1640,0.071,0.041,6.33,14.3,3.4,48.2,2.4,3.42,3190,0.14,0.08,3.3
236,Bvvav,1994JJ00,7.3,1.73,5.15,6.88,23.9,1.22,1.77,1650,0.069,0.042,6.82,14.0,3.3,46.0,2.4,3.4,3173,0.13,0.08,3.2
237,Bvvav,1995JJ00,6.9,1.65,4.01,5.66,23.4,1.17,1.73,1610,0.066,0.041,5.59,13.7,3.2,46.0,2.3,3.4,3173,0.13,0.08,3.1
238,Bvvav,1996JJ00,6.8,1.6,3.14,4.75,23.4,1.15,1.73,1610,0.064,0.041,4.68,13.3,3.2,46.0,2.3,3.4,3173,0.13,0.08,3.0
239,Bvvav,1997JJ00,7.9,1.86,3.15,5.02,27.9,1.34,2.07,1930,0.075,0.049,4.94,13.0,3.1,46.0,2.2,3.4,3173,0.12,0.08,2.9
240,Bvvav,1998JJ00,6.7,1.58,2.72,4.3,24.4,1.14,1.8,1680,0.063,0.042,4.24,12.7,3.0,46.0,2.2,3.4,3173,0.12,0.08,2.9
241,Bvvav,1999JJ00,6.8,1.6,2.44,4.04,25.3,1.16,1.87,1750,0.064,0.044,3.98,12.4,2.9,46.0,2.1,3.4,3173,0.12,0.08,2.8
242,Bvvav,2000JJ00,6.9,1.61,2.14,3.74,26.0,1.17,1.93,1800,0.064,0.045,3.68,12.1,2.8,46.0,2.1,3.4,3173,0.11,0.08,2.7
243,Bvvav,2001JJ00,7.0,1.64,2.61,4.25,27.2,1.19,2.01,1880,0.066,0.047,4.18,11.9,2.8,45.9,2.0,3.4,3173,0.11,0.08,2.7
244,Bvvav,2002JJ00,6.6,1.54,1.94,3.49,26.3,1.13,1.94,1810,0.062,0.046,3.43,11.6,2.7,45.9,2.0,3.4,3173,0.11,0.08,2.6
245,Bvvav,2003JJ00,6.7,1.55,2.01,3.55,27.1,1.14,2.0,1870,0.062,0.047,3.49,11.3,2.6,45.9,1.9,3.4,3173,0.1,0.08,2.5
246,Bvvav,2004JJ00,6.0,1.39,1.86,3.25,25.1,1.04,1.86,1730,0.056,0.044,3.2,11.1,2.5,45.9,1.9,3.4,3173,0.1,0.08,2.4
247,Bvvav,2005JJ00,5.7,1.3,1.61,2.9,24.1,0.98,1.79,1670,0.052,0.042,2.85,10.8,2.5,45.9,1.9,3.4,3173,0.1,0.08,2.4
248,Bvvav,2006JJ00,5.4,1.23,2.04,3.27,23.6,0.94,1.75,1630,0.049,0.041,3.22,10.6,2.4,45.9,1.8,3.4,3173,0.1,0.08,2.3
249,Bvvav,2007JJ00,5.4,1.22,1.9,3.11,24.0,0.95,1.78,1660,0.049,0.042,3.07,10.3,2.3,45.9,1.8,3.4,3173,0.09,0.08,2.2
250,Bvvav,2008JJ00,5.2,1.17,1.86,3.04,23.8,0.87,1.03,1640,0.047,0.041,2.99,10.1,2.3,45.9,1.7,2.0,3173,0.09,0.08,2.2
251,Bvvav,2009JJ00,5.0,1.2,1.79,2.98,19.0,0.76,0.86,1360,0.048,0.069,2.94,11.6,2.8,44.4,1.8,2.0,3173,0.11,0.16,2.7
252,Bvvav,2010JJ00,5.4,1.27,1.91,3.19,20.5,0.77,0.47,1480,0.051,0.075,3.13,11.6,2.7,44.1,1.7,1.0,3173,0.11,0.16,2.6
253,Bvvav,2011JJ00,5.8,1.34,1.79,3.13,22.0,0.77,0.01,1590,0.054,0.08,3.08,11.6,2.7,43.8,1.5,0.02,3173,0.11,0.16,2.6
254,Bvvav,2012JJ00,5.9,1.39,1.91,3.3,23.9,0.82,0.01,1740,0.056,0.088,3.24,10.8,2.5,43.5,1.5,0.02,3173,0.1,0.16,2.4
255,Bvvav,2013JJ00,5.7,1.32,1.91,3.23,23.2,0.78,0.01,1700,0.053,0.086,3.17,10.6,2.5,43.2,1.5,0.02,3173,0.1,0.16,2.4
256,Bvvav,2014JJ00,5.7,1.3,1.18,2.47,23.5,0.77,0.01,1740,0.052,0.088,2.42,10.4,2.4,42.9,1.4,0.02,3173,0.09,0.16,2.3
257,Bvvav,2015JJ00,5.7,1.28,1.23,2.51,23.7,0.77,0.01,1770,0.051,0.089,2.46,10.2,2.3,42.5,1.4,0.02,3173,0.09,0.16,2.2
258,Bvvav,2016JJ00,5.5,1.23,1.38,2.61,23.3,0.74,0.01,1750,0.049,0.088,2.56,10.0,2.2,42.2,1.3,0.02,3173,0.09,0.16,2.1
259,Bvvav,2017JJ00,5.5,1.22,1.38,2.6,23.7,0.74,0.01,1800,0.049,0.091,2.55,9.8,2.2,41.9,1.3,0.02,3173,0.09,0.16,2.1
260,Bvvav,2018JJ00,5.5,1.22,1.38,2.6,23.7,0.74,0.01,1800,0.049,0.091,2.55,9.8,2.2,41.9,1.3,0.02,3173,0.09,0.16,2.1
261,Bvrec,1990JJ00,14.1,3.28,0.07,3.35,1.9,0.05,0.11,150,0.01,0.001,3.34,306.4,71.2,41.7,1.0,2.49,3203,0.22,0.03,71.0
262,Bvrec,1991JJ00,12.9,3.0,0.07,3.07,1.8,0.04,0.1,140,0.009,0.001,3.06,305.8,71.0,41.7,1.0,2.48,3203,0.22,0.03,70.8
263,Bvrec,1992JJ00,12.9,3.0,0.07,3.07,1.8,0.04,0.1,140,0.009,0.001,3.06,305.8,71.0,41.7,1.0,2.46,3203,0.22,0.03,70.8
264,Bvrec,1993JJ00,15.0,3.52,0.08,3.6,2.0,0.05,0.12,150,0.01,0.001,3.59,310.9,73.0,41.4,1.0,2.43,3203,0.22,0.03,72.8
265,Bvrec,1994JJ00,13.2,3.09,0.07,3.16,1.8,0.04,0.1,140,0.009,0.001,3.16,310.9,73.0,41.4,1.0,2.41,3203,0.22,0.03,72.8
266,Bvrec,1995JJ00,15.6,3.67,0.08,3.75,2.1,0.05,0.12,160,0.011,0.001,3.74,310.9,73.0,41.4,1.0,2.39,3203,0.22,0.03,72.8
267,Bvrec,1996JJ00,17.2,3.87,0.09,3.96,2.3,0.06,0.13,180,0.012,0.001,3.95,310.4,69.8,41.5,1.0,2.38,3203,0.22,0.03,69.6
268,Bvrec,1997JJ00,16.5,3.54,0.09,3.63,2.2,0.05,0.13,170,0.011,0.001,3.62,309.9,66.5,41.6,1.0,2.38,3203,0.22,0.03,66.3
269,Bvrec,1998JJ00,17.3,3.64,0.09,3.73,2.2,0.05,0.13,170,0.012,0.001,3.72,321.9,67.6,41.0,1.0,2.33,3205,0.22,0.03,67.4
270,Bvrec,1999JJ00,18.2,3.71,0.09,3.8,2.2,0.05,0.12,170,0.012,0.001,3.79,333.4,68.1,40.4,1.0,2.29,3206,0.22,0.03,67.8
271,Bvrec,2000JJ00,19.0,3.75,0.09,3.84,2.2,0.05,0.12,180,0.012,0.001,3.83,344.6,67.9,39.9,1.0,2.25,3207,0.22,0.03,67.7
272,Bvrec,2001JJ00,19.8,3.76,0.09,3.85,2.2,0.05,0.12,180,0.012,0.001,3.83,355.4,67.2,39.3,1.0,2.19,3208,0.22,0.03,67.0
273,Bvrec,2002JJ00,20.7,3.73,0.09,3.82,2.2,0.05,0.12,180,0.012,0.001,3.81,365.9,66.0,38.9,1.0,2.16,3209,0.22,0.03,65.8
274,Bvrec,2003JJ00,21.5,3.67,0.09,3.77,2.2,0.05,0.12,180,0.012,0.001,3.75,376.1,64.3,38.4,0.9,2.09,3211,0.22,0.03,64.0
275,Bvrec,2004JJ00,22.3,3.58,0.09,3.68,2.2,0.05,0.12,190,0.012,0.001,3.67,385.9,62.0,37.9,0.9,2.06,3212,0.22,0.03,61.8
276,Bvrec,2005JJ00,22.3,3.3,0.19,3.49,2.2,0.05,0.12,190,0.012,0.001,3.48,385.2,57.1,38.1,0.9,2.05,3212,0.22,0.03,56.9
277,Bvrec,2006JJ00,22.1,3.13,0.28,3.41,2.2,0.05,0.12,190,0.012,0.001,3.4,381.7,54.2,38.3,0.9,2.06,3211,0.22,0.03,54.0
278,Bvrec,2007JJ00,21.9,2.96,0.28,3.24,2.2,0.05,0.11,190,0.012,0.001,3.23,378.4,51.2,38.6,0.9,1.84,3211,0.22,0.03,51.0
279,Bvrec,2008JJ00,21.7,2.78,0.09,2.87,2.2,0.05,0.07,190,0.012,0.001,2.86,375.2,48.1,38.8,0.9,1.15,3211,0.22,0.03,47.8
280,Bvrec,2009JJ00,21.5,2.59,0.19,2.78,2.3,0.05,0.03,190,0.012,0.001,2.77,372.1,44.8,39.1,0.9,0.58,3211,0.22,0.03,44.6
281,Bvrec,2010JJ00,21.3,2.4,0.19,2.59,2.3,0.05,0.02,190,0.012,0.001,2.58,369.2,41.5,39.3,0.9,0.3,3210,0.22,0.03,41.3
282,Bvrec,2011JJ00,21.2,2.2,0.19,2.39,2.3,0.05,0.0,190,0.012,0.001,2.38,366.3,38.1,39.5,0.9,0.02,3210,0.22,0.03,37.9
283,Bvrec,2012JJ00,21.0,1.99,0.19,2.18,2.3,0.05,0.0,190,0.012,0.001,2.17,363.5,34.5,39.8,0.9,0.02,3210,0.22,0.03,34.3
284,Bvrec,2013JJ00,20.9,1.78,0.19,1.97,2.3,0.05,0.0,190,0.012,0.001,1.95,360.8,30.8,40.0,0.9,0.02,3210,0.22,0.03,30.6
285,Bvrec,2014JJ00,20.7,1.56,0.19,1.74,2.3,0.05,0.0,190,0.012,0.001,1.73,358.1,26.9,40.2,0.9,0.02,3210,0.22,0.03,26.7
286,Bvrec,2015JJ00,20.6,1.32,0.19,1.51,2.3,0.05,0.0,190,0.012,0.001,1.5,355.5,22.9,40.5,0.9,0.02,3209,0.22,0.03,22.7
287,Bvrec,2016JJ00,20.6,1.32,0.19,1.51,2.3,0.05,0.0,190,0.012,0.001,1.5,355.5,22.9,40.5,0.9,0.02,3209,0.22,0.03,22.7
288,Bvrec,2017JJ00,20.6,1.32,0.19,1.51,2.3,0.05,0.0,190,0.012,0.001,1.5,355.5,22.9,40.5,0.9,0.02,3209,0.22,0.03,22.7
289,Bvrec,2018JJ00,20.6,1.32,0.19,1.51,2.3,0.05,0.0,190,0.012,0.001,1.5,355.5,22.9,40.5,0.9,0.02,3209,0.22,0.03,22.7
290,Bvvis,1990JJ00,0.4,0.43,0.0,0.43,6.1,0.34,1.43,350,0.017,0.009,0.41,3.9,3.8,54.6,3.1,12.88,3174,0.15,0.08,3.7
291,Bvvis,1991JJ00,0.4,0.41,0.0,0.41,6.0,0.33,1.46,340,0.016,0.009,0.39,3.9,3.8,55.0,3.1,13.5,3174,0.15,0.08,3.6
292,Bvvis,1992JJ00,0.4,0.38,0.0,0.38,5.8,0.32,1.48,330,0.015,0.008,0.37,3.8,3.7,55.4,3.1,14.18,3174,0.15,0.08,3.5
293,Bvvis,1993JJ00,0.4,0.38,0.0,0.38,5.8,0.33,1.51,330,0.015,0.008,0.36,3.8,3.6,55.6,3.1,14.43,3174,0.14,0.08,3.5
294,Bvvis,1994JJ00,0.4,0.39,0.0,0.39,6.0,0.33,1.47,340,0.016,0.009,0.37,3.7,3.6,55.0,3.0,13.53,3174,0.14,0.08,3.4
295,Bvvis,1995JJ00,0.5,0.43,0.0,0.43,6.8,0.37,1.7,390,0.017,0.01,0.42,3.7,3.5,55.2,3.0,13.81,3174,0.14,0.08,3.4
