ID,Kredietverstrekkers,Perioden,VerstrekteLeningen_1,UitstaandeContracten_2,VerstrektKrediet_3,Rente_4,Aflossingen_5,UitstaandSaldo_6,UitstaandSaldoExclusiefRente_7,UitstaandeContracten_8,ToegezegdeLimieten_9,NieuweToegezegdeLimieten_10,VerstrektKrediet_11,Rente_12,Aflossingen_13,UitstaandSaldo_14,ToegezegdeLimieten_15,NieuweToegezegdeLimieten_16,UitstaandeContracten_17,ToegezegdeLimieten_18,NieuweToegezegdeLimieten_19,VerstrektKrediet_20,Rente_21,Aflossingen_22,UitstaandSaldo_23,ToegezegdeLimieten_24,NieuweToegezegdeLimieten_25
68,10,2003MM09,14.0,504.0,94.0,19.0,125.0,2548.0,2114.0,,7541.0,127.0,582.0,92.0,567.0,12255.0,23015.0,379.0,,90.0,1.0,28.0,9.0,43.0,1417.0,1590.0,28.0
69,10,2003MM10,16.0,489.0,103.0,20.0,132.0,2538.0,2111.0,,7398.0,116.0,603.0,92.0,608.0,12342.0,23074.0,425.0,,90.0,1.0,27.0,9.0,40.0,1413.0,1583.0,27.0
70,10,2003MM11,14.0,474.0,94.0,17.0,126.0,2524.0,2105.0,,7251.0,118.0,543.0,92.0,577.0,12401.0,23052.0,380.0,,90.0,1.0,23.0,9.0,44.0,1402.0,1577.0,21.0
71,10,2003MM12,12.0,463.0,76.0,15.0,108.0,2507.0,2092.0,,7059.0,110.0,539.0,94.0,605.0,12428.0,23008.0,364.0,,89.0,1.0,21.0,9.0,37.0,1395.0,1567.0,22.0
72,10,2004MM01,16.0,457.0,88.0,17.0,121.0,2491.0,2081.0,,7344.0,115.0,506.0,91.0,557.0,12468.0,23369.0,375.0,,89.0,1.0,20.0,9.0,27.0,1397.0,1563.0,20.0
73,10,2004MM02,14.0,451.0,78.0,17.0,110.0,2475.0,2067.0,,7376.0,117.0,521.0,92.0,547.0,12534.0,23394.0,382.0,,89.0,1.0,20.0,9.0,28.0,1397.0,1557.0,24.0
74,10,2004MM03,17.0,448.0,91.0,18.0,116.0,2468.0,2052.0,,7444.0,143.0,570.0,92.0,569.0,12626.0,23551.0,459.0,,89.0,1.0,25.0,9.0,30.0,1400.0,1553.0,35.0
75,10,2004MM04,16.0,446.0,88.0,17.0,120.0,2453.0,2040.0,,7438.0,148.0,546.0,92.0,554.0,12711.0,23652.0,425.0,,89.0,1.0,21.0,8.0,32.0,1398.0,1548.0,25.0
76,10,2004MM05,13.0,441.0,73.0,14.0,110.0,2431.0,2014.0,,7411.0,134.0,492.0,94.0,558.0,12740.0,23702.0,419.0,,88.0,1.0,21.0,9.0,30.0,1398.0,1543.0,24.0
77,10,2004MM06,16.0,439.0,91.0,15.0,117.0,2420.0,2005.0,,7312.0,118.0,474.0,93.0,575.0,12732.0,23703.0,379.0,,88.0,1.0,18.0,8.0,29.0,1395.0,1533.0,15.0
