ID,Perioden,TotaalBinnenlandseLiquiditeiten_1,TotaalGeldhoeveelheid_2,TotaalChartaalGeld_3,Bankbiljetten_4,MuntenEnMuntbiljetten_5,GiraalGeld_6,SecundaireLiquiditeiten_7,LagereOverheid_8,Fondsen_9,GezinnenEnBedrijven_10,WisseldiscontoNederlandscheBank_11,VoorschotrenteDNBUltimoJaarstand_12,PromesseDiscontoDNBUltimoJaarstand_13,k_1Maandsgemiddelde_14,k_3Maandsgemiddelde_15,k_6Maandsgemiddelde_16,k_12Maandsgemiddelde_17,GewoneSpaarrekeningen_18,GewoneRekeningCourant_19,k_3Maanden_20,k_2Jaar_21,k_4Jaar_22,k_5Jaar_23,CreditrenteGirorekening_24,DaggeldleningenOngedektGemiddelde_25,RendementEeuwigdurendeStaatsleningen_26,DebetvoorschotrenteEffectenUltimoDec_27,Rente3MaandEuroDepositoS_28,HeffingsEnInvorderingsrenteBelasting_29,k_3MaandSchatkistpapierUltimoJaarstand_30,KasgeldleningADLagereOverheid_31,Kapitaalmarktrente_32,TotaalGoudEnDeviezen_33,TotaalGoudEnNettoDeviezenbezit_34,Goud_35,NettoDeviezenbezit_36,NettoBuitenlandsActiefVanDeBanken_37,Aandelen_38,Obligaties_39,InternationaleConcerns_40,LokaleOndernemingen_41,Algemeen_42,AlgemeenExclusiefKoninklijkeOlie_43,InternationaleConcerns_44,LokaleFondsen_45,FinancieleInstellingen_46,NietFinancieleInstellingen_47,ConsumentengoederenIndustrie_48,KapitaalgoederenIndustrie_49,Basisindustrie_50,BouwnijverheidEnInstallatiebedrijven_51,TransportOpslagEnCommunicatie_52,NietFinancieleDienstverlening_53,Handel_54,BankenEnOverigeFinancieleDienstverl_55,Verzekeringsinstellingen_56,Algemeen_57,AlgemeenExclKoninklijkeOlie_58,InternationaleConcerns_59,LokaleFondsen_60,FinancieleInstellingen_61,NietFinancieleInstellingen_62,ConsumentengoederenIndustrie_63,KapitaalgoederenIndustrie_64,Basisindustrie_65,BouwnijverheidEnInstallatiebedrijven_66,TransportOpslagEnCommunicatie_67,NietFinancieleDienstverlening_68,Handel_69,BankenEnOverigeFinancieleDienstverl_70,Verzekeringsinstellingen_71,TotaleKoerswaardeVanAandelen_72,InternationaleConcerns_73,LokaleOndernemingen_74,Staatsleningen35Jaar_75,Staatsleningen58Jaar_76,Staatsleningen810Jaar_77,ObligatiesAlgemeen_78,StaatsleningenAlgemeen_79,StaatsleningenVasteLooptijd_80,Staatsleningen03Jaar_81,Staatsleningen35Jaar_82,Staatsleningen58Jaar_83,Staatsleningen8Jaar_84,GewoneObligatiesTLVFinInstelling_85,AchtergesteldeObligatiesFinInstel_86,GewoneObligatiesTLVSupernatInst_87,Eeuwigdurende_88,Algemeen_89,k_23Jaar_90,k_34Jaar_91,k_35Jaar_92,k_38Jaar_93,k_45Jaar_94,k_56Jaar_95,k_58Jaar_96,k_67Jaar_97,k_78Jaar_98,k_89Jaar_99,k_910Jaar_100,k_5Langstlopende_101,ObligatiesTLVAlgemeneBanken_102,Kapitaalobligaties_103,PandEnBankbriefleningen_104,OblTLVSupraNationaleInstellingen_105,TotaalOpenbareEmissies_106,Rijk_107,Aandelen_108,Obligaties_109,TotaalVerstrektKrediet_110,TotaalGeldkrediet_111,Geldleningen_112,Betaalzegelkrediet_113,Pandkrediet_114,DoorlopendGeldkrediet_115,OverigGeldkrediet_116,Financieringskrediet_117,Goederenkrediet_118,Uitstaand_119,Stortingen_120,Terugbetalingen_121,Spaarverschil_122,BijgeschrevenRente_123,Besparingen_124,SpaartegoedTotaal_125,GewoneSpaarrekeningen_126,DepositoSMetSpaargeldBehandeling_127,GemiddeldeRentevoet_128,Aantal_129,Bedrag_130,GemiddeldeRentevoet_131,Aantal_132,Bedrag_133,Aantal_134,Bedrag_135
40,1968JJ00,14269.0,9750.0,4013.0,3774.0,240.0,5737.0,4519.0,291.0,822.0,13362.0,5.0,5.5,5.5,,,,,4.02,,,,,,,4.05,6.19,,,,4.55,5.19,6.52,4264.0,4022.0,2775.0,1247.0,241.0,4722.0,1288.0,,,66.4,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21685.0,16201.0,5484.0,,,,,,,,,,,,,,6.19,,,,,,,,,,,,,6.52,,,,,1154.0,330.0,67.0,756.0,653.0,290.0,266.0,18.0,5.0,,,364.0,,725.0,7592.0,6722.0,870.0,463.0,1332,12764,,,6.6,166,4025,6.62,139.0,2517.0,1150.0,19636.0
41,1969JJ00,15719.0,10537.0,4281.0,4023.0,258.0,6256.0,5182.0,264.0,1119.0,14634.0,6.0,7.0,7.0,,,,,4.63,,,,,,,,7.02,,,,5.71,7.76,7.47,4655.0,4124.0,2813.0,1311.0,532.0,4873.0,1344.0,,,61.5,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20581.0,15296.0,5285.0,,,,,,,,,,,,,,7.02,,,,,,,,,,,,,7.47,,,,,1335.0,599.0,84.0,652.0,630.0,317.0,296.0,15.0,6.0,,,314.0,,821.0,8748.0,7776.0,972.0,537.0,1508,14267,,,7.05,168,4906,7.05,137.0,2780.0,1184.0,22537.0
42,1970JJ00,17451.0,11776.0,4516.0,4227.0,288.0,7260.0,5675.0,324.0,1339.0,16008.0,6.0,7.0,7.0,,,,,4.66,,,,,,,6.28,7.06,,,,6.15,7.96,8.01,5565.0,5279.0,2921.0,2358.0,286.0,4769.0,1929.0,,,55.8,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19209.0,13824.0,5385.0,,,,,,,,,,,,,,7.06,,,,,,,,,,,,,8.01,,,,,1516.0,495.0,19.0,1001.0,814.0,471.0,403.0,12.0,5.0,50.0,,344.0,,1022.0,9856.0,8917.0,938.0,654.0,1593,15861,,,8.01,178,5700,7.92,142.0,3144.0,1249.0,26022.0
43,1971JJ00,19016.0,13546.0,4762.0,4430.0,331.0,8785.0,5469.0,251.0,1076.0,17426.0,5.0,5.5,5.5,,,,,4.59,,,,,,,3.41,6.73,,,,4.45,5.26,7.63,6820.0,5645.0,3120.0,2526.0,1175.0,4609.0,2626.0,,,49.8,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17328.0,11762.0,5566.0,,,,,,,,,,,,,,6.73,,,,,,,,,,,,,7.63,,,,,1865.0,540.0,34.0,1291.0,909.0,553.0,438.0,9.0,6.0,100.0,,356.0,,1193.0,11890.0,10075.0,1816.0,744.0,2560,18421,,,8.32,191,5925,8.3,159.0,3505.0,1323.0,29727.0
44,1972JJ00,21284.0,15939.0,5179.0,4848.0,331.0,10760.0,5346.0,422.0,1816.0,19787.0,4.0,4.5,4.5,,,,,4.11,,,,,,,1.93,6.83,,,,2.2,2.96,7.35,8409.0,6970.0,3099.0,3871.0,1438.0,8642.0,3594.0,,,63.1,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22025.0,13927.0,8098.0,,,,,,,,,,,,,,6.83,,,,,,,,,,,,,7.35,,,,,1756.0,746.0,29.0,982.0,1104.0,728.0,551.0,5.0,7.0,166.0,,375.0,,1408.0,13943.0,12074.0,1870.0,859.0,2728,21137,,,7.94,228,6941,7.94,194.0,4651.0,1418.0,33796.0
45,1973JJ00,25953.0,15945.0,5409.0,5082.0,327.0,10536.0,10008.0,439.0,2224.0,23698.0,8.0,9.0,9.0,,,,,4.63,,,,,,,6.44,7.52,,,,4.22,6.89,7.92,9144.0,7651.0,3108.0,4543.0,1493.0,8144.0,2850.0,,,51.0,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17817.0,11023.0,6794.0,,,,,,,,,,,,,,7.52,,,,,,,,,,,,,7.92,,,,,1341.0,526.0,41.0,774.0,1351.0,923.0,690.0,3.0,9.0,222.0,,427.0,,1681.0,15595.0,14781.0,813.0,979.0,1792,22939,,,8.04,260,9867,8.01,224.0,6496.0,1516.0,39904.0
46,1974JJ00,31157.0,17893.0,5831.0,5477.0,353.0,12062.0,13264.0,513.0,2642.0,28419.0,7.0,8.0,8.0,,,,,5.27,,,,,,,9.2,9.12,,,,7.2,10.35,9.82,10272.0,8433.0,3108.0,5325.0,1839.0,4503.0,2566.0,,,37.3,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13058.0,7450.0,5608.0,,,,,,,,,,,,,,9.12,,,,,,,,,,,,,9.82,,,,,1866.0,815.0,34.0,1017.0,1684.0,1211.0,912.0,2.0,10.0,287.0,,472.0,,2172.0,12252.0,12582.0,-331.0,1130.0,799,23321,,,9.62,245,11008,9.72,209.0,6759.0,1604.0,46443.0
47,1975JJ00,32935.0,21415.0,6577.0,6260.0,317.0,14839.0,11520.0,584.0,3892.0,29709.0,4.5,5.5,5.5,,,,,4.39,,,,,,,4.17,7.78,,5.34,,4.42,5.27,8.79,12294.0,8990.0,3108.0,5882.0,3304.0,5768.0,4698.0,,,52.9,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18734.0,11642.0,7092.0,,,,,,,,,,,,,,7.78,8.42,,,7.63,,,,8.26,,,,,8.79,8.45,,8.75,,3367.0,1419.0,168.0,1780.0,1959.0,1455.0,1065.0,1.0,12.0,376.0,,504.0,,2646.0,15389.0,12129.0,3260.0,1180.0,4441,27809,,,9.33,288,13989,9.31,258.0,9849.0,1718.0,55132.0
48,1976JJ00,41176.0,22930.0,7232.0,6884.0,349.0,15698.0,18246.0,672.0,3593.0,36611.0,6.0,7.0,7.0,,,,,4.29,,,,,,,7.28,8.01,,7.23,,5.78,6.88,8.95,11734.0,8845.0,3108.0,5737.0,2889.0,6514.0,5683.0,,,52.6,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18779.0,12039.0,6740.0,,,,,,,,,,,,,,8.01,8.66,,,7.92,,,,8.63,,,,,8.95,8.92,,8.86,,2867.0,1453.0,36.0,1378.0,2656.0,2135.0,1488.0,0.0,12.0,635.0,,520.0,,2995.0,16038.0,15011.0,1027.0,1280.0,2307,30177,,,8.78,352,20175,8.76,313.0,13699.0,1844.0,67248.0
49,1977JJ00,41878.0,26214.0,7902.0,7523.0,378.0,18311.0,15664.0,1014.0,3387.0,37232.0,4.5,5.0,5.5,4.43,4.85,,,4.13,,,,,,,3.79,7.11,,4.94,,3.87,4.57,8.1,10904.0,8804.0,3125.0,5679.0,2100.0,7972.0,7842.0,,,54.1,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19667.0,12061.0,7606.0,,,,,,,,,,,,,,7.11,7.92,,,7.52,,,,7.81,,,,,8.1,8.05,,8.34,,4541.0,1633.0,168.0,2740.0,3420.0,2929.0,1921.0,0.0,12.0,997.0,,491.0,,3858.0,19507.0,15486.0,4021.0,1507.0,5528,35687,,,8.71,404,26592,8.68,358.0,19115.0,1990.0,83532.0
50,1978JJ00,43429.0,27312.0,8492.0,8077.0,416.0,18820.0,16118.0,1088.0,3073.0,39477.0,6.5,7.0,7.5,6.64,6.66,,,4.13,1.25,5.04,7.81,8.31,,,6.24,6.48,13.0,6.46,,5.52,6.54,7.74,10953.0,9975.0,5798.0,4177.0,978.0,8727.0,9710.0,,,53.6,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20055.0,11425.0,8630.0,,,,,,,,,,,,,,6.48,7.68,,,7.61,,,,7.6,,,,,7.74,7.85,,8.05,,4735.0,1459.0,225.0,3051.0,3962.0,3480.0,2081.0,0.0,13.0,1386.0,,482.0,,4752.0,,,3667.0,1674.0,5342,42493,,,8.31,415,32575,8.29,370.0,23775.0,2111.0,102985.0
51,1979JJ00,46686.0,28078.0,9066.0,8603.0,463.0,19012.0,18608.0,1218.0,2450.0,43017.0,9.5,10.5,11.0,9.35,9.47,,,4.66,1.4,5.54,8.35,9.07,,,9.03,6.79,16.5,9.16,,8.54,9.47,8.78,11056.0,11210.0,4654.0,6555.0,-154.0,8019.0,8829.0,,,55.9,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21167.0,12774.0,8392.0,,,,,,,,,,,,,,6.79,8.81,,,8.67,,,,8.83,,,,,8.78,9.01,,9.31,,5021.0,1799.0,91.0,3131.0,3940.0,3519.0,1858.0,0.0,15.0,1645.0,,421.0,,5413.0,24409.0,21193.0,3216.0,1880.0,5096,47622,,,9.12,331,29343,9.1,291.0,20035.0,2187.0,118596.0
52,1980JJ00,48476.0,29761.0,9981.0,9419.0,562.0,19780.0,18714.0,796.0,2614.0,45065.0,8.0,9.0,9.5,10.49,10.69,,,5.0,1.4,5.96,8.94,9.49,,,10.13,7.11,12.0,10.61,,10.13,10.7,10.21,12746.0,15812.0,4652.0,11160.0,-3066.0,9113.0,12847.0,62.5,61.7,62.2,51.0,62.5,61.7,76.8,47.4,42.8,35.7,26.0,84.9,60.5,41.9,50.3,98.2,57.5,50.5,42.1,50.4,50.7,61.5,40.2,35.4,29.7,23.3,70.3,51.3,33.4,43.1,77.6,46.9,23915.0,16011.0,7904.0,,,,,,,,,,,,,,7.11,10.11,,,9.98,,,,10.13,,,,,10.21,10.47,,11.11,,6544.0,3351.0,160.0,3033.0,3704.0,3357.0,1734.0,0.0,22.0,1601.0,,347.0,,5690.0,25616.0,23335.0,2281.0,2224.0,4505,52189,40093.0,12096.0,10.15,268,26937,10.13,230.0,17118.0,2253.0,131306.0
53,1981JJ00,51030.0,29058.0,10135.0,9514.0,622.0,18922.0,21972.0,867.0,2852.0,47312.0,9.0,10.0,10.5,11.47,11.59,,,5.15,1.4,6.25,11.47,11.5,,,11.01,8.83,14.0,11.59,,10.65,11.6,11.56,15914.0,16290.0,5830.0,10460.0,-376.0,8969.0,14906.0,57.5,57.5,57.4,53.0,57.5,57.5,66.8,48.5,50.1,46.5,28.2,82.7,78.6,34.3,43.8,82.9,52.1,50.2,47.0,50.0,50.9,58.0,43.8,44.5,41.9,25.8,73.3,70.5,30.1,40.0,71.7,45.5,22278.0,14631.0,7647.0,,,,,,,,,,,,,,8.83,11.53,,,11.45,11.57,,,11.53,,,,,11.56,11.83,,12.85,,7641.0,4845.0,169.0,2627.0,3262.0,2978.0,1502.0,0.0,26.0,1450.0,,285.0,,5590.0,27662.0,24693.0,2969.0,2536.0,5505,57815,41746.0,16069.0,10.92,204,20232,10.92,173.0,13072.0,2302.0,139429.0
54,1982JJ00,55371.0,32804.0,10613.0,9970.0,643.0,22191.0,22567.0,1022.0,2507.0,51841.0,5.0,5.5,6.0,8.32,8.37,,,3.85,1.25,4.4,6.05,7.0,,,8.06,8.13,8.5,8.35,,7.89,8.36,10.08,18294.0,17880.0,5830.0,12050.0,414.0,11696.0,28492.0,65.9,66.2,65.9,64.4,65.9,66.2,70.0,62.5,70.2,62.6,36.8,74.2,78.9,44.6,60.4,80.3,60.7,62.3,61.4,62.1,62.9,65.9,59.9,66.8,60.1,35.6,70.2,75.4,42.7,58.0,75.6,57.2,26176.0,16865.0,9312.0,,,,,,,,,,,,,,8.13,9.88,,,9.76,9.8,,,9.91,,,,,10.08,10.15,,11.17,,10893.0,8133.0,13.0,2748.0,3150.0,2846.0,1416.0,0.0,29.0,1401.0,,304.0,,5421.0,28355.0,27778.0,577.0,2693.0,3270,61085,46807.0,14277.0,9.96,191,16399,9.92,168.0,10906.0,2360.0,145164.0
55,1983JJ00,61300.0,36147.0,11956.0,11296.0,660.0,24191.0,25153.0,1507.0,2911.0,56882.0,5.0,5.5,6.0,5.48,5.65,,,3.45,0.95,4.1,6.1,7.35,,,5.28,6.17,9.0,5.62,,5.48,5.62,8.61,22203.0,19969.0,5830.0,14139.0,2235.0,25924.0,27922.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40790.0,25819.0,14971.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.17,8.26,,,8.15,8.11,,,8.24,,,,,8.61,8.42,,8.77,,13846.0,10395.0,387.0,3064.0,3011.0,2703.0,1292.0,0.0,31.0,1380.0,,308.0,,5179.0,26011.0,28090.0,-2079.0,2375.0,295,61355,49319.0,12037.0,8.33,258,18451,8.32,227.0,13158.0,2432.0,150881.0
56,1984JJ00,65509.0,38568.0,12614.0,11938.0,676.0,25954.0,26941.0,1653.0,3485.0,60370.0,5.0,5.5,6.0,5.95,6.13,,,3.45,0.95,4.1,5.8,7.05,,,5.78,6.08,8.5,6.12,,5.97,6.09,8.17,34906.0,29164.0,14016.0,15147.0,5742.0,12001.0,31181.0,124.8,117.2,122.2,120.2,124.8,117.2,118.3,116.1,118.3,134.8,109.8,89.9,118.3,132.9,110.8,100.4,133.4,128.1,125.2,131.1,122.2,124.4,120.0,123.5,139.6,114.1,93.4,120.8,137.3,115.3,106.3,139.5,50255.0,32688.0,17568.0,103.5,105.2,,112.9,112.9,112.5,109.9,112.0,113.1,116.0,112.2,115.7,114.4,6.08,8.06,7.03,7.2,7.98,7.99,7.38,7.43,8.11,7.43,7.42,,,8.17,8.19,7.82,8.48,7.62,14993.0,11403.0,320.0,3270.0,3123.0,2788.0,1282.0,0.0,34.0,1472.0,,335.0,,5008.0,29693.0,29258.0,435.0,2447.0,2882,64234,53233.0,11001.0,8.33,212,15624,8.31,182.0,10844.0,2491.0,155797.0
57,1985JJ00,71665.0,41190.0,12980.0,12285.0,695.0,28210.0,30475.0,1878.0,4821.0,64965.0,5.0,5.5,6.0,6.35,6.36,,,3.25,0.85,4.1,5.85,6.35,,,6.3,5.77,8.5,6.38,,6.22,6.34,7.34,36584.0,27790.0,14016.0,13774.0,8794.0,49670.0,39265.0,137.6,187.2,155.4,174.1,137.6,187.2,190.2,184.2,169.2,157.4,173.9,122.2,144.0,198.7,203.3,170.8,206.9,170.5,188.2,152.2,202.4,207.9,196.9,182.9,168.4,188.7,131.1,153.6,212.1,220.2,189.8,223.7,65912.0,36280.0,29632.0,106.1,108.7,111.1,124.1,124.2,123.7,119.6,123.1,124.7,129.1,122.4,128.0,126.0,5.77,7.25,6.28,6.56,7.12,7.15,6.65,6.74,7.32,6.82,6.75,,,7.34,,7.18,7.5,7.08,14372.0,9279.0,877.0,4216.0,3318.0,3019.0,1419.0,0.0,37.0,1564.0,,299.0,,5066.0,29434.0,29082.0,353.0,2311.0,2664,64980,53174.0,11806.0,7.77,242,17269,7.77,209.0,12105.0,2583.0,162933.0
58,1986JJ00,75501.0,44113.0,13509.0,12795.0,714.0,30603.0,31388.0,1826.0,4370.0,69305.0,4.5,5.0,5.5,5.8,5.68,5.61,5.61,2.9,0.85,3.7,5.1,5.55,5.9,0.75,5.83,5.31,9.0,5.62,,5.49,5.61,6.35,30385.0,25283.0,14016.0,11267.0,5102.0,65354.0,44699.0,152.0,182.5,162.9,170.3,152.0,182.5,159.2,206.1,202.6,118.8,183.3,117.1,113.0,264.0,267.5,140.8,175.6,186.7,189.7,177.5,203.4,179.4,226.7,225.8,131.4,206.0,130.3,126.7,287.3,298.2,162.6,195.1,72834.0,40927.0,31908.0,107.2,110.5,114.6,133.9,133.9,133.2,128.3,132.2,135.2,139.9,131.8,140.5,136.4,5.31,6.3,6.14,6.3,6.14,6.2,6.3,6.45,6.36,6.47,6.44,,,6.35,,6.81,6.2,6.55,12674.0,6499.0,1124.0,5051.0,3757.0,3377.0,1657.0,0.0,39.0,1682.0,,379.0,,5479.0,30158.0,29149.0,1009.0,2289.0,3298,68277,57859.0,10418.0,7.0,274,20917,7.02,237.0,14472.0,2680.0,172986.0
59,1987JJ00,78066.0,47260.0,15105.0,14366.0,739.0,32155.0,30805.0,1765.0,3743.0,72558.0,3.75,4.25,4.75,5.3,5.36,5.39,5.43,2.75,0.8,3.45,5.1,5.6,5.9,0.65,5.16,5.03,7.25,5.3,,5.18,5.32,6.39,29390.0,25674.0,12528.0,13146.0,3716.0,68773.0,65771.0,134.5,121.1,128.7,119.3,134.5,121.1,103.3,138.9,170.3,69.2,113.0,73.7,82.5,221.9,162.4,94.8,110.3,153.3,137.4,164.3,139.0,120.9,156.6,194.9,80.1,132.7,86.1,95.8,244.8,185.9,114.5,126.5,59270.0,36560.0,22709.0,108.4,112.1,114.7,143.7,144.0,143.3,138.5,142.4,145.2,148.0,141.2,148.6,146.4,5.03,6.28,6.02,6.11,6.17,6.28,6.24,6.34,6.36,6.37,6.38,6.41,6.4,6.39,6.58,7.16,6.51,6.74,14740.0,9687.0,1208.0,3845.0,4071.0,3631.0,1812.0,0.0,39.0,1781.0,,440.0,,5924.0,31440.0,33136.0,-1696.0,2365.0,668,68946,58468.0,10478.0,6.95,278,23770,6.97,237.0,15746.0,2760.0,183654.0
60,1988JJ00,88060.0,50163.0,15707.0,14796.0,911.0,34456.0,37549.0,1487.0,6149.0,80424.0,4.5,5.25,5.75,4.7,4.82,4.91,5.03,2.5,0.8,3.45,4.95,5.45,5.9,0.55,4.44,4.99,8.75,4.78,,4.34,4.76,6.34,35429.0,27443.0,12528.0,14915.0,7986.0,54278.0,90014.0,161.5,173.6,165.8,165.3,161.5,173.6,138.8,208.5,208.2,95.0,205.4,150.6,139.3,313.8,240.2,119.7,156.4,207.3,198.1,208.1,207.3,171.8,242.7,245.9,116.3,247.1,184.2,170.0,354.9,284.3,153.8,188.2,78583.0,43898.0,34685.0,107.8,111.5,114.6,153.1,152.9,152.1,147.1,151.0,154.3,157.2,150.4,164.4,157.5,4.99,6.05,5.51,5.73,5.82,6.02,5.92,6.03,6.16,6.18,6.28,6.33,6.4,6.34,6.35,7.0,6.23,6.41,18623.0,14005.0,708.0,3910.0,4289.0,3836.0,1906.0,0.0,40.0,1890.0,,453.0,,6253.0,34194.0,33955.0,239.0,2185.0,2424,71366,63086.0,8279.0,6.9,284,25862,6.9,237.0,16974.0,2855.0,196745.0
61,1989JJ00,100103.0,54012.0,16337.0,15281.0,1056.0,37675.0,46091.0,1819.0,8266.0,90019.0,7.0,7.75,8.25,7.27,7.39,7.45,7.5,2.5,0.8,3.0,6.85,7.35,7.5,0.55,6.99,4.89,11.25,7.36,,6.8,7.34,7.21,47079.0,27127.0,12528.0,14599.0,19952.0,83913.0,76786.0,206.9,199.8,202.8,197.1,206.9,199.8,152.3,247.2,261.3,128.2,220.1,218.6,182.8,349.1,319.5,124.6,178.3,264.3,245.0,279.4,247.2,198.4,295.5,318.4,162.9,273.8,276.1,230.6,405.0,388.0,169.6,224.5,103677.0,56738.0,46939.0,100.8,103.2,105.0,154.4,154.0,153.2,154.0,151.9,152.6,154.1,152.8,165.8,159.2,4.89,7.24,7.34,7.28,7.26,7.23,7.24,7.21,7.21,7.21,7.21,7.2,7.21,7.21,7.45,7.8,7.48,7.41,19168.0,14823.0,2320.0,2025.0,4549.0,3980.0,1919.0,0.0,41.0,2019.0,,569.0,,6675.0,37833.0,36424.0,1410.0,2257.0,3667,75021,61295.0,13726.0,7.57,278,29307,7.61,232.0,17596.0,2952.0,212681.0
62,1990JJ00,175675.0,56239.0,16551.0,15425.0,1126.0,39688.0,119436.0,1769.0,7991.0,166079.0,7.25,8.0,8.5,8.51,8.68,8.85,9.03,2.5,0.8,3.15,7.7,8.3,8.5,0.55,8.28,4.81,12.0,8.64,,,8.63,8.93,47454.0,24928.0,11288.0,13640.0,22526.0,66426.0,84995.0,172.5,165.3,168.3,156.9,172.5,165.3,114.9,214.3,255.0,67.6,141.7,180.5,119.4,320.6,316.4,94.1,133.8,229.6,203.1,245.0,212.9,158.8,264.1,320.8,88.7,187.0,235.7,156.6,378.9,396.9,138.6,176.6,87829.0,47748.0,40081.0,97.7,98.4,97.5,161.1,160.4,159.5,166.3,159.9,157.4,154.7,160.4,172.0,167.3,4.81,9.01,9.13,9.08,9.04,9.01,9.0,9.01,8.99,8.98,8.98,8.96,8.94,8.93,9.11,9.27,9.15,9.15,18140.0,16136.0,1273.0,731.0,4901.0,4242.0,1887.0,0.0,44.0,2311.0,,659.0,,7143.0,43557.0,40023.0,3534.0,2522.0,6056,81032,60918.0,20115.0,8.72,247,30405,8.78,202.0,16030.0,3041.0,230956.0
63,1991JJ00,185723.0,58687.0,16784.0,15618.0,1166.0,41904.0,127036.0,1926.0,9356.0,174441.0,8.5,9.25,9.75,9.2,9.28,9.34,9.37,2.55,0.8,3.2,7.45,7.6,7.8,0.55,9.0,4.83,12.75,9.25,,,9.21,8.74,47681.0,25209.0,11288.0,13922.0,22471.0,64569.0,95025.0,196.5,187.5,191.4,183.4,196.5,187.5,133.4,239.7,292.6,87.4,174.1,186.9,151.3,381.4,314.6,119.8,146.9,272.6,246.7,291.6,251.6,196.7,304.3,379.5,115.6,242.7,254.2,202.3,461.7,405.7,191.5,204.8,100759.0,54548.0,46211.0,99.3,101.1,100.2,177.9,177.4,176.5,181.0,175.4,175.3,173.6,175.7,191.5,185.0,4.83,8.84,9.09,8.95,8.91,8.84,8.87,8.8,8.8,8.79,8.8,8.78,8.76,8.74,8.94,9.12,9.01,8.92,19768.0,18457.0,653.0,658.0,5444.0,4801.0,1906.0,,51.0,2843.0,,643.0,,7854.0,52319.0,50695.0,1623.0,2759.0,4383,89762,61940.0,27822.0,9.23,252,27082,9.25,211.0,16187.0,3116.0,240804.0
64,1992JJ00,197420.0,61292.0,16786.0,15606.0,1179.0,44506.0,136129.0,2066.0,9455.0,185899.0,7.75,8.25,8.75,9.38,9.35,9.24,9.06,2.55,0.9,3.2,6.6,6.65,6.9,0.5,9.27,4.85,9.75,9.32,,,9.29,8.09,48218.0,29614.0,11288.0,18326.0,18604.0,70988.0,213387.0,200.2,197.4,198.0,189.2,200.2,197.4,159.5,234.8,322.1,58.9,150.0,175.2,99.9,438.8,296.2,141.3,177.0,294.2,263.8,310.5,276.0,250.9,306.8,429.7,78.7,219.0,248.1,136.4,542.3,394.0,240.2,264.0,106385.0,55693.0,50692.0,105.4,109.3,109.3,204.2,204.2,203.2,201.1,200.2,204.6,204.0,199.1,223.6,210.5,4.85,8.18,8.51,8.25,8.22,8.16,8.19,8.07,8.12,8.13,8.16,8.15,8.09,8.09,8.35,8.52,8.42,8.17,20901.0,20355.0,348.0,198.0,6754.0,6256.0,1802.0,,57.0,4372.0,26.0,,497.0,9095.0,62795.0,61799.0,996.0,2997.0,3992,93755,66064.0,27691.0,8.84,279,28587,8.84,245.0,18984.0,3284.0,257233.0
65,1993JJ00,212572.0,67905.0,17057.0,15888.0,1169.0,50848.0,144666.0,2681.0,12040.0,197850.0,5.0,5.5,6.0,7.07,6.82,6.52,6.2,2.1,0.7,2.95,4.7,4.7,4.85,0.5,7.07,4.84,9.0,6.78,6.43,,6.75,6.68,55981.0,34140.0,6462.0,27678.0,21840.0,111726.0,333878.0,273.5,290.7,280.8,271.7,273.5,290.7,240.1,340.7,393.3,105.3,216.6,253.2,156.9,696.0,390.9,200.4,275.8,433.2,390.9,442.0,420.5,396.2,456.7,539.1,142.3,325.6,373.2,219.2,881.0,535.8,357.7,431.3,153992.0,76520.0,77471.0,112.8,119.9,122.9,234.7,236.0,234.9,220.8,227.5,238.5,243.1,224.4,256.7,238.2,4.84,6.32,5.98,5.99,5.99,6.11,5.99,6.09,6.2,6.2,6.3,6.36,6.36,6.68,6.4,6.78,6.37,6.32,19542.0,17820.0,1674.0,501.0,7027.0,6560.0,1606.0,,59.0,4889.0,5.0,,467.0,9312.0,73068.0,73522.0,-454.0,3201.0,2746,96500,80839.0,15662.0,7.51,358,38658,7.5,320.0,26196.0,3480.0,282125.0
