ID,Versie,Voertuigcategorie,Wegtype,Bouwjaar,CO_1,VOS_2,NOx_3,PM10_4
417,Oud,Paben,3,2003 ,0.36,0.01,0.02,0.015
418,Oud,Paben,3,2004 ,0.34,0.01,0.02,0.015
419,Oud,Paben,3,2005 ,0.32,0.01,0.01,0.015
420,Oud,Padie,1,-1996,1.08,0.15,0.66,0.154
421,Oud,Padie,1,1997 ,2.41,0.22,0.87,0.099
422,Oud,Padie,1,1998 ,2.13,0.24,0.89,0.099
423,Oud,Padie,1,1999 ,1.66,0.28,0.9,0.098
424,Oud,Padie,1,2000 ,1.08,0.17,0.81,0.08
425,Oud,Padie,1,2001 ,0.49,0.06,0.71,0.061
426,Oud,Padie,1,2002 ,0.49,0.06,0.72,0.062
427,Oud,Padie,1,2003 ,0.49,0.06,0.72,0.062
428,Oud,Padie,1,2004 ,0.49,0.06,0.72,0.062
429,Oud,Padie,1,2005 ,0.27,0.02,0.45,0.027
430,Oud,Padie,2,-1996,0.24,0.06,0.42,0.078
431,Oud,Padie,2,1997 ,0.16,0.04,0.49,0.05
432,Oud,Padie,2,1998 ,0.14,0.04,0.5,0.049
433,Oud,Padie,2,1999 ,0.1,0.05,0.51,0.049
434,Oud,Padie,2,2000 ,0.06,0.03,0.48,0.039
435,Oud,Padie,2,2001 ,0.02,0.01,0.44,0.03
436,Oud,Padie,2,2002 ,0.02,0.01,0.45,0.03
437,Oud,Padie,2,2003 ,0.02,0.01,0.45,0.03
438,Oud,Padie,2,2004 ,0.02,0.01,0.45,0.03
439,Oud,Padie,2,2005 ,0.01,0.0,0.25,0.018
440,Oud,Padie,3,-1996,0.2,0.06,0.51,0.095
441,Oud,Padie,3,1997 ,0.05,0.03,0.5,0.065
442,Oud,Padie,3,1998 ,0.04,0.03,0.49,0.066
443,Oud,Padie,3,1999 ,0.03,0.04,0.47,0.066
444,Oud,Padie,3,2000 ,0.02,0.02,0.48,0.054
445,Oud,Padie,3,2001 ,0.0,0.01,0.49,0.041
446,Oud,Padie,3,2002 ,0.0,0.01,0.49,0.043
447,Oud,Padie,3,2003 ,0.0,0.01,0.49,0.043
448,Oud,Padie,3,2004 ,0.0,0.01,0.49,0.043
449,Oud,Padie,3,2005 ,0.0,0.0,0.24,0.028
450,Oud,PaLPG,1,-1996,3.57,0.82,1.0,0.013
451,Oud,PaLPG,1,1997 ,3.59,0.33,0.39,0.008
452,Oud,PaLPG,1,1998 ,3.5,0.32,0.38,0.008
453,Oud,PaLPG,1,1999 ,3.42,0.32,0.38,0.008
454,Oud,PaLPG,1,2000 ,2.06,0.22,0.32,0.008
455,Oud,PaLPG,1,2001 ,0.77,0.12,0.27,0.008
456,Oud,PaLPG,1,2002 ,0.76,0.12,0.27,0.008
457,Oud,PaLPG,1,2003 ,1.13,0.15,0.28,0.008
458,Oud,PaLPG,1,2004 ,1.29,0.16,0.28,0.008
459,Oud,PaLPG,1,2005 ,1.46,0.17,0.28,0.008
460,Oud,PaLPG,2,-1996,1.03,0.31,0.7,0.008
461,Oud,PaLPG,2,1997 ,0.75,0.04,0.3,0.002
462,Oud,PaLPG,2,1998 ,0.75,0.04,0.29,0.002
463,Oud,PaLPG,2,1999 ,0.75,0.04,0.28,0.002
464,Oud,PaLPG,2,2000 ,0.49,0.02,0.2,0.002
465,Oud,PaLPG,2,2001 ,0.22,0.01,0.12,0.002
466,Oud,PaLPG,2,2002 ,0.23,0.01,0.12,0.002
467,Oud,PaLPG,2,2003 ,0.3,0.02,0.16,0.002
468,Oud,PaLPG,2,2004 ,0.33,0.02,0.18,0.002
469,Oud,PaLPG,2,2005 ,0.37,0.02,0.2,0.002
470,Oud,PaLPG,3,-1996,0.63,0.48,1.27,0.01
471,Oud,PaLPG,3,1997 ,0.46,0.02,0.53,0.009
472,Oud,PaLPG,3,1998 ,0.45,0.02,0.51,0.009
473,Oud,PaLPG,3,1999 ,0.44,0.02,0.49,0.009
474,Oud,PaLPG,3,2000 ,0.31,0.01,0.31,0.009
475,Oud,PaLPG,3,2001 ,0.19,0.01,0.14,0.009
476,Oud,PaLPG,3,2002 ,0.19,0.01,0.13,0.009
477,Oud,PaLPG,3,2003 ,0.18,0.01,0.25,0.009
478,Oud,PaLPG,3,2004 ,0.18,0.01,0.3,0.009
479,Oud,PaLPG,3,2005 ,0.18,0.01,0.35,0.009
480,Oud,Baben,1,-1996,17.46,2.98,2.02,0.033
481,Oud,Baben,1,1997 ,5.61,0.53,0.27,0.008
482,Oud,Baben,1,1998 ,5.49,0.52,0.26,0.008
483,Oud,Baben,1,1999 ,5.37,0.51,0.26,0.008
484,Oud,Baben,1,2000 ,5.12,0.52,0.15,0.008
485,Oud,Baben,1,2001 ,4.91,0.52,0.04,0.008
486,Oud,Baben,1,2002 ,4.84,0.51,0.04,0.008
487,Oud,Baben,1,2003 ,4.43,0.47,0.03,0.008
488,Oud,Baben,1,2004 ,4.22,0.45,0.02,0.008
489,Oud,Baben,1,2005 ,4.02,0.43,0.02,0.008
490,Oud,Baben,2,-1996,7.73,1.09,1.81,0.019
491,Oud,Baben,2,1997 ,2.59,0.1,0.15,0.002
492,Oud,Baben,2,1998 ,2.56,0.1,0.15,0.002
493,Oud,Baben,2,1999 ,2.53,0.1,0.14,0.002
494,Oud,Baben,2,2000 ,2.46,0.1,0.08,0.002
495,Oud,Baben,2,2001 ,2.4,0.09,0.02,0.002
496,Oud,Baben,2,2002 ,2.38,0.09,0.02,0.002
497,Oud,Baben,2,2003 ,2.19,0.09,0.01,0.002
498,Oud,Baben,2,2004 ,2.09,0.08,0.01,0.002
499,Oud,Baben,2,2005 ,1.99,0.08,0.01,0.002
500,Oud,Baben,3,-1996,6.96,0.71,3.25,0.027
501,Oud,Baben,3,1997 ,1.92,0.04,0.43,0.015
502,Oud,Baben,3,1998 ,1.89,0.04,0.42,0.015
503,Oud,Baben,3,1999 ,1.86,0.03,0.41,0.015
504,Oud,Baben,3,2000 ,1.8,0.03,0.21,0.015
505,Oud,Baben,3,2001 ,1.75,0.03,0.03,0.015
506,Oud,Baben,3,2002 ,1.73,0.03,0.03,0.015
507,Oud,Baben,3,2003 ,1.57,0.03,0.02,0.015
508,Oud,Baben,3,2004 ,1.49,0.03,0.02,0.015
509,Oud,Baben,3,2005 ,1.41,0.03,0.01,0.015
510,Oud,Badie,1,-1996,0.82,0.21,1.09,0.307
511,Oud,Badie,1,1997 ,1.03,0.19,1.08,0.163
512,Oud,Badie,1,1998 ,1.03,0.19,1.13,0.154
513,Oud,Badie,1,1999 ,1.03,0.18,1.21,0.14
514,Oud,Badie,1,2000 ,0.8,0.17,1.12,0.116
515,Oud,Badie,1,2001 ,0.58,0.15,1.02,0.091
516,Oud,Badie,1,2002 ,0.58,0.15,1.02,0.091
517,Oud,Badie,1,2003 ,0.58,0.15,1.02,0.091
518,Oud,Badie,1,2004 ,0.58,0.15,1.02,0.091
519,Oud,Badie,1,2005 ,0.35,0.07,0.51,0.044
520,Oud,Badie,2,-1996,0.3,0.14,0.88,0.168
521,Oud,Badie,2,1997 ,0.22,0.09,0.76,0.09
522,Oud,Badie,2,1998 ,0.22,0.09,0.8,0.086
523,Oud,Badie,2,1999 ,0.22,0.08,0.85,0.078
524,Oud,Badie,2,2000 ,0.18,0.06,0.79,0.064
525,Oud,Badie,2,2001 ,0.13,0.04,0.73,0.051
526,Oud,Badie,2,2002 ,0.13,0.04,0.73,0.051
527,Oud,Badie,2,2003 ,0.13,0.04,0.73,0.051
528,Oud,Badie,2,2004 ,0.13,0.04,0.73,0.051
529,Oud,Badie,2,2005 ,0.1,0.02,0.36,0.024
530,Oud,Badie,3,-1996,0.32,0.18,1.31,0.183
531,Oud,Badie,3,1997 ,0.24,0.12,1.06,0.103
532,Oud,Badie,3,1998 ,0.23,0.12,1.11,0.098
533,Oud,Badie,3,1999 ,0.22,0.12,1.18,0.088
534,Oud,Badie,3,2000 ,0.18,0.08,1.09,0.073
535,Oud,Badie,3,2001 ,0.14,0.05,1.0,0.057
536,Oud,Badie,3,2002 ,0.14,0.05,1.0,0.057
537,Oud,Badie,3,2003 ,0.14,0.05,1.0,0.057
538,Oud,Badie,3,2004 ,0.14,0.05,1.0,0.057
539,Oud,Badie,3,2005 ,0.1,0.02,0.49,0.027
540,Oud,BaLPG,1,-1996,8.64,3.18,3.23,0.02
541,Oud,BaLPG,1,1997 ,2.96,0.76,0.38,0.006
542,Oud,BaLPG,1,1998 ,2.9,0.74,0.38,0.006
543,Oud,BaLPG,1,1999 ,2.84,0.73,0.37,0.006
544,Oud,BaLPG,1,2000 ,2.25,0.59,0.27,0.006
545,Oud,BaLPG,1,2001 ,1.71,0.46,0.18,0.006
546,Oud,BaLPG,1,2002 ,1.68,0.46,0.18,0.006
547,Oud,BaLPG,1,2003 ,1.24,0.33,0.13,0.006
548,Oud,BaLPG,1,2004 ,1.02,0.26,0.1,0.006
549,Oud,BaLPG,1,2005 ,0.81,0.2,0.08,0.006
550,Oud,BaLPG,2,-1996,4.06,2.23,3.14,0.011
551,Oud,BaLPG,2,1997 ,1.42,0.29,0.24,0.002
552,Oud,BaLPG,2,1998 ,1.4,0.29,0.23,0.002
553,Oud,BaLPG,2,1999 ,1.39,0.29,0.23,0.002
554,Oud,BaLPG,2,2000 ,1.12,0.24,0.16,0.002
555,Oud,BaLPG,2,2001 ,0.87,0.19,0.09,0.002
556,Oud,BaLPG,2,2002 ,0.86,0.19,0.09,0.002
557,Oud,BaLPG,2,2003 ,0.64,0.14,0.06,0.002
558,Oud,BaLPG,2,2004 ,0.53,0.11,0.05,0.002
559,Oud,BaLPG,2,2005 ,0.42,0.08,0.04,0.002
560,Oud,BaLPG,3,-1996,2.48,1.52,5.18,0.018
561,Oud,BaLPG,3,1997 ,1.04,0.12,0.6,0.009
562,Oud,BaLPG,3,1998 ,1.02,0.11,0.58,0.009
563,Oud,BaLPG,3,1999 ,1.01,0.11,0.56,0.009
564,Oud,BaLPG,3,2000 ,0.81,0.09,0.36,0.009
565,Oud,BaLPG,3,2001 ,0.62,0.07,0.16,0.009
566,Oud,BaLPG,3,2002 ,0.62,0.07,0.16,0.009
567,Oud,BaLPG,3,2003 ,0.45,0.05,0.11,0.009
568,Oud,BaLPG,3,2004 ,0.37,0.04,0.09,0.009
569,Oud,BaLPG,3,2005 ,0.29,0.03,0.07,0.009
570,Oud,Vadie,1,-1996,4.2,1.64,14.13,0.774
571,Oud,Vadie,1,1997 ,2.75,0.7,13.65,0.285
572,Oud,Vadie,1,1998 ,2.73,0.69,13.6,0.279
573,Oud,Vadie,1,1999 ,2.74,0.69,13.65,0.28
574,Oud,Vadie,1,2000 ,2.86,0.72,13.66,0.302
575,Oud,Vadie,1,2001 ,3.03,0.77,12.57,0.346
576,Oud,Vadie,1,2002 ,3.17,0.82,11.91,0.379
577,Oud,Vadie,1,2003 ,3.17,0.82,11.91,0.379
578,Oud,Vadie,1,2004 ,3.17,0.82,11.91,0.379
579,Oud,Vadie,1,2005 ,2.92,0.8,10.83,0.301
580,Oud,Vadie,2,-1996,2.41,0.79,11.02,0.446
581,Oud,Vadie,2,1997 ,1.71,0.38,10.26,0.196
582,Oud,Vadie,2,1998 ,1.7,0.38,10.23,0.193
583,Oud,Vadie,2,1999 ,1.7,0.38,10.26,0.194
584,Oud,Vadie,2,2000 ,1.77,0.39,10.21,0.2
585,Oud,Vadie,2,2001 ,1.84,0.43,9.25,0.204
586,Oud,Vadie,2,2002 ,1.9,0.45,8.65,0.208
587,Oud,Vadie,2,2003 ,1.9,0.45,8.65,0.208
588,Oud,Vadie,2,2004 ,1.9,0.45,8.65,0.208
589,Oud,Vadie,2,2005 ,1.76,0.45,7.79,0.166
590,Oud,Vadie,3,-1996,1.73,0.56,9.74,0.337
591,Oud,Vadie,3,1997 ,1.18,0.28,8.87,0.163
592,Oud,Vadie,3,1998 ,1.17,0.28,8.84,0.161
593,Oud,Vadie,3,1999 ,1.17,0.28,8.86,0.161
594,Oud,Vadie,3,2000 ,1.21,0.29,8.67,0.16
595,Oud,Vadie,3,2001 ,1.24,0.32,7.45,0.14
596,Oud,Vadie,3,2002 ,1.27,0.34,6.64,0.127
597,Oud,Vadie,3,2003 ,1.27,0.34,6.64,0.127
598,Oud,Vadie,3,2004 ,1.27,0.34,6.64,0.127
599,Oud,Vadie,3,2005 ,1.18,0.34,5.93,0.102
600,Oud,Trdie,1,-1996,4.7,1.48,17.46,0.901
601,Oud,Trdie,1,1997 ,3.84,0.8,17.58,0.399
602,Oud,Trdie,1,1998 ,3.83,0.79,17.6,0.394
603,Oud,Trdie,1,1999 ,3.83,0.79,17.6,0.394
604,Oud,Trdie,1,2000 ,3.84,0.81,17.27,0.403
605,Oud,Trdie,1,2001 ,3.92,0.88,15.93,0.441
606,Oud,Trdie,1,2002 ,3.98,0.94,14.93,0.47
607,Oud,Trdie,1,2003 ,3.98,0.94,14.93,0.47
608,Oud,Trdie,1,2004 ,3.98,0.94,14.93,0.47
609,Oud,Trdie,1,2005 ,3.71,0.91,13.92,0.376
610,Oud,Trdie,2,-1996,2.66,0.69,12.99,0.512
611,Oud,Trdie,2,1997 ,2.37,0.43,12.63,0.269
612,Oud,Trdie,2,1998 ,2.37,0.43,12.64,0.267
613,Oud,Trdie,2,1999 ,2.37,0.43,12.64,0.267
614,Oud,Trdie,2,2000 ,2.38,0.44,12.4,0.266
615,Oud,Trdie,2,2001 ,2.41,0.48,11.42,0.265
616,Oud,Trdie,2,2002 ,2.44,0.51,10.7,0.264
617,Oud,Trdie,2,2003 ,2.44,0.51,10.7,0.264
618,Oud,Trdie,2,2004 ,2.44,0.51,10.7,0.264
619,Oud,Trdie,2,2005 ,2.27,0.5,9.75,0.211
620,Oud,Trdie,3,-1996,1.87,0.47,10.8,0.378
621,Oud,Trdie,3,1997 ,1.64,0.3,10.38,0.217
622,Oud,Trdie,3,1998 ,1.64,0.3,10.39,0.215
623,Oud,Trdie,3,1999 ,1.64,0.3,10.39,0.215
624,Oud,Trdie,3,2000 ,1.64,0.3,10.1,0.209
625,Oud,Trdie,3,2001 ,1.64,0.33,8.95,0.181
626,Oud,Trdie,3,2002 ,1.64,0.36,8.09,0.161
627,Oud,Trdie,3,2003 ,1.64,0.36,8.09,0.161
628,Oud,Trdie,3,2004 ,1.64,0.36,8.09,0.161
629,Oud,Trdie,3,2005 ,1.54,0.35,7.21,0.128
630,Oud,Abdie,1,-1996,4.18,1.59,13.78,0.773
631,Oud,Abdie,1,1997 ,2.48,0.56,12.32,0.261
632,Oud,Abdie,1,1998 ,2.48,0.56,12.33,0.258
633,Oud,Abdie,1,1999 ,2.48,0.56,12.33,0.258
634,Oud,Abdie,1,2000 ,2.5,0.57,12.11,0.264
635,Oud,Abdie,1,2001 ,2.59,0.61,11.24,0.29
636,Oud,Abdie,1,2002 ,2.66,0.65,10.58,0.309
637,Oud,Abdie,1,2003 ,2.66,0.65,10.58,0.309
638,Oud,Abdie,1,2004 ,2.66,0.65,10.58,0.309
639,Oud,Abdie,1,2005 ,2.47,0.64,9.6,0.246
640,Oud,Abdie,2,-1996,2.49,0.75,10.67,0.44
641,Oud,Abdie,2,1997 ,1.51,0.3,9.11,0.178
642,Oud,Abdie,2,1998 ,1.5,0.3,9.11,0.176
643,Oud,Abdie,2,1999 ,1.5,0.3,9.11,0.176
644,Oud,Abdie,2,2000 ,1.51,0.31,8.93,0.176
645,Oud,Abdie,2,2001 ,1.54,0.33,8.18,0.174
646,Oud,Abdie,2,2002 ,1.56,0.35,7.62,0.173
647,Oud,Abdie,2,2003 ,1.56,0.35,7.62,0.173
648,Oud,Abdie,2,2004 ,1.56,0.35,7.62,0.173
649,Oud,Abdie,2,2005 ,1.45,0.35,6.83,0.138
650,Oud,Abdie,3,-1996,1.83,0.49,9.54,0.323
651,Oud,Abdie,3,1997 ,1.03,0.22,8.0,0.147
652,Oud,Abdie,3,1998 ,1.03,0.22,8.01,0.146
653,Oud,Abdie,3,1999 ,1.03,0.22,8.01,0.146
654,Oud,Abdie,3,2000 ,1.03,0.23,7.76,0.141
655,Oud,Abdie,3,2001 ,1.04,0.25,6.77,0.12
656,Oud,Abdie,3,2002 ,1.05,0.26,6.03,0.104
657,Oud,Abdie,3,2003 ,1.05,0.26,6.03,0.104
658,Oud,Abdie,3,2004 ,1.05,0.26,6.03,0.104
659,Oud,Abdie,3,2005 ,0.98,0.26,5.36,0.083
660,Oud,Mtben,1,-1996,26.07,3.65,0.08,0.015
661,Oud,Mtben,1,1997 ,29.11,4.0,0.1,0.017
662,Oud,Mtben,1,1998 ,25.66,3.49,0.1,0.016
663,Oud,Mtben,1,1999 ,17.04,2.21,0.13,0.016
664,Oud,Mtben,1,2000 ,11.87,1.44,0.14,0.015
665,Oud,Mtben,1,2001 ,11.87,1.44,0.14,0.015
666,Oud,Mtben,1,2002 ,11.87,1.44,0.14,0.015
667,Oud,Mtben,1,2003 ,11.87,1.44,0.14,0.015
668,Oud,Mtben,1,2004 ,11.87,1.44,0.14,0.015
669,Oud,Mtben,1,2005 ,11.87,1.44,0.14,0.015
670,Oud,Mtben,2,-1996,15.7,1.53,0.14,0.015
671,Oud,Mtben,2,1997 ,17.36,1.63,0.17,0.017
672,Oud,Mtben,2,1998 ,15.1,1.43,0.18,0.016
673,Oud,Mtben,2,1999 ,9.46,0.95,0.21,0.016
674,Oud,Mtben,2,2000 ,6.07,0.66,0.22,0.015
675,Oud,Mtben,2,2001 ,6.07,0.66,0.22,0.015
676,Oud,Mtben,2,2002 ,6.07,0.66,0.22,0.015
677,Oud,Mtben,2,2003 ,6.07,0.66,0.22,0.015
678,Oud,Mtben,2,2004 ,6.07,0.66,0.22,0.015
679,Oud,Mtben,2,2005 ,6.07,0.66,0.22,0.015
680,Oud,Mtben,3,-1996,25.27,1.34,0.37,0.015
681,Oud,Mtben,3,1997 ,27.97,1.35,0.42,0.017
682,Oud,Mtben,3,1998 ,26.11,1.16,0.43,0.016
683,Oud,Mtben,3,1999 ,21.45,0.7,0.47,0.016
684,Oud,Mtben,3,2000 ,18.65,0.42,0.49,0.015
685,Oud,Mtben,3,2001 ,18.65,0.42,0.49,0.015
686,Oud,Mtben,3,2002 ,18.65,0.42,0.49,0.015
687,Oud,Mtben,3,2003 ,18.65,0.42,0.49,0.015
688,Oud,Mtben,3,2004 ,18.65,0.42,0.49,0.015
689,Oud,Mtben,3,2005 ,18.65,0.42,0.49,0.015
690,Oud,Bfben,1,-1996,8.85,5.31,0.04,0.035
691,Oud,Bfben,1,1997 ,10.0,6.0,0.05,0.04
692,Oud,Bfben,1,1998 ,10.0,6.0,0.05,0.04
693,Oud,Bfben,1,1999 ,10.0,6.0,0.05,0.04
694,Oud,Bfben,1,2000 ,10.0,6.0,0.05,0.04
695,Oud,Bfben,1,2001 ,10.0,6.0,0.05,0.04
696,Oud,Bfben,1,2002 ,10.0,6.0,0.05,0.04
697,Oud,Bfben,1,2003 ,10.0,6.0,0.05,0.04
698,Oud,Bfben,1,2004 ,10.0,6.0,0.05,0.04
699,Oud,Bfben,1,2005 ,10.0,6.0,0.05,0.04
700,Oud,Bfben,2,-1996,8.85,5.31,0.04,0.035
701,Oud,Bfben,2,1997 ,10.0,6.0,0.05,0.04
702,Oud,Bfben,2,1998 ,10.0,6.0,0.05,0.04
703,Oud,Bfben,2,1999 ,10.0,6.0,0.05,0.04
704,Oud,Bfben,2,2000 ,10.0,6.0,0.05,0.04
705,Oud,Bfben,2,2001 ,10.0,6.0,0.05,0.04
706,Oud,Bfben,2,2002 ,10.0,6.0,0.05,0.04
707,Oud,Bfben,2,2003 ,10.0,6.0,0.05,0.04
708,Oud,Bfben,2,2004 ,10.0,6.0,0.05,0.04
709,Oud,Bfben,2,2005 ,10.0,6.0,0.05,0.04
710,Oud,Bfben,3,-1996,,,,
711,Oud,Bfben,3,1997 ,,,,
712,Oud,Bfben,3,1998 ,,,,
713,Oud,Bfben,3,1999 ,,,,
714,Oud,Bfben,3,2000 ,,,,
715,Oud,Bfben,3,2001 ,,,,
716,Oud,Bfben,3,2002 ,,,,
717,Oud,Bfben,3,2003 ,,,,
718,Oud,Bfben,3,2004 ,,,,
719,Oud,Bfben,3,2005 ,,,,
