ID,BedrijfSector,Perioden,TotaalUitgaven_1,TotaalUitgavenVoorVerwarming_2,Aardgas_3,Warmte_4,OverigeEnergieVoorVerwarming_5,Elektriciteit_6,Motorbrandstoffen_7,TotaalEnergieverbruik_8,TotaalEnergieVoorVerwarming_9,Aardgas_10,Warmte_11,OverigeEnergieVoorVerwarming_12,Elektriciteit_13,Motorbrandstoffen_14,TotaalEnergieverbruik_15,TotaalEnergieVoorVerwarming_16,Aardgas_17,Warmte_18,OverigeEnergieVoorVerwarming_19,Elektriciteit_20,Motorbrandstoffen_21,TotaalPerM2Glas_22,EnergieVoorVerwarming_23,Elektriciteit_24,Motorbrandstoffen_25,TotaalUitgavenPerM2Glas_26,EnergieVoorVerwarming_27,Elektriciteit_28,Motorbrandstoffen_29,TotaalEnergieverbruikPerBedrijf_30,TotaalEnergieVoorVerwarming_31,Aardgas_32,Warmte_33,OverigeEnergieVoorVerwarming_34,Elektriciteit_35,Motorbrandstoffen_36,TotaalUitgavenPerBedrijf_37,TotaalEnergieVoorVerwarming_38,Aardgas_39,Warmte_40,OverigeEnergieVoorVerwarming_41,Elektriciteit_42,Motorbrandstoffen_43,TotaalEnergieverbruikPerBedrijf_44,TotaalEnergieVoorVerwarming_45,Aardgas_46,Warmte_47,OverigeEnergieVoorVerwarming_48,Elektriciteit_49,Motorbrandstoffen_50
55,03,1990JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,03,1991JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,03,1992JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,03,1993JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,03,1994JJ00,224.4,199.8,187.1,12.1,0.6,21.2,3.4,61.41,59.93,59.0,0.85,0.08,0.99,0.49,1940.2,1893.6,1864.1,26.9,2.6,274.0,13.6,,,,,,,,,16297.0,15906.0,15658.0,226.0,22.0,262.0,129.0,59581.0,53047.0,49644.0,3222.0,182.0,5627.0,908.0,514905.0,502546.0,494715.0,7146.0,684.0,72722.0,3605.0
60,03,1995JJ00,227.3,201.7,187.7,13.3,0.6,22.2,3.4,59.11,57.67,56.89,0.71,0.08,0.97,0.47,1867.7,1822.2,1797.5,22.3,2.4,270.0,13.0,,,,,,,,,16329.0,15932.0,15716.0,195.0,21.0,268.0,129.0,62803.0,55724.0,51867.0,3676.0,182.0,6126.0,953.0,515931.0,503368.0,496541.0,6166.0,661.0,74522.0,3604.0
61,03,1996JJ00,253.8,228.1,206.2,20.3,1.5,22.5,3.3,65.99,64.71,57.78,6.71,0.22,0.93,0.34,2085.1,2044.7,1825.7,212.1,6.8,260.0,9.6,,,,,,,,,19502.0,19123.0,17076.0,1984.0,64.0,276.0,102.0,74964.0,67386.0,60943.0,5990.0,454.0,6625.0,953.0,616164.0,604216.0,539513.0,62692.0,2012.0,76727.0,2841.0
62,03,1997JJ00,244.6,217.7,190.2,26.5,1.0,23.4,3.5,57.34,56.04,47.58,8.31,0.15,0.89,0.41,1811.8,1770.6,1503.2,262.7,4.8,248.0,11.5,,,,,,,,,17542.0,17143.0,14554.0,2543.0,46.0,273.0,126.0,74828.0,66615.0,58175.0,8123.0,318.0,7124.0,1089.0,554247.0,541644.0,459843.0,80348.0,1453.0,75880.0,3504.0
63,03,1998JJ00,252.3,223.3,191.2,31.7,0.4,25.8,3.2,58.57,57.26,47.21,9.99,0.06,0.88,0.43,1850.6,1809.2,1491.6,315.8,1.8,245.0,11.9,,,,,,,,,18612.0,18195.0,15001.0,3176.0,19.0,281.0,136.0,80183.0,70926.0,60761.0,10074.0,91.0,8213.0,1044.0,588045.0,574893.0,473967.0,340.0,586.0,77979.0,3777.0
64,03,1999JJ00,213.3,187.0,155.3,31.7,0.1,23.0,3.3,56.75,55.47,45.37,10.1,0.01,0.95,0.33,1793.1,1752.7,1433.3,319.0,0.3,264.0,9.1,,,,,,,,,19488.0,19049.0,15579.0,3467.0,3.0,327.0,113.0,73252.0,64226.0,53323.0,10870.0,34.0,7900.0,1126.0,615750.0,601878.0,492219.0,9555.0,92.0,90705.0,3137.0
65,03,2000JJ00,241.5,212.8,173.8,38.9,0.1,25.7,3.0,54.86,53.56,43.54,10.02,0.01,1.01,0.29,1733.3,1692.3,1375.6,316.5,0.2,280.0,8.0,,,,,,,,,20748.0,20258.0,16466.0,3788.0,3.0,382.0,109.0,91356.0,80484.0,65752.0,14698.0,34.0,9725.0,1147.0,655559.0,640059.0,520259.0,19699.0,89.0,106046.0,3034.0
66,03,2001JJ00,269.2,237.9,196.8,41.1,0.1,27.7,3.5,53.72,52.48,42.94,9.53,0.01,0.95,0.29,1697.2,1658.1,1356.8,301.0,0.2,264.0,8.1,,,,,,,,,21907.0,21402.0,17513.0,3885.0,3.0,387.0,118.0,109777.0,97042.0,80245.0,16754.0,43.0,11311.0,1425.0,692163.0,676213.0,553341.0,22763.0,97.0,107489.0,3286.0
67,03,2002JJ00,297.7,259.8,216.4,43.3,0.1,34.2,3.6,51.1,49.82,41.16,8.65,0.01,1.02,0.26,1614.5,1574.0,1300.5,273.3,0.2,283.0,7.3,,,,,,,,,21903.0,21354.0,17643.0,3708.0,3.0,437.0,113.0,127597.0,111376.0,92759.0,18570.0,47.0,14660.0,1561.0,692042.0,674677.0,557428.0,17145.0,92.0,121418.0,3137.0
68,03,2003JJ00,,,,,,,,55.09,54.07,49.29,4.72,0.07,0.97,0.04,1740.5,1708.5,1557.2,149.1,2.2,270.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,03,2004JJ00,,,,,,,,57.79,56.87,49.88,6.91,0.08,0.87,0.05,1826.0,1797.0,1576.1,218.4,2.5,241.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,03,2005JJ00,,,,,,,,57.55,56.85,50.71,6.14,0.01,0.65,0.04,1818.3,1796.4,1602.3,193.9,0.2,182.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,03,2006JJ00,,,,,,,,54.03,54.1,47.32,6.77,0.0,-0.09,0.03,1707.2,1709.2,1495.2,213.8,0.1,-26.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,05,1989JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,05,1990JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,05,1991JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,05,1992JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,05,1993JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,05,1994JJ00,297.9,239.0,230.7,6.8,1.5,52.6,6.3,76.97,73.38,72.51,0.48,0.39,2.69,0.9,2431.8,2318.5,2290.9,15.1,12.5,746.0,25.1,,,,,,,,,12986.0,12381.0,12234.0,80.0,67.0,453.0,152.0,50279.0,40341.0,38934.0,1134.0,272.0,8894.0,1044.0,410299.0,391172.0,386525.0,2543.0,2104.0,125872.0,4242.0
