ID,Geslacht,Kenmerken,Perioden,WerknemersMetKinderenTot8Jaar_1,WerknemersMetOuderschapsverlof_2,GeenOuderschapsverlofWelBehoefte_3,GeenOuderschapsverlofGeenBehoefte_4,OuderschapsverlofOnbekend_5
201,1,24,2007JJ00,,,,,
202,1,24,2009JJ00,,,,,
203,1,24,2011JJ00,,,,,
204,1,24,2013JJ00,,,,,
205,1,25,2005JJ00,19.0,,19.0,,
206,1,25,2007JJ00,19.0,,19.0,,
207,1,25,2009JJ00,16.0,,16.0,,
208,1,25,2011JJ00,19.0,,19.0,,
209,1,25,2013JJ00,14.0,,14.0,,
210,2,11,2005JJ00,593.0,76.0,54.0,387.0,76.0
211,2,11,2007JJ00,642.0,74.0,66.0,413.0,89.0
212,2,11,2009JJ00,657.0,79.0,63.0,425.0,89.0
213,2,11,2011JJ00,640.0,96.0,48.0,411.0,84.0
214,2,11,2013JJ00,616.0,123.0,42.0,359.0,92.0
215,2,12,2005JJ00,296.0,29.0,20.0,211.0,36.0
216,2,12,2007JJ00,290.0,21.0,22.0,205.0,43.0
217,2,12,2009JJ00,266.0,18.0,19.0,192.0,37.0
218,2,12,2011JJ00,239.0,23.0,15.0,174.0,27.0
219,2,12,2013JJ00,194.0,21.0,9.0,134.0,30.0
220,2,13,2005JJ00,241.0,37.0,29.0,140.0,35.0
221,2,13,2007JJ00,287.0,39.0,36.0,172.0,39.0
222,2,13,2009JJ00,316.0,46.0,36.0,191.0,43.0
223,2,13,2011JJ00,324.0,56.0,26.0,194.0,48.0
224,2,13,2013JJ00,340.0,78.0,26.0,187.0,50.0
225,2,14,2005JJ00,56.0,11.0,5.0,35.0,5.0
226,2,14,2007JJ00,65.0,14.0,9.0,36.0,7.0
227,2,14,2009JJ00,76.0,15.0,8.0,43.0,10.0
228,2,14,2011JJ00,76.0,18.0,7.0,42.0,9.0
229,2,14,2013JJ00,82.0,24.0,7.0,38.0,12.0
230,2,26,2005JJ00,46.0,3.0,5.0,32.0,5.0
231,2,26,2007JJ00,32.0,,4.0,22.0,4.0
232,2,26,2009JJ00,27.0,,3.0,19.0,3.0
233,2,26,2011JJ00,,,,,
234,2,26,2013JJ00,,,,,
235,2,27,2005JJ00,144.0,11.0,13.0,107.0,13.0
236,2,27,2007JJ00,95.0,5.0,12.0,67.0,12.0
237,2,27,2009JJ00,79.0,5.0,9.0,55.0,10.0
238,2,27,2011JJ00,,,,,
239,2,27,2013JJ00,,,,,
240,2,28,2005JJ00,220.0,29.0,19.0,143.0,28.0
241,2,28,2007JJ00,233.0,27.0,25.0,153.0,29.0
242,2,28,2009JJ00,199.0,18.0,22.0,138.0,20.0
243,2,28,2011JJ00,,,,,
244,2,28,2013JJ00,,,,,
245,2,29,2005JJ00,97.0,13.0,9.0,58.0,18.0
246,2,29,2007JJ00,137.0,18.0,14.0,85.0,21.0
247,2,29,2009JJ00,162.0,21.0,13.0,103.0,26.0
248,2,29,2011JJ00,,,,,
249,2,29,2013JJ00,,,,,
250,2,30,2005JJ00,83.0,19.0,7.0,45.0,11.0
251,2,30,2007JJ00,140.0,23.0,11.0,84.0,22.0
252,2,30,2009JJ00,180.0,33.0,15.0,102.0,30.0
253,2,30,2011JJ00,,,,,
254,2,30,2013JJ00,,,,,
255,2,31,2005JJ00,3.0,,,2.0,
256,2,31,2007JJ00,4.0,,,3.0,
257,2,31,2009JJ00,11.0,,2.0,8.0,
258,2,31,2011JJ00,,,,,
259,2,31,2013JJ00,,,,,
260,2,15,2005JJ00,9.0,9.0,,,
261,2,15,2007JJ00,8.0,8.0,,,
262,2,15,2009JJ00,7.0,7.0,,,
263,2,15,2011JJ00,9.0,9.0,,,
264,2,15,2013JJ00,10.0,10.0,,,
265,2,16,2005JJ00,35.0,35.0,,,
266,2,16,2007JJ00,32.0,32.0,,,
267,2,16,2009JJ00,35.0,35.0,,,
268,2,16,2011JJ00,37.0,37.0,,,
269,2,16,2013JJ00,47.0,47.0,,,
270,2,17,2005JJ00,31.0,31.0,,,
271,2,17,2007JJ00,34.0,34.0,,,
272,2,17,2009JJ00,36.0,36.0,,,
273,2,17,2011JJ00,47.0,47.0,,,
274,2,17,2013JJ00,60.0,60.0,,,
275,2,18,2005JJ00,18.0,,18.0,,
276,2,18,2007JJ00,25.0,,25.0,,
277,2,18,2009JJ00,24.0,,24.0,,
278,2,18,2011JJ00,15.0,,15.0,,
279,2,18,2013JJ00,17.0,,17.0,,
280,2,19,2005JJ00,3.0,,3.0,,
281,2,19,2007JJ00,2.0,,2.0,,
282,2,19,2009JJ00,2.0,,2.0,,
283,2,19,2011JJ00,2.0,,2.0,,
284,2,19,2013JJ00,2.0,,2.0,,
285,2,20,2005JJ00,2.0,,2.0,,
286,2,20,2007JJ00,,,,,
287,2,20,2009JJ00,,,,,
288,2,20,2011JJ00,,,,,
289,2,20,2013JJ00,2.0,,2.0,,
290,2,21,2005JJ00,10.0,,10.0,,
291,2,21,2007JJ00,13.0,,13.0,,
292,2,21,2009JJ00,12.0,,12.0,,
293,2,21,2011JJ00,9.0,,9.0,,
294,2,21,2013JJ00,8.0,,8.0,,
295,2,22,2005JJ00,3.0,,3.0,,
296,2,22,2007JJ00,7.0,,7.0,,
297,2,22,2009JJ00,6.0,,6.0,,
298,2,22,2011JJ00,4.0,,4.0,,
299,2,22,2013JJ00,4.0,,4.0,,
300,2,23,2005JJ00,,,,,
301,2,23,2007JJ00,,,,,
302,2,23,2009JJ00,,,,,
303,2,23,2011JJ00,,,,,
304,2,23,2013JJ00,,,,,
305,2,24,2005JJ00,2.0,,2.0,,
306,2,24,2007JJ00,2.0,,2.0,,
307,2,24,2009JJ00,,,,,
308,2,24,2011JJ00,,,,,
309,2,24,2013JJ00,,,,,
310,2,25,2005JJ00,15.0,,15.0,,
311,2,25,2007JJ00,15.0,,15.0,,
312,2,25,2009JJ00,16.0,,16.0,,
313,2,25,2011JJ00,15.0,,15.0,,
314,2,25,2013JJ00,8.0,,8.0,,
