ID,SBI93,Grootteklassen,Perioden,Bedrijven_1,WerkzamePersonen_2,Werknemers_3,VerloondeSocialeVerzekeringsdagen_4,GewerkteDagen_5,Totaal_6,ProductieBouwbedrijf_7,OmzetHandelEnOverigeOpbrengsten_8,Totaal_9,Totaal_10,VoorBouwactiviteiten_11,VoorHandelEnOvActiviteiten_12,BetalingenAanOnderaannemers_13,KostenEnergieverbruik_14,OverigeBedrijfskosten_15,Totaal_16,Arbeidskosten_17,SubsidiesEnHeffingen_18,Totaal_19,SaldoInterest_20,SaldoBatenEnLasten_21,SaldoVoorzieningen_22,AfschrijvingenOpVasteActiva_23,SaldoBouwactiviteitenBuitenland_24,ResultaatVoorBelastingen_25,CodeBedrijfsactiviteit_26
575,4534  ,G,1999JJ00,60,11.0,11.0,2794.0,2397.0,2575.0,1593.0,982.0,2027.0,1659.0,795.0,817.0,148.0,3.0,219.0,548.0,435.0,0.0,113.0,-32.0,12.0,0.0,34.0,42.0,102.0,4534  
576,4534  ,A,1997JJ00,171,0.0,0.0,13.0,12.0,17.0,16.0,1.0,11.0,8.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,4534  
577,4534  ,A,1998JJ00,156,0.0,0.0,22.0,20.0,12.0,11.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4534  
578,4534  ,A,1999JJ00,133,0.0,0.0,7.0,7.0,7.0,5.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4534  
579,4534  ,B,1997JJ00,82,0.0,0.0,92.0,82.0,37.0,35.0,2.0,24.0,16.0,0.0,0.0,0.0,0.0,6.0,14.0,10.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,4534  
580,4534  ,B,1998JJ00,74,0.0,0.0,78.0,66.0,32.0,30.0,2.0,20.0,15.0,0.0,0.0,1.0,0.0,5.0,12.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,4534  
581,4534  ,B,1999JJ00,79,0.0,0.0,67.0,61.0,32.0,28.0,4.0,20.0,15.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,4534  
582,4534  ,C,1997JJ00,36,2.0,2.0,372.0,326.0,137.0,106.0,30.0,85.0,56.0,17.0,0.0,8.0,0.0,21.0,52.0,43.0,0.0,9.0,-1.0,1.0,0.0,4.0,2.0,7.0,4534  
583,4534  ,C,1998JJ00,43,2.0,2.0,410.0,352.0,157.0,137.0,20.0,100.0,64.0,32.0,1.0,12.0,0.0,24.0,57.0,48.0,0.0,9.0,-1.0,0.0,0.0,4.0,1.0,6.0,4534  
584,4534  ,C,1999JJ00,44,2.0,2.0,491.0,435.0,215.0,191.0,23.0,144.0,90.0,43.0,0.0,25.0,0.0,29.0,71.0,60.0,0.0,11.0,-1.0,0.0,0.0,3.0,1.0,8.0,4534  
585,4534  ,D,1997JJ00,13,7.0,7.0,1659.0,1358.0,1241.0,855.0,386.0,1055.0,872.0,594.0,278.0,68.0,1.0,116.0,186.0,237.0,0.0,-52.0,0.0,1.0,0.0,17.0,108.0,41.0,4534  
586,4534  ,D,1998JJ00,16,9.0,9.0,2190.0,1819.0,1875.0,1321.0,555.0,1478.0,1144.0,776.0,367.0,111.0,3.0,224.0,398.0,360.0,0.0,37.0,2.0,6.0,5.0,24.0,61.0,86.0,4534  
587,4534  ,D,1999JJ00,16,9.0,9.0,2303.0,1962.0,2361.0,1402.0,959.0,1883.0,1570.0,752.0,817.0,124.0,3.0,190.0,478.0,375.0,0.0,102.0,-30.0,12.0,0.0,31.0,40.0,94.0,4534  
588,454   ,T,1997JJ00,20751,72.0,59.0,12284.0,11255.0,4514.0,4301.0,213.0,2284.0,1226.0,537.0,18.0,429.0,12.0,629.0,2230.0,1622.0,3.0,605.0,-28.0,4.0,-3.0,112.0,14.0,481.0,454   
589,454   ,T,1998JJ00,22458,75.0,60.0,12976.0,11790.0,4928.0,4740.0,188.0,2525.0,1357.0,604.0,19.0,515.0,14.0,653.0,2402.0,1742.0,2.0,658.0,-27.0,-3.0,-4.0,120.0,17.0,521.0,454   
590,454   ,T,1999JJ00,24724,75.0,59.0,12863.0,11764.0,5223.0,5091.0,131.0,2641.0,1410.0,604.0,27.0,531.0,13.0,699.0,2582.0,1807.0,-2.0,772.0,-27.0,0.0,-3.0,125.0,24.0,642.0,454   
591,454   ,K,1997JJ00,19522,39.0,25.0,5280.0,4866.0,2245.0,2083.0,162.0,1123.0,671.0,0.0,0.0,147.0,7.0,305.0,1123.0,638.0,4.0,481.0,-17.0,2.0,-2.0,68.0,2.0,398.0,454   
