ID,TypeLozing,IndustrieVolgensSBI93,Perioden,FosforverbindingenAlsP_1,StikstofverbindingenAlsN_2,AntimoonverbindingenAlsSb_3,ArseenverbindingenAlsAs_4,CadmiumverbindingenAlsCd_5,ChroomverbindingenAlsCr_6,KobaltverbindingenAlsCo_7,KoperverbindingenAlsCu_8,KwikverbindingenAlsHg_9,LoodverbindingenAlsPb_10,NikkelverbindingenAlsNi_11,ZinkverbindingenAlsZn_12,Benzeen_13,Ethylbenzeen_14,Isopropylbenzeen_15,SomPAK6VanBorneff_16,Tolueen_17,XyleenTotaal_18,Dichloorethaan12_19,Hexachloorbutadieen_20,TetrachlooretheenPer_21,TetrachloormethaanTetra_22,DrinsAldrinDieldrinEnz_23,Hexachloorbenzenen_24,Pentachloorfenol_25,ChloorverbAnorgChloridenAlsCl_26,Fluoriden_27,CyanidenAnorganischAlsCN_28,CZV_29
221,T         ,246       ,2005JJ00  ,14.0,267.0,0.0,46.1,2.739,36.3,17.1,152.0,1.014,13.0,44.0,464.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.089,2151.0,0.0,2.0,2970.0
222,T         ,246       ,2006JJ00  ,12.0,970.0,0.0,46.5,3.007,58.3,2.1,129.0,2.144,10.0,141.0,1074.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099.0,0.0,2.0,2761.0
223,T         ,246       ,2007JJ00  ,6.0,535.0,0.0,50.3,3.57,65.8,0.0,135.0,1.334,7.0,88.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,1309.0,0.0,0.0,2506.0
224,T         ,246       ,2008JJ00  ,3.0,399.0,0.0,39.3,0.882,26.7,7.0,82.0,0.757,4.0,36.0,161.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0,0.0,0.0,1609.0
225,T         ,247       ,1990JJ00  ,1.0,42.0,43.0,138.0,0.0,0.0,,0.0,0.0,0.0,0.0,16040.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,2.0,149.0,0.0,0.0,0.0,10372.0,42.0,0.0,816.0
226,T         ,247       ,1995JJ00  ,5.0,95.0,139.7,20.0,0.1,2.1,,38.0,1.055,5.0,1.0,3382.0,0.0,0.6,0.0,0.0,0.2,1.6,0.0,0.0,0.242,0.165,0.0,0.0,0.0,1463.0,4.0,0.0,635.0
227,T         ,247       ,2000JJ00  ,4.0,55.0,0.0,0.9,0.004,4.2,,28.0,0.317,1.0,2.0,647.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,9311.0,0.0,0.0,300.0
228,T         ,247       ,2003JJ00  ,1.0,48.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,9.0,0.0,0.0,333.0
229,T         ,247       ,2004JJ00  ,1.0,283.0,0.0,0.0,0.0,5.0,0.0,24.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,10612.0,0.0,0.0,473.0
230,T         ,247       ,2005JJ00  ,0.0,156.0,0.0,0.0,0.0,3.7,0.0,12.0,0.0,0.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,9549.0,0.0,0.0,231.0
