ID,Huishoudkenmerken,Perioden,ToegangTotPC_1,Desktop_2,Laptop_3,WelToegangInternet_4,GeenToegangInternet_5,EldersInternetten_6,WilNietGeenInteresse_7,FinancieleRedenen_8,OnvoldoendeKennisFysiekeBeperking_9,PrivacyEnVeiligheid_10,AndereReden_11,TotaalGeenBreedband_12,AnaloogModem_13,ISDN_14,MobieleTelefoonWAPGPRS_15,TotaalBreedband_16,ADSL_17,Kabel_18,TotaalGeenBreedband_19,AnaloogModem_20,ISDN_21,MobieleTelefoonWAPGPRS_22,TotaalBreedband_23,ADSL_24,Kabel_25,PersonalComputer_26,PCDesktop_27,Laptop_28,MobieleTelefoon_29,AndereApparatuur_30,PersonalComputer_31,PCDesktop_32,Laptop_33,MobieleTelefoon_34,AndereApparatuur_35
60,21720,2011JJ00,88.0,61.0,66.0,87.0,13.0,1.0,9.0,2.0,4.0,2.0,0.0,10.0,,,,76.0,,,12.0,,,,87.0,,,86.0,56.0,64.0,42.0,24.0,98.0,65.0,73.0,48.0,28.0
61,21720,2012JJ00,87.0,62.0,66.0,86.0,14.0,0.0,10.0,4.0,3.0,1.0,2.0,10.0,,,,76.0,,,12.0,,,,88.0,,,85.0,58.0,64.0,47.0,28.0,99.0,68.0,75.0,55.0,32.0
62,21720,2013JJ00,90.0,63.0,66.0,91.0,9.0,0.0,6.0,4.0,1.0,1.0,0.0,8.0,,,,83.0,,,8.0,,,,92.0,,,88.0,60.0,64.0,55.0,50.0,98.0,66.0,71.0,60.0,55.0
63,21730,2005JJ00,77.0,74.0,19.0,72.0,28.0,2.0,17.0,5.0,4.0,0.0,5.0,21.0,16.0,5.0,2.0,51.0,32.0,20.0,29.0,23.0,6.0,3.0,71.0,45.0,27.0,71.0,68.0,12.0,9.0,2.0,99.0,95.0,17.0,12.0,3.0
64,21730,2006JJ00,78.0,70.0,28.0,75.0,25.0,2.0,17.0,2.0,3.0,0.0,3.0,13.0,10.0,2.0,1.0,62.0,37.0,26.0,17.0,14.0,3.0,1.0,83.0,50.0,34.0,74.0,65.0,22.0,9.0,5.0,99.0,87.0,29.0,12.0,6.0
65,21730,2007JJ00,81.0,71.0,35.0,77.0,23.0,2.0,15.0,4.0,4.0,1.0,3.0,9.0,7.0,1.0,1.0,68.0,45.0,24.0,12.0,9.0,2.0,1.0,88.0,59.0,32.0,76.0,66.0,29.0,14.0,6.0,99.0,85.0,38.0,19.0,8.0
66,21730,2008JJ00,85.0,76.0,42.0,82.0,18.0,3.0,11.0,1.0,3.0,0.0,3.0,10.0,3.0,6.0,1.0,72.0,40.0,36.0,12.0,4.0,7.0,1.0,88.0,49.0,44.0,81.0,70.0,37.0,16.0,14.0,98.0,86.0,45.0,20.0,17.0
67,21730,2009JJ00,86.0,73.0,49.0,84.0,16.0,1.0,11.0,3.0,2.0,1.0,2.0,13.0,5.0,4.0,1.0,70.0,51.0,25.0,16.0,6.0,5.0,2.0,84.0,61.0,30.0,83.0,69.0,45.0,22.0,16.0,99.0,82.0,53.0,26.0,19.0
68,21730,2010JJ00,89.0,71.0,58.0,86.0,14.0,2.0,10.0,2.0,2.0,0.0,1.0,6.0,1.0,2.0,2.0,80.0,51.0,32.0,7.0,2.0,2.0,2.0,93.0,60.0,37.0,86.0,67.0,56.0,29.0,18.0,100.0,77.0,65.0,33.0,21.0
69,21730,2011JJ00,90.0,71.0,63.0,89.0,11.0,1.0,8.0,0.0,1.0,0.0,1.0,8.0,,,,80.0,,,9.0,,,,90.0,,,88.0,67.0,60.0,38.0,23.0,99.0,75.0,67.0,42.0,25.0
70,21730,2012JJ00,92.0,67.0,69.0,91.0,9.0,1.0,7.0,1.0,1.0,1.0,1.0,14.0,,,,78.0,,,15.0,,,,85.0,,,91.0,63.0,67.0,48.0,28.0,99.0,69.0,74.0,52.0,31.0
71,21730,2013JJ00,91.0,59.0,70.0,91.0,9.0,0.0,6.0,2.0,3.0,1.0,1.0,10.0,,,,81.0,,,11.0,,,,89.0,,,90.0,56.0,68.0,57.0,43.0,99.0,62.0,75.0,63.0,47.0
72,21740,2005JJ00,82.0,78.0,28.0,79.0,21.0,3.0,12.0,2.0,2.0,1.0,6.0,25.0,20.0,6.0,1.0,54.0,34.0,21.0,31.0,25.0,7.0,2.0,69.0,44.0,26.0,78.0,74.0,20.0,8.0,2.0,100.0,94.0,26.0,10.0,3.0
73,21740,2006JJ00,86.0,80.0,33.0,81.0,19.0,2.0,13.0,3.0,2.0,1.0,2.0,14.0,9.0,4.0,3.0,67.0,43.0,25.0,17.0,11.0,5.0,3.0,83.0,53.0,31.0,81.0,74.0,24.0,11.0,3.0,99.0,91.0,30.0,14.0,4.0
74,21740,2007JJ00,86.0,78.0,38.0,82.0,18.0,2.0,11.0,2.0,2.0,1.0,3.0,9.0,4.0,4.0,1.0,73.0,45.0,29.0,11.0,5.0,5.0,1.0,89.0,55.0,35.0,82.0,74.0,33.0,16.0,10.0,100.0,90.0,40.0,20.0,12.0
75,21740,2008JJ00,89.0,79.0,49.0,88.0,12.0,1.0,6.0,1.0,1.0,0.0,4.0,12.0,5.0,5.0,1.0,76.0,47.0,31.0,14.0,6.0,6.0,1.0,86.0,54.0,36.0,87.0,75.0,45.0,19.0,12.0,99.0,86.0,51.0,21.0,13.0
