ID,WoonlandVanGasten,Sterklassen,Perioden,Gasten_1,Overnachtingen_2
391,00018,106,2015MM01,767.0,1181.0
392,00018,106,2015MM02,810.0,1247.0
393,00018,106,2015MM03,933.0,1429.0
394,00018,106,2015KW01,2510.0,3858.0
395,00018,106,2015MM04,1103.0,1788.0
396,00018,106,2015MM05,1162.0,1908.0
397,00018,106,2015MM06,1097.0,1729.0
398,00018,106,2015KW02,3361.0,5426.0
399,00018,106,2015MM07,1173.0,2007.0
400,00018,106,2015MM08,1210.0,2165.0
401,00018,106,2015MM09,1107.0,1716.0
402,00018,106,2015KW03,3490.0,5889.0
403,00018,106,2015MM10,1136.0,1767.0
404,00018,106,2015MM11,987.0,1485.0
405,00018,106,2015MM12,905.0,1421.0
406,00018,106,2015KW04,3028.0,4673.0
407,00018,106,2015JJ00,12390.0,19845.0
408,00018,107,2012MM01,66.0,100.0
409,00018,107,2012MM02,68.0,98.0
410,00018,107,2012MM03,84.0,123.0
411,00018,107,2012KW01,218.0,322.0
412,00018,107,2012MM04,101.0,156.0
413,00018,107,2012MM05,114.0,175.0
414,00018,107,2012MM06,104.0,160.0
415,00018,107,2012KW02,319.0,492.0
416,00018,107,2012MM07,99.0,169.0
417,00018,107,2012MM08,101.0,176.0
418,00018,107,2012MM09,101.0,151.0
419,00018,107,2012KW03,301.0,496.0
420,00018,107,2012MM10,96.0,149.0
421,00018,107,2012MM11,92.0,136.0
422,00018,107,2012MM12,70.0,111.0
423,00018,107,2012KW04,258.0,396.0
424,00018,107,2012JJ00,1096.0,1704.0
425,00018,107,2013MM01,68.0,105.0
426,00018,107,2013MM02,67.0,105.0
427,00018,107,2013MM03,88.0,138.0
428,00018,107,2013KW01,223.0,349.0
429,00018,107,2013MM04,98.0,155.0
430,00018,107,2013MM05,107.0,171.0
431,00018,107,2013MM06,109.0,171.0
432,00018,107,2013KW02,315.0,496.0
433,00018,107,2013MM07,105.0,183.0
434,00018,107,2013MM08,110.0,190.0
435,00018,107,2013MM09,103.0,153.0
436,00018,107,2013KW03,318.0,527.0
437,00018,107,2013MM10,98.0,152.0
438,00018,107,2013MM11,93.0,139.0
439,00018,107,2013MM12,75.0,121.0
440,00018,107,2013KW04,267.0,412.0
441,00018,107,2013JJ00,1122.0,1783.0
442,00018,107,2014MM01,68.0,103.0
443,00018,107,2014MM02,73.0,110.0
444,00018,107,2014MM03,85.0,131.0
445,00018,107,2014KW01,226.0,345.0
446,00018,107,2014MM04,97.0,153.0
447,00018,107,2014MM05,103.0,161.0
448,00018,107,2014MM06,110.0,167.0
449,00018,107,2014KW02,310.0,481.0
450,00018,107,2014MM07,104.0,177.0
451,00018,107,2014MM08,109.0,181.0
452,00018,107,2014MM09,103.0,155.0
453,00018,107,2014KW03,316.0,514.0
454,00018,107,2014MM10,101.0,159.0
455,00018,107,2014MM11,92.0,134.0
456,00018,107,2014MM12,73.0,114.0
457,00018,107,2014KW04,266.0,408.0
458,00018,107,2014JJ00,1118.0,1747.0
459,00018,107,2015MM01,69.0,110.0
460,00018,107,2015MM02,73.0,113.0
