ID,Geslacht,Leeftijd,Cijfersoort,Perioden,HasjOfMarihuana_1,Cocaine_2,Amfetaminen_3,Ecstasy_4,Heroine_5,PrestatieverbeterendeMiddelen_6,LSD_7,HasjOfMarihuana_8,Cocaine_9,Amfetaminen_10,Ecstasy_11,Heroine_12,PrestatieverbeterendeMiddelen_13,LSD_14
95,2,5,2,2009JJ00,24.7,4.7,1.1,3.0,0.2,1.2,0.3,2.3,0.0,,,0.0,,0.0
96,2,5,3,2007JJ00,28.6,5.9,4.6,5.5,2.5,3.5,2.9,5.1,0.0,0.0,0.0,0.0,,0.0
97,2,5,3,2008JJ00,30.7,8.7,6.2,8.0,3.3,3.2,3.3,6.7,1.1,1.6,0.9,0.0,,0.0
98,2,5,3,2009JJ00,32.0,8.8,3.3,6.6,1.9,3.6,1.9,5.4,1.9,,,0.0,,
99,2,6,1,2007JJ00,14.1,3.2,1.8,1.3,1.2,0.4,2.3,1.5,0.0,0.0,0.0,0.2,,0.0
100,2,6,1,2008JJ00,17.9,2.7,2.4,0.8,1.0,0.7,2.8,1.4,0.2,0.2,0.1,0.0,,0.0
101,2,6,1,2009JJ00,18.2,2.7,2.4,1.3,0.9,0.4,1.5,1.6,0.0,0.0,0.0,0.0,,0.0
102,2,6,2,2007JJ00,11.2,2.2,1.1,0.7,0.6,0.2,1.4,0.9,0.0,0.0,0.0,0.0,,0.0
103,2,6,2,2008JJ00,15.5,1.8,1.6,0.4,0.5,0.3,1.9,0.8,0.1,0.1,0.0,0.0,,0.0
104,2,6,2,2009JJ00,15.6,1.7,1.5,0.7,0.4,0.1,0.9,0.9,,,,0.0,,0.0
105,2,6,3,2007JJ00,16.6,4.7,3.0,2.3,2.4,1.2,3.6,2.7,0.0,0.0,0.0,1.4,,0.0
106,2,6,3,2008JJ00,20.6,4.0,3.7,1.6,1.9,1.5,4.1,2.4,0.9,0.9,0.7,0.0,,0.0
107,2,6,3,2009JJ00,21.2,4.2,3.8,2.5,2.0,1.0,2.7,2.9,,,,0.0,,
108,3,1,1,2007JJ00,18.1,2.6,0.4,1.9,0.0,0.8,0.0,6.6,0.5,0.0,0.0,0.0,,0.0
109,3,1,1,2008JJ00,21.9,1.2,1.1,2.3,0.0,0.0,1.2,3.2,0.0,0.0,0.0,0.0,,0.0
110,3,1,1,2009JJ00,15.1,1.8,1.5,2.2,0.8,0.8,0.8,4.2,0.6,0.6,0.6,0.6,,0.6
111,3,1,2,2007JJ00,13.3,1.1,0.1,0.8,0.0,0.2,0.0,4.1,0.1,0.0,0.0,0.0,,0.0
112,3,1,2,2008JJ00,17.3,0.4,0.4,1.0,0.0,0.0,0.4,1.6,0.0,0.0,0.0,0.0,,0.0
113,3,1,2,2009JJ00,11.0,0.7,0.6,1.0,0.2,0.2,0.2,2.3,0.1,0.1,0.1,0.1,,0.1
114,3,1,3,2007JJ00,24.1,6.2,2.6,4.1,0.0,3.0,0.0,10.4,3.4,0.0,0.0,0.0,,0.0
115,3,1,3,2008JJ00,27.2,3.7,3.1,5.0,0.0,0.0,3.7,6.0,0.0,0.0,0.0,0.0,,0.0
