ID,StationDistrict,Perioden,Temperatuur_1,Zonneschijn_2,Neerslag_3
556,Eeld,1996MM09,12.0,162.6,52.5
557,Eeld,1996MM10,9.9,109.2,56.6
558,Eeld,1996MM11,5.1,57.1,122.0
559,Eeld,1996MM12,-0.4,69.7,43.6
560,Eeld,1996JJ00,7.5,1556.0,583.4
561,Eeld,1997MM01,-0.6,74.6,5.5
562,Eeld,1997MM02,5.3,78.7,81.9
563,Eeld,1997MM03,6.3,116.9,34.8
564,Eeld,1997MM04,6.9,176.2,31.4
565,Eeld,1997MM05,11.8,184.2,92.8
566,Eeld,1997MM06,15.2,199.5,110.6
567,Eeld,1997MM07,17.4,208.0,68.3
568,Eeld,1997MM08,20.3,231.0,50.0
569,Eeld,1997MM09,13.3,145.7,33.4
570,Eeld,1997MM10,8.8,121.0,80.1
571,Eeld,1997MM11,5.2,56.0,23.0
572,Eeld,1997MM12,4.1,43.4,80.9
573,Eeld,1997JJ00,9.6,1635.2,692.7
574,Eeld,1998MM01,4.4,61.1,84.7
575,Eeld,1998MM02,6.0,76.9,19.9
576,Eeld,1998MM03,6.8,107.5,83.6
577,Eeld,1998MM04,8.9,94.6,112.2
578,Eeld,1998MM05,13.6,226.9,26.8
579,Eeld,1998MM06,15.3,139.3,120.9
580,Eeld,1998MM07,15.4,135.5,102.7
581,Eeld,1998MM08,15.6,171.0,70.0
582,Eeld,1998MM09,14.0,81.1,96.5
583,Eeld,1998MM10,9.1,70.7,193.2
584,Eeld,1998MM11,3.2,89.1,79.3
585,Eeld,1998MM12,3.3,61.9,92.7
586,Eeld,1998JJ00,9.6,1315.6,1082.5
587,Eeld,1999MM01,4.5,58.9,74.3
588,Eeld,1999MM02,2.2,94.1,65.8
589,Eeld,1999MM03,6.6,104.1,71.7
590,Eeld,1999MM04,9.2,183.1,59.5
591,Eeld,1999MM05,13.0,226.2,26.5
592,Eeld,1999MM06,14.2,210.6,76.9
593,Eeld,1999MM07,18.3,244.6,68.7
594,Eeld,1999MM08,16.9,157.4,71.7
595,Eeld,1999MM09,17.1,166.6,68.7
596,Eeld,1999MM10,10.3,120.4,54.6
597,Eeld,1999MM11,4.0,71.1,65.1
598,Eeld,1999MM12,4.0,61.5,175.4
599,Eeld,1999JJ00,10.0,1698.6,878.9
600,Eeld,2000MM01,4.0,53.4,59.5
601,Eeld,2000MM02,5.3,96.2,73.4
602,Bilt,1960X001,1.7,56.3,69.0
603,Bilt,1960X002,2.0,69.0,53.0
604,Bilt,1960X003,5.0,126.6,44.0
605,Bilt,1960X004,8.5,163.5,50.0
606,Bilt,1960X005,12.4,210.5,54.0
607,Bilt,1960X006,15.5,222.6,58.0
608,Bilt,1960X007,17.0,198.5,85.0
609,Bilt,1960X008,16.8,186.2,93.0
610,Bilt,1960X009,14.3,146.1,72.0
611,Bilt,1960X010,10.0,101.5,70.0
612,Bilt,1960X011,5.9,50.4,71.0
613,Bilt,1960X012,3.0,41.2,65.0
614,Bilt,1960X013,9.3,1572.4,784.0
615,Bilt,1980X001,2.0,48.9,69.0
616,Bilt,1980X002,2.3,65.5,52.0
617,Bilt,1980X003,4.8,111.3,53.0
618,Bilt,1980X004,8.0,160.8,54.0
619,Bilt,1980X005,12.1,202.3,57.0
620,Bilt,1980X006,15.2,209.0,67.0
621,Bilt,1980X007,16.6,185.0,86.0
622,Bilt,1980X008,16.4,182.4,89.0
623,Bilt,1980X009,14.0,140.5,67.0
624,Bilt,1980X010,10.3,102.5,65.0
625,Bilt,1980X011,5.8,52.6,75.0
626,Bilt,1980X012,3.2,43.8,81.0
627,Bilt,1980X013,9.3,1504.6,815.0
628,Bilt,1980MM01,0.2,50.0,51.0
629,Bilt,1980MM02,4.8,58.6,63.0
630,Bilt,1980MM03,4.7,60.7,66.0
631,Bilt,1980MM04,8.0,160.7,53.0
632,Bilt,1980MM05,12.3,278.6,15.0
633,Bilt,1980MM06,15.0,166.8,74.0
634,Bilt,1980MM07,15.8,131.0,155.0
635,Bilt,1980MM08,17.0,145.3,57.0
636,Bilt,1980MM09,15.3,161.8,35.0
637,Bilt,1980MM10,9.4,94.4,77.0
638,Bilt,1980MM11,4.9,65.7,82.0
639,Bilt,1980MM12,3.6,53.8,80.0
640,Bilt,1980JJ00,9.3,1427.4,808.0
641,Bilt,1981MM01,2.7,49.9,114.0
642,Bilt,1981MM02,1.5,78.9,39.0
643,Bilt,1981MM03,8.1,45.9,148.0
644,Bilt,1981MM04,8.3,140.0,16.0
645,Bilt,1981MM05,13.3,191.0,96.0
646,Bilt,1981MM06,14.4,130.0,13.0
647,Bilt,1981MM07,16.3,167.8,72.0
648,Bilt,1981MM08,16.7,173.3,30.0
649,Bilt,1981MM09,14.7,162.0,49.0
650,Bilt,1981MM10,8.5,74.6,146.0
651,Bilt,1981MM11,6.7,55.0,70.0
652,Bilt,1981MM12,-0.7,39.6,86.0
653,Bilt,1981JJ00,9.3,1308.1,929.0
654,Bilt,1982MM01,1.1,80.8,58.0
655,Bilt,1982MM02,2.8,100.7,15.0
656,Bilt,1982MM03,5.2,136.9,75.0
657,Bilt,1982MM04,7.6,204.2,28.0
658,Bilt,1982MM05,12.8,239.4,49.0
659,Bilt,1982MM06,16.6,179.3,104.0
660,Bilt,1982MM07,18.9,231.3,16.0
661,Bilt,1982MM08,17.2,179.2,57.0
662,Bilt,1982MM09,15.6,161.2,26.0
663,Bilt,1982MM10,11.1,72.3,90.0
664,Bilt,1982MM11,8.1,34.6,75.0
665,Bilt,1982MM12,3.4,29.5,84.0
666,Bilt,1982JJ00,10.1,1649.4,677.0
667,Bilt,1983MM01,6.2,37.9,102.0
668,Bilt,1983MM02,0.9,110.9,64.0
669,Bilt,1983MM03,5.7,88.4,90.0
670,Bilt,1983MM04,8.5,117.7,87.0
671,Bilt,1983MM05,10.6,103.8,150.0
672,Bilt,1983MM06,16.4,237.5,59.0
673,Bilt,1983MM07,20.1,252.5,12.0
674,Bilt,1983MM08,18.1,217.9,42.0
675,Bilt,1983MM09,14.2,128.2,102.0
676,Bilt,1983MM10,10.4,108.0,53.0
677,Bilt,1983MM11,6.1,81.7,92.0
678,Bilt,1983MM12,3.8,65.8,91.0
679,Bilt,1983JJ00,10.1,1550.3,944.0
680,Bilt,1984MM01,3.4,48.8,155.0
681,Bilt,1984MM02,2.0,78.4,80.0
682,Bilt,1984MM03,4.0,138.7,59.0
683,Bilt,1984MM04,7.9,199.9,18.0
684,Bilt,1984MM05,10.6,110.3,93.0
685,Bilt,1984MM06,13.8,165.7,65.0
686,Bilt,1984MM07,15.9,164.1,81.0
687,Bilt,1984MM08,18.1,207.0,9.0
688,Bilt,1984MM09,13.5,67.9,136.0
689,Bilt,1984MM10,11.7,94.2,124.0
690,Bilt,1984MM11,8.2,64.5,70.0
691,Bilt,1984MM12,4.3,52.3,39.0
692,Bilt,1984JJ00,9.5,1391.8,929.0
693,Bilt,1985MM01,-3.1,47.9,61.0
694,Bilt,1985MM02,-0.6,113.8,5.0
695,Bilt,1985MM03,4.1,75.6,62.0
696,Bilt,1985MM04,8.5,133.9,84.0
697,Bilt,1985MM05,13.2,162.5,58.0
698,Bilt,1985MM06,13.7,157.8,121.0
699,Bilt,1985MM07,17.4,202.6,64.0
700,Bilt,1985MM08,15.9,176.4,84.0
701,Bilt,1985MM09,14.4,122.4,59.0
702,Bilt,1985MM10,10.3,123.9,27.0
703,Bilt,1985MM11,2.6,57.5,83.0
704,Bilt,1985MM12,5.7,15.3,94.0
705,Bilt,1985JJ00,9.0,1389.6,802.0
706,Bilt,1986MM01,2.4,43.6,122.0
707,Bilt,1986MM02,-3.6,99.7,1.0
708,Bilt,1986MM03,4.2,102.7,79.0
709,Bilt,1986MM04,6.2,113.6,41.0
710,Bilt,1986MM05,13.3,229.5,56.0
711,Bilt,1986MM06,16.4,251.2,54.0
712,Bilt,1986MM07,17.2,188.6,36.0
713,Bilt,1986MM08,15.6,167.1,75.0
714,Bilt,1986MM09,11.6,142.2,33.0
715,Bilt,1986MM10,11.4,119.1,117.0
716,Bilt,1986MM11,7.9,54.8,85.0
717,Bilt,1986MM12,5.1,37.5,144.0
718,Bilt,1986JJ00,9.6,1549.6,843.0
719,Bilt,1987MM01,-2.7,58.8,52.0
720,Bilt,1987MM02,2.1,71.2,38.0
721,Bilt,1987MM03,2.3,133.6,92.0
722,Bilt,1987MM04,10.7,151.2,34.0
723,Bilt,1987MM05,10.2,164.2,90.0
724,Bilt,1987MM06,13.8,92.7,85.0
725,Bilt,1987MM07,18.8,194.2,132.0
726,Bilt,1987MM08,18.2,137.5,90.0
727,Bilt,1987MM09,14.8,129.7,75.0
728,Bilt,1987MM10,10.8,111.7,98.0
729,Bilt,1987MM11,6.8,34.6,102.0
730,Bilt,1987MM12,4.4,28.5,66.0
731,Bilt,1987JJ00,8.6,1307.9,954.0
732,Bilt,1988MM01,5.9,32.3,141.0
733,Bilt,1988MM02,4.6,58.2,90.0
734,Bilt,1988MM03,5.1,69.4,115.0
735,Bilt,1988MM04,8.7,195.4,13.0
736,Bilt,1988MM05,14.4,192.6,49.0
737,Bilt,1988MM06,14.8,114.3,18.0
738,Bilt,1988MM07,16.0,128.9,146.0
739,Bilt,1988MM08,16.6,177.8,73.0
740,Bilt,1988MM09,14.0,94.1,88.0
741,Bilt,1988MM10,10.9,71.6,64.0
742,Bilt,1988MM11,6.1,69.2,49.0
743,Bilt,1988MM12,7.0,13.8,93.0
744,Bilt,1988JJ00,10.3,1217.6,939.0
745,Bilt,1989MM01,4.5,52.1,29.0
746,Bilt,1989MM02,5.3,86.5,57.0
747,Bilt,1989MM03,8.2,110.6,109.0
748,Bilt,1989MM04,6.9,106.3,64.0
749,Bilt,1989MM05,14.6,331.0,9.0
750,Bilt,1989MM06,15.7,235.6,83.0
751,Bilt,1989MM07,18.1,214.3,52.0
752,Bilt,1989MM08,17.2,174.3,57.0
753,Bilt,1989MM09,15.6,146.9,62.0
754,Bilt,1989MM10,12.4,112.7,81.0
755,Bilt,1989MM11,5.6,112.6,31.0
756,Bilt,1989MM12,4.8,36.3,86.0
757,Bilt,1989JJ00,10.7,1719.2,720.0
758,Bilt,1990MM01,5.7,29.2,60.0
759,Bilt,1990MM02,7.6,84.5,101.0
760,Bilt,1990MM03,8.5,146.9,65.0
761,Bilt,1990MM04,8.9,220.6,52.0
762,Bilt,1990MM05,13.9,283.9,33.0
763,Bilt,1990MM06,15.0,112.7,86.0
764,Bilt,1990MM07,16.9,252.4,62.0
765,Bilt,1990MM08,18.5,209.6,60.0
766,Bilt,1990MM09,13.1,98.2,102.0
767,Bilt,1990MM10,12.0,109.9,54.0
768,Bilt,1990MM11,6.2,45.9,114.0
769,Bilt,1990MM12,4.2,27.7,71.0
770,Bilt,1990JJ00,10.9,1621.5,789.0
771,Bilt,1990X001,2.2,46.9,65.7
772,Bilt,1990X002,2.5,73.4,47.8
773,Bilt,1990X003,5.0,106.6,62.9
774,Bilt,1990X004,8.0,152.5,51.5
775,Bilt,1990X005,12.3,197.4,61.2
776,Bilt,1990X006,15.2,192.2,68.3
777,Bilt,1990X007,16.8,187.2,74.9
778,Bilt,1990X008,16.7,185.2,70.9
779,Bilt,1990X009,14.0,134.1,66.7
780,Bilt,1990X010,10.5,103.2,72.0
781,Bilt,1990X011,5.9,55.0,81.0
782,Bilt,1990X012,3.2,43.3,79.5
783,Bilt,1990X013,9.4,1477.0,802.4
784,Bilt,1991MM01,3.2,91.8,63.7
785,Bilt,1991MM02,-0.8,93.2,23.0
786,Bilt,1991MM03,8.8,119.1,22.8
787,Bilt,1991MM04,8.5,193.6,34.9
788,Bilt,1991MM05,10.0,154.9,38.2
789,Bilt,1991MM06,12.7,96.8,152.9
790,Bilt,1991MM07,19.0,233.4,44.1
791,Bilt,1991MM08,18.0,222.6,13.2
792,Bilt,1991MM09,15.0,131.6,69.4
793,Bilt,1991MM10,10.2,102.6,51.8
794,Bilt,1991MM11,5.3,36.9,123.7
795,Bilt,1991MM12,3.9,53.5,63.5
796,Bilt,1991JJ00,9.5,1530.0,701.2
797,Bilt,1992MM01,2.7,48.3,48.1
798,Bilt,1992MM02,4.9,70.1,36.0
799,Bilt,1992MM03,6.9,85.3,96.4
800,Bilt,1992MM04,8.7,130.9,65.3
801,Bilt,1992MM05,15.6,288.4,61.6
802,Bilt,1992MM06,17.2,229.3,76.7
803,Bilt,1992MM07,18.3,215.8,61.2
804,Bilt,1992MM08,17.8,163.4,148.8
805,Bilt,1992MM09,14.6,135.8,61.6
806,Bilt,1992MM10,8.0,95.2,100.3
807,Bilt,1992MM11,8.0,50.8,120.1
808,Bilt,1992MM12,3.7,49.5,68.1
809,Bilt,1992JJ00,10.5,1562.8,944.2
810,Bilt,1993MM01,5.1,54.6,105.7
811,Bilt,1993MM02,2.4,56.6,31.3
812,Bilt,1993MM03,5.8,192.9,15.0
813,Bilt,1993MM04,11.1,150.8,47.2
814,Bilt,1993MM05,14.3,226.2,59.2
815,Bilt,1993MM06,15.9,197.3,51.1
816,Bilt,1993MM07,16.1,166.3,181.0
817,Bilt,1993MM08,15.2,145.9,56.1
818,Bilt,1993MM09,13.1,99.5,144.5
819,Bilt,1993MM10,9.0,99.0,81.9
820,Bilt,1993MM11,2.2,79.1,52.6
821,Bilt,1993MM12,5.1,25.9,182.1
822,Bilt,1993JJ00,9.6,1468.2,1007.7
823,Bilt,1994MM01,5.2,52.2,119.4
824,Bilt,1994MM02,1.5,89.5,20.8
825,Bilt,1994MM03,7.3,112.4,124.1
826,Bilt,1994MM04,8.2,146.9,82.4
827,Bilt,1994MM05,12.4,146.7,67.4
828,Bilt,1994MM06,15.0,176.5,72.7
829,Bilt,1994MM07,21.4,288.4,22.7
830,Bilt,1994MM08,17.6,186.8,95.6
831,Bilt,1994MM09,13.6,102.6,150.6
832,Bilt,1994MM10,9.4,126.0,114.3
833,Bilt,1994MM11,10.2,58.1,58.8
834,Bilt,1994MM12,5.3,61.5,139.6
835,Bilt,1994JJ00,10.6,1547.6,1068.4
836,Bilt,1995MM01,3.8,70.5,141.6
837,Bilt,1995MM02,6.7,72.1,92.2
838,Bilt,1995MM03,5.5,182.1,97.4
839,Bilt,1995MM04,9.2,138.7,33.4
840,Bilt,1995MM05,12.8,216.1,97.3
841,Bilt,1995MM06,14.7,187.9,69.7
842,Bilt,1995MM07,20.1,256.2,50.7
843,Bilt,1995MM08,19.7,281.2,27.6
844,Bilt,1995MM09,14.2,120.0,99.5
845,Bilt,1995MM10,12.7,142.3,20.7
846,Bilt,1995MM11,6.8,85.2,38.3
847,Bilt,1995MM12,-0.9,61.7,35.6
848,Bilt,1995JJ00,10.4,1814.0,804.1
849,Bilt,1996MM01,-0.1,89.2,9.7
850,Bilt,1996MM02,0.6,65.9,64.9
851,Bilt,1996MM03,3.2,129.7,16.5
852,Bilt,1996MM04,9.4,216.4,9.3
853,Bilt,1996MM05,10.7,148.0,47.0
854,Bilt,1996MM06,15.7,215.3,37.1
855,Bilt,1996MM07,16.3,171.5,59.7
856,Bilt,1996MM08,17.3,171.3,103.8
857,Bilt,1996MM09,12.5,159.3,56.9
858,Bilt,1996MM10,10.8,127.1,74.4
859,Bilt,1996MM11,5.9,58.2,154.3
860,Bilt,1996MM12,0.6,55.1,58.7
861,Bilt,1996JJ00,8.6,1607.0,692.3
862,Bilt,1997MM01,-0.2,81.0,6.7
863,Bilt,1997MM02,6.2,68.7,94.1
864,Bilt,1997MM03,8.0,126.4,34.0
865,Bilt,1997MM04,7.8,184.1,38.0
866,Bilt,1997MM05,12.8,204.5,89.6
867,Bilt,1997MM06,16.0,203.4,90.3
868,Bilt,1997MM07,17.4,179.4,74.2
869,Bilt,1997MM08,20.5,230.6,60.1
870,Bilt,1997MM09,14.3,183.3,36.4
871,Bilt,1997MM10,9.7,122.8,97.0
872,Bilt,1997MM11,6.7,63.4,32.5
873,Bilt,1997MM12,5.0,45.0,83.1
874,Bilt,1997JJ00,10.4,1692.6,736.0
875,Bilt,1998MM01,4.7,70.1,85.1
876,Bilt,1998MM02,6.4,110.3,20.0
877,Bilt,1998MM03,7.6,92.1,126.1
878,Bilt,1998MM04,9.4,91.2,93.8
879,Bilt,1998MM05,14.9,206.3,54.7
880,Bilt,1998MM06,15.8,149.9,132.7
881,Bilt,1998MM07,16.3,147.6,73.2
882,Bilt,1998MM08,16.5,188.0,68.7
883,Bilt,1998MM09,15.0,117.8,158.1
884,Bilt,1998MM10,9.9,49.7,191.5
885,Bilt,1998MM11,3.7,77.2,118.3
886,Bilt,1998MM12,4.6,54.2,80.8
887,Bilt,1998JJ00,10.4,1354.4,1203.0
888,Bilt,1999MM01,5.2,66.1,83.1
889,Bilt,1999MM02,3.1,94.5,62.0
890,Bilt,1999MM03,7.3,108.6,87.6
891,Bilt,1999MM04,9.8,183.7,59.9
892,Bilt,1999MM05,14.2,231.1,57.0
893,Bilt,1999MM06,15.0,226.1,74.2
894,Bilt,1999MM07,19.1,253.1,51.1
895,Bilt,1999MM08,17.5,166.1,82.6
896,Bilt,1999MM09,17.4,149.1,40.1
897,Bilt,1999MM10,10.6,116.5,53.5
898,Bilt,1999MM11,4.8,73.5,59.8
899,Bilt,1999MM12,4.3,51.3,148.9
900,Bilt,1999JJ00,10.7,1719.7,859.8
901,Bilt,2000MM01,4.3,56.0,46.6
902,Bilt,2000MM02,5.9,106.8,107.3
903,Vlis,1960X001,2.9,53.7,63.0
904,Vlis,1960X002,2.8,69.8,46.0
905,Vlis,1960X003,5.2,134.0,41.0
906,Vlis,1960X004,8.4,169.4,41.0
907,Vlis,1960X005,12.1,216.2,46.0
908,Vlis,1960X006,15.3,231.8,53.0
909,Vlis,1960X007,17.2,210.0,71.0
910,Vlis,1960X008,17.4,200.4,73.0
911,Vlis,1960X009,15.5,151.6,73.0
912,Vlis,1960X010,11.5,104.1,72.0
913,Vlis,1960X011,7.3,50.8,73.0
914,Vlis,1960X012,4.3,38.5,58.0
915,Vlis,1960X013,10.0,1630.3,710.0
916,Vlis,1980X001,3.1,50.2,61.0
917,Vlis,1980X002,3.1,67.2,47.0
918,Vlis,1980X003,5.2,117.6,47.0
919,Vlis,1980X004,8.0,165.0,44.0
920,Vlis,1980X005,11.9,210.3,46.0
921,Vlis,1980X006,14.9,216.8,60.0
922,Vlis,1980X007,16.7,200.7,74.0
923,Vlis,1980X008,17.0,191.3,79.0
924,Vlis,1980X009,15.2,150.8,68.0
925,Vlis,1980X010,11.7,107.2,74.0
926,Vlis,1980X011,7.2,55.9,79.0
927,Vlis,1980X012,4.5,42.1,69.0
928,Vlis,1980X013,9.9,1575.1,748.0
929,Vlis,1980MM01,1.8,49.5,52.0
930,Vlis,1980MM02,5.5,66.2,63.0
931,Vlis,1980MM03,5.5,71.2,63.0
932,Vlis,1980MM04,8.1,137.0,42.0
933,Vlis,1980MM05,12.1,255.6,9.0
934,Vlis,1980MM06,14.8,172.8,80.0
935,Vlis,1980MM07,15.8,160.7,155.0
936,Vlis,1980MM08,17.5,163.8,39.0
937,Vlis,1980MM09,16.4,162.3,21.0
938,Vlis,1980MM10,11.0,104.9,99.0
939,Vlis,1980MM11,5.9,52.6,62.0
940,Vlis,1980MM12,4.7,52.7,85.0
941,Vlis,1980JJ00,9.9,1449.3,770.0
942,Vlis,1981MM01,4.2,20.4,81.0
943,Vlis,1981MM02,2.7,88.6,22.0
944,Vlis,1981MM03,7.8,63.1,120.0
945,Vlis,1981MM04,8.4,134.0,43.0
946,Vlis,1981MM05,12.6,179.0,98.0
947,Vlis,1981MM06,14.1,133.0,78.0
948,Vlis,1981MM07,16.3,179.0,40.0
949,Vlis,1981MM08,17.1,184.2,37.0
950,Vlis,1981MM09,15.8,157.5,50.0
951,Vlis,1981MM10,10.4,77.7,165.0
952,Vlis,1981MM11,8.3,61.9,58.0
953,Vlis,1981MM12,2.0,31.5,119.0
954,Vlis,1981JJ00,10.0,1350.4,903.0
955,Vlis,1982MM01,1.9,62.0,54.0
956,Vlis,1982MM02,3.6,84.4,15.0
957,Vlis,1982MM03,5.6,131.0,62.0
958,Vlis,1982MM04,7.8,201.9,20.0
959,Vlis,1982MM05,12.7,240.4,40.0
960,Vlis,1982MM06,16.5,208.4,85.0
961,Vlis,1982MM07,18.4,196.9,22.0
962,Vlis,1982MM08,17.7,182.4,74.0
963,Vlis,1982MM09,16.8,157.6,40.0
964,Vlis,1982MM10,11.8,65.2,162.0
965,Vlis,1982MM11,9.1,47.6,71.0
966,Vlis,1982MM12,4.6,24.3,87.0
967,Vlis,1982JJ00,10.8,1602.1,732.0
968,Vlis,1983MM01,6.5,28.6,65.0
969,Vlis,1983MM02,1.5,98.0,50.0
970,Vlis,1983MM03,5.7,92.8,64.0
971,Vlis,1983MM04,8.3,127.7,104.0
972,Vlis,1983MM05,10.7,101.3,88.0
973,Vlis,1983MM06,15.6,213.1,40.0
974,Vlis,1983MM07,19.6,251.3,34.0
975,Vlis,1983MM08,18.5,223.3,41.0
976,Vlis,1983MM09,15.1,117.9,111.0
977,Vlis,1983MM10,12.1,114.3,48.0
978,Vlis,1983MM11,7.9,60.8,62.0
979,Vlis,1983MM12,5.2,63.4,54.0
980,Vlis,1983JJ00,10.6,1492.5,761.0
981,Vlis,1984MM01,4.8,55.1,129.0
982,Vlis,1984MM02,3.1,79.8,54.0
983,Vlis,1984MM03,4.5,94.6,69.0
984,Vlis,1984MM04,8.3,212.1,17.0
985,Vlis,1984MM05,10.1,80.5,78.0
986,Vlis,1984MM06,13.8,215.8,44.0
987,Vlis,1984MM07,16.3,199.8,76.0
988,Vlis,1984MM08,18.1,214.8,30.0
989,Vlis,1984MM09,14.6,81.8,147.0
990,Vlis,1984MM10,12.3,97.8,105.0
991,Vlis,1984MM11,9.9,59.8,56.0
992,Vlis,1984MM12,5.6,50.6,42.0
993,Vlis,1984JJ00,10.1,1442.5,847.0
994,Vlis,1985MM01,-1.5,43.2,59.0
995,Vlis,1985MM02,-0.3,106.9,9.0
996,Vlis,1985MM03,3.6,81.4,63.0
997,Vlis,1985MM04,8.2,145.2,78.0
998,Vlis,1985MM05,12.1,172.6,51.0
999,Vlis,1985MM06,14.0,191.1,113.0
1000,Vlis,1985MM07,17.6,231.7,77.0
1001,Vlis,1985MM08,16.4,183.3,75.0
1002,Vlis,1985MM09,15.7,148.3,26.0
1003,Vlis,1985MM10,11.9,123.5,44.0
1004,Vlis,1985MM11,4.4,53.4,80.0
1005,Vlis,1985MM12,5.9,30.2,86.0
1006,Vlis,1985JJ00,9.3,1510.8,761.0
1007,Vlis,1986MM01,3.4,38.1,108.0
1008,Vlis,1986MM02,-2.4,84.5,2.0
1009,Vlis,1986MM03,3.6,119.0,79.0
1010,Vlis,1986MM04,6.0,119.8,49.0
1011,Vlis,1986MM05,12.3,236.8,36.0
1012,Vlis,1986MM06,16.2,257.4,70.0
1013,Vlis,1986MM07,17.3,202.1,30.0
1014,Vlis,1986MM08,16.1,155.2,94.0
1015,Vlis,1986MM09,12.9,156.5,40.0
1016,Vlis,1986MM10,12.7,94.4,101.0
1017,Vlis,1986MM11,8.7,63.5,74.0
1018,Vlis,1986MM12,6.3,41.6,96.0
1019,Vlis,1986JJ00,9.8,1568.9,779.0
1020,Vlis,1987MM01,-1.3,53.6,35.0
1021,Vlis,1987MM02,2.5,58.6,32.0
1022,Vlis,1987MM03,2.9,121.3,78.0
1023,Vlis,1987MM04,10.0,172.7,18.0
1024,Vlis,1987MM05,10.2,172.7,81.0
1025,Vlis,1987MM06,13.8,132.9,111.0
1026,Vlis,1987MM07,17.1,186.6,139.0
1027,Vlis,1987MM08,17.0,163.4,91.0
1028,Vlis,1987MM09,16.0,123.1,55.0
1029,Vlis,1987MM10,12.2,104.3,89.0
1030,Vlis,1987MM11,7.7,32.5,87.0
1031,Vlis,1987MM12,4.8,38.7,30.0
1032,Vlis,1987JJ00,9.4,1360.4,846.0
1033,Vlis,1988MM01,6.6,43.0,151.0
1034,Vlis,1988MM02,5.3,83.3,80.0
1035,Vlis,1988MM03,5.9,80.5,117.0
1036,Vlis,1988MM04,8.8,206.4,14.0
1037,Vlis,1988MM05,13.5,191.4,57.0
1038,Vlis,1988MM06,14.5,122.4,10.0
1039,Vlis,1988MM07,16.1,162.3,127.0
1040,Vlis,1988MM08,17.1,198.5,63.0
1041,Vlis,1988MM09,15.0,114.6,107.0
1042,Vlis,1988MM10,12.3,93.6,74.0
1043,Vlis,1988MM11,7.6,65.4,52.0
1044,Vlis,1988MM12,7.8,16.9,69.0
1045,Vlis,1988JJ00,10.9,1378.3,921.0
1046,Vlis,1989MM01,5.3,57.5,27.0
1047,Vlis,1989MM02,5.6,86.0,46.0
1048,Vlis,1989MM03,8.3,119.9,80.0
1049,Vlis,1989MM04,7.5,117.3,66.0
1050,Vlis,1989MM05,14.3,341.4,6.0
1051,Vlis,1989MM06,15.7,282.7,75.0
1052,Vlis,1989MM07,18.7,247.6,37.0
1053,Vlis,1989MM08,18.2,184.6,56.0
1054,Vlis,1989MM09,16.7,149.7,48.0
1055,Vlis,1989MM10,13.3,102.7,81.0
1056,Vlis,1989MM11,7.7,112.6,33.0
1057,Vlis,1989MM12,5.9,37.5,81.0
1058,Vlis,1989JJ00,11.4,1839.5,634.0
1059,Vlis,1990MM01,5.9,27.9,61.0
1060,Vlis,1990MM02,7.9,81.6,81.0
1061,Vlis,1990MM03,8.7,155.5,33.0
1062,Vlis,1990MM04,9.1,239.3,59.0
1063,Vlis,1990MM05,14.2,302.4,19.0
1064,Vlis,1990MM06,14.9,141.8,57.0
1065,Vlis,1990MM07,17.3,289.3,37.0
1066,Vlis,1990MM08,19.6,271.1,26.0
1067,Vlis,1990MM09,14.7,113.6,94.0
1068,Vlis,1990MM10,13.1,110.1,77.0
1069,Vlis,1990MM11,7.8,50.8,81.0
1070,Vlis,1990MM12,5.1,27.4,62.0
1071,Vlis,1990JJ00,11.5,1810.8,687.0
1072,Vlis,1990X001,3.2,47.2,59.3
1073,Vlis,1990X002,3.3,72.8,43.0
1074,Vlis,1990X003,5.3,110.3,55.1
1075,Vlis,1990X004,8.0,158.0,44.9
1076,Vlis,1990X005,12.0,201.6,49.3
1077,Vlis,1990X006,14.9,204.4,61.6
1078,Vlis,1990X007,16.9,202.1,66.4
1079,Vlis,1990X008,17.3,193.7,66.7
1080,Vlis,1990X009,15.3,143.4,61.6
1081,Vlis,1990X010,12.0,104.5,77.8
1082,Vlis,1990X011,7.4,56.6,74.7
1083,Vlis,1990X012,4.6,41.6,70.8
1084,Vlis,1990X013,10.0,1536.2,731.2
1085,Vlis,1991MM01,4.1,83.0,51.8
1086,Vlis,1991MM02,0.5,73.5,26.8
1087,Vlis,1991MM03,8.1,132.3,21.3
1088,Vlis,1991MM04,8.8,210.7,33.2
1089,Vlis,1991MM05,10.0,169.3,36.8
1090,Vlis,1991MM06,13.1,152.9,108.8
1091,Vlis,1991MM07,18.2,217.4,111.5
1092,Vlis,1991MM08,18.8,248.9,12.0
1093,Vlis,1991MM09,16.8,177.5,57.7
1094,Vlis,1991MM10,12.2,98.1,53.7
1095,Vlis,1991MM11,6.9,42.4,131.5
1096,Vlis,1991MM12,4.8,64.3,43.8
1097,Vlis,1991JJ00,10.2,1670.3,688.9
1098,Vlis,1992MM01,3.5,45.7,21.2
1099,Vlis,1992MM02,5.2,83.8,26.6
1100,Vlis,1992MM03,7.2,94.0,61.9
1101,Vlis,1992MM04,9.1,139.1,48.1
1102,Vlis,1992MM05,15.1,288.0,55.4
1103,Vlis,1992MM06,16.8,228.6,105.0
1104,Vlis,1992MM07,18.4,211.1,85.3
1105,Vlis,1992MM08,18.2,166.1,120.9
1106,Vlis,1992MM09,15.4,150.9,62.6
1107,Vlis,1992MM10,9.7,105.5,98.4
1108,Vlis,1992MM11,8.7,50.2,87.5
