ID,Landen,Perioden,Totaal_1,PlantaardigeProducten_2,Totaal_3,Dieren_4,DierlijkeProducten_5,Landbouwdiensten_6,NietTotDeLandbouwBehorendeNevena_7,IntermediairVerbruik_8,BrutoToegevoegdeWaardeBasisprijzen_9,BrutoToegevoegdeWaardeBasisprijzen_10,VerbruikVanVasteActiva_11,NietProductgebondenBelastingen_12,NietProductgebondenSubsidies_13,Landbouwinkomen_14,Arbeidsvolume_15,Inkomensindex2010100_16,MutatieTOVVoorafgaandJaar_17
506,10440,1995JJ00,6098.0,2770.0,2837.0,1763.0,1074.0,162.0,329.0,3204.0,2894.0,2894.0,1347.0,180.0,1031.0,2397.0,188.0,81.3,
507,10440,1996JJ00,5917.0,2580.0,2838.0,1796.0,1042.0,167.0,332.0,3211.0,2706.0,2706.0,1324.0,206.0,1005.0,2181.0,179.0,78.4,-3.5
508,10440,1997JJ00,5711.0,2495.0,2701.0,1705.0,996.0,179.0,336.0,3206.0,2505.0,2505.0,1308.0,240.0,886.0,1843.0,177.0,69.2,-11.7
509,10440,1998JJ00,5478.0,2483.0,2466.0,1514.0,952.0,187.0,342.0,3057.0,2421.0,2421.0,1323.0,211.0,904.0,1791.0,171.0,69.4,0.2
510,10440,1999JJ00,5450.0,2492.0,2397.0,1419.0,978.0,186.0,374.0,3039.0,2410.0,2410.0,1322.0,199.0,927.0,1816.0,169.0,70.7,1.9
511,10440,2000JJ00,5518.0,2372.0,2591.0,1604.0,987.0,180.0,375.0,3012.0,2507.0,2507.0,1337.0,135.0,925.0,1959.0,165.0,77.3,9.3
512,10440,2001JJ00,5862.0,2508.0,2782.0,1680.0,1103.0,194.0,378.0,3175.0,2687.0,2687.0,1347.0,137.0,1118.0,2321.0,161.0,92.1,19.2
513,10440,2002JJ00,5676.0,2469.0,2610.0,1554.0,1056.0,194.0,402.0,3169.0,2507.0,2507.0,1355.0,148.0,1122.0,2126.0,158.0,85.1,-7.6
514,10440,2003JJ00,5602.0,2473.0,2558.0,1555.0,1003.0,188.0,383.0,3125.0,2478.0,2478.0,1356.0,148.0,1119.0,2093.0,154.0,84.7,-0.5
515,10440,2004JJ00,5758.0,2544.0,2643.0,1608.0,1035.0,204.0,367.0,3146.0,2612.0,2612.0,1378.0,148.0,1129.0,2215.0,151.0,89.9,6.1
516,10440,2005JJ00,5286.0,2077.0,2667.0,1616.0,1051.0,202.0,340.0,3080.0,2206.0,2206.0,1418.0,162.0,1534.0,2161.0,146.0,88.4,-1.7
517,10440,2006JJ00,5507.0,2185.0,2787.0,1680.0,1106.0,205.0,331.0,3118.0,2389.0,2389.0,1437.0,143.0,1550.0,2358.0,139.0,99.4,12.5
518,10440,2007JJ00,6146.0,2728.0,2848.0,1691.0,1157.0,223.0,346.0,3370.0,2776.0,2776.0,1473.0,147.0,1495.0,2650.0,136.0,112.2,12.9
519,10440,2008JJ00,6457.0,2713.0,3163.0,1813.0,1350.0,240.0,341.0,3693.0,2764.0,2764.0,1536.0,176.0,1514.0,2566.0,132.0,109.3,-2.6
520,10440,2009JJ00,5875.0,2439.0,2839.0,1754.0,1085.0,249.0,347.0,3632.0,2243.0,2243.0,1590.0,212.0,1530.0,1971.0,131.0,83.3,-23.8
521,10440,2010JJ00,6315.0,2773.0,2922.0,1726.0,1196.0,243.0,378.0,3749.0,2567.0,2567.0,1621.0,164.0,1547.0,2328.0,127.0,100.0,20.1
522,10440,2011JJ00,7150.0,3257.0,3233.0,1900.0,1333.0,297.0,363.0,4140.0,3010.0,3010.0,1675.0,171.0,1528.0,2692.0,126.0,115.0,15.0
523,10440,2012JJ00,7230.0,3218.0,3359.0,2034.0,1325.0,294.0,359.0,4265.0,2966.0,2966.0,1738.0,187.0,1525.0,2565.0,125.0,107.9,-6.2
524,10440,2013JJ00,6996.0,2855.0,3480.0,2036.0,1443.0,286.0,375.0,4279.0,2717.0,2717.0,1786.0,196.0,1518.0,2252.0,124.0,94.2,-12.7
525,10440,2014JJ00,6938.0,2799.0,3451.0,1931.0,1521.0,312.0,375.0,4273.0,2664.0,2664.0,1832.0,166.0,1440.0,2106.0,122.0,88.3,-6.3
526,10440,2015JJ00,6772.0,2824.0,3234.0,1821.0,1413.0,307.0,407.0,4159.0,2613.0,2613.0,1852.0,169.0,1380.0,1972.0,120.0,82.2,-6.9
527,10440,2016JJ00,6830.0,2919.0,3182.0,1812.0,1370.0,312.0,418.0,4152.0,2678.0,2678.0,1845.0,144.0,1461.0,2150.0,118.0,89.5,8.8
528,10450,1995JJ00,,,,,,,,,,,,,,,,,
529,10450,1996JJ00,,,,,,,,,,,,,,,3369.0,,
530,10450,1997JJ00,,,,,,,,,,,,,,,3170.0,,
531,10450,1998JJ00,12455.0,6295.0,5627.0,3592.0,2035.0,245.0,288.0,7371.0,5084.0,5084.0,1132.0,334.0,207.0,3825.0,2856.0,39.6,
532,10450,1999JJ00,10862.0,5494.0,4878.0,2977.0,1901.0,258.0,231.0,6680.0,4182.0,4182.0,1156.0,294.0,124.0,2857.0,2505.0,34.3,-13.3
533,10450,2000JJ00,12474.0,6059.0,5886.0,3403.0,2483.0,298.0,230.0,7809.0,4665.0,4665.0,1223.0,323.0,147.0,3266.0,2495.0,34.8,1.5
534,10450,2001JJ00,14871.0,7164.0,7137.0,4364.0,2773.0,351.0,220.0,8975.0,5896.0,5896.0,1354.0,378.0,129.0,4293.0,2524.0,40.2,15.4
