ID,Heffingen,Perioden,BenzineOngelood_1,Dieselolie_2,LPG_3,CNG_4,PropaanButaan_5,Huisbrandolie_6,Petroleum_7,k_800M3_8,k_8005000M3_9,k_5000170000M3_10,k_1700001MlnM3_11,k_1Mln10MlnM3_12,k_10mlnM3NietZakelijkVerbruik_13,k_10MlnM3ZakelijkVerbruik_14,GroenGas5000M3_15,GroenGas5000TM10MlnM3_16,GroenGas10MlnM3_17,HoogovenCokesovenKolenRaffinGas_18,Steenkool_19,ZwareStookolie_20,KVGas_21,Uranium235_22,Petroleumcokes_23,VloeibareBrandstof_24,GasvormigeBrandstof_25,k_08MWh_26,k_0810MWh_27,k_1050MWh_28,k_50MWh10000MWh_29,k_10MlnKWhNietZakelijkVerbruik_30,k_10MlnKWhZakelijkVerbruik_31,GroeneStroom10MWh_32,GroeneStroom10MWh_33
67,H10002,2007MM01,678.79,370.75,96.21,0.0,0.0,46.56,46.56,,,,,,,,,,,,,32.51,,,,,,,,,,,,,
68,H10002,2008MM01,688.97,376.3,96.21,0.0,0.0,46.56,46.56,,,,,,,,,,,,,32.51,,,,,,,,,,,,,
69,H10002,2008MM07,688.97,406.3,124.2,0.0,0.0,46.56,46.56,,,,,,,,,,,,,32.51,,,,,,,,,,,,,
70,H10002,2009MM01,700.68,413.2,126.07,0.0,0.0,77.86,77.86,,,,,,,,,,,,,33.06,,,,,,,,,,,,,
71,H10002,2010MM01,714.0,421.1,154.12,0.0,0.0,253.01,253.01,,,,,,,,,,,,,33.69,,,,,,,,,,,,,
72,H10002,2011MM01,718.3,423.6,155.04,0.0,0.0,254.53,254.53,,,,,,,,,,,,,33.89,,,,,,,,,,,,,
73,H10002,2012MM01,730.5,430.8,167.54,0.0,0.0,258.86,258.86,,,,,,,,,,,,,34.47,,,,,,,,,,,,,
74,H10002,2013MM01,746.6,440.3,180.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,,35.23,,,,,,,,,,,,,
75,H10002,2013MM04,746.6,440.3,180.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,,35.23,,,,,,,,,,,,,
76,H10002,2014MM01,759.24,477.76,322.17,0.0,0.0,0.0,0.0,,,,,,,,,,,,,35.83,,,,,,,,,,,,,
77,H10002,2015MM01,766.07,482.06,334.67,0.0,0.0,0.0,0.0,,,,,,,,,,,,,36.15,,,,,,,,,,,,,
78,H10003,1993MM01,10.94,12.07,14.44,,14.44,12.07,12.03,9.43,9.43,9.43,9.43,9.43,6.2,6.2,0.0,0.0,0.0,100.09,10.27,14.09,0.0,0.0,14.08,14.09,100.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,H10003,1993MM08,10.94,12.07,14.44,,14.44,12.07,12.03,9.43,9.43,9.43,9.43,9.43,6.2,6.2,0.0,0.0,0.0,100.09,10.27,14.09,0.0,0.0,14.08,14.09,100.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,H10003,1994MM01,10.94,12.07,14.44,,14.44,12.07,12.03,9.43,9.43,9.43,9.43,9.43,6.2,6.2,0.0,0.0,0.0,100.09,10.27,14.09,0.0,0.0,14.08,14.09,100.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,H10003,1994MM02,10.94,12.07,14.44,,14.44,12.07,12.03,9.43,9.43,9.43,9.43,9.43,6.2,6.2,0.0,0.0,0.0,100.09,10.27,14.09,0.0,0.0,14.08,14.09,100.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
