ID,TypeLozing,BrancheBedrijfstak,Perioden,FosforverbindingenAlsP_1,StikstofverbindingenAlsN_2,AntimoonverbindingenAlsSb_3,ArseenverbindingenAlsAs_4,CadmiumverbindingenAlsCd_5,ChroomverbindingenAlsCr_6,KobaltverbindingenAlsCo_7,KoperverbindingenAlsCu_8,KwikverbindingenAlsHg_9,LoodverbindingenAlsPb_10,NikkelverbindingenAlsNi_11,ZinkverbindingenAlsZn_12,Benzeen_13,Ethylbenzeen_14,Isopropylbenzeen_15,SomPAK6VanBorneff_16,Tolueen_17,Xyleen_18,Dichloorethaan12_19,Hexachloorbutadieen_20,TetrachlooretheenPer_21,TetrachloormethaanTetra_22,DrinsAldrinDieldrinEnz_23,Hexachloorbenzenen_24,CZV_25,TOC_26,ChloridenAnorganischAlsCl_27,Fluoriden_28,CyanidenAnorganischAlsCN_29
62,T         ,309000,2014JJ00,476.0,1518.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4933.0,23534.0,0.0,0.0
63,T         ,309000,2015JJ00,475.0,1462.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4375.0,16112.0,0.0,0.0
64,T         ,309300,2008JJ00,82.0,130.0,0.0,20.7,2.1,11.0,0.0,34.0,0.4,17.0,48.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479.0,0.0,12309.0,0.0,0.0
65,T         ,309300,2009JJ00,55.0,116.0,0.0,12.6,1.6,5.0,0.0,13.0,0.0,8.0,34.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,10625.0,0.0,0.0
66,T         ,309300,2010JJ00,52.0,107.0,0.0,0.4,0.1,3.0,0.0,4.0,0.0,0.0,16.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,10588.0,0.0,0.0
67,T         ,309300,2011JJ00,55.0,126.0,0.0,1.0,0.2,6.0,0.0,5.0,0.1,1.0,25.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,11062.0,0.0,0.0
68,T         ,309300,2012JJ00,49.0,117.0,0.0,0.8,0.1,3.0,0.0,13.0,0.4,0.0,7.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,8972.0,0.0,0.0
69,T         ,309300,2013JJ00,44.0,115.0,0.0,0.9,0.1,4.0,0.0,3.0,0.2,0.0,7.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,14810.0,0.0,0.0
70,T         ,309300,2014JJ00,46.0,110.0,0.0,0.0,0.0,1.0,0.0,2.0,0.1,0.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,13438.0,0.0,0.0
71,T         ,309300,2015JJ00,44.0,105.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,14.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,12666.0,0.0,0.0
72,T         ,309600,2008JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,T         ,309600,2009JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,T         ,309600,2010JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,T         ,309600,2011JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,T         ,309600,2012JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,T         ,309600,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,T         ,309600,2014JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,T         ,309600,2015JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,T         ,310000,2008JJ00,27.0,236.0,0.0,7.1,0.0,10.0,0.0,67.0,0.0,2.0,20.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7805.0,1717.0,4047.0,0.0,0.0
81,T         ,310000,2009JJ00,41.0,273.0,0.0,0.0,0.0,7.0,0.0,60.0,0.0,2.0,7.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3774.0,5455.0,850.0,0.0,0.0
82,T         ,310000,2010JJ00,17.0,217.0,0.0,0.0,0.0,6.0,0.0,57.0,0.0,2.0,8.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3613.0,3062.0,831.0,0.0,0.0
83,T         ,310000,2011JJ00,12.0,105.0,0.0,0.0,0.0,7.0,0.0,59.0,0.0,2.0,9.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3746.0,2267.0,571.0,0.0,0.0
84,T         ,310000,2012JJ00,16.0,121.0,0.0,0.0,0.0,6.0,0.0,56.0,0.0,2.0,13.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550.0,2600.0,524.0,0.0,0.0
85,T         ,310000,2013JJ00,13.0,128.0,0.0,0.0,0.0,7.0,0.0,63.0,0.0,2.0,4.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3973.0,2448.0,617.0,0.0,0.0
86,T         ,310000,2014JJ00,10.0,123.0,0.0,0.0,0.0,7.0,0.0,63.0,0.0,2.0,4.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3971.0,1616.0,610.0,0.0,0.0
87,T         ,310000,2015JJ00,9.0,119.0,0.0,0.0,0.0,7.0,0.0,62.0,0.0,2.0,4.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3935.0,1312.0,518.0,0.0,0.0
88,T         ,311000,2008JJ00,6.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,271.0,0.0,0.0
89,T         ,311000,2009JJ00,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,239.0,0.0,0.0
90,T         ,311000,2010JJ00,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,245.0,0.0,0.0
91,T         ,311000,2011JJ00,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,499.0,0.0,0.0
92,T         ,311000,2012JJ00,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,476.0,0.0,0.0
93,T         ,311000,2013JJ00,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,711.0,0.0,0.0
94,T         ,311000,2014JJ00,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
