ID,Uitval,RegioS,Perioden,TotaalVoertuigen_1,PersonenautoS_2,TotaalBedrijfsvoertuigen_3,BestelautoS_4,VrachtautoS_5,Trekkers_6,SpecialeVoertuigen_7,Autobussen_8,TotaalGewichtVoertuigen_9,PersonenautoS_10,TotaalGewichtBedrijfsvoertuigen_11,BestelautoS_12,VrachtautoS_13,Trekkers_14,SpecialeVoertuigen_15,Autobussen_16
228,4,LD03,1996JJ00,2322,1833,489.0,420,26,16,26,1,2742,1833,909.0,484,198,113,103,11
229,4,LD03,1997JJ00,1330,1029,301.0,124,78,50,39,10,2530,1046,1484.0,170,593,327,262,132
230,4,LD03,1998JJ00,1118,870,248.0,176,26,17,25,4,1636,907,729.0,243,219,103,118,46
231,4,LD03,1999JJ00,1887,1356,531.0,448,34,27,20,2,2683,1495,1188.0,636,287,169,76,20
232,4,LD04,1996JJ00,441,296,145.0,54,50,18,20,3,1108,290,818.0,84,400,112,195,27
233,4,LD04,1997JJ00,602,344,258.0,72,102,56,28,0,1921,348,1573.0,111,889,363,210,0
234,4,LD04,1998JJ00,459,304,155.0,86,25,19,25,0,913,311,602.0,124,206,124,148,0
235,4,LD04,1999JJ00,518,400,118.0,51,31,20,16,0,978,404,574.0,74,288,122,90,0
236,4,PV20,1996JJ00,64,51,13.0,4,4,1,3,1,131,47,84.0,9,41,6,18,10
237,4,PV20,1997JJ00,65,47,18.0,3,5,4,6,0,149,42,107.0,4,39,24,40,0
238,4,PV20,1998JJ00,72,58,14.0,5,2,1,6,0,100,55,45.0,6,10,6,23,0
239,4,PV20,1999JJ00,92,75,17.0,5,3,6,3,0,151,72,79.0,6,23,37,13,0
240,4,PV21,1996JJ00,98,80,18.0,13,2,0,3,0,115,73,42.0,17,14,0,11,0
241,4,PV21,1997JJ00,102,70,32.0,8,10,11,3,0,266,70,196.0,13,97,70,16,0
242,4,PV21,1998JJ00,78,57,21.0,10,3,3,5,0,135,58,77.0,11,24,19,23,0
243,4,PV21,1999JJ00,96,72,24.0,7,8,6,3,0,202,73,129.0,7,67,38,17,0
244,4,PV22,1996JJ00,54,36,18.0,7,2,1,8,0,106,38,68.0,9,20,7,32,0
245,4,PV22,1997JJ00,74,53,21.0,3,6,2,10,0,178,55,123.0,3,58,12,50,0
246,4,PV22,1998JJ00,60,50,10.0,1,2,1,6,0,106,51,55.0,3,19,6,27,0
247,4,PV22,1999JJ00,73,55,18.0,6,5,1,6,0,142,57,85.0,9,38,6,32,0
248,4,PV23,1996JJ00,121,94,27.0,11,6,4,6,0,202,84,118.0,13,50,26,29,0
249,4,PV23,1997JJ00,143,94,49.0,6,17,10,15,1,419,91,328.0,10,137,59,113,9
250,4,PV23,1998JJ00,122,100,22.0,7,4,6,5,0,211,101,110.0,11,40,37,22,0
251,4,PV23,1999JJ00,177,159,18.0,9,4,3,2,0,226,155,71.0,14,30,21,6,0
252,4,PV24,1996JJ00,63,52,11.0,9,0,0,2,0,75,51,24.0,11,0,0,13,0
253,4,PV24,1997JJ00,53,41,12.0,6,0,0,5,1,83,41,42.0,8,0,0,29,5
254,4,PV24,1998JJ00,45,36,9.0,7,1,1,0,0,61,34,27.0,11,10,6,0,0
255,4,PV24,1999JJ00,64,57,7.0,3,2,2,0,0,98,60,38.0,5,19,14,0,0
256,4,PV25,1996JJ00,380,221,159.0,74,63,10,12,0,968,215,753.0,60,572,71,50,0
257,4,PV25,1997JJ00,359,211,148.0,49,53,27,19,0,1057,202,855.0,68,475,169,143,0
258,4,PV25,1998JJ00,279,191,88.0,41,23,8,16,0,547,193,354.0,59,172,48,75,0
259,4,PV25,1999JJ00,312,233,79.0,36,14,13,16,0,543,234,309.0,49,99,80,81,0
260,4,PV26,1996JJ00,145,119,26.0,13,8,4,1,0,233,115,118.0,20,66,26,6,0
261,4,PV26,1997JJ00,195,158,37.0,16,9,6,6,0,310,157,153.0,21,66,34,32,0
262,4,PV26,1998JJ00,163,138,25.0,16,5,2,2,0,214,134,80.0,20,37,11,12,0
263,4,PV26,1999JJ00,263,226,37.0,16,12,8,1,0,410,226,184.0,18,114,49,3,0
264,4,PV27,1996JJ00,253,213,40.0,27,6,3,4,0,326,204,122.0,38,38,30,16,0
265,4,PV27,1997JJ00,235,171,64.0,19,19,14,12,0,514,168,346.0,30,145,93,78,0
266,4,PV27,1998JJ00,185,144,41.0,25,5,6,5,0,283,150,133.0,35,41,38,19,0
267,4,PV27,1999JJ00,193,157,36.0,19,8,3,6,0,290,155,135.0,23,64,20,28,0
268,4,PV28,1996JJ00,1879,1479,400.0,370,10,5,14,1,2090,1493,597.0,415,80,35,56,11
269,4,PV28,1997JJ00,862,679,183.0,85,40,29,19,10,1584,701,883.0,111,303,194,143,132
270,4,PV28,1998JJ00,730,564,166.0,126,13,8,15,4,1051,598,453.0,175,112,47,73,46
271,4,PV28,1999JJ00,1379,933,446.0,406,12,16,10,2,1903,1072,831.0,582,94,100,35,20
272,4,PV29,1996JJ00,45,22,23.0,10,2,4,7,0,93,21,72.0,11,14,22,25,0
273,4,PV29,1997JJ00,38,21,17.0,4,10,1,2,0,122,20,102.0,8,79,6,9,0
274,4,PV29,1998JJ00,40,24,16.0,9,3,1,3,0,88,25,63.0,13,29,7,14,0
275,4,PV29,1999JJ00,52,40,12.0,7,2,0,3,0,80,42,38.0,13,15,0,10,0
276,4,PV30,1996JJ00,281,181,100.0,34,33,15,17,1,771,175,596.0,49,278,94,167,8
277,4,PV30,1997JJ00,382,193,189.0,42,84,44,19,0,1430,198,1232.0,65,738,284,145,0
278,4,PV30,1998JJ00,307,191,116.0,62,22,13,19,0,679,195,484.0,92,182,85,125,0
279,4,PV30,1999JJ00,359,275,84.0,38,21,12,13,0,687,277,410.0,57,199,76,78,0
280,4,PV31,1996JJ00,160,115,45.0,20,17,3,3,2,337,115,222.0,35,122,18,28,19
281,4,PV31,1997JJ00,220,151,69.0,30,18,12,9,0,491,150,341.0,46,151,79,65,0
282,4,PV31,1998JJ00,152,113,39.0,24,3,6,6,0,233,115,118.0,32,24,39,23,0
283,4,PV31,1999JJ00,159,125,34.0,13,10,8,3,0,291,127,164.0,17,89,46,12,0
284,4,ON  ,1996JJ00,24,10,14.0,10,3,0,1,0,51,8,43.0,9,29,0,4,1
285,4,ON  ,1997JJ00,5,2,3.0,2,0,0,1,0,18,5,13.0,4,0,1,8,0
286,4,ON  ,1998JJ00,12,10,2.0,1,0,0,1,0,10,11,0.0,0,0,0,0,0
287,4,ON  ,1999JJ00,4,2,2.0,1,0,1,0,0,8,2,7.0,2,0,5,0,0
