ID,Perioden,BrutoProductie_1,EigenVerbruikBijElektrProductie_2,NettoProductieTotaal_3,Kernenergie_4,BrandstoffenTotaal_5,Kolen_6,Olieproducten_7,Aardgas_8,Biomassa_9,OverigeBrandstoffenNietHernieuwbaar_10,Waterkracht_11,WindenergieTotaal_12,WindenergieOpLand_13,WindenergieOpZee_14,Zonnestroom_15,OverigeBronnen_16,InvoerTotaal_17,Belgie_18,Denemarken_19,Duitsland_20,VerenigdKoninkrijk_21,Noorwegen_22,UitvoerTotaal_23,Belgie_24,Denemarken_25,Duitsland_26,VerenigdKoninkrijk_27,Noorwegen_28,Distributieverliezen_29,NettoVerbruikBerekend_30
760,2017JJ00,117168.0,3712.0,113456.0,3223.0,95901.0,32737.0,1136.0,56596.0,3993.0,1440.0,61.0,10569.0,6869.0,3700.0,2204.0,1498.0,22458,2170.0,,15116.0,191.0,4981.0,18952,10251.0,,1362.0,7224.0,114.0,5414.0,111548.0
761,2018MM01,10760.0,319.0,10442.0,362.0,8579.0,2870.0,110.0,5169.0,286.0,144.0,3.0,1393.0,965.0,428.0,47.0,58.0,2023,197.0,,1418.0,0.0,408.0,1576,782.0,,52.0,707.0,35.0,497.0,10391.0
762,2018MM02,10615.0,320.0,10295.0,327.0,8827.0,2885.0,112.0,5407.0,291.0,131.0,11.0,933.0,619.0,314.0,143.0,55.0,1711,6.0,,1332.0,0.0,372.0,2008,1323.0,,49.0,625.0,10.0,445.0,9553.0
763,2018MM03,10272.0,327.0,9945.0,362.0,8226.0,2559.0,140.0,5090.0,310.0,127.0,16.0,1069.0,739.0,330.0,213.0,59.0,2071,210.0,,1699.0,16.0,146.0,1538,917.0,,16.0,602.0,4.0,458.0,10020.0
764,2018KW01,31647.0,965.0,30682.0,1051.0,25631.0,8314.0,362.0,15667.0,886.0,402.0,31.0,3395.0,2323.0,1072.0,403.0,171.0,5805,413.0,,4449.0,16.0,926.0,5121,3022.0,,117.0,1934.0,49.0,1401.0,29964.0
765,2018MM04,8307.0,287.0,8020.0,343.0,6501.0,2232.0,114.0,3716.0,310.0,130.0,13.0,778.0,487.0,292.0,336.0,48.0,2391,254.0,,2113.0,1.0,24.0,1218,523.0,,6.0,672.0,19.0,421.0,8772.0
766,2018MM05,7587.0,229.0,7358.0,95.0,6020.0,1965.0,102.0,3515.0,288.0,150.0,7.0,627.0,395.0,232.0,561.0,48.0,2979,403.0,,2150.0,37.0,388.0,899,335.0,,55.0,497.0,12.0,422.0,9016.0
767,2018MM06,7795.0,219.0,7576.0,223.0,6241.0,1864.0,108.0,3861.0,268.0,140.0,8.0,570.0,369.0,201.0,511.0,23.0,2521,339.0,,1829.0,9.0,344.0,1052,352.0,,119.0,530.0,51.0,413.0,8633.0
768,2018KW02,23689.0,735.0,22954.0,661.0,18762.0,6061.0,324.0,11092.0,866.0,419.0,28.0,1976.0,1251.0,725.0,1409.0,119.0,7892,996.0,,6093.0,46.0,757.0,3170,1209.0,,179.0,1699.0,82.0,1255.0,26421.0
769,2018MM07,9370.0,293.0,9078.0,348.0,7598.0,2349.0,132.0,4674.0,300.0,144.0,1.0,424.0,294.0,130.0,668.0,38.0,2205,151.0,,1876.0,11.0,167.0,1400,659.0,,18.0,610.0,112.0,432.0,9450.0
