ID,Bedrijfsactiviteiten,Grootteklassen,Perioden,Bedrijven_1,WerknemersUltimoSeptember_2,TotaalProductiewaarde_3,IndustrieleVerkopen_4,VoorraadmutatiesProducten_5,MargeHandelOvOpbrengsten_6,TotaalVerbruikswaarde_7,IndustrieleInkopen_8,VoorraadmutatiesGrondEnHulpstoffen_9,Energieverbruik_10,OverigeBedrijfskosten_11,TotaalToegevoegdeWaarde_12,Arbeidskosten_13,HeffingenEnBelastingen_14,TotaalBrutoBedrijfsresultaat_15,SaldoInterest_16,SaldoOverigeBatenEnLasten_17,AfschrijvingenOpVasteActiva_18,ResultaatVoorBelastingen_19,CodeBedrijfsactiviteit_20
329,36x   ,S,1997JJ00,7860.0,122.0,1228.0,1092.0,2.0,134.0,736.0,536.0,3.0,16.0,187.0,492.0,288.0,3.0,201.0,-19.0,-1.0,49.0,133.0,36x   
330,36x   ,S,1998JJ00,8336.0,135.0,1417.0,1316.0,6.0,95.0,834.0,632.0,7.0,18.0,191.0,583.0,321.0,1.0,261.0,-19.0,1.0,64.0,178.0,36x   
331,36x   ,S,1999JJ00,8726.0,151.0,1541.0,1413.0,22.0,106.0,907.0,648.0,14.0,20.0,253.0,634.0,350.0,2.0,282.0,-21.0,-1.0,58.0,203.0,36x   
332,36x   ,L,1996JJ00,360.0,204.0,2290.0,2214.0,12.0,64.0,1457.0,1143.0,-2.0,24.0,288.0,833.0,572.0,1.0,260.0,-19.0,-2.0,87.0,152.0,36x   
333,36x   ,L,1997JJ00,370.0,211.0,2532.0,2425.0,29.0,78.0,1619.0,1295.0,10.0,26.0,308.0,913.0,611.0,1.0,301.0,-18.0,-6.0,90.0,187.0,36x   
334,36x   ,L,1998JJ00,355.0,211.0,2708.0,2626.0,1.0,81.0,1751.0,1409.0,11.0,26.0,327.0,957.0,643.0,0.0,314.0,-18.0,-5.0,93.0,198.0,36x   
335,36x   ,L,1999JJ00,375.0,223.0,2877.0,2776.0,3.0,98.0,1857.0,1475.0,5.0,27.0,360.0,1020.0,690.0,0.0,330.0,-19.0,-11.0,97.0,203.0,36x   
336,37    ,T,1996JJ00,224.0,15.0,324.0,304.0,-1.0,21.0,229.0,140.0,1.0,9.0,81.0,94.0,47.0,0.0,47.0,-8.0,0.0,25.0,14.0,37    
337,37    ,T,1997JJ00,274.0,23.0,435.0,420.0,-3.0,18.0,305.0,183.0,-1.0,11.0,110.0,130.0,63.0,0.0,67.0,-10.0,0.0,31.0,26.0,37    
338,37    ,T,1998JJ00,280.0,24.0,457.0,436.0,0.0,21.0,329.0,199.0,2.0,13.0,119.0,128.0,70.0,0.0,58.0,-9.0,-1.0,32.0,16.0,37    
339,37    ,T,1999JJ00,283.0,28.0,611.0,582.0,-3.0,32.0,447.0,288.0,-2.0,15.0,142.0,163.0,85.0,-1.0,79.0,-12.0,-15.0,39.0,13.0,37    
340,37    ,S,1996JJ00,202.0,6.0,139.0,137.0,0.0,2.0,96.0,54.0,0.0,4.0,38.0,44.0,19.0,0.0,25.0,-3.0,0.0,10.0,12.0,37    
341,37    ,S,1997JJ00,249.0,11.0,221.0,216.0,1.0,4.0,165.0,100.0,0.0,6.0,59.0,56.0,25.0,1.0,30.0,-5.0,0.0,16.0,10.0,37    
342,37    ,S,1998JJ00,253.0,12.0,239.0,229.0,3.0,7.0,180.0,108.0,1.0,5.0,68.0,59.0,28.0,0.0,31.0,-4.0,2.0,18.0,10.0,37    
343,37    ,S,1999JJ00,252.0,12.0,257.0,247.0,0.0,10.0,188.0,108.0,3.0,6.0,77.0,69.0,31.0,0.0,38.0,-7.0,-2.0,16.0,12.0,37    
344,37    ,L,1996JJ00,22.0,9.0,185.0,167.0,-1.0,19.0,134.0,85.0,-1.0,5.0,43.0,51.0,29.0,-1.0,23.0,-5.0,-1.0,15.0,2.0,37    
345,37    ,L,1997JJ00,25.0,12.0,214.0,204.0,-4.0,14.0,140.0,83.0,-1.0,5.0,51.0,74.0,37.0,1.0,36.0,-5.0,1.0,15.0,17.0,37    
346,37    ,L,1998JJ00,27.0,13.0,218.0,206.0,-3.0,15.0,149.0,91.0,1.0,8.0,51.0,69.0,43.0,-1.0,27.0,-5.0,-3.0,14.0,5.0,37    
347,37    ,L,1999JJ00,31.0,16.0,353.0,335.0,-4.0,22.0,259.0,180.0,-4.0,9.0,66.0,94.0,54.0,-1.0,41.0,-5.0,-12.0,22.0,1.0,37    
